順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,アトピー性皮膚炎 治し方,63900,10600,3.84,0,33,67,3,8,14,25,25,13,12
2,蕁麻疹,246000,5100,1.765,-0.052,31,69,4,13,21,25,18,10,9
3,デュピクセント,81200,4500,2.723,0.018,34,66,2,8,16,28,26,13,7
4,脂漏性皮膚炎,176000,4200,1.911,-0.009,30,70,2,12,18,24,22,13,9
5,コレクチム軟膏,86100,3800,2.516,0.002,24,76,2,8,17,28,22,12,11
6,アトピー性皮膚炎 薬,8100,3700,4.855,0,30,70,2,9,13,23,25,17,11
7,アトピー性皮膚炎 大人で発症,9800,3400,4.606,0.001,32,68,1,10,10,14,27,23,15
8,モイゼルト軟膏,55900,3100,2.731,0.003,24,76,1,7,23,29,20,11,9
9,アトピー性皮膚炎 注射,6400,3000,4.895,0,30,70,3,6,8,23,31,16,13
10,アレルギー,140000,2900,1.778,-0.001,31,69,2,5,10,23,25,19,16
11,アトピー,41100,2900,2.978,0.001,34,66,8,19,26,24,13,5,5
12,アトピー 原因,29300,2600,3.198,0.002,34,66,5,15,23,24,17,8,8
13,湿疹,93400,2500,2.026,-0.001,41,59,4,12,18,19,18,13,16
14,湿疹 痒い 赤いプツプツ,82300,2500,2.142,-0.1,23,77,1,4,10,23,26,19,17
15,プロトピック軟膏,46900,2500,2.701,0.005,23,77,1,7,15,27,24,14,12
16,乾癬,112000,2300,1.753,0.001,34,66,2,10,18,24,23,13,10
17,あせも 画像,85600,2300,1.992,-9.319,28,72,1,7,18,26,23,15,10
18,アトピー性皮膚炎 原因,6800,2300,4.538,0.001,34,66,6,16,18,22,19,10,9
19,ステロイド 塗り薬,82500,2200,2.008,0.007,36,64,2,8,13,19,22,19,17
20,抗ヒスタミン薬,98000,2000,1.748,0.383,31,69,1,11,18,26,20,13,11
21,とびひ,88300,2000,1.821,-3.514,23,77,2,8,32,30,12,9,7
22,接触性皮膚炎,51400,1900,2.316,0,19,81,2,14,21,24,20,12,7
23,アトピー 注射,21000,1900,3.233,3.454,30,70,2,10,15,28,26,11,8
24,かんせん 皮膚,82700,1800,1.818,0,28,72,1,5,12,22,27,18,15
25,アトピー性皮膚炎 食事,3900,1800,4.859,0.001,23,77,2,7,11,26,29,14,11
26,アトピー性皮膚炎 市販薬,3900,1800,4.834,0,26,74,1,13,16,30,30,6,4
27,亜鉛華軟膏,75200,1700,1.862,0.009,24,76,1,8,22,23,19,14,13
28,乳児湿疹,67700,1600,1.869,-27.228,14,86,0,17,50,14,7,9,3
29,とびひ 子供,65700,1600,1.878,-0.012,24,76,0,6,40,32,6,9,7
30,ステロイド 強さ,60700,1600,1.994,0.308,28,72,1,8,19,26,21,13,12
31,あせも,69600,1500,1.757,-4.026,29,71,4,15,26,26,16,7,6
32,とびひ 大人症状,59900,1500,1.949,-0.004,32,68,1,7,13,21,25,18,15
33,尋常性乾癬,54400,1500,2.044,0,31,69,1,8,12,21,26,19,13
34,蕁麻疹 治らない,63200,1400,1.836,-0.079,26,74,2,7,16,27,24,14,10
35,とびひ 画像,50600,1400,2.027,-12.353,21,79,1,4,24,33,17,12,9
36,酒さ様皮膚炎,40900,1400,2.259,0.947,17,83,1,7,16,26,25,14,11
37,皮膚炎,30000,1400,2.547,0,38,62,2,9,14,21,21,16,17
38,手湿疹,60600,1300,1.798,-0.306,20,80,2,10,20,29,24,10,5
39,かゆみ止め 飲み薬,45800,1300,2.111,0,35,65,1,6,11,21,24,18,19
40,リドメックスコーワ軟膏,57300,1200,1.776,0.008,23,77,1,6,18,26,20,13,16
41,蕁麻疹 画像,44900,1200,1.983,-1.381,24,76,1,3,9,23,28,22,14
42,湿疹の種類,37500,1200,2.24,-0.005,26,74,0,2,5,18,26,23,26
43,アトピー 薬,12500,1200,3.305,0.031,32,68,3,13,17,26,25,9,7
44,アトピー 食事,10500,1200,3.46,0.231,26,74,3,12,18,31,23,7,6
45,マラセチア,51400,1100,1.814,9.695,30,70,4,11,17,26,24,12,6
46,乾癬とは,50200,1100,1.865,0.219,33,67,2,7,10,18,24,20,19
47,食物アレルギー,45400,1100,1.925,-0.002,25,75,3,8,18,26,21,14,10
48,乾燥肌 かゆい,44500,1100,1.98,-0.005,48,52,1,4,7,17,26,24,21
49,目の周りが赤い,39900,1100,2.061,-0.137,22,78,3,8,19,24,22,14,10
50,結節性痒疹,27100,1100,2.425,1.941,25,75,1,7,14,26,26,16,10
51,コレクチム軟膏0.5%,25700,1100,2.565,-0.001,24,76,1,5,11,20,22,18,23
52,アトピロン 口コミ,20000,1100,2.753,2.662,16,84,0,2,13,30,28,18,9
53,タクロリムス軟膏,19600,1100,2.732,0.255,28,72,1,8,13,21,25,17,15
54,ボアラ軟膏,50500,1000,1.753,-0.001,24,76,1,6,17,27,20,14,15
55,ブイタマークリーム,14900,990,2.924,22.666,36,64,1,7,15,25,25,16,11
56,アレルギー性皮膚炎,9800,990,3.354,0.001,28,72,3,13,19,24,18,12,11
57,アトピロン,18700,960,2.669,6.896,22,78,0,3,15,29,25,18,10
58,アトピー ボディソープ,9700,940,3.285,0.037,20,80,1,8,25,32,21,9,4
59,貨幣状湿疹,30800,930,2.135,3.959,27,73,1,8,16,24,24,15,12
60,デュピクセント 副作用,12100,920,3.051,4.267,33,67,3,6,13,27,30,13,8
61,モイゼルト軟膏1%,14100,900,2.901,4.519,27,73,2,5,16,23,21,15,18
62,湿疹 原因,29300,890,2.158,-0.002,39,61,2,9,14,19,21,15,20
63,タクロリムス,35400,870,1.942,6.341,32,68,1,15,15,21,21,15,12
64,シクロスポリン,26400,840,2.197,1.869,33,67,0,18,15,21,22,14,10
65,皮脂欠乏性湿疹,19400,840,2.497,0.004,27,73,2,13,19,24,21,11,10
66,脂漏性湿疹,36300,830,1.868,-0.003,22,78,1,8,21,22,22,16,10
67,ロゼックスゲル,30900,830,2.028,-0.186,21,79,1,8,15,26,24,14,12
68,皮膚掻痒症,22600,830,2.363,0,26,74,2,10,16,21,18,15,18
69,皮膚筋炎,35300,810,1.88,-0.001,26,74,1,8,10,19,26,20,16
70,ミチーガ,9900,810,3.127,0.957,35,65,1,6,14,29,28,13,9
71,目の周りがかゆい,36500,780,1.791,-6.452,19,81,1,6,11,24,30,17,11
72,紫外線アレルギー,35700,760,1.788,-0.906,22,78,2,9,18,26,22,13,10
73,黄連解毒湯,35400,760,1.797,1.846,29,71,1,7,13,24,28,15,12
74,皮膚炎 画像,14100,760,2.727,0,35,65,1,3,8,20,25,22,21
75,汗疹,31200,750,1.91,-1.549,30,70,3,14,28,24,15,9,7
76,アンテベートローション,33500,740,1.852,0.002,33,67,1,6,11,20,23,18,21
77,ニコ石鹸,28600,730,1.952,-10.19,10,90,0,9,42,24,12,9,4
78,ようしん 皮膚 原因,16500,730,2.521,5.21,25,75,1,6,13,24,27,17,12
79,小麦アレルギー,35600,720,1.746,0.432,30,70,3,8,15,20,24,18,12
80,多形滲出性紅斑,29000,720,1.921,0.001,22,78,2,9,27,30,17,9,6
81,抗アレルギー薬,25900,720,2.057,4.885,27,73,1,8,16,28,23,15,9
82,卵アレルギー 症状,29500,710,1.902,-0.002,21,79,2,10,39,21,12,10,6
83,自家感作性皮膚炎,14700,710,2.606,0.676,27,73,1,8,16,25,24,16,10
84,頭皮湿疹,33200,700,1.764,-23.759,37,63,1,6,12,23,27,19,12
85,リンヴォック,17100,700,2.429,0.309,40,60,1,10,17,25,25,14,8
86,アレルギー 症状,28300,670,1.91,-0.001,24,76,6,12,16,20,18,15,13
87,ジベル薔薇色粃糠疹,31700,660,1.743,0.003,24,76,2,12,20,27,23,11,5
88,コムクロシャンプー,21300,650,2.145,11.168,36,64,1,8,16,25,25,15,10
89,ロコイド 顔に塗る,28100,640,1.846,-0.023,15,85,1,9,23,27,20,10,10
90,かゆみの原因,23800,640,2.09,-0.008,38,62,1,3,5,12,21,24,34
91,皮膚科 名医,23000,640,2.124,-0.012,29,71,1,2,4,11,26,26,30
