順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,マイコプラズマ肺炎 子供,413000,4000,1.843,-74.165,18,82,1,3,28,40,9,9,10
2,結膜炎とは,215000,4000,2.531,-0.331,33,67,5,13,23,24,16,11,8
3,アデノウイルス,422000,3800,1.797,-1.118,28,72,2,9,29,27,15,12,6
4,アレルギー性鼻炎,154000,3600,2.762,0,27,73,4,11,17,25,20,13,10
5,手足口病 登園目安,288000,3000,1.928,-135.215,14,86,0,5,41,33,8,8,5
6,結膜炎,120000,2900,2.803,-0.008,29,71,6,16,31,24,12,6,5
7,手足口病 症状 初期 子供,270000,2800,1.923,-140.165,17,83,0,4,42,34,5,8,7
8,結膜炎 治るまでの期間,92500,2800,3.016,-0.046,28,72,4,11,27,27,14,10,7
9,手足口病 症状,258000,2400,1.81,-144.663,22,78,1,7,34,30,10,11,7
10,フルオロメトロン0.1点眼液,116000,2200,2.597,0.18,27,73,1,5,14,23,21,17,19
11,アデノウイルス 子供,170000,2000,2.058,-16.468,17,83,0,6,39,28,8,13,6
12,アレルギー検査,197000,1800,1.806,0.001,27,73,3,19,22,23,18,8,7
13,ものもらい,170000,1800,1.962,-0.242,30,70,7,18,25,25,15,6,4
14,アレジオンlx点眼液0.1,82100,1800,2.711,-0.001,27,73,1,5,15,27,20,15,17
15,はやり目とは,80300,1700,2.621,-0.104,26,74,2,10,33,29,13,9,4
16,結膜炎 うつる,66800,1600,2.799,-0.04,26,74,2,12,32,26,14,9,5
17,アレルギー,140000,1500,1.956,0,31,69,2,5,10,23,25,19,16
18,ヘルパンギーナ 症状 子供,133000,1500,2.001,-128.971,16,84,0,6,41,29,6,11,7
19,リンゴ病 症状 子供,125000,1500,2.037,92.054,16,84,0,4,40,37,5,7,7
20,目やにがよく出る原因,122000,1400,2.073,-0.379,36,64,4,12,20,22,17,13,12
21,細菌性結膜炎,23100,1400,3.671,0.001,18,82,2,12,38,28,10,7,3
22,アデノウイルス大人,129000,1300,1.934,-0.881,27,73,0,8,26,25,19,15,7
23,中耳炎 子供,120000,1300,1.942,-25.553,23,77,1,5,41,35,6,8,4
24,ウイルス性結膜炎,25900,1300,3.521,0.001,25,75,3,12,31,25,14,10,5
25,水疱瘡 初期症状,124000,1200,1.825,-2.487,17,83,1,4,32,38,10,8,7
26,120925527,116000,1200,1.877,-3.936,17,83,0,2,37,51,6,2,2
27,アレジオン眼瞼クリーム,77900,1200,2.331,0.003,27,73,0,4,14,24,25,19,14
28,流行性角結膜炎,49300,1200,2.784,-0.033,22,78,2,10,33,29,14,8,4
29,溶連菌 出席停止,111000,1100,1.855,-33.195,16,84,3,6,27,41,14,6,3
30,手足口病 潜伏期間,107000,1100,1.893,-98.277,15,85,1,7,41,30,8,9,4
31,ドライアイ 症状,83700,1100,2.272,-0.412,28,72,3,7,10,17,20,21,22
32,レボフロキサシン点眼液,70900,1100,2.378,0.313,26,74,1,7,21,23,18,14,16
33,結膜炎 目薬 市販,47600,1100,2.696,-0.209,29,71,2,11,26,29,17,10,5
34,rsウイルス 子供,113000,1000,1.826,-29.407,19,81,1,9,40,20,9,14,7
35,クループ症候群,102000,1000,1.879,-28.782,19,81,1,11,39,25,10,9,5
36,胃腸炎 潜伏期間,93800,970,1.917,19.286,14,86,2,11,36,32,10,6,3
37,卒園式 服装 ママ,62500,900,2.219,3.502,7,93,0,4,44,40,5,4,3
38,ものもらい 原因,97600,890,1.817,-0.871,28,72,6,18,21,24,18,8,5
39,目の充血 片目だけ,96100,890,1.857,-0.515,29,71,1,5,10,18,26,21,19
40,まぶたの腫れ,88200,890,1.938,-0.536,27,73,2,6,10,21,27,19,15
41,ヒアルロン酸na点眼液,99400,870,1.837,0.037,30,70,1,5,8,15,22,21,28
42,スタジオアリス 七五三,82300,870,1.933,-49.83,13,87,0,5,46,34,5,6,4
43,結膜下出血,88500,850,1.866,0.001,27,73,2,7,13,24,27,17,10
