順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,気管支炎 症状,337000,1600,1.716,-0.175,30,70,2,10,20,25,18,13,12
2,アレルギー検査,197000,1600,2.289,-0.011,27,73,3,19,22,23,18,8,7
3,アレルギー性鼻炎,154000,1600,2.526,0,27,73,4,11,17,25,20,13,10
4,寒暖差アレルギー,193000,1100,1.914,-0.001,27,73,5,16,20,23,19,10,7
5,喘息 症状,163000,980,1.978,-0.006,23,77,6,14,19,24,14,10,13
6,ハウスダスト 対策,17500,950,4.15,0,40,60,3,13,24,27,17,9,7
7,アトピー性皮膚炎,186000,850,1.694,0.001,30,70,3,10,16,24,23,13,11
8,気管支喘息,136000,750,1.886,0.001,29,71,3,12,19,23,17,14,12
9,アレルギー,140000,740,1.843,-0.01,31,69,2,5,10,23,25,19,16
10,中耳炎 子供,120000,620,1.772,-7.437,23,77,1,5,41,35,6,8,4
11,ハウスダスト,14500,590,3.909,0,33,67,20,17,21,20,11,6,5
12,アレルギー性結膜炎,76900,560,2.152,0,19,81,5,14,25,27,14,9,6
13,ダニアレルギー 症状,18300,560,3.601,-0.001,21,79,2,10,20,27,19,13,9
14,咳喘息 症状,81800,450,1.849,-29.965,7,93,2,11,23,29,20,7,8
15,子供 咳 止まらない,78600,450,1.855,-12.281,28,72,0,4,41,44,6,2,3
16,舌下免疫療法,78100,430,1.863,10.153,30,70,2,7,21,35,20,9,6
17,猫アレルギー 症状,56700,430,2.196,-0.013,31,69,4,12,18,26,21,12,7
18,百日咳 子供 症状,64900,410,1.964,138.306,5,95,0,5,41,44,3,3,4
19,アレルギー検査 料金,56100,390,2.154,-1.801,26,74,4,28,21,19,16,8,4
20,ヤケヒョウヒダニ,12300,380,3.587,-0.001,34,66,3,10,24,27,18,10,8
21,卒園式 服装 ママ,62500,350,1.847,88.588,7,93,0,4,44,40,5,4,3
22,くしゃみ 鼻水 止まらない,62800,340,1.885,-0.035,24,76,4,12,17,24,20,12,11
23,マラセチア,51400,310,1.975,-0.003,30,70,4,11,17,26,24,12,6
24,犬アレルギー 症状,37300,310,2.294,-3.366,28,72,4,12,20,27,21,11,5
25,ほこりアレルギー症状,8400,310,3.803,-0.002,24,76,12,18,18,23,15,7,7
26,アトピー性皮膚炎 治し方,63900,300,1.738,-3.547,33,67,3,8,14,25,25,13,12
27,黄砂 アレルギー,51200,300,1.923,57.739,26,74,3,9,17,26,25,12,8
28,アレルギー 薬,53600,270,1.794,0.021,23,77,1,5,12,27,27,16,12
29,寒暖差アレルギー 治し方,44300,270,1.99,-0.012,30,70,4,12,18,23,22,12,9
30,アレルギー 今の時期,35400,270,2.181,-0.003,17,83,1,6,16,32,27,10,8
31,副鼻腔炎 熱,55600,260,1.703,12.846,22,78,3,13,29,31,13,7,4
32,ヒトメタニューモウイルス 症状,53200,260,1.729,103.859,15,85,1,7,39,27,11,10,5
33,溶連菌 自然治癒,47700,260,1.83,-15.006,18,82,1,6,33,41,10,5,4
34,喉がかゆい 原因,41900,260,2.022,-3.738,20,80,8,18,19,26,17,7,5
35,アレルギー検査 どこで,34500,260,2.216,-1.211,22,78,4,28,22,19,16,7,4
36,アレルギー 症状,28300,260,2.412,-0.007,24,76,6,12,16,20,18,15,13
37,接触性皮膚炎,51400,250,1.746,2.402,19,81,2,14,21,24,20,12,7
38,アレルギー 咳,21700,240,2.542,-0.604,16,84,2,6,19,32,21,12,8
39,食物アレルギー,45400,220,1.726,-7.712,25,75,3,8,18,26,21,14,10
40,夜 咳がひどくなる,42400,220,1.797,-7.957,28,72,2,16,34,30,12,4,2
41,クラリスロマイシン 小児,39000,220,1.853,-7.179,14,86,0,4,37,45,7,4,3
42,カモガヤ 花粉 時期 ピーク,33700,220,2.033,-0.001,24,76,1,6,15,29,25,15,9
43,舌下免疫療法 子供,22200,220,2.395,0.038,12,88,0,1,27,55,10,3,4
44,鼻水 透明,42200,210,1.781,-0.048,24,76,6,15,21,22,18,9,9
45,モンテルカスト錠5mg,42200,210,1.757,33.446,22,78,1,2,20,46,17,7,7
46,喘息 痰が絡む,39200,210,1.844,-1.889,20,80,2,8,20,26,18,14,12
47,マイコプラズマ 子供,37100,210,1.872,-10.353,19,81,1,4,38,44,6,4,3
48,シックハウス症候群,26600,210,2.26,0.001,36,64,6,22,24,19,14,9,6
49,ダニ 刺された跡 特徴,42300,190,1.695,-8.093,20,80,1,6,12,18,23,21,19
50,イネ花粉 時期,32300,190,1.93,0.004,26,74,3,13,26,30,16,8,4
51,布団乾燥機 ダニ 効果,29400,190,2.068,0.433,22,78,1,6,18,26,22,14,13
52,布団クリーナー,21900,190,2.345,1.013,26,74,0,10,27,26,19,10,8
53,マイコプラズマ肺炎 熱なし,38900,180,1.697,-31.623,12,88,3,6,27,41,12,6,5
54,ブタクサ 花粉 時期 2024,38800,180,1.714,-1.174,26,74,2,11,21,27,19,11,9
55,鼻詰まり 寝れない,36800,180,1.788,0.105,25,75,7,19,27,23,14,6,4
56,後鼻漏副鼻腔炎 痰,36600,180,1.797,15.603,23,77,1,4,12,22,22,20,19
57,鼻づまり 寝れない,34900,180,1.835,1.256,20,80,10,22,28,22,11,4,3
58,カモガヤ,33400,180,1.864,-0.001,33,67,3,9,20,29,21,10,8
59,気管支喘息 症状,27000,180,2.085,-6.01,19,81,4,15,19,19,16,14,13
60,子供 咳 長引く,24800,180,2.112,-11.028,15,85,0,3,43,43,6,2,3
61,アレルギー 咳 特徴,16300,180,2.565,0.002,19,81,2,8,23,35,19,9,4
62,紫外線アレルギー,35700,170,1.728,0.03,22,78,2,9,18,26,22,13,10
63,目頭 かゆい,33700,170,1.796,-6.375,16,84,7,18,19,20,19,10,7
64,オボムコイドとは,21000,170,2.222,-0.002,21,79,2,9,26,27,17,12,7
