順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,花粉情報,554000,9700,1.802,0,41,59,4,11,16,22,21,15,11
2,花粉症 症状,281000,8800,2.385,0,35,65,4,8,12,20,23,18,15
3,花粉,244000,7500,2.362,0,38,62,5,16,27,26,14,6,6
4,花粉症 薬,152000,5500,2.517,0,40,60,1,10,14,23,24,16,12
5,花粉症 薬 ランキング,125000,3500,2.255,0,46,54,1,7,15,25,26,16,10
6,花粉症 のどの痛み,121000,3500,2.309,0,29,71,6,14,20,26,19,9,6
7,花粉症 咳が出る,82800,2600,2.373,0,27,73,4,8,13,29,23,15,8
8,花粉 いつまで 2025,149000,2400,1.694,25.739,40,60,2,10,20,25,20,13,10
9,花粉症 注射,63800,2200,2.486,0,40,60,1,15,23,27,20,9,5
10,花粉症 対策,31000,1800,3.041,0,53,47,4,12,17,20,20,15,12
11,花粉症 何科を受診,43800,1500,2.488,0,30,70,2,15,24,27,17,7,8
12,花粉 2025,53300,1300,2.137,-0.648,33,67,2,11,20,29,22,10,6
13,花粉症 頭痛,43500,1300,2.342,0,30,70,4,14,24,30,17,7,4
14,鼻水,49300,920,1.852,-4.735,34,66,3,8,17,25,21,14,12
15,花粉 今日,51900,870,1.779,0.001,27,73,9,25,24,22,13,4,3
16,スギ花粉,31300,860,2.241,0.009,40,60,3,13,24,26,17,9,8
17,花粉症 目薬 市販,30500,860,2.274,0,36,64,2,10,18,25,22,14,9
18,花粉症 咳がひどい,33200,840,2.139,0.271,30,70,2,9,27,30,19,8,5
19,花粉症 咳,23200,770,2.435,0.002,27,73,3,17,36,22,13,5,4
20,花粉症 熱,25200,740,2.355,0.001,31,69,8,28,33,18,8,3,2
21,花粉症 英語,17100,740,2.731,0,43,57,7,13,16,23,18,12,11
22,鼻づまり,43100,700,1.703,-0.412,38,62,6,12,18,25,20,11,8
23,花粉症 1月,13200,700,2.926,0,32,68,4,10,17,23,22,15,9
24,花粉症 いつまで 2025,15400,670,2.699,0.001,37,63,2,10,22,28,20,11,7
25,鼻詰まり,35200,650,1.832,-3.773,34,66,4,13,26,27,17,8,5
26,花粉症 時期,6500,640,3.524,0,53,47,3,19,28,25,15,6,4
27,花粉症 市販薬,16700,630,2.561,0,35,65,1,19,29,26,16,6,3
28,花粉症 目のかゆみ 対処法,19200,610,2.388,0,31,69,4,9,23,31,19,9,5
29,花粉症 10月,18000,610,2.462,-0.001,41,59,4,12,17,25,22,12,8
30,花粉症に効く食べ物,17900,610,2.461,0,30,70,2,11,18,22,24,13,10
31,花粉症 熱出るのか,17700,600,2.425,0,28,72,4,5,13,37,27,10,4
32,スギ花粉 2025,35300,590,1.751,0.002,39,61,2,8,19,24,22,16,9
33,花粉症 食べ物,11700,520,2.705,0,34,66,2,18,32,26,15,4,3
34,花粉症対策,9100,510,2.968,0,43,57,5,13,18,23,20,11,10
35,鼻炎,26000,500,1.9,-5.284,37,63,6,15,20,23,16,10,10
36,花粉症 鼻づまり,10200,480,2.783,0,33,67,6,18,27,25,16,5,3
37,頭痛い,29700,470,1.697,-74.974,20,80,14,17,23,25,13,4,4
38,花粉症 鼻水を止める方法,12500,470,2.561,0,37,63,6,17,18,25,20,9,5
39,目がかゆい,27700,450,1.722,-3.827,29,71,5,11,16,24,21,13,10
40,花粉症薬,9300,450,2.826,0.001,34,66,5,15,12,23,24,13,8
41,花粉症 今の時期,8100,450,2.939,0,27,73,4,15,23,26,19,9,4
42,くしゃみ,24100,440,1.84,-9.326,33,67,5,12,21,25,16,10,11
43,花粉症 風邪 見分け方,14500,440,2.331,0,29,71,4,18,29,28,14,5,2
44,花粉症 治療,8900,440,2.839,0,44,56,3,19,30,27,14,4,3
45,花粉症 喉イガイガ,15000,420,2.266,0,31,69,3,18,27,29,16,5,2
46,花粉症 11月,8400,420,2.854,0,40,60,3,11,17,22,24,15,8
47,花粉症 発熱,12300,400,2.387,0,39,61,3,13,22,29,20,10,3
48,花粉症 目薬,13600,390,2.284,0.001,38,62,1,15,26,24,17,10,7
49,花粉症 薬 強い順,13700,370,2.235,0,36,64,2,12,26,29,20,8,3
50,花粉症 12月,5500,360,3.099,0,36,64,2,9,18,24,23,15,9
51,花粉症 病院 何科,9200,350,2.59,0,46,54,4,26,26,24,13,5,2
52,花粉症目薬 ランキング,8000,350,2.721,0,34,66,1,6,5,20,29,24,15
53,花粉症 鼻水 黄色,11100,340,2.33,0.007,27,73,5,17,33,28,12,3,2
54,花粉症 漢方,9500,340,2.486,0,24,76,1,6,23,36,23,8,3
55,花粉症 痰が絡む,10500,330,2.352,0.006,31,69,3,12,25,31,18,8,3
56,花粉症 メガネ,7900,330,2.678,0,37,63,2,9,24,30,17,10,8
57,花粉症 今,3600,330,3.465,0,33,67,6,21,27,23,14,7,2
58,花粉症 9月,7000,320,2.739,0,37,63,2,11,17,23,25,13,9
59,花粉症 2025,2100,320,3.956,0,36,64,1,8,22,34,23,9,3
60,スギ花粉 時期,18700,300,1.7,-0.001,37,63,4,12,21,24,18,12,9
61,花粉症 微熱,9300,300,2.379,0,27,73,2,14,28,32,15,6,3
62,花粉症 舌下,9300,300,2.377,0,30,70,1,8,27,35,19,7,3
63,花粉症 治す方法,8400,300,2.534,0,46,54,11,26,29,22,8,2,2
64,花粉症 6月,5000,300,3.021,0,38,62,2,9,17,24,24,15,9
65,花粉症 今日,2400,300,3.79,0,30,70,10,24,23,21,14,6,2
66,花粉症 お茶,6600,280,2.653,0,23,77,1,5,19,35,25,10,5
67,花粉症 検査,5500,280,2.86,0.001,30,70,4,20,31,24,12,5,4
68,花粉症 鼻水,4600,280,3.04,0.001,33,67,4,18,28,24,14,7,5
69,花粉症薬強さランキング,9300,270,2.281,0,29,71,2,10,13,26,28,15,6
