順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,カロナール,871000,90,1.341,-2.199,41,59,1,6,11,21,23,18,20
2,レプリコンワクチンとは,645000,70,1.393,-24.992,30,70,1,4,14,24,24,18,15
3,手足口病 大人症状,627000,70,1.305,-95.775,31,69,1,9,25,24,18,14,9
4,逆流性食道炎,617000,70,1.45,-1.945,32,68,3,9,15,21,23,16,13
5,甲状腺機能低下症,545000,70,1.593,36.091,23,77,1,6,10,16,21,20,26
6,膠原病,540000,70,1.576,0.112,32,68,1,6,11,19,24,19,20
7,アセトアミノフェン,528000,70,1.563,-0.005,33,67,2,9,15,24,22,15,13
8,アレルギー,140000,70,2.846,-0.001,31,69,2,5,10,23,25,19,16
9,統合失調症,601000,60,1.323,-21.942,33,67,3,11,14,22,24,15,11
10,カルボシステイン500,573000,60,1.349,91.093,32,68,0,2,5,29,27,20,17
11,バセドウ病,455000,60,1.485,-13.977,31,69,3,13,16,23,24,13,8
12,マイコプラズマ,408000,60,1.614,-2.014,34,66,5,8,20,30,17,10,10
13,アナフィラキシー,154000,60,2.58,-0.002,45,55,2,8,14,20,20,16,20
14,アナフィラキシーショック,99000,60,3.01,-0.001,46,54,3,11,14,20,21,15,16
15,アンブロキソール,491000,50,1.333,-8.709,29,71,1,7,18,28,22,13,11
16,リンデロンvg軟膏,475000,50,1.366,-3.179,30,70,1,5,12,20,22,19,21
17,口内炎,471000,50,1.396,1.575,34,66,4,11,17,24,21,12,11
18,膀胱炎,434000,50,1.421,22.921,23,77,2,8,11,20,24,17,18
19,アデノウイルス,422000,50,1.386,1.66,28,72,2,9,29,27,15,12,6
20,過敏性腸症候群,411000,50,1.432,10.84,26,74,7,15,19,24,19,10,6
21,間質性肺炎,385000,50,1.69,-53.049,31,69,1,5,7,14,22,22,29
