順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,アレルギー,140000,2100,2.849,0,31,69,2,5,10,23,25,19,16
2,アレルギー検査,197000,1600,2.25,0,27,73,3,19,22,23,18,8,7
3,食物アレルギー 症状,9300,1300,5.04,0,15,85,5,15,27,23,16,9,5
4,アトピー性皮膚炎,186000,1100,1.925,0.002,30,70,3,10,16,24,23,13,11
5,アナフィラキシー,154000,1100,2.111,0.007,45,55,2,8,14,20,20,16,20
6,食物アレルギー検査,9300,970,4.775,0,20,80,2,15,22,26,19,10,6
7,離乳食 進め方 表,114000,940,2.241,-42.204,8,92,0,12,44,17,9,13,5
8,離乳食,119000,880,2.148,-21.559,18,82,1,9,33,16,14,19,8
9,エピペン,78300,690,2.304,0.003,41,59,5,11,17,25,21,13,8
10,アナフィラキシーショック,99000,680,2.073,-0.001,46,54,3,11,14,20,21,15,16
11,食物アレルギー 蕁麻疹,5600,680,4.903,0,13,87,2,12,39,26,12,6,3
12,熱性けいれん,92100,610,2.008,8.179,25,75,1,11,40,24,10,9,5
13,小麦アレルギー,35600,570,2.912,0.003,30,70,3,8,15,20,24,18,12
14,カウプ指数,77700,540,2.043,-17.266,12,88,1,15,47,25,5,4,3
15,卵アレルギー 症状,29500,540,3.026,0.008,21,79,2,10,39,21,12,10,6
16,和光堂 ベビーフード,48200,510,2.473,9.202,9,91,0,12,56,18,5,6,3
17,離乳食 卵 進め方,38400,500,2.689,-1.819,4,96,0,13,63,16,2,4,2
18,フォローアップミルク,50200,490,2.393,40.335,10,90,1,15,52,19,5,5,3
19,アレルギー 症状,28300,490,3.01,-0.003,24,76,6,12,16,20,18,15,13
20,乳児湿疹,67700,440,2.003,-118.943,14,86,0,17,50,14,7,9,3
21,予防接種 スケジュール,64800,440,2.007,-12.064,6,94,0,9,48,30,6,3,4
22,蕁麻疹 治らない,63200,370,1.892,0.006,26,74,2,7,16,27,24,14,10
23,生後6ヶ月,49700,360,2.12,-32.304,19,81,0,11,43,17,10,14,5
24,モイゼルト軟膏,55900,350,1.964,-16.102,24,76,1,7,23,29,20,11,9
25,アレルギー 薬,53600,340,1.966,0.002,23,77,1,5,12,27,27,16,12
26,生後4ヶ月,46700,340,2.12,-64.158,17,83,1,11,47,16,9,12,4
27,bcg ワクチン,56800,330,1.897,-25.352,26,74,2,16,28,18,15,13,8
28,管理栄養士国家試験,51000,320,1.982,1.107,23,77,3,23,10,18,26,11,9
29,5種混合ワクチン,35800,320,2.304,29.933,17,83,0,14,41,20,11,10,4
30,生後7ヶ月,34500,320,2.346,-8.899,17,83,0,12,47,17,8,11,5
31,ハーフバースデー,44700,310,2.087,-38.509,16,84,0,13,44,16,10,12,5
32,生後5ヶ月,38400,310,2.197,-45.917,17,83,1,12,47,16,8,12,4
33,産後 生理再開,35500,300,2.257,-87.112,7,93,0,17,62,14,2,3,2
34,大豆アレルギー,14300,300,3.178,-0.002,23,77,3,9,20,22,22,13,11
35,水痘,45700,290,1.951,37.376,27,73,2,11,30,27,14,9,7
36,オボムコイドとは,21000,290,2.724,8.977,21,79,2,9,26,27,17,12,7
37,乳幼児突然死症候群,44900,280,1.955,-18.007,20,80,2,22,48,15,6,5,2
38,ムーニー オムツ,39700,270,2.058,-48.142,15,85,0,14,50,15,7,10,4
39,ずりばい いつから,33200,270,2.211,-43.852,14,86,0,15,56,14,5,7,3
40,赤ちゃん 歯 生え始め,37800,260,2.065,-26.822,21,79,0,14,49,15,7,11,4
41,10ヶ月 赤ちゃん,36900,260,2.091,32.195,18,82,0,7,34,16,14,22,7
42,アナフィラキシーショック 対処法,30400,250,2.238,0.017,33,67,3,13,17,21,20,14,12
43,bcg 経過写真,21000,250,2.589,-21.913,5,95,0,16,68,13,1,1,1
44,口腔アレルギー症候群,11300,250,3.207,0.002,21,79,8,16,19,26,18,8,5
45,ファーストシューズ,38900,240,1.941,47.661,16,84,0,12,45,16,10,13,4
46,人見知り いつから,37100,240,2.021,-31.5,10,90,1,13,41,14,10,16,5
47,生後8ヶ月,26500,240,2.336,16.774,18,82,0,10,47,18,8,12,5
48,パン粥 離乳食,23000,240,2.48,-6.033,5,95,0,15,68,11,1,3,2
49,消化管アレルギー,9200,240,3.379,0.117,13,87,1,12,44,21,9,9,4
50,哺乳瓶 消毒 いつまでやる,34900,230,1.997,-43.245,11,89,0,14,57,16,5,6,2
51,アレルギー検査 どこで,34500,230,2.039,-0.046,22,78,4,28,22,19,16,7,4
52,ハイハイン,33400,230,2.053,29.663,19,81,4,15,42,18,11,7,3
53,メンタルリープ,32600,230,2.058,-55.92,11,89,0,13,66,13,2,4,2
54,離乳食 完了期,27800,230,2.261,49.967,12,88,0,8,43,20,9,14,6
55,キウイ アレルギー,25100,230,2.339,0.011,19,81,2,8,21,24,23,13,9
56,コンタミネーション,24900,230,2.336,0.003,41,59,2,15,19,27,21,11,5
57,自閉症 赤ちゃん,38100,220,1.891,-26.031,22,78,1,12,42,14,10,15,6
58,夜泣き いつから,34700,220,1.971,-42.821,20,80,0,16,58,14,4,6,2
59,7ヶ月 赤ちゃん,29700,220,2.137,-5.487,18,82,0,8,34,15,14,22,7
60,チャイルドシート 前向き いつから,28600,220,2.174,30.752,21,79,0,17,62,15,2,2,2
61,離乳食 食べない,23900,220,2.353,-17.021,16,84,0,12,51,16,7,10,4
62,ベビーダノン,22500,220,2.39,3.686,13,87,1,17,53,15,5,7,2
63,学校給食,34000,210,1.927,2.002,34,66,4,7,13,25,23,16,12
64,4種混合ワクチン,32600,210,1.979,27.061,18,82,1,11,32,32,12,8,4
65,4ヶ月 赤ちゃん,32100,210,1.995,-53.63,17,83,1,9,33,15,14,22,6
66,和光堂,27800,210,2.145,-0.298,21,79,1,9,39,18,11,12,10
67,10倍粥 作り方,24700,210,2.266,-41.25,10,90,0,15,59,16,4,4,2
68,3回食 いつから,21300,210,2.403,14.195,3,97,0,18,67,11,1,2,1
69,7ヶ月 離乳食,20800,210,2.453,-6.106,7,93,0,14,49,13,9,11,4
70,食べ物,33800,200,1.931,0,37,63,12,13,10,16,16,14,19
71,ほほえみ ミルク,33800,200,1.881,-47.521,20,80,0,15,48,17,9,8,3
72,ヒスタミン中毒 症状,33700,200,1.905,-0.003,30,70,1,7,17,25,23,15,12
73,メリーズ オムツ,31900,200,1.968,-73.041,18,82,1,13,45,16,8,12,5
74,エピペンとは,26900,200,2.15,0.009,36,64,7,11,14,24,22,14,8
