順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,マッサージチェア,154000,5800,2.195,0,49,51,1,5,10,19,28,21,16
2,マッサージ器,77100,5500,2.831,0,42,58,1,4,9,21,28,19,18
3,メンズエステ,140000,4900,2.085,-0.001,83,17,2,20,26,24,17,8,3
4,ヘッドスパ,162000,4200,1.807,-0.001,26,74,2,11,17,26,27,11,6
5,りらくる,82400,4100,2.418,0.003,55,45,1,9,18,27,27,12,6
6,リンパマッサージ,127000,3700,1.917,0.001,27,73,1,4,11,24,30,18,12
7,りらくる 店舗,59600,3500,2.578,0.003,53,47,0,4,11,25,32,19,9
8,リラクゼーション,71400,3300,2.379,0.003,45,55,3,10,12,23,27,16,9
9,整体,68800,3000,2.362,0.001,39,61,3,11,14,20,22,15,15
10,オイルマッサージ,30000,2700,3.077,0.001,49,51,6,12,15,19,20,14,14
11,マッサージ エロ,19200,2600,3.475,0,58,42,10,20,22,24,15,6,3
12,マッサージオイル,21200,2500,3.303,0,41,59,2,8,15,23,23,16,13
13,マッサージ 肩こり,19500,2500,3.399,0,33,67,1,7,10,24,29,17,12
14,マッサージ機,34000,2300,2.785,0,42,58,4,10,14,21,22,15,14
15,タイ古式マッサージ,51000,2200,2.277,0.007,58,42,1,12,22,27,24,10,4
16,マッサージガン,51500,2100,2.257,0,45,55,4,10,20,27,21,11,7
17,メンエス,71800,2000,1.856,5.036,84,16,3,24,25,23,16,6,3
18,エロマッサージ,22800,2000,3.055,0,61,39,11,12,9,16,20,15,17
19,性感マッサージ,29200,1900,2.759,0.001,49,51,6,16,16,15,16,15,16
20,オイルマサッージ,21700,1900,3.027,0,56,44,4,7,9,18,23,20,19
21,もみほぐし 店舗,20600,1900,3.043,0.001,50,50,1,7,13,23,30,18,8
22,ヘッドマッサージ,68400,1800,1.789,-0.012,20,80,1,8,14,28,31,13,5
23,マッサージ動画,8000,1800,3.964,0,55,45,2,8,7,14,26,21,22
24,エステ,42400,1700,2.279,0.002,38,62,4,13,14,20,21,15,13
25,マッサージ 動画,8400,1600,3.791,0,34,66,3,15,23,24,19,10,6
26,整骨院,56400,1500,1.814,0.006,40,60,3,10,17,25,20,12,13
27,足裏マッサージ,56300,1500,1.818,0,34,66,1,4,11,24,30,17,13
28,マッサージがん ランキング,26600,1500,2.602,0,46,54,2,5,14,27,27,16,9
29,マッサージ 資格,16000,1500,3.088,0,35,65,2,12,21,27,22,10,6
30,てもみん 店舗,25400,1400,2.553,0,44,56,1,4,10,25,33,19,8
31,睾丸マッサージ,42300,1200,1.835,0.244,84,16,2,14,22,22,21,12,7
32,りらくる 料金,36200,1200,2.043,0.015,48,52,1,16,17,23,26,12,5
33,マッサージ機 小型,19400,1200,2.669,0,33,67,3,9,11,20,25,18,14
34,出張マッサージ,11300,1200,3.172,0.001,75,25,1,10,17,23,24,15,10
35,マッサージエロ,6400,1200,3.782,0,70,30,13,13,8,17,24,15,10
36,タイ式マッサージ,22800,1100,2.387,0.002,58,42,1,8,12,21,29,18,11
37,マッサージ メンズ,4500,1100,4.017,0,92,8,2,13,24,27,21,10,3
38,マッサージ器 小型,17400,1000,2.659,0,37,63,2,5,8,18,26,21,20
39,マッサージエロ動画,10000,940,3.061,0,80,20,9,19,9,14,22,15,12
40,マッサージ 効果,8500,940,3.257,0,43,57,2,14,22,25,18,9,10
41,接骨院,34500,910,1.83,0,41,59,4,9,17,26,20,12,12
