順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,理学療法士,249000,2300,2.363,-0.006,36,64,6,10,11,24,23,13,13
2,介護保険,249000,1700,2.108,-1.257,39,61,1,3,5,15,28,26,22
3,リハビリテーション病院,55200,1700,3.615,0,33,67,1,3,5,14,26,24,27
4,リハビリ 理学療法士,25000,1200,4.051,0,29,71,3,6,7,20,24,18,22
5,作業療法士,127000,1100,2.336,-0.001,32,68,6,11,13,25,23,12,10
6,脳出血,156000,1000,2.022,-3.87,33,67,2,7,11,21,25,18,16
7,デイサービス,133000,1000,2.212,-0.205,33,67,1,5,7,16,27,24,20
8,介護,137000,980,2.145,0.066,34,66,1,3,7,15,26,23,25
9,高次脳機能障害,120000,960,2.234,-2.669,30,70,1,10,12,21,25,18,13
10,ケアマネージャー,144000,900,1.981,0.006,37,63,1,6,9,18,29,21,16
11,訪問看護,107000,880,2.251,-11.138,29,71,1,5,11,23,28,19,13
12,車椅子,106000,860,2.275,-4.214,46,54,1,3,6,12,23,28,27
13,リハビリとは,6300,820,5.076,0,40,60,8,11,10,16,16,13,26
14,介護施設,112000,710,2.042,0.037,38,62,1,2,3,10,26,29,29
15,杖,85400,710,2.336,3.361,38,62,1,2,3,10,24,25,35
16,介護タクシー,96700,690,2.128,1.141,39,61,0,3,6,16,31,25,19
17,身体障害者手帳,91100,680,2.171,-3.2,34,66,1,7,13,20,25,17,17
18,言語聴覚士,102000,620,1.947,0.008,25,75,6,10,15,26,23,12,8
19,リハビリテーション,10800,610,4.198,0,43,57,5,9,10,18,24,16,18
20,歩行器,64300,580,2.367,4.966,37,63,1,7,11,15,25,22,19
21,理学療法士 年収,85900,570,2.052,-1.736,38,62,9,12,13,25,22,9,10
22,リハビリ 英語,6000,560,4.734,0,47,53,2,6,10,15,20,18,29
23,廃用症候群とは,73900,530,2.136,-0.173,27,73,2,13,10,16,25,21,13
