順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,作業療法士,127000,1100,4.324,0,32,68,6,11,13,25,23,12,10
2,理学療法,10600,440,5.902,0,40,60,5,8,10,18,21,17,21
3,理学療法士,249000,360,2.524,0,36,64,6,10,11,24,23,13,13
4,日本作業療法士協会,6400,230,5.729,-27.672,45,55,2,28,27,25,11,5,2
5,高次脳機能障害,120000,220,2.769,-1.367,30,70,1,10,12,21,25,18,13
6,ot,29900,220,4.14,0.002,30,70,3,10,13,23,24,16,11
7,作業療法とは,1700,220,6.981,0,33,67,9,29,18,20,13,7,4
8,言語聴覚士,102000,210,2.883,0.002,25,75,6,10,15,26,23,12,8
9,療育手帳,124000,190,2.551,-52.121,30,70,1,6,19,31,23,13,7
10,リスペリドン,98800,170,2.673,-13.6,28,72,1,13,15,23,24,16,8
11,放課後デイサービス,96900,160,2.649,14.108,24,76,1,6,20,34,21,12,6
12,特別児童扶養手当,70400,160,2.911,-32.646,24,76,1,4,26,44,17,5,3
13,言語療法,2300,150,6.321,0,21,79,1,8,22,31,17,11,10
14,クエチアピン,96800,140,2.502,-5.008,29,71,1,12,15,23,25,15,9
15,構音障害,74300,140,2.785,-0.007,23,77,2,12,15,24,22,16,9
16,放課後等デイサービス,67400,140,2.841,-81.317,30,70,1,8,18,32,21,13,7
17,エビリファイ,82000,130,2.599,-52.614,29,71,2,10,16,28,25,13,6
18,st,62400,130,2.922,0.001,34,66,2,8,13,24,25,16,12
19,認知行動療法,60500,130,2.891,-0.028,30,70,2,13,14,23,25,12,11
20,作業療法士 国家試験,14200,130,4.365,7.049,31,69,3,26,9,17,29,9,7
21,廃用症候群とは,73900,120,2.619,-15.951,27,73,2,13,10,16,25,21,13
22,ロラゼパム,83100,110,2.46,-6.274,32,68,1,13,16,24,24,14,8
23,アリピプラゾール,72800,110,2.577,2.856,30,70,2,13,16,26,25,12,6
24,オランザピン,62900,110,2.712,4.355,31,69,1,13,15,24,24,14,9
25,日常生活自立度,43900,110,3.055,-8.397,35,65,1,20,20,25,20,9,5
26,グーグルスカラー,36700,110,3.293,0,43,57,12,49,12,12,9,4,2
27,エリクソン 発達段階,21100,110,3.784,0.189,22,78,7,38,11,17,15,8,4
28,カウプ指数,77300,100,2.418,1.572,12,88,1,15,47,25,5,4,3
29,公認心理師,73600,100,2.439,10.922,30,70,6,9,13,27,26,12,7
30,就労継続支援b型,73600,100,2.435,1.968,38,62,1,9,12,26,28,16,8
31,jcs,48100,100,2.928,-4.423,40,60,2,32,23,19,14,6,4
32,adl,43200,100,3.03,5.604,38,62,3,17,12,19,22,16,11
33,障害者総合支援法,31000,100,3.308,-8.444,36,64,2,14,10,19,24,18,13
34,作業療法士協会,2400,100,5.915,-7.868,42,58,0,28,27,25,12,5,3
35,adl 意味,67300,90,2.44,-16.379,33,67,2,10,8,15,26,22,17
36,フロセミド,62400,90,2.488,-5.704,29,71,1,19,13,20,21,15,11
37,pt,55200,90,2.662,-0.002,38,62,6,11,10,18,22,18,15
38,深部静脈血栓症,41100,90,2.977,-22.291,27,73,2,23,13,18,20,14,10
39,地域包括ケアシステム,30700,90,3.237,-5.953,33,67,8,23,9,19,21,12,8
40,作業療法士 理学療法士 違い,26900,90,3.433,0,27,73,7,9,9,22,24,15,14
41,mmse,21600,90,3.559,0.022,37,63,1,24,15,19,19,12,10
42,回復期リハビリテーション病棟,19800,90,3.617,-25.525,33,67,1,10,12,24,28,16,9
43,バルプロ酸ナトリウム,63300,80,2.435,10.038,28,72,1,13,16,25,24,14,7
44,マズローの5段階欲求,61300,80,2.464,5.306,44,56,5,19,15,23,21,11,6
45,リスパダール,60900,80,2.425,-10.173,27,73,1,11,16,26,24,15,7
46,pubmed,52800,80,2.499,-36.567,68,32,1,18,22,27,17,9,6
47,介護老人保健施設,51800,80,2.65,6.026,35,65,1,11,9,17,26,21,15
48,経管栄養,48000,80,2.635,-12.559,23,77,2,15,13,21,24,16,9
49,リハビリ,47700,80,2.727,0,42,58,2,6,9,16,20,18,29
50,google scholar,46500,80,2.739,-48.75,62,38,9,35,14,16,12,8,6
51,長谷川式簡易知能評価スケール,44400,80,2.778,-15.121,26,74,1,16,13,22,26,12,10
52,エンパワメントとは,44300,80,2.767,1.999,32,68,3,15,10,22,26,15,9
53,ウェルニッケ脳症,41000,80,2.761,6.455,35,65,1,21,18,21,19,13,7
54,就労移行支援,35200,80,2.984,7.255,34,66,2,15,15,23,28,12,5
55,mmt,33100,80,3.11,-11.192,47,53,2,26,17,18,16,11,10
56,ワーキングメモリー,28500,80,3.226,-0.153,30,70,2,14,17,30,20,10,7
57,mmt 評価,27800,80,3.171,-3.158,30,70,1,34,21,21,14,5,4
58,アドヒアランスとは,26300,80,3.267,23.512,29,71,1,23,13,21,22,13,7
59,mmse 評価,22800,80,3.371,-44.822,32,68,1,21,13,19,21,16,9
60,バーセルインデックス,17900,80,3.697,-20.039,40,60,2,35,21,21,12,6,3
61,icf,16400,80,3.804,-10.385,37,63,4,31,13,20,18,9,5
