順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,物理療法とは,3600,90,6.988,-0.001,36,64,5,12,11,19,23,18,12
2,理学療法士,249000,80,2.684,-1.227,36,64,6,10,11,24,23,13,13
3,変形性膝関節症,219000,70,2.657,-0.592,28,72,1,6,6,14,25,25,23
4,アスクル,687000,60,1.332,-44.104,43,57,1,5,11,24,29,18,12
5,bmi,584000,50,1.35,-9.006,31,69,10,21,18,17,15,10,9
6,恋みくじ,524000,50,1.544,1.827,22,78,65,21,3,5,3,1,2
7,ギランバレー症候群,519000,50,1.473,9.995,35,65,2,8,11,17,21,19,22
8,zoom,497000,50,1.396,-41.939,53,47,2,6,13,25,26,16,12
9,カルボシステイン,448000,50,1.549,-30.639,31,69,3,15,33,20,13,8,8
10,脊柱管狭窄症,356000,50,1.974,8.459,39,61,1,3,5,11,20,24,36
11,骨粗鬆症,300000,50,2.069,-31.265,24,76,2,5,5,12,22,25,29
12,デルマトーム,27100,50,4.406,9.528,51,49,1,26,23,20,14,9,7
13,整形外科,404000,40,1.452,1.793,34,66,2,5,13,25,24,16,15
14,敗血症,395000,40,1.627,15.879,38,62,1,7,11,18,22,19,22
15,間質性肺炎,387000,40,1.63,11.749,31,69,1,5,7,14,22,22,29
16,厚生労働省,383000,40,1.607,-10.232,47,53,2,6,9,19,26,22,16
17,ヘバーデン結節,299000,40,1.876,-20.258,20,80,0,2,5,14,29,27,23
18,アムロジピン,296000,40,1.734,-38.951,40,60,0,8,7,14,24,23,24
19,甲状腺機能亢進症,257000,40,1.919,185.097,23,77,2,8,11,23,27,17,12
20,タリージェ,189000,40,2.362,3.107,35,65,0,5,9,19,25,20,22
21,手根管症候群,157000,40,2.341,1.626,27,73,1,7,11,19,26,19,17
22,胸郭出口症候群,70600,40,3.284,16.683,35,65,2,11,16,25,24,13,9
23,フェキソフェナジン60mg,403000,30,1.328,99.132,31,69,0,2,15,26,25,17,15
24,ミヤbm錠,371000,30,1.302,-70.029,32,68,1,8,13,21,21,17,19
25,膝の痛み,360000,30,1.441,-24.867,35,65,1,2,5,15,26,25,26
26,血圧 正常値,358000,30,1.506,-0.044,39,61,6,26,13,16,17,11,11
27,ビタミンd,345000,30,1.301,55.333,30,70,1,6,12,19,24,20,18
28,橋本病,341000,30,1.424,-60.376,25,75,1,7,13,22,25,18,14
29,占い,314000,30,1.399,28.247,24,76,9,20,18,20,19,8,6
30,asd,297000,30,1.443,-35.03,30,70,3,13,22,28,20,9,5
31,レボフロキサシン,289000,30,1.579,91.491,31,69,1,10,16,23,21,15,14
32,デエビゴ,284000,30,1.551,46.039,34,66,1,9,12,20,24,18,16
33,潰瘍性大腸炎,280000,30,1.385,31.574,35,65,2,11,16,22,24,15,10
34,大動脈解離,268000,30,1.458,7.047,40,60,1,7,11,19,25,20,17
35,心不全,265000,30,1.568,130.693,34,66,2,7,10,18,24,19,20
36,せん妄とは,259000,30,1.515,-51.817,30,70,1,7,8,17,27,22,18
37,ラウンドワン 料金,258000,30,1.505,55.552,38,62,17,14,16,33,13,4,3
38,フレイルとは,257000,30,1.878,7.063,35,65,1,4,4,11,20,23,37
39,hsp,257000,30,1.611,-89.872,26,74,7,15,21,26,19,8,4
40,ガングリオン,255000,30,1.586,-28.563,33,67,2,9,14,20,24,17,14
41,迷走神経反射,252000,30,1.656,39.98,22,78,4,15,17,23,22,12,7
42,ステューシー,250000,30,1.615,40.257,50,50,16,19,17,27,15,4,2
43,心房細動,243000,30,1.776,-68.834,39,61,1,7,8,14,21,22,27
44,indeed,239000,30,1.55,31.174,41,59,6,14,18,22,20,12,8
45,リウマチ,236000,30,1.732,38.116,36,64,1,7,12,20,24,19,17
46,履歴書,230000,30,1.643,81.067,40,60,10,21,15,19,18,11,6
47,済生会病院,227000,30,1.643,-21.082,36,64,1,6,10,18,24,21,20
