順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,理学療法士,249000,1700,3.555,0,36,64,6,10,11,24,23,13,13
2,作業療法士,127000,460,2.896,0,32,68,6,11,13,25,23,12,10
3,作業療法,6000,440,5.902,0,33,67,5,13,18,26,20,12,6
4,理学療法士 年収,85900,310,2.927,0,38,62,9,12,13,25,22,9,10
5,理学療法士 国家試験,44500,260,3.386,18.907,39,61,3,21,9,17,27,11,12
6,理学療法とは,3600,250,5.876,0,39,61,11,15,12,19,20,10,13
7,高次脳機能障害,120000,220,2.235,-1.226,30,70,1,10,12,21,25,18,13
8,言語聴覚士,102000,220,2.392,0,25,75,6,10,15,26,23,12,8
9,日本理学療法士協会,11000,210,4.565,-6.219,63,37,1,19,32,26,13,6,3
10,理学療法士協会,8000,210,4.896,-4.857,65,35,0,26,34,24,9,4,3
11,リハビリ,47700,200,3.09,0,42,58,2,6,9,16,20,18,29
12,pt,55200,170,2.757,0,38,62,6,11,10,18,22,18,15
13,理学療法士 作業療法士 違い,41600,170,3.072,0,26,74,7,7,8,25,25,14,14
14,廃用症候群とは,73900,150,2.352,-8.592,27,73,2,13,10,16,25,21,13
15,バイアスピリン,103000,140,1.977,-0.086,36,64,0,13,12,16,20,18,21
16,柔道整復師,82200,140,2.183,0.004,40,60,5,10,14,26,24,12,9
17,pubmed,52800,130,2.513,-27.343,68,32,1,18,22,27,17,9,6
18,理学療法士 大学,23700,130,3.358,-0.001,28,72,16,3,3,29,30,7,12
19,変形性股関節症,79800,120,2.084,27.246,24,76,1,6,7,15,26,25,20
20,腱板断裂,70300,120,2.176,-35.164,43,57,1,7,8,15,23,22,24
21,腰部脊柱管狭窄症,63400,120,2.355,0.865,37,63,1,10,8,13,22,21,25
22,リハビリテーション病院,55200,120,2.44,-1.67,33,67,1,3,5,14,26,24,27
23,adl,43200,120,2.66,1.875,38,62,3,17,12,19,22,16,11
24,重症筋無力症,74600,110,2.032,-48.006,32,68,2,17,15,21,21,14,10
25,構音障害,74300,110,2.024,-0.249,23,77,2,12,15,24,22,16,9
26,僧帽筋,70200,110,2.036,-20.89,41,59,5,18,20,22,18,9,8
27,adl 意味,67300,110,2.108,8.179,33,67,2,10,8,15,26,22,17
28,バーセルインデックス,17900,110,3.494,-19.91,40,60,2,35,21,21,12,6,3
29,fim,10300,110,4.016,-1.984,45,55,1,39,17,18,14,7,4
30,掃除,76800,100,1.933,1.183,24,76,1,2,6,17,25,23,26
31,st,62400,100,2.057,6.445,34,66,2,8,13,24,25,16,12
32,jcs 意識レベル,50300,100,2.299,-2.538,34,66,1,29,23,22,16,6,3
33,末梢神経障害,44800,100,2.426,-17.036,35,65,1,9,10,18,24,19,19
34,グーグルスカラー,36700,100,2.699,-33.925,43,57,12,49,12,12,9,4,2
35,ot,29900,100,2.868,0,30,70,3,10,13,23,24,16,11
36,デルマトーム,27100,100,2.98,-19.175,51,49,1,26,23,20,14,9,7
37,ptotstネット,7900,100,4.083,-40.725,61,39,1,14,29,34,15,4,3
38,歩行器,64300,90,1.949,-11.453,37,63,1,7,11,15,25,22,19
39,大腿四頭筋,62100,90,2.033,5.519,49,51,5,15,15,20,18,13,14
40,鵞足炎,60100,90,2.039,-0.163,42,58,3,9,13,22,22,17,14
41,仙腸関節,56600,90,2.14,7.204,32,68,1,8,13,20,23,18,17
42,フレイル,53300,90,2.201,29.02,42,58,2,9,9,17,21,17,25
43,長谷川式簡易知能評価スケール,44400,90,2.282,-17.121,26,74,1,16,13,22,26,12,10
44,日常生活自立度,43900,90,2.299,17.143,35,65,1,20,20,25,20,9,5
45,作業療法士 理学療法士 違い,26900,90,2.809,0,27,73,7,9,9,22,24,15,14
46,リハビリ 理学療法士,25000,90,2.907,-0.001,29,71,3,6,7,20,24,18,22
47,icf,16400,90,3.331,45.777,37,63,4,31,13,20,18,9,5
48,ブルンストロームステージ,15300,90,3.425,-33.919,46,54,1,42,27,18,7,3,2
49,理学療法士 求人,10300,90,3.771,-22.919,45,55,3,17,23,25,19,8,5
50,言語療法,2300,90,5.288,0,21,79,1,8,22,31,17,11,10
