順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,義肢装具士,6000,140,7.166,0,43,57,6,13,14,25,22,10,10
2,パーキンソン病,847000,50,1.324,53.479,38,62,2,8,9,16,21,19,25
3,障害者手帳,277000,50,2.233,-20.42,36,64,1,6,11,21,28,19,14
4,確定申告 e-tax,572000,40,1.357,97.619,48,52,0,5,12,17,23,23,20
5,ギランバレー症候群,527000,40,1.38,-21.671,35,65,2,8,11,17,21,19,22
6,協会けんぽ,411000,40,1.802,-9.174,40,60,0,4,11,22,28,23,12
7,厚生労働省,383000,40,1.862,-13.995,47,53,2,6,9,19,26,22,16
8,理学療法士,249000,40,2.275,11.846,36,64,6,10,11,24,23,13,13
9,変形性膝関節症,219000,40,2.349,0.17,28,72,1,6,6,14,25,25,23
10,リンデロンvg軟膏,475000,30,1.455,18.421,30,70,1,5,12,20,22,19,21
11,認知症,475000,30,1.309,-1.795,36,64,1,3,5,13,28,25,25
12,蜂窩織炎,432000,30,1.471,0.016,28,72,1,7,12,21,24,19,16
13,vpass,411000,30,1.325,-51.173,53,47,0,5,10,18,25,21,21
14,整形外科,404000,30,1.377,-30.978,34,66,2,5,13,25,24,16,15
15,敗血症,396000,30,1.384,11.911,38,62,1,7,11,18,22,19,22
16,脊柱管狭窄症,355000,30,1.741,24.001,39,61,1,3,5,11,20,24,36
17,日本年金機構,351000,30,1.598,-18.475,50,50,0,4,6,11,22,33,24
18,玉木宏,322000,30,1.533,54.923,34,66,3,9,12,19,20,18,19
19,骨粗鬆症,301000,30,1.85,-3.141,24,76,2,5,5,12,22,25,29
20,せん妄とは,259000,30,1.799,-2.189,30,70,1,6,8,17,28,22,18
21,フレイルとは,256000,30,1.957,17.05,35,65,1,4,4,11,20,23,37
22,グループホーム,223000,30,1.881,16.548,35,65,1,4,6,15,28,27,19
23,足底筋膜炎,163000,30,2.232,-37.707,34,66,3,7,15,27,21,11,16
24,作業療法士,127000,30,2.665,26.105,32,68,6,11,13,25,23,12,10
25,圧迫骨折とは,122000,30,2.564,-5.101,27,73,1,3,4,10,21,24,37
26,高次脳機能障害,119000,30,2.555,-10.772,30,70,1,10,12,21,25,18,13
27,理学療法士 国家試験,44400,30,3.482,3.076,39,61,3,21,9,17,27,11,12
28,ブルンストロームステージ,15200,30,4.823,-45.382,46,54,1,41,27,18,8,3,2
29,日本整形外科学会,10600,30,4.896,-104.079,73,27,1,5,12,20,25,21,16
30,東名ブレース,1700,30,6.938,5.548,47,53,1,9,13,22,24,16,15
31,相続税,377000,20,1.351,2.608,56,44,1,2,6,13,25,27,26
32,血糖値 基準値,375000,20,1.312,-38.697,43,57,1,6,6,13,24,24,26
33,鉄分の多い食品,365000,20,1.369,-25.334,27,73,2,8,15,24,21,14,16
34,認知症 初期症状,341000,20,1.325,-15.944,25,75,1,3,6,17,29,20,24
35,日本,340000,20,1.351,-21.979,56,44,4,6,8,14,17,20,31
36,アフラック,333000,20,1.449,26.759,45,55,0,3,7,18,28,24,20
37,帯状疱疹 ワクチン,306000,20,1.522,23.623,31,69,0,1,4,8,25,30,32
38,奈良 観光,297000,20,1.423,0.006,38,62,1,7,10,18,25,21,18
39,アムロジピン,296000,20,1.541,31.445,40,60,0,8,7,14,24,23,24
40,ヤマト運輸 迷惑メール,295000,20,1.385,-173.839,36,64,0,7,11,20,28,20,14
41,ntt西日本,295000,20,1.356,-5.378,56,44,1,4,5,12,24,26,28
42,レボフロキサシン,291000,20,1.316,14.07,31,69,1,10,16,23,21,15,14
43,手足口病 登園目安,288000,20,1.329,-124.059,14,86,0,5,41,33,8,8,5
44,デエビゴ,285000,20,1.538,58.867,34,66,1,9,12,20,24,18,16
45,障害者年金,281000,20,1.451,111.372,40,60,1,3,7,15,28,30,16
46,賃貸,280000,20,1.506,18.334,44,56,1,12,18,21,23,13,12
47,鳥貴族 メニュー,278000,20,1.344,-15.115,38,62,4,23,19,22,20,8,4
48,とらや 羊羹,276000,20,1.461,-39.449,27,73,1,4,8,16,24,22,25
49,住民税非課税世帯,268000,20,1.41,-6.487,45,55,0,5,13,18,21,24,19
50,後期高齢者医療制度 保険料,265000,20,1.668,15.434,47,53,0,1,2,8,16,19,54
51,運転免許証,265000,20,1.499,73.076,52,48,1,7,9,19,27,17,20
52,心不全,264000,20,1.631,-41.059,34,66,2,7,10,18,24,19,20
53,シルバー人材センター,258000,20,1.755,-65.265,41,59,0,2,5,10,18,34,31
54,グランドセイコー,255000,20,1.325,-72.097,82,18,1,6,13,22,28,20,10
55,介護保険,249000,20,1.613,-48.108,39,61,1,3,5,15,28,26,22
56,google map,247000,20,1.507,-65.217,69,31,1,5,15,25,24,16,14
57,高額療養費制度とは,235000,20,1.593,-44.965,40,60,1,4,9,15,22,24,25
