順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,手足口病,1300000,270,1.545,-135.644,32,68,2,8,31,29,12,11,7
2,自閉症スペクトラム,381000,210,2.541,-25.85,27,73,2,8,18,26,21,15,10
3,言語聴覚士,101000,200,3.812,-0.003,25,75,6,10,15,26,22,12,9
4,りんご病,634000,170,1.784,21.813,25,75,1,5,28,33,12,12,9
5,アンパンマン,940000,160,1.363,-8.058,37,63,3,7,20,19,17,20,14
6,発達障害とは,494000,150,1.907,-10.857,31,69,2,4,12,25,25,18,14
7,療育手帳,121000,140,3.245,-27.418,30,70,1,6,19,31,23,13,7
8,作業療法,5900,140,6.25,0,32,68,5,13,19,27,18,11,7
9,アンパンマンミュージアム,725000,130,1.447,-103.166,32,68,2,11,33,20,12,15,7
10,西松屋,442000,130,1.882,-36.27,25,75,1,8,33,25,12,14,7
11,作業療法士,126000,130,3.155,0,32,68,6,11,13,25,23,12,10
12,特別児童扶養手当,70100,120,3.61,-39.934,24,76,1,4,26,44,17,5,3
13,言語療法士,5300,120,6.211,0,24,76,3,5,11,28,26,15,12
14,トイザらス,502000,110,1.625,-7.79,34,66,2,6,31,29,12,13,7
15,西松屋 オンライン,386000,110,1.842,-41.933,14,86,0,7,37,28,11,12,5
16,自閉症スペクトラム 軽度 特徴,171000,110,2.651,-22.991,20,80,1,4,18,27,21,18,11
17,レゴランド,417000,100,1.646,-51.753,34,66,3,10,31,32,10,8,6
18,理学療法士,244000,100,2.277,-0.001,36,64,6,10,11,24,23,13,13
19,放課後デイサービス,106000,100,3.086,4.428,25,75,1,6,20,34,21,12,6
20,肺炎 症状,544000,90,1.338,-38.439,33,67,3,9,15,21,19,16,17
21,アデノウイルス,415000,90,1.563,-5.005,28,72,2,9,29,27,15,12,6
22,マイコプラズマ肺炎 子供,408000,90,1.614,-89.029,18,82,1,3,28,40,9,9,10
23,ハッピーセット おもちゃ,321000,90,1.841,-56.866,19,81,3,7,40,36,7,5,2
24,asdとは,303000,90,1.895,-30.197,32,68,3,12,17,23,23,14,8
25,手足口病 登園目安,264000,90,2.037,-171.901,14,86,0,5,40,34,8,8,5
26,st,65000,90,3.476,-0.001,34,66,3,7,13,24,25,16,12
27,理学療法,11300,90,5.216,0,39,61,4,8,10,18,20,19,21
28,認知症,472000,80,1.344,-5.144,35,65,1,3,5,13,28,25,25
29,マクドナルド ハッピーセット,370000,80,1.571,8.394,29,71,1,5,30,34,12,11,7
30,マイクラ,370000,80,1.56,21.448,41,59,7,8,22,33,14,8,8
31,asd,297000,80,1.844,-17.386,30,70,3,12,22,28,20,10,5
32,障害者手帳,274000,80,1.897,-11.506,36,64,2,6,11,20,28,19,14
33,構音障害,73700,80,3.188,-1.713,23,77,2,11,15,24,22,16,10
34,ot,30400,80,4.074,0,31,69,3,10,13,23,24,17,10
35,カルボシステイン,434000,70,1.352,60.15,31,69,3,15,34,20,12,8,8
36,マック ハッピーセット,420000,70,1.37,-26.807,25,75,4,8,30,32,11,9,6
37,デキストロメトルファン15mg,416000,70,1.346,-16.671,28,72,1,6,15,28,23,15,12
38,マイコプラズマ,410000,70,1.345,-42.691,35,65,5,8,20,30,17,10,10
39,名古屋港水族館,397000,70,1.428,-61.713,35,65,5,16,24,25,14,10,6
40,脳梗塞,356000,70,1.592,-22.924,41,59,2,7,7,13,24,23,24
41,ヒトメタニューモウイルス,346000,70,1.552,20.251,28,72,2,8,27,26,16,14,7
42,突発性発疹,300000,70,1.707,-56.974,17,83,0,9,44,19,9,14,5
43,川崎病とは,300000,70,1.661,22.072,26,74,1,8,27,25,15,15,9
44,手足口病 症状,239000,70,1.862,-220.435,22,78,2,7,34,30,10,10,7
45,プティマイン,227000,70,1.942,-26.201,7,93,0,10,50,22,6,9,3
46,スプランキー,170000,70,2.266,72.312,29,71,3,7,33,36,9,7,5
47,高次脳機能障害,117000,70,2.671,0.042,30,70,2,10,13,21,24,17,13
48,放課後等デイサービス,57900,70,3.269,-93.757,31,69,1,9,18,31,21,13,7
49,東山動植物園,368000,60,1.364,-19.676,36,64,3,11,21,24,17,14,10
50,熱中症警戒アラート,331000,60,1.481,-113.064,41,59,5,6,14,28,20,14,13
51,おかあさんといっしょ,331000,60,1.398,-9.128,27,73,3,8,33,27,13,11,5
52,チャイルドシート,319000,60,1.482,-13.843,38,62,1,7,27,18,15,22,10
53,ブリンバンバンボン,317000,60,1.436,-124.658,34,66,5,7,18,29,19,13,9
54,スナップスナップ,301000,60,1.501,-74.662,22,78,9,3,21,44,17,2,4
55,胃腸炎 何日で治る,296000,60,1.479,-1.594,29,71,5,15,27,26,15,7,5
56,フライングタイガー,284000,60,1.62,17.584,15,85,6,13,19,29,19,9,5
57,障害者年金,275000,60,1.558,-14.77,40,60,1,3,7,15,28,30,16
58,心房細動,249000,60,1.67,10.277,39,61,1,7,7,14,22,22,27
59,バースデイ オンライン,182000,60,2.044,-31.709,9,91,0,11,54,21,6,6,2
60,リンゴ病 症状 子供,166000,60,2.082,76.101,16,84,0,4,40,37,5,7,7
61,知的障害,146000,60,2.287,7.36,33,67,4,10,15,24,23,14,10
62,自閉症,111000,60,2.516,-41.457,36,64,5,14,23,23,16,10,9
