順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,理学療法士,249000,260,2.682,-0.002,36,64,6,10,11,24,23,13,13
2,脊柱管狭窄症,356000,180,2.005,-9.249,39,61,1,3,5,11,20,24,36
3,運動療法とは,1300,160,7.47,0,47,53,8,22,13,17,18,14,8
4,ピラティス,441000,140,1.483,-5.859,30,70,2,14,15,20,22,15,12
5,自閉症スペクトラム,379000,140,1.602,-7.777,27,73,2,8,18,26,21,15,10
6,変形性膝関節症,219000,140,2.21,-4.438,28,72,1,6,6,14,25,25,23
7,骨粗鬆症,300000,120,1.812,3.389,24,76,2,5,5,12,22,25,29
8,作業療法士,127000,110,2.497,0,32,68,6,11,13,25,23,12,10
9,アムロジピン,296000,100,1.54,0.967,40,60,0,8,7,14,24,23,24
10,腸腰筋,108000,100,2.549,-0.443,40,60,3,9,14,23,22,15,14
11,放課後デイサービス,96900,100,2.594,12.262,24,76,1,6,20,34,21,12,6
12,サルコペニアとは,86600,100,2.811,3.496,32,68,2,9,7,14,22,21,25
13,運動療育,2600,100,6.197,0,16,84,0,7,33,42,10,5,3
14,低血糖症状,266000,90,1.579,-14.868,29,71,2,13,15,20,22,15,13
15,心不全,265000,90,1.605,23.077,34,66,2,7,10,18,24,19,20
16,心房細動,243000,90,1.659,45.295,39,61,1,7,8,14,21,22,27
17,ストレートネック,240000,90,1.663,0.48,34,66,5,13,18,25,22,10,7
18,鵞足炎,60100,90,3.001,-9.872,42,58,3,9,13,22,22,17,14
19,シェーグレン症候群,273000,80,1.47,-58.431,20,80,1,7,9,17,26,23,17
20,フレイルとは,257000,80,1.579,-0.201,35,65,1,4,4,11,20,23,37
21,迷走神経反射,252000,80,1.517,-7.733,22,78,4,15,17,23,22,12,7
22,ジョブメドレー,179000,80,1.796,12.515,25,75,1,11,17,26,26,13,6
23,股関節,166000,80,1.941,-7.04,33,67,2,4,7,15,19,23,30
24,半月板損傷,151000,80,1.958,-15.701,35,65,4,6,10,19,23,20,18
25,レビー小体型認知症,133000,80,2.099,-6.549,28,72,1,7,9,17,27,21,18
26,柔道整復師,82200,80,2.612,-37.733,40,60,5,10,14,26,24,12,9
27,胸郭出口症候群,70600,80,2.739,-14.044,35,65,2,11,16,25,24,13,9
28,腱板断裂,70300,80,2.766,21.465,43,57,1,7,8,15,23,22,24
29,放課後等デイサービス,67400,80,2.711,-48.19,30,70,1,8,18,32,21,13,7
30,理学療法士 国家試験,44500,80,3.272,90.01,39,61,3,21,9,17,27,11,12
31,バーセルインデックス,17900,80,4.117,1.66,40,60,2,35,21,21,12,6,3
32,腰痛,239000,70,1.443,5.475,41,59,1,4,9,17,23,22,24
33,ビタミンb12,238000,70,1.473,6.299,32,68,1,5,9,16,24,21,24
34,社会福祉士,213000,70,1.544,-12.846,30,70,3,8,13,26,28,13,9
35,ヘモグロビンa1c,207000,70,1.574,28.506,35,65,1,6,9,19,26,21,18
36,コミュニケーション,192000,70,1.588,4.9,42,58,5,8,12,25,28,14,8
37,ランソプラゾール,187000,70,1.628,34.058,32,68,1,10,10,17,23,20,19
38,脂質異常症,177000,70,1.641,-20.408,30,70,1,9,12,20,27,18,13
39,ストレッチポール,151000,70,1.883,-12.753,30,70,1,4,12,26,27,17,13
40,高血圧,142000,70,1.864,-0.025,44,56,2,7,9,19,26,19,18
41,褥瘡,136000,70,2.007,-5.345,31,69,2,11,11,18,25,20,13
42,アセスメントとは,121000,70,2.096,27.141,38,62,3,11,10,22,28,17,9
43,言語聴覚士,102000,70,2.282,7.529,25,75,6,10,15,26,23,12,8
44,ハムストリングスとは,97700,70,2.372,6.142,52,48,3,9,10,19,21,17,21
45,変形性股関節症,79800,70,2.495,-27.85,24,76,1,6,7,15,26,25,20
46,認知行動療法,60500,70,2.757,19.266,30,70,2,13,14,23,25,12,11
47,デルマトーム,27100,70,3.635,-8.252,51,49,1,26,23,20,14,9,7
48,ブルンストロームステージ,15300,70,4.17,5.673,46,54,1,42,27,18,7,3,2
49,プレドニン,191000,60,1.489,6.516,28,72,1,8,12,21,24,18,16
50,タリージェ,189000,60,1.521,-14.825,35,65,0,5,9,19,25,20,22
51,mri,182000,60,1.552,-2.451,38,62,4,8,12,21,21,15,19
52,脱水症状,162000,60,1.575,-13.091,31,69,3,13,16,20,22,15,11
53,手根管症候群,157000,60,1.669,-17.98,27,73,1,7,11,19,26,19,17
54,アルツハイマー型認知症,156000,60,1.749,29.162,33,67,2,7,7,15,26,20,23
55,als,150000,60,1.681,8.124,37,63,3,11,15,22,22,15,12
56,egfr,150000,60,1.662,-33.093,37,63,0,6,8,16,25,23,22
57,精神疾患,142000,60,1.664,-14.174,42,58,6,9,11,19,25,18,12
58,プレガバリン,134000,60,1.746,6.21,36,64,0,8,10,20,25,18,19
59,地域包括支援 センター,123000,60,1.87,24.079,31,69,1,6,7,17,30,21,18
60,すべり症,122000,60,1.927,-7.841,25,75,1,3,6,14,23,23,30
61,高次脳機能障害,120000,60,1.88,52.374,30,70,1,10,12,21,25,18,13
62,筋ジストロフィー,118000,60,1.92,-38.461,32,68,2,11,15,22,23,15,12
63,肩甲骨,109000,60,1.948,-7.814,39,61,4,8,12,21,22,16,17
64,動脈硬化,103000,60,2.054,-7.485,33,67,1,5,7,17,25,21,24
65,モートン病,86000,60,2.256,-44.276,30,70,2,6,10,18,25,21,18
66,理学療法士 年収,85900,60,2.193,-31.136,38,62,9,12,13,25,22,9,10
67,copd,78700,60,2.28,50.372,38,62,3,17,14,20,20,14,12
68,廃用症候群とは,73900,60,2.462,0.47,27,73,2,13,10,16,25,21,13
69,腰椎分離症,66100,60,2.437,30.166,44,56,9,10,13,32,21,7,8
70,大腿四頭筋,62100,60,2.567,-31.847,49,51,5,15,15,20,18,13,14
71,仙腸関節,56600,60,2.686,-37.784,32,68,1,8,13,20,23,18,17
72,パーキンソン病 初期症状,168000,50,1.472,-21.331,30,70,1,3,5,12,22,23,34
73,足底筋膜炎,161000,50,1.505,16.192,34,66,3,7,15,27,21,11,16
74,封筒 書き方,159000,50,1.476,-2.311,51,49,7,33,25,17,10,4,4
75,糖尿病 診断基準,157000,50,1.485,-1.132,42,58,1,7,10,14,22,22,24
76,ドクターストレッチ,156000,50,1.522,-24.652,52,48,1,5,13,29,33,14,5
77,ベーチェット病,155000,50,1.471,32.371,27,73,1,13,17,21,22,15,11
78,高血圧 基準 2024,150000,50,1.466,-45.679,49,51,1,5,6,14,24,26,24
79,モサプリドクエン酸塩錠5mg,148000,50,1.582,65.286,29,71,1,7,10,18,22,20,22
80,知的障害,147000,50,1.611,-27.649,34,66,4,10,15,24,23,14,10
81,ゾルピデム,144000,50,1.513,-5.391,34,66,1,9,11,17,24,18,20
82,順天堂大学病院,141000,50,1.598,23.116,37,63,1,4,9,15,24,23,24
83,剥離骨折とは,140000,50,1.622,6.328,28,72,4,5,10,24,21,16,20
84,気管支喘息,136000,50,1.524,-30.696,29,71,3,12,19,23,17,14,12
85,アスベリン,134000,50,1.491,43.135,25,75,1,6,25,36,17,8,7
86,腎臓,132000,50,1.734,-13.407,45,55,3,8,11,19,22,17,20
87,bmi 計算,126000,50,1.666,28.161,25,75,17,25,17,17,12,6,6
88,カイロプラクティック,125000,50,1.633,0.026,40,60,1,8,16,22,23,16,14
89,療育手帳,124000,50,1.758,-1.424,30,70,1,6,19,31,23,13,7
90,水頭症,123000,50,1.689,-15.991,31,69,1,11,18,20,20,14,16
91,関節リウマチ,121000,50,1.806,13.656,30,70,2,11,11,16,24,19,17
92,心臓,120000,50,1.827,38.93,40,60,4,7,6,12,17,23,31
93,全身性エリテマトーデス,120000,50,1.652,29.297,20,80,2,16,16,22,22,14,8
94,臨床検査技師,113000,50,1.784,6.508,30,70,10,14,12,26,24,8,6
95,側湾症,111000,50,1.869,-26.345,24,76,3,8,14,29,22,12,12
96,大腿骨,108000,50,1.901,-6.094,35,65,2,6,8,15,21,22,26
97,訪問看護,107000,50,1.747,9.967,29,71,1,5,11,23,28,19,13
98,頚椎症,105000,50,1.9,-71.939,37,63,1,5,9,19,25,19,22
99,多発性硬化症,105000,50,1.818,49.078,27,73,1,9,11,19,24,20,16
100,フォシーガ,105000,50,1.81,42.789,34,66,0,9,14,23,25,16,13
101,結核,104000,50,1.86,8.586,42,58,5,12,16,21,21,14,11
102,骨盤矯正,99200,50,1.894,18.892,26,74,2,10,19,25,23,11,10
103,リスペリドン,98800,50,1.936,81.591,28,72,1,13,15,23,24,16,8
104,三叉神経痛,96200,50,1.893,89.732,29,71,1,6,12,21,25,19,16
105,ミトコンドリア,91400,50,1.976,-5.857,37,63,8,8,10,18,19,16,21
106,リマプロストアルファデクス錠5μg,90500,50,2.039,1.944,35,65,0,5,7,13,19,21,35
107,crp 正常値,88800,50,2.14,5.902,31,69,1,13,10,15,18,19,24
108,エンレスト,88700,50,2.042,14.816,37,63,0,12,15,23,24,14,12
109,インピンジメント症候群,87700,50,2.053,40.02,53,47,3,10,12,17,20,19,19
110,精神保健福祉士,84900,50,1.993,0.873,28,72,4,10,14,26,26,13,7
111,慢性腎臓病,77800,50,2.142,-31.51,37,63,1,7,7,15,24,23,23
112,構音障害,74300,50,2.201,29.378,23,77,2,12,15,24,22,16,9
113,spo2,70700,50,2.279,3.97,34,66,2,15,14,19,21,17,12
114,クッシング症候群,70700,50,2.226,49.099,25,75,2,21,14,20,23,13,7
115,内転筋,68300,50,2.412,21.358,40,60,3,7,12,20,22,17,19
116,adl 意味,67300,50,2.358,-3.704,33,67,2,10,8,15,26,22,17
117,リハビリテーション病院,55200,50,2.56,-0.002,33,67,1,3,5,14,26,24,27
118,フレイル,53300,50,2.534,30.445,42,58,2,9,9,17,21,17,25
119,jcs 意識レベル,50300,50,2.697,0.031,34,66,1,29,23,22,16,6,3
120,訪問看護ステーションとは,48400,50,2.656,24.795,30,70,1,6,10,23,28,19,13
121,リハビリ,47700,50,2.697,-0.002,42,58,2,6,9,16,20,18,29
122,肩関節周囲炎,44800,50,2.78,5.309,35,65,1,5,8,18,28,21,19
123,長谷川式簡易知能評価スケール,44400,50,2.638,-16.036,26,74,1,16,13,22,26,12,10
124,閉塞性動脈硬化症,36500,50,2.9,17.739,33,67,2,12,10,16,22,19,19
125,梨状筋,35300,50,2.882,-7.855,40,60,2,10,14,21,22,17,14
126,地域包括ケアシステム,30700,50,3.094,-5.939,33,67,8,23,9,19,21,12,8
127,拘縮,27800,50,3.128,-7.744,31,69,2,10,12,18,25,20,13
128,脊柱起立筋,23500,50,3.302,-22.479,54,46,4,21,21,21,15,9,9
129,大腿筋膜張筋,15600,50,3.851,0.041,49,51,3,22,20,22,17,9,7
130,健康運動指導士,13900,50,3.866,-5.166,38,62,5,14,17,23,24,11,6
131,ローテーターカフ,11300,50,4.109,19.919,56,44,5,30,20,19,14,8,4
132,日本理学療法士協会,11000,50,4.018,-9.309,63,37,1,19,32,26,13,6,3
133,理学療法,10600,50,4.248,-0.004,40,60,5,8,10,18,21,17,21
134,抗重力筋,8200,50,4.434,-7.768,34,66,1,15,7,10,13,17,37
135,理学療法士協会,8000,50,4.415,-48.59,65,35,0,26,34,24,9,4,3
136,統合失調症 症状,140000,40,1.451,167.068,25,75,3,10,11,19,25,18,14
137,crp,136000,40,1.504,73.317,36,64,1,7,10,17,21,20,24
138,ネフローゼ症候群,133000,40,1.514,13.075,32,68,2,13,13,21,22,15,14
139,デイサービス,133000,40,1.509,-21.974,33,67,1,5,7,16,27,24,20
140,股関節 ストレッチ,130000,40,1.467,-0.007,35,65,2,3,8,21,25,20,21
141,パルスオキシメーター,129000,40,1.6,32.871,36,64,2,7,10,16,22,20,23
