順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,オールオン4 値段名医odc,1400,380,7.072,0.001,46,54,0,1,4,12,29,32,22
2,オールオン4 費用,4600,700,6.456,0,41,59,0,3,7,15,33,28,14
3,オールオンフォー 費用,1400,190,6.355,-0.01,39,61,0,1,5,17,34,32,11
4,インプラント オールオン4,1100,140,6.26,-0.042,53,47,1,3,8,19,30,23,16
5,インプラントオーバーデンチャー,2900,350,6.246,1.276,41,59,0,6,9,16,27,24,18
6,オーバーデンチャー,2300,200,5.923,7.134,32,68,0,18,9,16,21,20,16
7,おおたわ歯科医院 福岡市,1700,120,5.718,0.018,31,69,1,7,9,16,29,24,14
8,インプラントブリッジ,1400,80,5.365,1.356,44,56,0,3,8,22,36,21,10
9,マグネットデンチャー,1600,80,5.271,0,31,69,1,2,11,19,35,23,9
10,マグネット入れ歯,1200,50,5.228,-0.051,22,78,0,2,3,13,33,30,19
11,ボナーク 歯科,1200,50,5.133,9.932,63,37,0,10,20,27,23,14,6
12,ドイツ式入れ歯 費用,1300,50,5.12,-0.012,23,77,0,0,2,8,31,35,24
13,ドイツ式入れ歯,2800,100,5.08,0.002,27,73,0,3,5,11,27,32,22
14,即時義歯,1500,60,5.071,12.156,31,69,1,13,13,20,26,18,9
15,インプラント芸能人,1100,40,5.052,0.003,33,67,1,4,5,18,38,26,8
16,インプラント 全部,1600,60,4.991,-0.031,57,43,3,12,28,28,21,6,2
17,入れ歯専門歯科医院,2500,80,4.986,9.937,30,70,0,1,2,7,25,33,32
18,歯がボロボロ 治療,1100,40,4.97,-7.034,37,63,0,5,14,25,36,15,5
19,日本口腔インプラント学会,2700,100,4.967,6.728,61,39,1,4,13,22,27,22,11
20,総入れ歯 種類,2200,70,4.939,11.043,48,52,0,0,1,5,20,33,41
21,テレスコープ義歯,2900,90,4.933,1.38,21,79,0,4,7,14,28,27,20
22,総インプラント 費用,2500,90,4.897,-1.303,63,37,0,6,17,28,31,14,4
23,総入れ歯にしたい,3400,100,4.873,-0.005,38,62,0,2,5,11,27,26,29
24,コーヌス義歯,2100,60,4.867,30.895,26,74,1,9,7,16,27,24,16
25,ノーベルバイオケア,2400,80,4.866,-0.175,63,37,0,3,12,28,31,17,9
26,入れ歯の芸能人,1200,40,4.864,-0.006,26,74,0,1,3,10,28,35,23
27,総入れ歯 40代,2200,70,4.83,-0.806,23,77,0,1,6,45,32,7,9
28,総入れ歯 インプラント 費用,2800,80,4.814,-0.01,44,56,0,1,2,7,23,34,33
29,インプラント失敗,1400,40,4.808,-0.005,31,69,1,1,3,13,35,32,15
30,総入れ歯 食事,2100,60,4.789,2.753,40,60,1,1,2,8,24,29,35
31,総入れ歯 期間,2300,60,4.788,-5.994,37,63,0,2,3,9,26,30,30
32,骨造成 歯科,1100,30,4.78,-0.003,34,66,1,8,13,25,23,22,8
33,サイナスリフト,4700,140,4.773,8.835,34,66,1,9,15,20,25,19,11
34,コンフォートソケット,1600,40,4.769,8.343,26,74,1,1,4,12,29,28,25
35,ミラクルデンチャー 後悔,1500,40,4.767,-10.138,21,79,0,1,3,14,29,34,19
36,gbr 歯科,3000,90,4.755,3.533,28,72,1,18,19,22,19,12,9
