順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,矯正とは,2600,650,5.975,0,56,44,9,15,14,18,18,13,13
2,矯正 ワイヤー,8200,400,4.306,0,17,83,8,19,17,33,17,3,3
3,矯正 ゴムかけ 効果,4600,170,4.096,0,14,86,8,37,22,21,10,1,1
4,矯正 抜歯,5700,200,4.005,0,19,81,7,28,21,26,13,3,2
5,矯正 マウスピース,17200,520,3.841,0,22,78,7,20,18,29,19,4,3
6,矯正器具,3500,100,3.773,0,22,78,8,17,18,35,15,4,3
7,矯正 値段,26700,660,3.71,0,31,69,16,38,15,17,9,3,2
8,裏側矯正,6800,170,3.704,0.001,16,84,9,38,24,15,9,3,2
9,矯正 保険適用,9800,250,3.684,0,24,76,7,26,22,28,11,3,3
10,矯正歯科,27900,730,3.679,0,27,73,4,10,14,31,25,9,7
11,ワイヤー矯正,10100,240,3.614,0.011,20,80,12,29,23,23,10,2,1
12,矯正中 食べやすいもの,3400,80,3.604,11.968,16,84,7,32,20,22,15,3,1
13,リンガルアーチ,3300,80,3.595,0.332,17,83,3,28,22,31,12,2,2
14,強制,7700,180,3.577,0,43,57,5,7,11,21,22,18,16
15,矯正 医療控除,3100,70,3.531,0.95,23,77,1,36,23,21,14,4,1
16,抜歯矯正,3100,60,3.527,1.849,21,79,13,41,21,13,8,2,2
17,ブラケット 矯正,3800,80,3.454,20.899,11,89,4,26,21,32,12,3,2
18,アンカースクリュー 矯正,6400,120,3.432,1.522,12,88,6,34,24,17,14,3,2
19,ヘッドギア 矯正,2600,50,3.421,-0.225,15,85,6,19,22,35,10,5,3
20,アンカースクリュー,9900,170,3.319,7.305,15,85,6,43,25,14,8,3,1
21,部分矯正 できない例,2800,50,3.276,0.004,15,85,11,34,23,18,9,4,1
22,ブラーバ 矯正,3000,50,3.272,42.031,19,81,2,26,28,24,13,5,2
23,部分矯正,10400,170,3.236,-0.006,18,82,8,31,24,21,11,3,2
24,矯正歯科 費用,3200,50,3.216,-0.001,29,71,4,11,15,31,24,8,7
25,矯正歯科 選ぶポイント,12700,210,3.212,0,16,84,3,16,13,31,26,6,5
26,矯正視力,3600,60,3.189,0,38,62,5,10,16,22,20,15,12
27,歯列矯正 顔の変化 写真,5000,80,3.184,8.605,24,76,5,30,22,22,14,5,2
28,矯正 医療費控除 子供,4900,80,3.143,0,20,80,2,1,25,64,7,0,1
29,矯正歯科 医療控除,6500,100,3.121,8.968,29,71,0,6,12,38,32,7,5
30,医療費控除 矯正,3700,50,3.11,5.578,26,74,2,27,22,27,17,4,1
31,矯正歯科 認定医とは,2600,40,3.104,0,17,83,4,15,16,30,20,8,7
32,ハーフリンガル矯正,3600,50,3.076,1.106,22,78,6,36,23,17,13,3,2
33,歯 矯正,7100,100,3.061,-0.004,48,52,5,15,28,26,17,5,4
34,日本矯正歯科学会,14500,190,3.044,0.003,19,81,6,32,23,21,11,4,3
35,急速拡大装置,3700,50,3.042,0.863,18,82,2,16,27,38,11,3,3
36,歯根吸収,3100,40,3.036,19.044,18,82,2,22,25,25,16,6,4
37,出っ歯 矯正,11700,150,3.018,-0.017,26,74,10,21,20,27,15,4,3
38,ブラックトライアングル,7900,100,2.989,0.188,17,83,2,24,30,23,14,4,3
39,歯列矯正 抜歯,3500,40,2.96,10.84,22,78,4,24,24,25,16,4,3
40,裸眼,6000,70,2.959,-0.001,35,65,7,9,13,18,20,15,18
41,キレイライン 口コミ,3000,40,2.958,0.01,13,87,2,17,24,32,18,4,3
42,強制とは,2600,30,2.95,0.001,31,69,5,9,10,23,27,15,11
43,小児矯正,6500,80,2.893,0.017,17,83,1,2,32,51,8,3,3
44,綺麗な歯並び,3800,40,2.887,0.006,24,76,10,29,28,15,10,5,3
45,部分矯正 前歯,4400,50,2.881,-0.001,15,85,4,23,20,23,22,6,2
46,矯める 意味,3200,30,2.877,0,41,59,9,8,5,15,16,19,28
47,口ゴボ 矯正,6200,70,2.873,-2.385,16,84,10,38,26,16,7,2,1
48,噛み合わせ,4800,50,2.864,14.81,27,73,4,14,20,23,20,11,8
49,リグロス 歯科,3500,40,2.861,-19.442,34,66,1,12,13,21,26,18,9
50,抜歯後 白い塊,2800,30,2.854,14.006,14,86,2,24,31,21,12,5,5
51,前歯 矯正,7300,80,2.848,-0.481,19,81,3,28,26,26,12,3,2
52,日本矯正歯科学会認定医一覧,5900,70,2.843,-3.804,14,86,3,24,24,27,15,4,3
53,リテーナー,18400,200,2.836,5.729,23,77,9,22,24,25,12,4,4
54,あのちゃん 矯正,2900,30,2.824,70.856,28,72,1,8,24,34,24,6,3
55,顎変形症 術後 地獄,4700,50,2.823,-0.642,25,75,8,21,19,21,20,8,3
56,部分矯正 費用,4800,50,2.817,-0.009,23,77,11,31,25,21,8,3,1
57,床矯正,7100,80,2.813,4.067,13,87,2,5,30,46,12,3,2
58,歯科矯正,47200,520,2.808,0,23,77,3,11,19,33,23,6,5
59,矯正展,10800,120,2.806,0,39,61,1,6,16,26,26,15,10
