順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,障害者,110000,480,3.304,0,47,53,2,3,5,12,26,29,23
2,障害者年金,283000,290,1.827,0,40,60,1,3,7,15,28,30,16
3,障害者手帳,278000,260,1.737,0,36,64,1,6,11,20,28,19,15
4,障害者雇用,76200,180,2.66,0,45,55,2,8,12,23,29,17,9
5,グループホーム,224000,170,1.544,-0.437,36,64,1,4,6,15,28,27,19
6,障害年金,183000,160,1.656,26.543,40,60,1,5,11,20,29,22,12
7,知的障害,147000,140,1.732,3.262,34,66,4,10,15,24,23,14,10
8,就労継続支援b型,73600,140,2.387,2.767,38,62,1,9,12,26,28,16,8
9,ウェルビーイングとは,134000,120,1.638,-24.269,49,51,2,8,11,23,27,17,12
10,インクルーシブとは,144000,110,1.526,4.043,37,63,2,4,8,19,23,21,23
11,療育手帳,124000,100,1.593,-2.029,30,70,1,6,19,31,23,13,7
12,高次脳機能障害,120000,90,1.548,5.867,30,70,1,10,12,21,25,18,13
13,bcpとは,105000,90,1.578,-1.828,57,43,1,6,10,21,30,21,11
14,dx,84600,90,1.804,19.084,67,33,1,7,11,19,26,19,17
15,齟齬,93800,80,1.6,-8.041,53,47,3,7,15,24,25,15,11
16,強度行動障害,89300,80,1.694,-1.505,23,77,1,7,18,29,25,13,7
17,リテラシー,87300,80,1.774,72.089,56,44,1,3,8,18,23,20,27
18,個人情報保護法,86900,80,1.691,-30.379,59,41,3,5,9,21,27,20,15
19,顰蹙,72200,80,1.966,13.494,54,46,4,6,8,16,24,21,21
20,障害者控除,52700,80,2.268,0,48,52,1,4,9,19,27,23,17
21,務める 勤める 努める,92000,70,1.516,-9.051,37,63,3,8,12,26,25,15,11
22,身体障害者手帳,91100,70,1.551,1.353,34,66,1,7,13,20,25,17,17
23,身体障害者 等級,89600,70,1.637,0.003,46,54,1,2,5,14,25,27,26
24,sdgs 17の目標,84900,70,1.694,-4.622,49,51,14,14,8,19,19,13,13
25,精神保健福祉士,84900,70,1.515,-18.497,28,72,4,10,14,26,26,13,7
26,コロナ禍,82300,70,1.68,54.069,52,48,1,5,9,20,26,20,19
27,罹患,72700,70,1.69,16.277,46,54,2,7,14,23,27,15,12
28,障害者手帳 等級,69700,70,1.843,0.001,37,63,1,5,9,16,26,24,19
29,bcp,67800,70,1.83,13.757,61,39,1,5,12,24,30,19,9
30,就労移行支援,35200,70,2.491,-3.722,34,66,2,15,15,23,28,12,5
31,障碍者,7300,70,4.14,0,59,41,3,7,10,19,24,19,18
32,障がい者 読み方,1200,70,5.858,0,52,48,4,3,5,16,26,22,24
33,文部科学省,85200,60,1.516,-7.879,48,52,5,8,9,25,27,15,11
34,瑕疵,78400,60,1.55,54.458,49,51,3,10,14,22,25,15,11
35,サマリーとは,78200,60,1.507,34.025,51,49,1,5,9,19,31,21,14
36,pdf word 変換,75900,60,1.595,-41.826,57,43,2,11,9,16,21,20,21
37,制作と製作,75800,60,1.605,32.99,30,70,2,6,13,27,25,16,11
38,貶める,73100,60,1.616,7.001,51,49,3,4,7,16,24,23,23
39,dei,70900,60,1.708,119.045,68,32,1,4,8,14,22,23,28
40,adl 意味,67300,60,1.692,32.871,33,67,2,10,8,15,26,22,17
41,最低賃金 2024,60000,60,1.725,-7.699,43,57,3,11,11,22,28,16,9
42,知的障害と発達障害違い,51600,60,1.857,0,26,74,2,9,16,23,23,16,11
43,ノーマライゼーションとは,44800,60,2.065,-4.016,32,68,10,20,9,19,22,13,7
44,就労支援 a b 違い,43500,60,2.023,25.67,35,65,1,9,13,23,29,17,8
45,障害者総合支援法,31000,60,2.511,-0.013,36,64,2,14,10,19,24,18,13
46,障害,30000,60,2.487,0,45,55,4,8,11,21,24,16,16
47,就労継続支援a型,25400,60,2.558,-6.138,41,59,1,10,14,24,27,16,8
48,障害者グループホーム,21100,60,2.77,-10.556,38,62,1,4,8,17,29,25,16
49,障害者雇用 法定雇用率,18800,60,2.992,9.624,66,34,0,4,9,22,34,23,8
50,障碍,8300,60,3.77,0,48,52,5,10,11,20,20,17,17
51,障がい者雇用,3100,60,4.706,-0.004,61,39,1,6,15,27,31,16,4
52,障害者 障がい者 違い,1700,60,5.349,0,51,49,7,14,11,23,24,14,7
53,放課後等デイサービス,67400,50,1.565,-57.29,30,70,1,8,18,32,21,13,7
54,生かす 活かす,67000,50,1.588,18.21,33,67,7,13,13,26,23,13,5
55,ビジョンとは,64900,50,1.56,-16.902,42,58,5,9,8,17,25,20,16
56,毀誉褒貶,63400,50,1.56,-27.037,55,45,2,3,5,13,21,25,31
57,派遣,62500,50,1.547,5.246,30,70,2,9,14,23,27,15,10
58,zoom ログイン,62300,50,1.516,-56.567,55,45,1,4,9,19,25,22,20
59,要介護認定基準,61100,50,1.517,55.087,40,60,0,4,6,16,33,25,16
60,ワークライフバランス,59900,50,1.581,1.613,50,50,8,15,16,23,23,10,5
61,利益相反とは,59800,50,1.509,59.002,65,35,0,7,9,18,25,21,20
62,iotとは,57700,50,1.73,52.075,63,37,6,13,9,17,23,16,16
63,障害年金受給資格,54100,50,1.682,-46.232,32,68,0,3,7,16,31,30,13
64,醸成とは,53900,50,1.692,-26.575,60,40,2,7,11,24,31,16,9
65,失念,53300,50,1.713,0.36,49,51,2,11,18,25,23,13,8
66,プロパガンダ,53200,50,1.698,74.853,55,45,4,8,10,18,21,16,23
67,寄与する 意味,52900,50,1.714,-0.652,54,46,4,10,11,23,28,15,9
68,罵詈雑言,52400,50,1.694,2.035,50,50,3,7,11,19,22,17,21
69,広汎性発達障害,51700,50,1.739,62.713,24,76,2,11,17,25,23,14,8
70,ict,48400,50,1.894,-3.645,60,40,4,10,12,23,24,16,11
71,インクルージョンとは,47400,50,1.9,5.925,48,52,4,7,9,20,27,19,14
72,障害者手帳 メリット,46600,50,1.968,0.003,35,65,1,7,11,19,30,19,13
73,虐待,46500,50,1.947,-24.686,29,71,6,8,14,22,23,15,12
74,介護職員初任者研修,45800,50,1.921,-14.112,34,66,2,7,10,23,34,18,6
75,時候の挨拶,42900,50,1.882,-18.761,52,48,3,8,8,15,21,22,23
76,リタリコ,42100,50,2.037,20.253,29,71,1,9,19,32,22,11,6
77,ウェルビーイング,37700,50,2.029,26.211,51,49,2,9,14,25,26,14,10
78,インクルーシブ教育,37500,50,2,5.463,36,64,6,17,10,23,20,13,11
79,gxとは,36500,50,2.199,71.98,74,26,1,5,7,15,25,22,25
80,相談支援専門員,31800,50,2.138,-14.337,29,71,1,7,15,30,28,13,6
81,a型事業所,27500,50,2.329,25.206,41,59,1,11,16,23,27,15,7
82,ワムネット,26000,50,2.387,-27.031,51,49,1,5,10,25,28,19,12
83,障害福祉サービス,22400,50,2.622,-0.001,39,61,1,7,13,25,28,16,10
84,サビ管 資格 要件,17600,50,2.75,-37.412,29,71,0,5,14,30,32,14,5
85,障害者施設,17400,50,2.842,-0.002,34,66,2,7,10,21,27,20,13
86,アクセシビリティとは,58000,40,1.575,8.769,47,53,4,5,6,13,20,21,31
87,悼む,57100,40,1.57,58.369,54,46,5,4,8,17,23,21,22
88,刷新 意味は,56400,40,1.536,81.333,39,61,2,4,8,20,25,21,20
89,煩雑とは,55700,40,1.56,-20.851,42,58,3,7,11,24,29,16,10
90,wbgt,55500,40,1.523,-54.215,67,33,6,8,15,28,24,12,7
91,アイデンティティ,54300,40,1.51,10.218,46,54,9,13,14,19,18,12,15
92,ビブス,54000,40,1.509,-1.536,42,58,4,6,14,29,21,14,12
93,ユニバーサルデザイン,53700,40,1.581,-0.127,40,60,14,10,10,28,19,11,8
94,フレイル,53300,40,1.559,23.675,42,58,2,9,9,17,21,17,25
95,軋轢,52800,40,1.606,69.84,50,50,6,8,11,19,22,17,17
96,csrとは,52300,40,1.586,6.159,65,35,5,12,9,18,27,19,10
97,足がつる,52200,40,1.522,5.459,31,69,2,4,8,18,26,20,22
98,高次機能障害とは,51900,40,1.64,-30.983,23,77,1,9,12,22,27,18,11
99,蹂躙,51400,40,1.607,36.152,45,55,5,9,13,19,23,17,14
100,vlookup関数 わかりやすく,51100,40,1.627,14.171,53,47,1,12,15,23,28,15,6
101,esgとは,50100,40,1.687,61.873,68,32,1,8,8,16,27,21,19
102,標準偏差とは,49300,40,1.513,6.144,59,41,21,24,8,16,19,7,5
103,特別支援学校,49200,40,1.567,0.001,38,62,3,8,14,28,22,14,11
104,インシデント,49000,40,1.599,-7.112,52,48,1,7,11,17,22,18,24
105,fb,48500,40,1.603,67.502,57,43,1,3,8,19,29,23,17
106,バイアス,48400,40,1.648,6.638,64,36,3,8,14,23,24,15,13
107,オワコン,48200,40,1.633,71.779,67,33,1,2,6,12,21,25,33
108,同僚とは,47700,40,1.535,65.979,39,61,2,17,16,19,23,14,9
109,処遇改善手当とは,47600,40,1.546,19.197,22,78,1,10,15,26,28,14,6
110,薨去,47500,40,1.765,59.326,38,62,3,5,10,16,21,23,22
111,グループホームとは,47500,40,1.688,-33.655,35,65,2,8,8,14,27,26,15
112,配布 配付 違い,47500,40,1.56,31.006,46,54,1,5,10,23,25,20,16
113,box,47500,40,1.509,53.928,69,31,2,8,13,24,28,17,8
114,贋作,47400,40,1.555,197.978,54,46,4,9,19,25,21,12,10
115,エクセル パスワード設定,47100,40,1.541,1.085,63,37,0,6,14,26,30,16,8
116,ec,46200,40,1.643,-0.295,55,45,4,6,9,18,24,20,19
117,考える 言い換え,45900,40,1.521,-31.746,38,62,8,17,12,22,24,11,6
118,nexco,45200,40,1.628,20.258,80,20,1,5,10,21,31,19,13
119,合計特殊出生率,45100,40,1.683,34.72,50,50,12,23,13,16,15,11,10
120,司法書士 行政書士 違い,44600,40,1.582,58.673,40,60,1,6,10,18,26,20,19
121,ケースワーカーとは,43900,40,1.739,-8.38,37,63,3,10,11,18,25,19,14
122,実務者研修,43700,40,1.694,-0.025,27,73,1,8,15,28,31,13,4
123,雇用保険料率 令和6年度,43700,40,1.645,-19.992,47,53,0,2,7,21,32,24,14
124,東京商工リサーチ,43700,40,1.628,36.046,65,35,1,4,11,23,31,19,11
125,委嘱とは,43000,40,1.756,-18.074,53,47,3,5,7,18,24,21,22
126,障害年金 2級 金額 2024,42000,40,1.644,-11.6,33,67,0,5,10,20,32,21,12
127,恵,41900,40,1.759,-61.831,51,49,2,4,8,15,24,23,24
128,忸怩,41300,40,1.896,33.721,54,46,2,5,8,15,23,22,25
129,アウトソーシング,40900,40,1.712,49.011,76,24,1,14,17,20,22,13,13
130,凄惨,40200,40,1.663,79.998,43,57,4,6,11,20,24,18,17
131,労災,40100,40,1.656,0.907,45,55,1,9,17,26,26,13,8
132,障害年金 3級 いくら,39200,40,1.691,108.009,33,67,1,6,12,22,33,17,9
133,防災の日,39100,40,1.749,-13.207,50,50,2,6,14,23,23,18,14
134,スプレッドシート 使い方,38600,40,1.714,-27.092,39,61,2,7,14,27,25,15,10
135,懸念,38600,40,1.712,71.516,46,54,5,9,17,23,23,13,10
136,冗長とは,38500,40,1.76,58.483,55,45,5,11,11,19,24,16,14
137,アジェンダ,38000,40,1.769,41.953,62,38,2,9,16,24,23,13,13
138,エンゲージメント,37800,40,1.805,54.873,66,34,1,8,15,25,28,15,8
139,示唆,37200,40,1.836,58.715,55,45,8,9,13,19,22,15,14
140,rpa,36700,40,1.784,31.068,69,31,1,10,16,26,28,14,5
141,npo,36300,40,1.899,24.856,53,47,8,9,9,17,19,17,21
142,サービス管理責任者,36100,40,1.91,16.353,38,62,1,6,17,29,28,13,6
143,11月 時候の挨拶,36000,40,1.803,41.443,48,52,1,4,9,19,28,22,17
144,ローンチ,35100,40,1.802,6.167,53,47,1,7,19,28,26,12,7
145,恣意的,34900,40,1.88,-48.63,57,43,9,9,11,18,22,17,14
146,文科省,34600,40,2.02,-11.82,47,53,2,5,9,23,27,20,14
147,合理的配慮とは,33800,40,1.938,-4.891,33,67,4,13,11,26,26,14,6
148,スキーム,33000,40,1.983,36.871,68,32,1,7,16,27,27,14,8
149,2月 時候の挨拶,31400,40,2.051,87.266,45,55,1,4,8,20,27,23,17
150,句点,31300,40,2.065,-48.31,51,49,5,11,14,22,20,14,14
151,特別障害者手当,31000,40,2.054,-60.237,34,66,0,4,10,21,30,22,13
152,5月 時候の挨拶,30100,40,2.034,175.775,48,52,1,4,9,21,27,22,16
153,ひとりひとり 正しい書き方,28300,40,2.119,59.16,42,58,8,17,12,20,22,14,7
154,障害基礎年金,27800,40,2.023,-45.59,45,55,0,8,12,20,29,23,8
155,アセスメント,26800,40,2.073,27.254,43,57,4,12,15,25,25,13,6
156,知見,25400,40,2.187,31.061,58,42,6,15,18,22,21,11,7
157,障害者雇用 求人,23800,40,2.286,-1.174,30,70,2,15,17,24,28,9,5
158,就労支援b型,23300,40,2.4,2.066,38,62,1,12,18,24,24,13,8
159,精神障害,22100,40,2.263,0.001,39,61,6,13,14,20,22,15,10
160,アンコンシャスバイアス,20100,40,2.361,21.406,52,48,3,7,12,22,28,17,11
161,サービス管理責任者になるには,17600,40,2.541,-9.272,32,68,0,5,12,28,36,15,4
162,障害者支援施設,15700,40,2.821,-8.233,40,60,2,8,11,24,29,16,10
163,特例子会社,11800,40,2.933,-28.092,43,57,1,11,15,24,30,14,5
164,障害者 性的処理 サービス,9200,40,3.271,0,55,45,4,17,23,26,19,7,4
165,障害者 グループホーム,8200,40,3.253,0,33,67,1,5,12,25,31,17,9
166,障がい,3100,40,4.315,0,42,58,4,9,11,24,24,18,10
167,碍,2100,40,4.9,0.003,62,38,7,10,11,16,16,16,24
168,windows10,45600,30,1.55,-17.815,75,25,1,5,9,15,23,20,27
169,no,45200,30,1.534,6.648,51,49,7,7,8,15,20,18,25
170,再生可能エネルギー,45100,30,1.528,24.087,59,41,10,8,8,18,22,17,17
171,適宜,43700,30,1.505,63.075,56,44,3,8,16,25,25,14,9
172,ワード ページ番号,43200,30,1.508,-9.835,57,43,3,19,11,18,20,15,14
173,フリーランス,43100,30,1.539,0.399,50,50,2,16,22,19,16,12,13
174,査収とは,42700,30,1.526,-33.793,51,49,1,5,7,17,28,26,16
175,賛同する 意味,42400,30,1.578,69.963,32,68,1,3,8,24,29,21,14
176,労働安全衛生法,42400,30,1.512,28.721,71,29,1,8,12,22,28,19,10
177,アンコンシャスバイアス意味,42100,30,1.505,1.37,49,51,3,7,12,23,28,17,10
178,枕詞とは,41700,30,1.631,73.497,42,58,13,13,13,21,18,12,10
179,平成26年,41400,30,1.513,15.771,62,38,1,9,18,22,24,16,10
180,リファラル採用,41000,30,1.512,59.539,62,38,1,17,21,23,22,12,4
181,コミットメントとは,40100,30,1.627,10.405,53,47,3,11,10,18,23,17,18
182,ぐ,39800,30,1.585,-17.633,59,41,3,4,8,19,24,18,24
183,嘆息,39700,30,1.538,14.368,55,45,5,4,7,16,22,21,25
184,ご自愛ください,39700,30,1.532,0.947,39,61,2,16,24,22,18,11,7
185,イノベーション,39600,30,1.597,29.047,59,41,4,7,9,18,22,16,24
186,気の置けない 意味,38700,30,1.584,-25.428,43,57,5,7,9,17,21,21,20
187,所謂,38400,30,1.555,6.463,53,47,6,8,13,23,24,16,10
188,指針とは,38100,30,1.595,38.038,38,62,2,6,9,20,30,19,14
189,上意下達,38100,30,1.519,60.505,62,38,1,4,7,16,22,21,29
190,多岐にわたる 意味,37800,30,1.652,1.229,41,59,6,8,12,22,27,15,10
191,ペイペイ 送金方法,37700,30,1.517,57.064,36,64,2,4,9,26,30,16,13
