順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,コートリル,19700,490,4.984,0.011,30,70,0,16,15,22,22,15,10
2,副腎皮質ホルモン,63900,420,3.703,0.001,30,70,3,11,8,14,20,20,24
3,下垂体腺腫,16100,370,4.92,0,29,71,2,16,15,21,22,13,11
4,下垂体腫瘍,13300,360,5.083,0.001,29,71,1,9,12,22,26,18,12
5,コルチゾール,52000,340,3.659,0.003,34,66,2,14,14,22,24,14,10
6,副腎皮質機能低下症,11000,340,5.217,0.002,25,75,1,11,12,18,24,19,15
7,クッシング症候群,70700,330,3.325,0.001,25,75,2,21,14,20,23,13,7
8,下垂体,11600,320,5.084,0,34,66,5,17,14,21,20,13,10
9,下垂体前葉機能低下症,3000,320,6.437,0.004,32,68,2,13,15,21,24,15,10
10,低ナトリウム血症,53500,260,3.358,-4.072,33,67,1,18,17,21,21,13,9
11,チラージン,68500,250,3.096,5.154,26,74,1,10,14,20,23,17,15
12,尿崩症,36200,250,3.727,0.001,29,71,2,18,18,22,20,12,8
13,コルチゾール 低い,7400,240,5.245,-0.07,23,77,1,6,11,23,30,18,11
14,アジソン病,32500,230,3.763,-0.001,27,73,2,21,12,18,22,15,10
15,低カリウム血症,58000,190,2.962,0.293,29,71,1,17,15,21,22,15,9
16,難病医療費助成制度,52800,170,2.937,0.006,26,74,0,4,8,21,31,20,16
17,副腎不全,13200,170,4.314,0.003,33,67,1,11,15,19,22,17,15
18,tsh 血液検査,45100,160,3.077,0.001,25,75,0,6,11,17,24,20,22
19,コートリル 副作用,2500,160,5.961,1.008,28,72,0,8,9,19,25,20,19
20,高カリウム血症,43300,140,2.931,-8.511,36,64,1,19,15,19,19,14,13
21,ターナー症候群,40100,140,3.036,0,22,78,3,19,22,22,16,12,6
22,原発性アルドステロン症,28500,140,3.359,-0.033,33,67,1,15,12,19,25,17,11
23,下垂体腺腫 症状,3900,140,5.336,0,23,77,1,12,11,21,26,16,13
24,ウェルニッケ脳症,41000,130,2.926,-7.07,34,66,1,20,18,21,19,13,8
25,深部静脈血栓症,40900,130,2.943,-8.53,27,73,2,22,13,18,20,14,11
26,キイトルーダ,38200,130,3.04,-31.209,39,61,0,8,12,20,23,19,18
27,dic 医療,33800,130,3.093,0.138,28,72,1,26,19,20,18,10,6
28,成長ホルモン,23600,130,3.505,-0.002,36,64,5,7,10,27,24,15,12
29,ラトケ嚢胞,7500,130,4.626,0.073,33,67,1,11,16,22,23,17,10
30,acth単独欠損症,2900,130,5.533,11.562,33,67,1,12,17,25,23,14,8
31,副腎とは,33200,120,3.044,0.138,33,67,2,4,8,17,25,21,23
32,褐色細胞腫,27400,120,3.252,0,32,68,1,19,12,20,22,16,10
33,チラージン 効果,21900,120,3.471,-5.751,18,82,0,7,11,20,26,20,16
34,tsh 低い,17800,120,3.707,0.005,16,84,1,7,16,22,26,16,12
35,副腎機能低下症,2500,120,5.657,0.002,29,71,1,13,16,23,24,15,8
36,高カルシウム血症,35600,110,2.938,-4.279,29,71,1,12,13,18,22,18,16
37,胸腔ドレーン,29600,110,3.089,-17.174,23,77,3,38,19,18,13,5,4
38,プロラクチン,25900,110,3.185,0,30,70,3,23,23,22,16,8,5
39,内分泌科とは,22400,110,3.416,-0.001,22,78,2,6,9,20,27,19,17
40,甲状腺クリーゼ,22400,110,3.353,13.944,23,77,2,27,25,20,15,7,4
41,高プロラクチン血症,19900,110,3.477,-0.001,16,84,2,18,30,24,14,8,4
42,acth,8300,110,4.369,0.009,33,67,3,30,14,17,17,10,9
43,acth ホルモン,7000,110,4.546,1.813,30,70,2,30,11,17,19,12,9
44,副腎クリーゼ,5200,110,4.816,3.425,35,65,1,25,19,21,18,10,6
45,コルチゾール 基準値,3100,110,5.329,0.335,38,62,0,17,15,21,21,14,12
46,コートリル錠10mg,2900,110,5.486,-15.199,34,66,1,10,9,18,22,20,20
47,acth 低い,1600,110,6.024,-0.003,25,75,2,6,14,22,26,19,11
48,下垂体腺腫 手術後,1600,110,5.978,0.013,29,71,0,7,10,18,24,26,15
49,ケトアシドーシスとは,31100,100,2.918,-1.301,31,69,1,17,13,20,23,15,11
50,ネーザルハイフロー,29000,100,3.024,-11.569,24,76,0,30,22,23,16,6,3
51,アルドステロン,27600,100,3.103,-4.476,31,69,3,25,10,18,20,14,10
52,指定難病医療費助成制度,25400,100,3.166,11.326,28,72,0,5,12,22,29,19,13
53,視床下部,21100,100,3.356,-0.001,36,64,10,17,13,18,18,12,12
54,成長ホルモン 注射,12700,100,3.778,9.443,27,73,4,6,19,39,18,8,6
55,中枢性尿崩症,3900,100,5.022,0.001,36,64,1,26,20,19,16,11,7
56,頭蓋咽頭腫,3600,100,5.072,-0.002,36,64,1,16,17,22,21,13,10
57,下垂体 ホルモン,2100,100,5.688,0.001,27,73,3,22,16,21,18,10,10
58,脳下垂体機能低下症,1700,100,5.895,-0.01,24,76,3,6,8,16,22,20,25
59,アミオダロン,30100,90,2.911,-27.763,35,65,0,25,18,19,17,11,10
60,多発性筋炎,29200,90,2.91,-17.13,25,75,2,11,11,18,24,19,15
61,自己免疫性肝炎,29100,90,2.868,22.973,27,73,1,6,11,18,27,21,16
62,ニューモシスチス肺炎,28200,90,2.93,-16.1,25,75,1,14,11,18,24,18,14
63,代謝性アシドーシス,20500,90,3.296,-21.484,27,73,2,34,18,19,16,7,4
64,副甲状腺機能亢進症,17200,90,3.462,34.016,32,68,1,13,10,17,22,20,17
65,ミニリンメルト,15400,90,3.534,-0.012,35,65,1,11,19,29,18,11,11
66,脳下垂体腺腫,7400,90,4.262,-0.515,29,71,3,6,9,19,21,21,21
67,副腎不全 症状,6000,90,4.531,-1.472,27,73,0,7,8,14,26,25,20
68,ソグルーヤ,2600,90,5.354,54.983,38,62,0,10,23,29,20,13,5
69,副腎皮質ホルモン 低下,1900,90,5.727,-1.573,22,78,2,7,8,18,25,19,21
70,mmt 評価,27700,80,2.888,-31.357,30,70,1,34,21,22,14,4,4
71,tia 医療,25200,80,2.898,-20.149,29,71,1,24,20,21,19,9,6
72,ソセゴン,25100,80,2.887,-20.724,28,72,0,29,21,22,16,8,4
73,テタニー症状,24600,80,2.994,-11.478,28,72,2,27,18,21,18,9,5
74,菌血症,24600,80,2.979,0.404,29,71,1,15,16,20,22,15,11
75,先端巨大症,24400,80,2.975,-0.07,21,79,2,10,11,27,31,14,5
76,サムスカ,22600,80,2.996,-41.93,35,65,1,20,16,23,21,12,7
77,甲状腺機能低下症 症状,22300,80,3.123,0,12,88,1,8,9,16,21,20,25
78,甲状腺ホルモン,20200,80,3.16,4.837,33,67,4,20,14,18,20,13,11
79,トレシーバ,20100,80,3.142,-6.734,33,67,1,15,15,24,23,14,8
80,副腎疲労,19800,80,3.178,-1.315,26,74,1,6,18,28,25,12,10
81,バソプレシン,19400,80,3.193,-0.002,34,66,17,36,12,14,11,6,4
82,亜急性甲状腺炎,19200,80,3.146,-1.953,26,74,1,7,13,24,28,17,10
83,dvt 医療略語,17900,80,3.237,-44.923,24,76,1,20,16,24,22,11,6
84,副腎腫瘍,17500,80,3.278,9.627,33,67,1,3,6,15,26,25,24
85,チラーヂン,14500,80,3.428,14.537,28,72,1,15,23,22,18,12,9
86,コルチゾールとは,14000,80,3.483,-1.611,30,70,3,17,10,17,24,17,12
87,シックデイとは,12500,80,3.584,2.755,28,72,1,25,16,22,19,10,7
88,シーハン症候群,5300,80,4.532,0,26,74,2,40,15,17,13,8,5
89,下垂体卒中,2400,80,5.31,-0.066,41,59,0,17,22,22,19,12,8
90,ステロイドパルス療法,24500,70,2.893,4.908,27,73,0,21,14,20,21,13,11
91,悪性症候群,23600,70,2.867,-40.988,35,65,1,23,20,23,18,10,5
92,mmse 評価,22700,70,2.912,-47.023,33,67,1,21,12,19,22,16,9
93,picc 医療,22300,70,2.939,-0.614,30,70,1,23,17,22,20,12,5
94,tsh,20600,70,3.066,-0.001,29,71,1,13,14,19,21,15,17
95,ニカルジピン,20500,70,3.017,2.192,30,70,1,37,19,18,14,7,4
96,ipmn 膵臓,20200,70,3.014,10.445,36,64,0,10,13,19,22,19,17
97,リフィーディング症候群,19300,70,3.086,10.677,34,66,1,30,24,22,14,6,3
98,nppv,19100,70,3.016,-18.99,28,72,1,30,19,21,17,8,4
99,乳酸アシドーシス,18300,70,3.074,-11.91,35,65,1,19,14,19,20,15,12
100,ソルメドロール,18200,70,3.177,37.748,30,70,1,32,19,20,15,8,5
101,錐体外路症状,17200,70,3.165,-18.332,30,70,1,27,16,20,19,10,7
102,バレー徴候,17000,70,3.174,36.788,38,62,1,41,21,18,12,4,3
103,aso 医療,16500,70,3.202,-21.347,22,78,0,34,24,23,12,4,3
104,免疫チェックポイント阻害薬とは,16100,70,3.277,-2.069,40,60,1,13,9,17,23,19,18
105,rs3pe症候群,14400,70,3.343,-12.314,40,60,0,10,15,20,22,18,15
106,ヒドロコルチゾン,14200,70,3.393,4.585,38,62,0,16,20,23,18,13,10
107,高ナトリウム血症,14100,70,3.383,-0.008,34,66,1,25,20,21,17,10,6
108,nppv 人工呼吸器,13700,70,3.358,-4.668,26,74,0,21,15,24,23,11,6
109,キャッスルマン病,13100,70,3.4,-56.371,40,60,0,12,18,22,22,15,11
110,siadh,12300,70,3.501,5.851,38,62,0,26,24,22,15,9,4
111,インスリノーマ,11900,70,3.618,0.003,30,70,2,19,15,20,21,14,9
112,脳下垂体,10200,70,3.69,-9.489,34,66,10,10,11,18,18,15,18
113,クッシング病,6600,70,4.16,-0.003,29,71,3,23,17,20,20,11,6
114,コートリル プレドニン 違い,2500,70,5.148,0.036,33,67,0,11,14,24,24,16,11
115,中枢性甲状腺機能低下症,2100,70,5.32,0.856,23,77,1,9,19,24,24,15,8
116,コートリル 副腎不全,1100,70,5.899,0.781,38,62,1,7,12,19,23,19,19
117,フェリチン 高い 原因,20000,60,2.867,0.002,28,72,0,6,9,18,25,23,19
118,アセリオ,19800,60,2.881,10.309,29,71,0,31,18,21,17,9,4
119,難病指定 メリット,19700,60,2.954,0.257,34,66,1,3,8,20,30,20,18
120,症候性てんかん,19700,60,2.918,-38.686,31,69,1,17,17,22,22,13,8
121,イントラリポス,18500,60,2.985,-18.48,26,74,0,30,20,22,16,8,4
122,抗リン脂質抗体症候群,17800,60,3.008,3.454,30,70,1,13,23,22,19,13,9
123,小児慢性特定疾患,17100,60,2.922,1.29,23,77,2,13,21,33,20,7,4
124,mds 病名,16800,60,3.012,-5.799,28,72,1,15,17,23,21,13,10
125,ベクルリー,16100,60,3.061,-70.985,40,60,0,17,17,23,21,14,8
126,リツキシマブ,15900,60,3.048,17.796,37,63,0,19,13,18,19,16,15
127,ケレンディア,15800,60,3.171,19.904,47,53,0,10,17,22,22,16,13
128,ipmn,15600,60,3.091,-34.607,37,63,0,12,15,21,23,17,12
129,視神経脊髄炎,15500,60,3.194,-4.147,32,68,1,12,13,19,22,18,15
130,evt 医療,15400,60,3.202,27.525,30,70,0,29,22,22,17,7,3
131,paf 医療,15100,60,3.229,10.163,26,74,0,32,23,21,15,6,3
132,低カルシウム血症,15000,60,3.251,32.205,31,69,1,18,16,19,20,15,11
133,低カリウム血症 原因,14900,60,3.238,-9.701,32,68,1,10,11,20,27,21,10
134,糖尿病性腎症,14900,60,3.139,10.293,35,65,2,20,13,18,20,15,12
135,糖尿病性ケトアシドーシス,14500,60,3.225,-14.261,36,64,1,22,17,22,19,12,7
136,低ナトリウム血症 原因,14300,60,3.231,-24.265,32,68,1,10,10,20,25,20,14
137,完全房室ブロック,14300,60,3.189,11.257,33,67,1,24,18,20,18,11,8
138,anca関連血管炎,13600,60,3.355,-2.935,30,70,1,15,15,21,22,13,13
139,神経因性膀胱炎,13300,60,3.272,-26.121,26,74,1,19,16,20,20,14,10
140,ウィルソン病,12400,60,3.379,21.067,32,68,1,20,15,20,19,15,10
141,イミフィンジ,11700,60,3.461,-20.155,47,53,0,10,15,23,20,17,15
142,在宅自己注射指導管理料,11700,60,3.305,-25.896,23,77,0,6,15,30,31,12,6
143,デスモプレシン,7600,60,3.909,0.003,49,51,0,22,15,17,16,14,16
144,副甲状腺機能低下症,6400,60,4.089,0.016,30,70,1,15,12,19,23,17,13
145,下垂体前葉ホルモン,2800,60,4.917,0,30,70,8,50,9,11,11,7,4
146,ソマトメジンc 基準値,2000,60,5.197,4.54,31,69,0,9,24,37,16,8,6
147,成長ホルモン分泌不全症,1500,60,5.49,-0.001,26,74,3,9,20,27,20,16,5
148,デキサート,17100,50,2.934,-6.798,27,73,0,28,17,19,18,10,8
149,副腎,16400,50,2.895,-0.033,36,64,4,10,14,21,22,14,15
