順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,内分泌科とは,22200,260,4.791,0,23,77,2,5,10,20,27,19,17
2,甲状腺,190000,220,2.452,0,33,67,2,7,12,19,24,18,18
3,内分泌 読み方,1600,220,7.286,0,29,71,7,7,9,20,23,15,19
4,クッシング症候群,70600,170,3.162,0.004,25,75,2,21,14,20,23,13,7
5,腎臓,134000,140,2.339,-0.931,45,55,3,8,11,19,22,17,20
6,副腎皮質ホルモン,64300,140,3.148,4.044,30,70,3,11,8,14,20,20,24
7,コルチゾール,52000,130,3.205,0.014,34,66,2,14,14,23,23,14,10
8,ネフローゼ症候群,131000,120,2.249,2.916,32,68,2,13,13,21,22,15,14
9,視床下部,21100,110,3.977,0.003,36,64,11,17,12,18,18,12,12
10,一天地六,6700,110,5.3,-0.005,37,63,0,2,3,4,7,18,66
11,内分泌学会,2200,110,6.224,-29.923,55,45,1,5,18,30,22,13,11
12,心臓,120000,100,2.195,-0.069,40,60,4,7,6,12,17,23,31
13,全身性エリテマトーデス,118000,100,2.09,7.021,20,80,2,16,16,21,23,14,8
14,自律神経,93400,100,2.354,-0.003,35,65,4,9,15,22,21,14,15
15,エストロゲン,87900,100,2.389,-0.004,24,76,2,11,14,25,24,13,11
16,内分泌内科,9100,100,4.692,0,25,75,1,7,12,23,25,17,15
17,膵臓,115000,90,2.104,-0.001,45,55,2,6,10,17,23,19,23
18,看護師国家試験,88100,90,2.29,-8.695,31,69,3,21,9,20,27,12,8
19,アルブミンとは,83400,90,2.408,18.42,35,65,2,8,5,11,19,23,32
20,アルドステロン,27100,90,3.509,5.114,31,69,3,25,10,18,20,14,10
21,糖尿病学会,6300,90,4.896,-59.418,48,52,0,6,17,29,24,15,9
22,内分泌とは,1400,90,6.545,0,32,68,12,28,10,14,17,10,9
23,肝臓,90800,80,2.197,-0.283,43,57,3,8,12,19,21,17,20
24,重症筋無力症,78100,80,2.3,-3.205,33,67,2,17,16,21,21,14,9
25,廃用症候群とは,73000,80,2.347,-8.94,27,73,2,13,10,16,25,21,13
26,副腎とは,33800,80,3.208,0.03,33,67,1,4,8,17,26,21,23
27,アジソン病,31800,80,3.181,0.012,27,73,2,21,12,18,22,15,10
28,褐色細胞腫,28000,80,3.305,-2.034,31,69,1,18,12,20,23,16,10
29,crp 正常値,92300,70,2.103,58.602,31,69,1,13,10,14,18,19,25
30,サルコペニアとは,91600,70,2.092,-6.024,32,68,2,8,6,14,21,21,28
31,多発性骨髄腫,88800,70,2.068,51.467,33,67,1,8,9,16,23,22,21
32,自己免疫疾患,82100,70,2.152,3.725,23,77,3,8,12,23,25,16,13
33,アスピリン,80500,70,2.204,-0.918,35,65,2,17,14,19,17,14,17
34,ビソプロロールフマル酸塩,78800,70,2.185,23.828,32,68,1,11,11,19,22,18,18
35,copd,76600,70,2.225,19.097,38,62,3,17,14,20,20,14,12
36,看護師国家試験 2025,68700,70,2.375,92.525,22,78,2,25,9,17,31,10,6
37,脾臓,68100,70,2.292,-0.015,39,61,4,10,13,20,21,16,16
38,人工呼吸器,65600,70,2.302,-17.952,28,72,2,14,14,22,23,14,11
39,大腿四頭筋,62100,70,2.375,15.158,48,52,6,15,14,20,18,13,14
40,インフォームドコンセント,54400,70,2.614,-13.34,41,59,14,18,11,17,18,12,10
41,看護師国家試験 合格発表,52800,70,2.542,83.547,24,76,1,21,8,19,32,11,8
42,pubmed,52000,70,2.557,-102.413,68,32,1,18,22,27,17,9,6
43,グルコース,51700,70,2.623,15.333,42,58,8,8,6,13,21,20,24
44,レイノー現象,50800,70,2.595,5.62,25,75,2,16,14,22,23,13,10
45,赤血球,50100,70,2.696,-5.962,38,62,7,10,11,22,19,14,17
46,経管栄養,48000,70,2.705,25.424,23,77,2,15,13,21,24,16,9
47,ノルアドレナリン,33100,70,3.066,0.122,35,65,4,24,17,21,17,9,8
48,原発性アルドステロン症,28500,70,3.196,0.111,33,67,1,15,12,19,25,17,11
49,アセチルコリン,22400,70,3.424,8.377,35,65,9,21,11,17,19,12,11
50,バソプレシン,19300,70,3.702,-1.578,34,66,17,35,12,15,11,6,4
51,免疫グロブリン,19300,70,3.623,24.351,31,69,9,21,13,16,17,12,12
52,中枢神経,19300,70,3.568,-0.332,31,69,12,16,10,18,18,12,14
53,副腎,16200,70,3.79,0.029,36,64,4,10,14,21,22,14,15
54,内科学会,13000,70,3.887,-43.847,68,32,0,4,18,31,24,15,8
55,下垂体,11600,70,4.109,-1.781,35,65,5,17,15,20,20,13,10
56,カルシトニン,10600,70,4.203,-12.886,34,66,6,41,11,12,13,10,7
57,内分泌内科 主な病気,7900,70,4.579,0,20,80,0,3,6,15,28,24,24
58,パスカルの随想録,3800,70,5.389,-48.834,34,66,1,0,0,1,3,16,79
59,内分泌疾患,2900,70,5.461,0,23,77,3,11,13,19,22,16,16
60,内分泌腺,1500,70,6.194,0,36,64,50,12,5,9,10,7,7
61,1型糖尿病,76900,60,2.066,-2.483,36,64,3,12,14,21,21,16,13
62,オキシトシン,70100,60,2.114,15.959,37,63,4,14,17,21,20,13,11
63,ニフェジピン,69500,60,2.175,68.521,35,65,1,14,12,19,22,16,16
64,ワーファリン,68100,60,2.119,15.937,35,65,0,10,10,17,23,19,21
65,嚥下,67900,60,2.158,17.114,35,65,3,7,8,16,25,22,19
66,マズローの5段階欲求,60800,60,2.359,9.295,44,56,5,18,15,23,21,11,7
67,低カリウム血症,57600,60,2.335,6.871,29,71,1,17,15,21,22,15,9
