順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,甲状腺,190000,1000,3.198,-0.001,33,67,2,7,12,19,24,18,18
2,副甲状腺機能亢進症,17200,920,5.539,0,32,68,1,13,10,17,22,20,17
3,副甲状腺ホルモン,10500,570,5.571,0,30,70,7,34,8,11,15,13,12
4,副甲状腺腫瘍,2400,320,6.498,0,29,71,1,4,8,15,22,27,23
5,高カルシウム血症,35600,310,3.731,-0.004,29,71,1,12,12,18,22,19,16
6,副甲状腺機能低下症,6400,310,5.428,0.001,30,70,1,15,12,19,23,17,13
7,副甲状腺手術,1500,280,6.889,0.003,22,78,1,1,3,9,23,25,38
8,副腎とは,33800,210,3.382,0,33,67,1,4,8,17,26,21,23
9,甲状腺 腫瘍,35300,200,3.266,-12.899,22,78,1,3,7,17,28,25,19
10,褐色細胞腫,28000,200,3.483,-0.246,31,69,1,18,12,20,23,16,10
11,アルドステロン,27100,200,3.521,-0.098,31,69,3,25,10,18,20,14,10
12,カルシトニン,10600,190,4.439,-0.002,34,66,6,41,11,12,13,10,7
13,三叉神経,33600,180,3.252,-0.014,33,67,4,16,13,19,20,14,14
14,テタニー症状,25100,180,3.52,0.001,28,72,2,27,18,21,18,9,5
15,原発性副甲状腺機能亢進症,3600,180,5.446,4.344,32,68,0,19,13,17,20,19,12
16,アジソン病,31800,160,3.179,-2.022,27,73,2,21,12,18,22,15,10
17,原発性アルドステロン症,28500,160,3.25,-0.961,33,67,1,15,12,19,25,17,11
18,甲状腺ホルモン,20000,160,3.652,-0.006,33,67,4,20,14,18,20,13,11
19,バソプレシン,19300,160,3.696,-0.075,34,66,17,35,12,15,11,6,4
20,副腎,16200,160,3.844,0,36,64,4,10,14,21,22,14,15
21,ファロー四徴症,33600,150,3.056,0.759,28,72,2,28,21,20,16,9,4
22,低カルシウム血症,15200,150,3.814,0.005,31,69,1,18,16,19,20,14,12
23,アセチルコリン,22400,140,3.368,-18.307,35,65,9,21,11,17,19,12,11
24,エリスロポエチン,21000,140,3.474,-6.387,33,67,5,30,12,16,17,11,9
25,サイログロブリンとは,17300,140,3.681,-0.002,23,77,0,6,8,15,25,24,22
26,オルケディア,10500,140,4.119,-0.001,40,60,0,13,20,23,22,14,8
27,pth intactとは,4500,130,4.912,-0.006,33,67,0,6,12,17,24,22,19
28,脳幹,24700,120,3.13,-0.035,36,64,8,17,11,17,19,14,14
29,脳下垂体,10200,120,4.056,-0.006,34,66,10,10,11,18,18,15,18
30,甲状腺クリーゼ,22100,110,3.147,-0.002,24,76,2,27,25,20,15,7,4
31,視床下部,21100,110,3.187,-0.011,36,64,11,17,12,18,18,12,12
32,亜急性甲状腺炎,19600,110,3.23,-12.496,25,75,1,7,13,24,27,17,11
33,グルカゴン,16300,110,3.477,-0.241,37,63,8,21,13,18,18,12,10
34,腺腫様甲状腺腫,9700,110,3.949,-5.9,22,78,1,6,12,20,28,19,14
35,パラソルモン,4400,110,4.774,0,27,73,8,54,11,12,10,3,2
36,免疫グロブリン,19300,100,3.229,-0.434,31,69,9,21,13,16,17,12,12
37,びまん性とは,19000,100,3.229,-0.672,37,63,2,19,10,16,21,17,15
38,松果体,15900,100,3.364,-1.098,35,65,4,15,13,21,24,14,9
39,甲状腺腫瘍,14000,100,3.473,-6.109,24,76,1,7,11,20,28,19,14
40,門脈とは,13200,100,3.615,-16.259,37,63,7,18,10,17,20,14,14
41,胸腺,13000,100,3.59,1.861,36,64,7,14,11,18,20,15,15
42,下垂体,11600,100,3.733,-3.902,35,65,5,17,15,20,20,13,10
43,副甲状腺機能亢進症 症状,1200,100,5.928,0.006,22,78,1,11,7,14,28,23,16
44,代謝性アシドーシス,20300,90,3.027,-0.396,27,73,3,34,18,19,15,7,4
45,ipmn 膵臓,20100,90,3.052,-36.363,36,64,0,10,13,19,22,19,17
46,バージャー病,18200,90,3.095,-44.801,35,65,1,15,13,19,21,18,13
47,迷走神経,14300,90,3.337,9.825,33,67,4,17,14,20,20,13,12
48,ダグラス窩,13800,90,3.359,15.972,25,75,3,32,20,20,14,7,4
49,反回神経麻痺,12100,90,3.549,-0.516,31,69,1,22,15,19,18,14,11
50,脳神経,11700,90,3.601,-39.343,38,62,6,30,11,16,15,11,11
51,カテコールアミンとは,9700,90,3.782,-5.723,26,74,5,43,10,13,14,9,6
52,大脳基底核,8700,90,3.916,0.553,43,57,6,40,14,14,11,8,7
53,pth とは,4400,90,4.581,-0.045,31,69,3,29,11,15,18,12,12
54,ランゲルハンス島,19000,80,3.036,-3.233,43,57,17,23,10,15,15,10,10
55,神経鞘腫,18000,80,3.061,-17.911,37,63,1,10,14,20,23,17,15
56,tsh 低い,17700,80,3.095,-2.298,16,84,1,7,16,21,27,16,12
57,錐体外路症状,17300,80,3.056,-20.907,30,70,1,27,16,20,19,10,7
58,バレー徴候,16900,80,3.085,-6.688,38,62,2,41,21,18,11,4,3
59,腎性貧血,15200,80,3.245,3.011,30,70,1,17,14,21,22,15,10
60,小脳,13300,80,3.387,-0.009,36,64,4,14,11,17,19,16,19
61,プロトロンビン時間,12600,80,3.368,-9.856,27,73,1,30,10,17,17,12,13
62,インスリノーマ,11900,80,3.467,0.001,30,70,2,19,15,20,21,14,9
63,巨赤芽球性貧血,10800,80,3.516,1.04,29,71,4,30,13,18,17,11,7
64,ケルニッヒ徴候,9300,80,3.711,-2.575,41,59,2,50,18,15,9,4,2
65,テタニー,8900,80,3.759,-0.003,32,68,3,35,17,18,15,8,4
66,糖質コルチコイド,8500,80,3.819,-0.035,36,64,19,36,10,14,12,6,3
67,錐体路,8300,80,3.862,-16.368,42,58,5,47,14,13,12,5,4
68,冠状動脈,7500,80,3.884,-5.088,35,65,10,36,9,12,13,10,10
69,ソマトスタチン,7300,80,3.98,-0.014,35,65,6,48,12,13,11,6,4
70,acth ホルモン,7000,80,3.983,-0.489,30,70,3,31,11,17,17,12,9
71,門脈,6800,80,4.034,4.203,38,62,9,33,14,16,14,8,6
72,甲状腺手術,5500,80,4.221,-6.067,20,80,1,3,5,16,31,26,18
73,副腎皮質,4700,80,4.441,-0.001,36,64,11,21,14,17,17,11,9
74,透析患者,15200,70,3.136,3.821,39,61,0,6,5,14,25,26,24
75,テリパラチド,14300,70,3.122,0,36,64,0,16,16,18,20,16,14
76,ホルネル症候群,13500,70,3.253,-9.84,36,64,1,33,18,16,17,10,5
77,ナットクラッカー症候群,13200,70,3.133,-52.174,33,67,1,13,17,26,22,13,8
78,延髄,12200,70,3.334,-1.19,37,63,10,19,15,19,16,11,10
79,甲状腺腫,12100,70,3.344,-5.898,22,78,2,8,11,22,28,17,12
80,血友病,12100,70,3.315,2.013,32,68,5,22,20,21,17,8,7
81,閉塞性換気障害,10600,70,3.448,-12.038,32,68,3,36,12,13,15,12,9
82,僧帽弁,10600,70,3.444,-14.92,41,59,5,28,14,17,14,11,11
83,腕神経叢,9900,70,3.49,-34.968,49,51,4,37,18,18,13,6,4
84,アダムスストークス症候群,9600,70,3.502,15.056,40,60,1,36,19,17,12,8,7
85,大脳辺縁系,9400,70,3.52,-9.992,37,63,8,26,11,16,17,12,10
86,門脈圧亢進症,6900,70,3.793,-16.028,36,64,2,26,14,19,19,12,8
87,反回神経,5400,70,4.104,-3.42,39,61,2,35,13,13,14,11,12
88,フォルクマン拘縮,5100,70,4.149,-13.146,35,65,3,55,13,15,10,3,1
89,洞房結節,5000,70,4.211,-6.981,38,62,28,36,8,10,10,5,3
90,シンチ検査とは,4900,70,4.235,15.204,34,66,1,5,6,14,22,22,30
91,セクレチンとは,4300,70,4.378,1.624,28,72,12,51,9,12,9,4,3
92,パラトルモン,4300,70,4.348,0,37,63,28,44,7,7,7,4,3
93,pth,3100,70,4.624,0.044,41,59,2,28,16,18,16,11,9
94,甲状腺全摘出後の後遺症,2200,70,5.019,-0.005,25,75,1,9,6,18,29,22,15
95,二次性副甲状腺機能亢進症,1900,70,5.09,-0.003,41,59,1,25,18,22,18,10,6
96,シックデイとは,12800,60,3.029,37.374,27,73,1,24,16,22,19,11,7
97,クリニカルパスとは,12400,60,3.12,-18.293,28,72,4,28,10,15,19,14,10
98,mp関節,12400,60,3.027,-27.948,38,62,2,19,17,23,20,12,7
99,アルカリフォスファターゼ,12100,60,3.114,-3.411,26,74,1,16,9,17,23,17,17
100,クレチン症,11100,60,3.301,-3.916,25,75,2,26,22,18,15,11,6
101,tnm分類,11000,60,3.316,-9.822,35,65,1,37,14,16,16,10,6
102,クスマウル呼吸とは,9800,60,3.301,-11.931,33,67,4,43,16,17,12,5,3
103,慢性甲状腺炎,9700,60,3.375,-0.562,21,79,1,11,14,22,26,17,9
104,手根骨,9600,60,3.304,-0.232,50,50,6,27,18,20,16,8,5
105,日臨技,9400,60,3.338,-60.091,32,68,0,21,25,22,19,10,3
106,悪性貧血,9000,60,3.471,-4.383,33,67,3,24,13,21,18,12,9
107,トリプシン,9000,60,3.445,-1.858,40,60,17,23,8,16,15,11,10
108,ロンベルグ徴候,8600,60,3.446,-5.831,44,56,1,50,17,15,9,5,3
109,ミオグロビン,8400,60,3.448,1.11,44,56,7,31,12,16,15,11,8
110,椎骨動脈,8300,60,3.577,2.496,43,57,3,22,16,18,19,12,10
111,内頸動脈,7700,60,3.541,-9.08,36,64,3,29,16,18,16,11,7
112,抗利尿ホルモン,6900,60,3.767,-6.474,32,68,4,29,12,19,16,10,10
113,脳神経 覚え方,6400,60,3.728,-19.291,27,73,8,52,11,12,9,3,5
114,膠質浸透圧,6200,60,3.885,-3.028,31,69,10,50,10,12,10,5,3
115,ネフロンとは,6200,60,3.882,-6.142,32,68,17,35,7,12,13,8,8
116,心拍出量,6200,60,3.816,-29.305,39,61,5,42,16,16,11,5,5
117,超音波検査学会,6000,60,3.86,-46.234,27,73,0,12,23,28,20,11,6
