順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,副腎とは,33800,1000,4.641,-0.002,33,67,1,4,8,17,26,21,23
2,副腎皮質ホルモン,64300,920,3.909,0,30,70,3,11,8,14,20,20,24
3,副腎腫瘍,17600,670,4.87,0,33,67,0,3,6,15,26,25,25
4,腎臓,134000,630,2.758,-0.001,45,55,3,8,11,19,22,17,20
5,膵臓,115000,470,2.624,-0.001,45,55,2,6,10,17,23,19,23
6,脾臓,68100,470,3.144,-0.001,39,61,4,10,13,20,21,16,16
7,クッシング症候群,70600,460,3.075,0.001,25,75,2,21,14,20,23,13,7
8,コルチゾール,52000,460,3.374,0.003,34,66,2,14,14,23,23,14,10
9,副腎疲労,19600,430,4.259,0,27,73,1,6,18,29,24,12,10
10,肝臓,90800,350,2.567,-0.002,43,57,3,8,12,19,21,17,20
11,アルドステロン,27100,340,3.739,-0.002,31,69,3,25,10,18,20,14,10
12,原発性アルドステロン症,28500,300,3.552,-0.005,33,67,1,15,12,19,25,17,11
13,褐色細胞腫,28000,250,3.398,0.001,31,69,1,18,12,20,23,16,10
14,副腎不全,12000,240,4.204,-0.001,33,67,1,12,16,20,21,16,14
15,視床下部,21100,220,3.563,-0.001,36,64,11,17,12,18,18,12,12
16,十二指腸,43900,210,2.761,-0.005,39,61,4,9,12,19,21,18,17
17,三叉神経,33600,210,3.037,-2.657,33,67,4,16,13,19,20,14,14
18,副腎皮質機能低下症,11000,210,4.153,0.002,25,75,1,11,12,18,23,19,16
19,脊髄,41600,190,2.746,2.797,41,59,5,10,8,15,21,17,24
20,インスリン,41200,190,2.728,0.067,46,54,7,14,12,17,19,15,16
21,脾臓 役割,40200,190,2.782,0.006,37,63,3,10,10,18,22,19,18
22,アジソン病,31800,190,3,-0.001,27,73,2,21,12,18,22,15,10
23,下垂体,11600,190,3.983,-0.005,35,65,5,17,15,20,20,13,10
24,副腎疲労 治し方,6800,180,4.459,0,28,72,1,4,11,25,31,17,11
25,アルブミン,39800,160,2.653,0.089,35,65,3,11,9,16,21,17,23
26,脳幹,24700,160,3.111,-0.006,36,64,8,17,11,17,19,14,14
27,バソプレシン,19300,160,3.374,-0.125,34,66,17,35,12,15,11,6,4
28,副甲状腺,11600,160,3.844,0,32,68,3,9,10,20,24,17,17
29,脳下垂体,10200,160,4.021,-0.001,34,66,10,10,11,18,18,15,18
30,横隔膜,36100,150,2.617,-0.006,43,57,6,13,15,18,19,15,14
31,ビリルビン,29200,150,2.879,-0.062,39,61,4,14,13,18,19,16,16
32,松果体,15900,150,3.421,-0.002,35,65,4,15,13,21,24,14,9
33,ノルアドレナリン,33100,140,2.683,0.024,35,65,4,24,17,21,17,9,8
34,脳,26400,140,2.874,-0.118,38,62,7,10,9,18,20,16,20
35,コートリル,19900,140,3.17,4.581,30,70,0,16,15,22,22,15,10
36,副腎皮質,4700,140,4.588,0,36,64,11,21,14,17,17,11,9
37,サイトカインとは,31800,130,2.62,1.093,33,67,4,15,10,18,19,17,17
38,糖新生とは,27100,130,2.828,1.249,28,72,3,17,8,14,23,20,15
39,プロラクチン,25700,120,2.727,5.531,30,70,3,23,23,22,16,8,5
40,亢進とは,24400,120,2.775,0.015,35,65,5,17,10,19,23,14,12
41,アセチルコリン,22400,120,2.94,-0.001,35,65,9,21,11,17,19,12,11
42,エリスロポエチン,21000,120,2.94,0.173,33,67,5,30,12,16,17,11,9
43,甲状腺ホルモン,20000,120,2.964,0.005,33,67,4,20,14,18,20,13,11
44,グルカゴン,16300,120,3.211,0.007,37,63,8,21,13,18,18,12,10
45,迷走神経,14300,120,3.328,0.411,33,67,4,17,14,20,20,13,12
46,acth,8200,120,3.884,0.086,33,67,3,29,15,17,16,11,9
47,コルチゾール 低い,7300,120,3.958,-0.113,22,78,1,6,11,23,30,18,11
48,中枢神経,19300,110,2.978,3.532,31,69,12,16,10,18,18,12,14
49,ランゲルハンス島,19000,110,2.988,0.001,43,57,17,23,10,15,15,10,10
50,胸腺,13000,110,3.386,0.025,36,64,7,14,11,18,20,15,15
51,アルドステロン症 症状,8400,110,3.785,-1.032,25,75,1,6,8,19,27,20,19
52,副腎 腫瘍,2100,110,5.148,0,28,72,0,5,12,29,30,14,10
53,アシドーシスとは,26000,100,2.555,-5.945,30,70,3,20,12,18,21,16,10
54,免疫グロブリン,19300,100,2.853,15.174,31,69,9,21,13,16,17,12,12
55,小脳,13300,100,3.29,0.011,36,64,4,14,11,17,19,16,19
56,延髄,12200,100,3.286,0.082,37,63,10,19,15,19,16,11,10
