順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,甲状腺機能低下症,547000,60,1.871,0.021,23,77,1,6,10,16,21,20,26
2,バセドウ病,454000,50,1.824,-17.671,31,69,3,13,16,23,24,13,8
3,ビタミンd,343000,50,2.013,-9.636,30,70,1,6,12,19,24,20,18
4,骨粗鬆症,301000,50,2.235,-11.656,24,76,2,5,5,12,22,25,29
5,統合失調症,598000,40,1.338,-58.18,33,67,3,11,14,22,24,15,11
6,膠原病,541000,40,1.379,-11.125,32,68,1,6,11,19,24,19,20
7,起立性調節障害,325000,40,1.782,-17.582,23,77,9,9,12,34,22,7,7
8,甲状腺機能亢進症,259000,40,2.133,-0.029,23,77,2,8,11,23,27,17,12
9,流浪の月,158000,40,2.533,-0.004,33,67,5,11,14,22,25,15,8
10,テストステロン,146000,40,2.759,-0.359,68,32,5,12,15,21,21,14,12
11,ターナー症候群,40100,40,3.905,-0.008,22,78,3,19,22,22,16,12,6
12,アデノウイルス,420000,30,1.395,-26.842,28,72,2,9,29,27,15,12,6
13,自閉症スペクトラム,377000,30,1.354,-36.453,27,73,2,8,18,26,21,15,10
14,マンジャロ,361000,30,1.445,-3.077,31,69,2,15,21,26,21,10,5
15,亜鉛 食べ物,331000,30,1.449,8.013,27,73,1,7,14,22,24,17,15
16,橋本病,317000,30,1.801,-18.772,23,77,2,7,13,22,25,17,14
17,強迫性障害,289000,30,1.612,-39.942,32,68,5,14,18,24,22,11,6
18,シェーグレン症候群,276000,30,1.681,-1.989,20,80,1,7,9,17,26,23,17
19,悪性リンパ腫,244000,30,1.751,18.376,32,68,2,7,11,22,25,18,15
20,メトホルミン,234000,30,2.007,-48.949,33,67,0,6,11,23,30,18,12
21,アトピー性皮膚炎,186000,30,1.999,2.608,30,70,3,10,16,24,23,13,11
22,脂質異常症,175000,30,2.212,-22.031,30,70,1,9,12,20,27,18,13
23,全身性エリテマトーデス,119000,30,2.532,28.942,20,80,2,16,16,22,22,14,8
24,多発性骨髄腫,88400,30,2.894,-1.619,33,67,1,8,9,16,23,22,21
25,サルコイドーシス,83200,30,3.038,-2.387,31,69,1,9,12,20,24,19,15
26,クッシング症候群,70700,30,3.296,-3.287,25,75,2,21,14,20,23,13,7
27,アジソン病,32500,30,3.867,2.221,27,73,2,21,12,18,22,15,10
28,クラインフェルター症候群,31200,30,4.093,0.122,28,72,3,19,18,22,20,12,6
29,褐色細胞腫,27400,30,4.008,33.797,32,68,1,19,12,20,22,16,10
30,ウゴービ,27000,30,3.94,-1.182,41,59,0,6,16,27,28,15,8
31,下垂体機能低下症,9100,30,5.301,-0.272,26,74,2,12,14,21,23,16,12
32,糖尿病学会,6300,30,5.451,-39.032,48,52,0,6,18,29,24,14,9
33,平成26年 西暦,339000,20,1.307,21.855,47,53,1,6,14,21,26,19,13
34,女神降臨,310000,20,1.382,-3.412,17,83,9,11,12,22,24,14,8
35,isfp,309000,20,1.332,-20.184,27,73,18,41,20,12,6,2,1
36,履歴書 書き方,307000,20,1.37,-2.456,36,64,9,17,13,20,23,13,5
37,防風通聖散,306000,20,1.428,1.522,19,81,2,11,18,24,24,13,8
38,ホットヘルパービューティー,292000,20,1.368,-39.311,20,80,3,15,27,30,17,6,2
39,デエビゴ,285000,20,1.533,13.482,34,66,1,9,12,20,24,18,16
40,中村克,285000,20,1.323,19.926,23,77,2,7,18,25,24,15,9
41,平成24年は西暦,283000,20,1.312,-125.015,47,53,1,5,13,22,26,19,14
42,オロパタジン,282000,20,1.476,-28.535,33,67,2,7,16,30,23,11,11
43,飛蚊症,282000,20,1.371,-0.528,37,63,3,7,11,16,26,23,14
44,潰瘍性大腸炎,278000,20,1.352,63.229,35,65,2,11,16,22,24,15,10
45,ビタミンd 食べ物,277000,20,1.329,38.07,22,78,1,6,11,19,25,20,18
46,カンジダ,265000,20,1.425,-16.17,27,73,5,22,22,22,16,7,6
47,心不全,264000,20,1.547,-23.127,34,66,2,7,10,18,24,19,20
48,虚血性心疾患,262000,20,1.364,18.73,41,59,2,6,9,17,25,20,21
49,カンピロバクター,249000,20,1.372,-57.8,39,61,3,14,17,21,22,14,9
50,子宮内膜症,249000,20,1.37,-13.416,15,85,4,19,24,25,15,8,5
51,ビタミンb12,243000,20,1.581,14.818,32,68,1,5,9,16,24,21,24
52,咳喘息,235000,20,1.43,-4.576,27,73,3,10,20,25,18,15,9
53,履歴書,232000,20,1.504,-23.581,40,60,10,21,15,19,18,11,6
54,顎関節症,231000,20,1.482,22.587,32,68,6,12,15,21,21,13,12
55,五苓散,222000,20,1.569,-46.746,26,74,1,8,17,27,24,13,10
56,きのう何食べた,220000,20,1.497,-15.465,18,82,2,5,13,24,29,19,8
57,ムコダイン,219000,20,1.505,18.553,32,68,1,6,15,25,22,16,15
58,リベルサス,217000,20,1.662,-21.771,30,70,1,12,19,25,24,12,7
59,梅毒,210000,20,1.842,-48.707,48,52,4,17,23,25,18,8,5
60,ナルコレプシー,207000,20,1.571,-99.115,29,71,5,16,17,22,22,12,6
61,フロモックス,206000,20,1.676,-55.843,33,67,1,7,14,22,23,17,16
62,父の日 プレゼント,201000,20,1.637,-66.153,26,74,4,15,25,31,17,5,3
63,deepl,199000,20,1.903,41.38,59,41,16,25,15,17,14,7,6
64,干支早見表,199000,20,1.625,-15.71,39,61,1,4,12,19,25,20,19
65,プレドニン,191000,20,1.67,-9.077,28,72,1,8,12,21,24,18,16
66,crp 高い 数値,186000,20,1.751,36.938,33,67,0,5,9,16,23,23,24
67,肺気腫,182000,20,1.948,-38.51,42,58,1,6,8,16,22,20,27
68,脂漏性皮膚炎,176000,20,1.81,1.734,30,70,2,12,18,24,22,13,9
69,小青竜湯,176000,20,1.729,16.891,28,72,1,6,16,24,23,16,14
70,泌尿器科,174000,20,1.764,-0.856,45,55,2,9,12,20,22,16,19
71,卵巣嚢腫,171000,20,1.858,-13.341,15,85,1,10,16,24,23,15,11
72,ゾフルーザ,159000,20,1.939,53.952,34,66,1,5,15,31,26,14,8
73,ベーチェット病,155000,20,2.042,9.007,27,73,2,13,17,21,22,15,10
74,藤田医科大学病院,154000,20,2.041,-53.932,37,63,1,6,8,16,23,21,25
75,エチゾラム,142000,20,2.058,74.957,33,67,1,8,11,20,25,18,17
76,機能性ディスペプシア,141000,20,2.156,0.728,27,73,2,11,16,21,22,16,12
77,アスベリン,133000,20,1.927,72.647,25,75,1,6,25,36,17,8,7
78,ネフローゼ症候群,132000,20,2.124,38.786,32,68,2,13,13,21,22,15,14
79,高脂血症,122000,20,2.282,83.048,32,68,1,5,8,14,23,25,24
80,筋ジストロフィー,116000,20,2.24,-0.003,32,68,2,11,15,22,23,15,12
81,男性 更年期障害,111000,20,2.431,-32.878,53,47,0,1,6,29,42,15,7
82,横紋筋融解症,108000,20,2.553,-40.717,32,68,1,11,11,16,21,20,20
83,腸腰筋,108000,20,2.409,-15.033,40,60,3,9,14,24,22,15,13
84,多発性硬化症,106000,20,2.538,1.609,27,73,1,9,11,19,24,20,16
85,ast 高い 原因,100000,20,2.36,14.157,37,63,1,7,10,15,24,21,22
86,三叉神経痛,96100,20,2.454,-16.627,29,71,1,6,12,21,25,19,16
87,エスゾピクロン,76600,20,2.655,-5.698,33,67,1,12,15,22,24,14,12
88,1型糖尿病,75600,20,2.778,88.336,36,64,3,12,14,21,21,16,13
89,wpw症候群,55100,20,3.068,174.016,34,66,2,17,17,23,20,13,8
90,サイトメガロウイルス,54100,20,2.891,-43.39,23,77,1,15,28,20,17,12,7
91,低ナトリウム血症,53500,20,3.02,-5.403,33,67,1,18,17,21,21,13,9
92,pubmed,52500,20,3.217,-57.588,68,32,1,18,22,27,17,9,6
93,プラダーウィリー症候群,52300,20,3.255,-10.316,10,90,4,33,24,17,12,7,3
94,伝染性単核球症,46600,20,3.062,-73.369,34,66,3,22,17,21,21,10,6
95,ckd,44500,20,3.068,28.172,53,47,1,13,13,21,24,16,12
96,テストステロン 増やす,44200,20,3.287,0.001,85,15,3,10,15,23,24,14,11
97,tfcc損傷,43800,20,3.103,71.006,44,56,5,13,17,24,23,12,6
98,高カルシウム血症,35600,20,3.554,-25.881,29,71,1,12,13,18,22,18,16
99,医療情報取得加算,34600,20,3.642,-78.931,27,73,1,6,14,26,29,16,8
100,エストラーナテープ,32800,20,3.331,-0.027,11,89,1,7,30,27,25,6,4
101,エストラジオール,32500,20,3.346,-18.993,15,85,1,9,16,28,34,8,4
102,原発性アルドステロン症,28500,20,3.811,-41.995,33,67,1,15,12,19,25,17,11
103,プロラクチン,25900,20,3.635,-37.2,30,70,3,23,23,22,16,8,5
104,先端巨大症,24400,20,3.662,-2.956,21,79,2,10,11,27,31,14,5
105,成長ホルモン,23600,20,3.736,74.533,36,64,5,7,10,27,24,15,12
106,家族性高コレステロール血症,20600,20,3.971,-0.222,29,71,1,12,14,21,25,17,10
107,高プロラクチン血症,19900,20,3.972,0.317,16,84,2,18,30,24,14,8,4
108,副甲状腺機能亢進症,17200,20,4.106,-20.526,32,68,1,13,10,17,22,20,17
109,在宅自己注射指導管理料,11700,20,4.701,-4.112,23,77,0,6,15,30,31,12,6
110,日本糖尿病学会,6600,20,4.992,-62.833,45,55,0,7,14,23,24,18,14
111,カルマン症候群,3200,20,5.996,0.002,34,66,3,16,18,24,20,12,7
112,内分泌学会,2200,20,6.137,1.909,56,44,1,5,19,30,22,13,10
