順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,骨粗鬆症 注射,34100,12600,4.355,0,19,81,0,3,5,9,21,29,33
2,骨粗鬆症 薬,33700,12600,4.373,0,17,83,0,3,4,8,21,31,33
3,骨密度を上げるには,93400,12500,3.323,0.001,18,82,1,1,4,11,25,28,30
4,骨密度 基準値 年齢別,65500,8100,3.261,0.001,18,82,0,2,3,10,22,29,34
5,カルシウムの多い食品,180000,7500,2.095,0.01,25,75,2,7,10,18,23,20,20
6,骨粗鬆症 検査,24500,7300,4.104,0,16,84,0,2,4,13,27,28,26
7,圧迫骨折とは,122000,7200,2.502,-0.477,27,73,1,3,4,10,21,24,37
8,骨粗鬆症治療薬,35200,7000,3.711,0,20,80,1,3,5,12,24,29,26
9,骨密度検査,51200,5600,3.1,0,18,82,1,3,5,14,26,25,26
10,骨粗鬆症 予防,18200,5500,4.085,0,19,81,2,5,6,16,27,24,20
11,エルデカルシトール,58100,5000,2.85,7.117,24,76,0,9,9,15,21,20,26
12,エルデカルシートカプセル0.75,41300,4900,3.254,5.849,18,82,0,3,4,8,16,29,40
13,関節リウマチ,121000,4100,1.869,0,30,70,2,11,11,16,24,19,17
14,大腿骨骨折,105000,4100,2.056,0.147,28,72,1,4,6,13,23,25,28
15,大腿骨,107000,3800,1.949,-0.002,35,65,3,6,8,14,21,22,26
16,イベニティ皮下注射,28000,3700,3.244,5.543,27,73,0,5,11,19,23,20,22
17,骨粗鬆症 薬 副作用,8500,3600,4.533,0.001,10,90,0,1,2,5,19,38,35
18,大腿骨頚部骨折,62200,3500,2.419,-4.861,29,71,1,9,8,13,23,23,23
19,アレンドロン酸錠35mg,36700,3500,2.954,0.558,27,73,0,7,8,14,21,22,28
20,脊柱管狭窄症 症状,108000,3400,1.893,0,34,66,0,2,3,7,17,26,45
21,サルコペニアとは,89200,3400,2.038,1.474,32,68,2,8,7,14,21,21,27
22,エンレスト,88900,3300,1.928,-5.668,37,63,0,12,15,23,24,14,12
23,プラリア皮下注,33200,3300,2.981,2.178,22,78,0,5,9,19,24,19,24
24,骨粗鬆症治療薬 注射,18000,3200,3.619,0.129,18,82,0,2,5,11,23,28,31
25,骨粗鬆症 症状,9300,3100,4.226,0.001,14,86,2,6,5,12,23,27,25
26,リマプロストアルファデクス錠5μg,90700,3000,1.899,-0.091,35,65,0,5,7,13,19,21,35
27,ジクトルテープ75mg,87500,3000,1.912,5.517,30,70,1,4,8,18,26,22,21
28,アルファカルシドール,51300,3000,2.452,2.95,25,75,0,14,13,18,21,17,17
29,リウマチ性多発筋痛症,81400,2900,1.971,-1.098,28,72,0,4,6,13,25,24,28
30,腰椎圧迫骨折,41300,2900,2.636,-0.524,33,67,1,8,6,12,21,23,29
31,廃用症候群とは,73500,2800,1.975,0.247,27,73,2,13,10,16,25,21,13
32,圧迫骨折 高齢者,44100,2800,2.577,-1.504,22,78,0,2,3,9,26,25,35
33,圧迫骨折 痛み いつまで,26800,2800,3.122,-0.689,21,79,0,1,2,7,19,27,44
34,骨粗鬆症 サプリ,6900,2700,4.381,0,12,88,0,1,4,13,32,27,23
35,ビソプロロールフマル酸塩,78300,2600,1.866,6.329,32,68,0,11,11,19,23,18,18
36,慢性腎臓病,77500,2600,1.87,0.004,37,63,1,7,7,15,24,23,23
37,カルシウム,59200,2600,2.159,1.502,34,66,3,7,10,16,19,18,27
38,高カルシウム血症,35600,2500,2.605,6.734,29,71,1,12,13,18,22,18,16
39,クロピドグレル,66800,2400,1.908,-1.167,33,67,0,16,14,20,22,15,13
40,腰部脊柱管狭窄症,63800,2400,2.005,-0.002,37,63,1,9,8,14,22,21,25
41,骨密度 測定方法,25300,2400,3.006,0.001,23,77,1,2,4,11,22,27,33
42,エディロールカプセル0.75,24400,2400,3.023,0.298,19,81,0,5,7,12,20,24,32
43,骨粗鬆症 原因,6400,2400,4.312,0,25,75,3,12,8,12,22,23,20
44,メトトレキサート,59000,2300,2.02,0.003,29,71,1,14,12,19,23,17,14
45,tracp-5b,15900,2300,3.423,7.453,22,78,0,4,8,12,19,25,32
46,リクシアナ,60400,2200,1.934,5.109,39,61,0,13,12,19,21,17,18
47,ビスホスホネート製剤,16600,2200,3.284,0.317,29,71,1,21,12,14,16,17,19
48,イベニティ,16000,2200,3.258,7.808,39,61,0,8,13,18,22,19,20
49,アミティーザカプセル,60500,2100,1.935,1.883,27,73,0,9,10,19,23,18,21
50,ドネペジル,60400,2100,1.869,-1.256,28,72,1,10,11,20,28,18,12
51,圧迫骨折,30600,2100,2.65,-0.485,29,71,0,4,6,10,18,21,41
52,骨密度を上げるには 60代,12500,2100,3.64,0.013,16,84,0,0,1,0,4,65,30
53,人工股関節置換術,53500,2000,2.04,-3.326,26,74,0,4,3,7,21,37,28
54,デノタスチュアブル配合錠,29700,2000,2.601,0.677,27,73,0,10,11,18,22,18,21
55,テリボン皮下注射,19000,2000,3.021,1.754,25,75,0,10,12,20,23,18,17
56,ミノドロン酸錠50mg,18900,2000,3.056,4.3,25,75,0,5,7,14,20,22,32
57,mbp 雪印 副作用,16700,2000,3.242,5.034,10,90,0,0,2,7,20,33,38
58,dダイマーとは,55100,1900,1.888,1.025,26,74,1,16,12,19,22,16,14
59,偽痛風とは,52800,1900,1.934,-0.044,7,93,0,9,10,17,25,23,16
60,深部静脈血栓症,40900,1900,2.179,-0.024,27,73,2,22,13,18,20,14,11
61,エディロール,21800,1900,2.855,2.211,26,74,0,9,9,15,20,21,26
62,プラリア,19200,1900,2.955,3.736,36,64,0,9,13,19,20,19,20
63,骨密度,18600,1900,3.036,0.002,24,76,1,4,7,16,24,21,27
64,骨粗しょう症予防,16700,1900,3.104,0,20,80,2,3,6,20,31,21,17
65,骨折,53600,1800,1.89,0.001,37,63,3,5,9,16,22,22,23
66,エリキュース,51700,1800,1.908,-1.084,36,64,0,14,14,20,22,16,14
67,脊椎,51000,1800,1.906,-0.002,38,62,3,9,10,17,21,17,23
68,腰椎,42100,1800,2.124,0.006,40,60,2,8,9,15,21,20,25
69,ラロキシフェン塩酸塩錠60,14200,1800,3.307,2.567,15,85,0,2,4,7,21,32,34
70,バゼドキシフェン錠20mg,13900,1800,3.316,8.355,18,82,0,2,6,11,20,30,31
71,シングリックス,46400,1700,1.959,11,32,68,1,3,8,17,31,24,16
72,テリパラチド,14300,1700,3.152,1.629,36,64,0,17,16,19,19,15,14
73,膝関節変形症,48600,1600,1.938,12.218,24,76,1,1,3,8,22,29,36
74,グーフィス錠,46200,1600,1.895,-20.046,30,70,1,9,10,18,23,18,21
75,メマンチン,44800,1600,1.908,-1.879,29,71,0,10,13,23,27,17,10
76,長谷川式簡易知能評価スケール,42600,1600,1.981,-16.529,26,74,1,16,13,22,26,12,10
77,ロコモティブシンドローム,34600,1600,2.236,0.066,37,63,8,17,9,15,19,15,17
78,腰椎すべり症,46600,1500,1.881,2.536,33,67,1,5,8,14,22,25,25
79,シロスタゾール,43500,1500,1.908,4.038,33,67,1,16,14,20,22,15,12
80,高カリウム血症,43300,1500,1.882,3.689,36,64,1,19,15,19,19,14,13
81,イグザレルト,41900,1500,1.944,-4.075,39,61,0,13,14,21,21,16,15
82,アゾセミド,40700,1500,1.913,0.085,30,70,0,15,14,22,23,15,11
83,カルシウム サプリ,31100,1500,2.27,0.845,25,75,1,4,9,18,27,22,19
84,胸椎圧迫骨折,21500,1500,2.63,-0.001,29,71,1,5,6,12,22,26,28
85,圧迫骨折 治療法,16900,1500,2.973,-1.143,24,76,0,2,3,8,19,28,40
86,ボンビバ静注,11700,1500,3.228,1.193,21,79,0,5,9,16,22,22,26
87,sglt2阻害薬,39700,1400,1.913,-1.496,46,54,0,12,12,19,22,19,16
88,生活習慣病管理料,39600,1400,1.911,-81.321,31,69,1,3,8,22,30,22,14
89,メインテート,39300,1400,1.893,-12.636,34,66,0,11,11,20,22,18,18
90,慢性心不全,36500,1400,1.978,-1.189,30,70,1,12,9,16,24,21,17
91,閉塞性動脈硬化症,36200,1400,2,3.028,33,67,2,12,10,16,22,19,19
92,ビタミンk 食べ物 一覧,28900,1400,2.317,6.904,27,73,1,3,5,12,22,25,32
93,橈骨遠位端骨折,28700,1400,2.253,-2.139,34,66,2,13,13,21,21,18,12
94,カルシウム 吸収率 上げる,21600,1400,2.539,0.008,22,78,1,3,8,22,29,21,16
95,背骨 圧迫骨折,18100,1400,2.805,-1.543,31,69,1,1,4,10,20,25,39
96,ビビアント錠20mg,10800,1400,3.266,3.865,19,81,0,4,6,11,19,28,32
97,長谷川式 認知症テスト,38200,1300,1.906,46.815,29,71,1,6,8,17,29,26,13
98,エフィエント,37000,1300,1.897,1.107,40,60,0,15,15,21,21,14,14
99,大腿骨頭壊死,35600,1300,1.979,1.105,31,69,1,6,10,18,25,21,19
100,カルシウム 取りすぎ,21700,1300,2.457,7.49,30,70,2,5,9,15,20,22,27
101,副甲状腺機能亢進症,17200,1300,2.66,1.089,32,68,1,13,10,17,22,20,17
102,コツコツケアカルピス,15100,1300,2.959,2.07,23,77,0,1,1,4,20,32,42
103,顎骨壊死,11900,1300,3.112,4.897,25,75,1,10,8,13,21,23,24
104,骨密度検査 費用,11400,1300,3.138,0,18,82,0,1,2,11,29,29,28
105,骨密度 高い人の特徴,11200,1300,3.146,0.46,13,87,1,2,4,13,28,22,30
106,エルデカルシトールカプセル0.75 トーワ,10900,1300,3.277,8.214,16,84,0,3,3,8,15,27,44
107,間欠性跛行,35700,1200,1.946,6.009,42,58,2,16,9,13,17,17,26
108,cm関節症,35500,1200,1.921,5.447,24,76,1,4,6,11,25,30,23
109,慢性閉塞性肺疾患,35400,1200,1.871,-0.063,32,68,5,15,12,19,22,15,12
110,股関節手術,34200,1200,2.004,-4.217,22,78,0,1,1,5,19,32,42
111,地域包括ケアシステム,30600,1200,1.976,-3.014,32,68,8,23,9,19,21,12,8
112,褥瘡 ステージ,29200,1200,2.02,21.201,21,79,1,12,12,22,27,17,9
113,カルシウム拮抗薬,27900,1200,2.11,2.489,35,65,1,19,8,13,18,19,22
114,カルシウム 1日,27000,1200,2.162,3.809,24,76,1,7,11,19,22,20,20
115,腰椎圧迫骨折 治療期間,17000,1200,2.703,-0.004,25,75,1,2,3,8,24,30,32
116,アルファカルシドール錠0.5,14300,1200,2.879,14.917,24,76,0,5,5,10,19,24,37
117,ラロキシフェン,13200,1200,2.858,0.067,31,69,0,13,15,20,18,17,17
118,リセドロン酸na75mg,10900,1200,3.154,5.529,26,74,0,5,6,13,19,23,34
119,テリボン,9600,1200,3.178,0.009,34,66,0,10,13,19,22,18,18
120,ベタニス錠50mg,35000,1100,1.903,0.477,41,59,0,2,3,7,19,26,43
121,バクタ配合錠,31900,1100,1.939,-3.13,29,71,1,11,11,18,23,18,18
122,ベタニス,31800,1100,1.93,-5.077,37,63,0,11,13,21,19,14,22
123,トラゼンタ錠5mg,30800,1100,1.912,-1.48,35,65,0,5,5,12,29,25,24
124,トルバプタン,29500,1100,1.931,0.035,32,68,0,20,16,22,20,14,8
125,エブランチルカプセル,28600,1100,2.017,9.867,26,74,0,11,14,21,23,17,14
