順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,めまい 漢字,3500,610,4.371,0,37,63,2,8,11,21,26,17,15
2,めまい 良性発作性頭位めまい,3100,350,3.921,0.002,22,78,1,4,15,28,28,16,8
3,めまい ふわふわ,3400,370,3.868,0.002,24,76,4,15,24,27,18,7,5
4,めまい 治らない,3300,340,3.812,0.636,23,77,2,13,27,30,19,6,3
5,めまい 病院,4200,400,3.741,0.004,29,71,2,15,24,27,20,8,4
6,めまい 病名,3200,290,3.695,0,31,69,3,10,19,29,23,12,4
7,めまい 頭痛,8600,750,3.637,0.001,22,78,2,13,22,31,21,8,3
8,めまい 種類,4700,390,3.606,0,28,72,4,21,23,26,17,6,3
9,めまい 耳石,4000,320,3.582,0.001,28,72,1,5,12,25,28,19,10
10,めまい 自律神経,3400,270,3.557,0.002,24,76,2,11,21,29,22,10,5
11,めまい外来,3000,210,3.498,0.598,30,70,1,2,8,18,26,24,21
12,めまい 体操,3300,240,3.462,0.003,24,76,1,4,12,28,29,17,9
13,めまい 横になると,2800,200,3.427,0,21,79,1,7,19,32,26,10,5
14,めまい ストレス,5900,410,3.422,0.001,22,78,3,15,22,29,21,7,3
15,めまい ツボ,4000,270,3.407,0.006,24,76,1,5,16,30,28,13,7
16,めまい 耳鼻科,5400,370,3.403,0.002,26,74,1,11,24,32,20,8,4
17,めまい体操,6800,440,3.379,0.247,28,72,1,4,13,26,25,15,16
18,良性発作性頭位めまい症 繰り返す,6200,390,3.368,1.949,16,84,1,4,10,21,26,23,15
19,めまい 漢方,18200,1200,3.362,0.001,23,77,0,4,13,29,28,15,11
20,めまい 更年期,5400,370,3.361,0.002,11,89,1,2,3,42,47,3,2
21,めまい薬,6000,380,3.36,0.007,25,75,2,5,8,22,32,18,13
22,めまいの種類,3800,230,3.349,0.001,21,79,2,7,8,14,22,24,23
23,めまい 何科,65500,4000,3.317,0,26,74,1,7,14,23,25,16,14
24,めまい漢方薬,3400,200,3.296,0.092,19,81,0,1,3,14,33,28,21
25,めまい ふわふわ 男性,3400,210,3.288,0,65,35,1,5,15,28,27,15,9
26,めまい 対処法,3800,230,3.286,0.002,22,78,5,19,26,24,16,5,5
27,めまい 薬,56800,3300,3.274,0,28,72,1,6,12,23,26,17,15
28,めまい症,4300,250,3.269,0.994,33,67,1,8,15,26,23,14,13
29,頚性めまい,3200,180,3.266,1.989,31,69,2,6,14,25,24,17,12
30,めまい 食べ物,3500,210,3.255,0.005,24,76,2,13,27,31,17,5,5
31,pppd めまい 専門医,3600,200,3.25,7.941,28,72,1,3,7,15,24,22,28
32,ふらつき,4500,250,3.248,0.395,38,62,1,6,12,17,18,17,29
33,良性発作性頭位めまい症 体操,4000,220,3.241,0.428,29,71,1,3,10,21,24,21,20
34,めまい 薬 市販,4800,280,3.237,0.001,25,75,1,8,16,29,28,13,5
35,めまい ツボ 即効性,29400,1600,3.228,0,23,77,0,2,6,21,29,23,19
36,めまい 点滴,3500,200,3.221,0,27,73,0,12,24,31,20,9,4
37,低気圧 めまい,2800,160,3.221,1.554,18,82,1,21,26,24,16,8,4
38,めまい相談医,4500,230,3.216,1.323,30,70,0,1,5,12,22,27,33
39,めまい 市販薬,9400,520,3.19,0.001,24,76,0,9,19,30,27,11,4
40,耳鼻科 めまい,2900,150,3.185,0.064,33,67,0,6,12,19,21,29,13
41,めまいの治し方,4200,210,3.184,0,33,67,1,3,4,11,22,23,36
42,耳石置換法,5200,270,3.165,0.057,35,65,1,3,11,23,25,21,16
43,めまい 嘔吐,4500,240,3.157,0,22,78,0,9,24,31,22,10,4
44,めまい 病院 何科,4100,220,3.157,0,32,68,1,14,25,30,21,7,2
45,めまい ぐるぐる,84300,4300,3.147,-0.001,27,73,1,5,11,21,27,19,16
46,自律神経 めまい,4800,260,3.144,1.428,24,76,2,9,23,29,20,11,6
47,前庭性片頭痛,3100,160,3.133,3.768,25,75,3,10,17,27,23,12,8
48,めまい 漢方 ツムラ,3300,160,3.113,0,19,81,1,2,7,25,31,21,13
49,良性発作性頭位めまい症 薬,7300,360,3.108,0.43,22,78,1,4,12,22,26,21,14
50,回転性めまい,12700,620,3.106,0.001,24,76,3,20,20,21,19,10,7
51,エプリー法,11400,550,3.101,0.325,34,66,1,5,11,21,24,20,18
52,めまいは何科を受診,3300,150,3.097,0,25,75,1,2,5,12,26,28,26
53,眼精疲労 めまい,3800,190,3.085,2.658,34,66,2,9,21,26,21,14,7
54,更年期 めまい,5100,260,3.072,1.009,11,89,1,3,3,40,48,3,2
55,トラベルミン めまい,3100,140,3.064,-0.001,14,86,0,5,12,20,27,21,15
56,めまい 頭痛 吐き気,3300,160,3.063,0,19,81,3,14,23,29,20,7,4
57,pppd,10700,490,3.058,7.16,31,69,2,7,15,21,22,16,17
58,めまい 原因,17600,820,3.044,0.001,29,71,3,18,25,23,17,7,7
59,前庭神経炎 完治まで,4700,210,3.029,0.53,36,64,1,4,7,15,25,27,21
60,めまいが続く病気,5900,270,3.028,0.484,29,71,1,7,14,24,27,15,12
61,貧血 めまい,4800,230,3.026,0.016,18,82,3,18,25,31,16,4,3
62,めまい体操 やり方,4400,190,3.012,0.02,21,79,0,1,5,17,30,27,20
