順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,メタボリックシンドローム 基準 2024,9900,1100,5.224,0,37,63,1,13,11,21,24,17,13
2,メタボリックシンドローム 基準,9400,850,5.051,0,40,60,4,28,12,17,18,13,8
3,ヘルスプロモーションとは,14000,420,4.007,-0.001,25,75,27,37,7,11,10,5,3
4,みそひともじ とは,18500,500,3.987,-34.99,32,68,1,1,2,4,10,25,57
5,健康日本21,15200,410,3.87,0.003,33,67,8,29,10,16,16,7,14
6,メタボ,10300,270,3.803,0,44,56,7,7,14,20,20,14,18
7,凱風快晴,19300,420,3.76,-245.005,39,61,2,2,3,6,9,19,59
8,メタボ 基準,12600,290,3.642,0.001,52,48,1,10,14,21,25,16,13
9,食事バランスガイド,13200,290,3.634,-0.692,26,74,7,27,13,17,17,10,9
10,ロコモティブシンドローム,35400,740,3.623,0,37,63,8,17,9,14,19,16,17
11,必須脂肪酸,9900,210,3.606,-7.081,29,71,9,35,11,14,14,9,8
12,老大家,13500,250,3.589,-76.959,34,66,1,1,1,4,10,26,57
13,柿食えば鐘がなるなり法隆寺,14500,270,3.587,-287.001,33,67,2,2,3,7,11,22,53
14,マリアナ諸島,14300,270,3.576,-27.993,43,57,2,3,5,10,13,18,49
15,本のサイズ 一覧,10600,190,3.507,-97.994,40,60,0,3,6,9,13,21,48
16,おはな,11600,190,3.404,0.006,35,65,3,5,9,15,17,21,30
17,食事摂取基準 2025,8500,150,3.395,11.984,18,82,2,19,19,22,18,11,9
18,春が来た 歌詞,10500,170,3.384,-0.001,29,71,3,7,15,15,13,16,31
19,スキャモンの発育曲線,10400,180,3.377,3.877,34,66,9,35,13,18,13,8,4
20,特定健康診査とは,10000,170,3.37,-0.001,36,64,3,19,10,22,21,16,9
21,木へんに章 読み方,21300,310,3.346,-118.987,31,69,2,3,3,6,12,24,50
22,石廊崎,18300,280,3.346,-13.998,47,53,1,4,5,11,18,22,39
23,猫目石,10900,170,3.341,-104.976,37,63,1,3,7,11,16,24,38
24,不感蒸泄,10800,170,3.339,-5.339,31,69,5,32,15,17,16,9,6
