順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,リンパ腫 生存率,7900,2600,5.314,0.004,43,57,1,5,8,15,22,22,27
2,リンパ腫 良性と悪性,6300,1800,5.177,0.004,30,70,1,4,7,16,25,22,25
3,リンパ腫 症状,5600,1400,5.023,0.002,32,68,2,9,9,16,23,20,21
4,リンパ腫とは,8000,1300,4.603,0,31,69,0,6,7,14,22,25,26
5,リンパ腫 症状 初期,36900,4900,4.408,0.001,29,71,1,4,7,16,25,24,23
6,リンパ腫瘍 症状,5400,720,4.382,0,26,74,1,6,14,23,22,16,18
7,悪性リンパ腫 治療,11500,1100,4.06,4.022,34,66,1,5,7,16,24,25,22
8,悪性リンパ腫 ステージ4,8300,710,3.946,7.001,32,68,2,5,10,20,25,20,18
9,びまん性大細胞型b細胞性リンパ腫,11200,930,3.939,11.251,32,68,0,11,11,18,22,19,19
10,悪性リンパ腫 しこり 写真,6800,570,3.928,0.224,22,78,3,7,11,19,26,18,16
11,濾胞性リンパ腫,17300,1200,3.788,4.316,32,68,1,8,11,17,21,20,22
12,リンパ節腫脹,4000,300,3.779,0.016,35,65,3,16,19,24,19,12,7
13,リンパ腺,7600,530,3.729,0,49,51,3,11,13,19,21,16,17
14,悪性リンパ腫 血液検査,9000,610,3.698,0.392,31,69,1,8,16,23,24,15,13
15,リンパ癌,4800,310,3.661,0,38,62,2,5,10,20,23,19,21
16,マルトリンパ腫,5400,350,3.657,11.064,33,67,0,6,11,19,26,20,18
17,可溶性il2レセプター,4000,240,3.608,24.836,38,62,1,8,13,20,21,19,18
18,可溶性il-2レセプター,6000,320,3.516,3.936,38,62,1,10,11,17,23,18,20
19,犬 リンパ腫,5000,280,3.503,-0.003,22,78,1,10,17,22,30,16,4
20,非ホジキンリンパ腫,5300,290,3.492,2.532,28,72,1,21,12,21,20,15,10
21,リンパ腫れる 首,5900,330,3.486,0,20,80,5,18,22,27,18,6,4
22,悪性リンパ腫 初期症状,21000,1100,3.476,0.047,23,77,3,8,12,20,25,16,16
23,悪性リンパ腫 生存率,56700,2900,3.46,1.004,38,62,3,6,9,18,24,20,20
24,リンパ節とは,35100,1800,3.429,0,42,58,3,6,9,17,23,21,21
25,maltリンパ腫,6300,310,3.401,2.598,39,61,0,13,14,21,22,16,14
26,悪性リンパ腫 原因,10600,480,3.32,1.966,34,66,3,10,11,19,24,19,14
27,リンパ節 腫れ,13100,600,3.315,0,28,72,3,12,18,24,21,13,9
28,バーキットリンパ腫,4000,180,3.309,8.785,35,65,1,23,17,20,19,13,7
29,骨髄検査,9200,390,3.258,6.874,30,70,3,8,11,18,22,19,19
30,猫 リンパ腫,5400,230,3.212,-0.007,22,78,1,6,14,26,30,16,7
31,ホジキンリンパ腫,15800,630,3.195,1.064,29,71,1,15,13,19,21,16,15
32,リンパ節転移,7400,300,3.192,0.065,31,69,0,6,9,22,26,19,18
33,リツキシマブ,16200,630,3.179,20.769,37,63,0,19,14,18,19,16,14
34,リンパ節炎,53800,2200,3.164,0.001,26,74,3,12,21,27,20,10,7
35,リンパの腫れ,4600,180,3.158,0.001,24,76,2,16,24,26,19,9,4
36,悪性リンパ腫 症状,87500,3300,3.146,0.055,28,72,2,7,10,18,25,20,18
37,リンパ節,12600,470,3.113,0.001,40,60,5,14,17,22,20,11,11
38,リンパ浮腫,76900,2800,3.107,0,23,77,0,4,7,19,29,21,20
39,ドキソルビシン,9300,340,3.102,26.695,34,66,1,26,15,19,18,12,9
40,リンパ腺の腫れ,111000,4100,3.08,0,32,68,3,10,15,25,24,12,11
41,抗がん剤治療中の生活,7000,240,3.064,29.198,21,79,0,1,3,14,26,34,22
42,リンパ管腫,11700,410,3.042,0.003,28,72,2,10,21,25,21,13,8
43,リンパとは,34000,1100,3.011,0,45,55,2,7,9,18,22,18,24
44,リンパ 腫れ,3900,130,3.005,0,31,69,3,23,31,26,12,3,2
45,悪性リンパ腫,238000,8000,2.999,0.418,33,67,2,7,11,21,25,18,16
46,リンパ,22900,770,2.999,0,38,62,3,9,16,25,22,12,13
47,リンパ腺 痛い,4300,140,2.97,0,31,69,5,10,14,22,26,16,7
48,首のしこり 良性 悪性 見分け方,8500,270,2.932,-0.001,24,76,3,8,15,25,27,14,8
49,抗がん剤副作用,4700,140,2.91,28.039,26,74,1,6,4,15,30,23,21
50,dlbcl,6500,200,2.899,2.965,40,60,0,28,24,21,13,9,5
51,リンパの腫れ 首筋,10600,330,2.889,0.002,21,79,1,10,22,32,21,9,5
52,エトポシド,5600,170,2.888,26.907,40,60,1,26,18,19,15,10,11
53,リンパが腫れる原因,7000,210,2.886,0,24,76,3,8,15,27,25,14,8
54,血液内科とは,18100,530,2.874,0.006,28,72,1,7,8,19,25,20,20
55,ジーラスタ皮下注射,6900,200,2.872,38.703,23,77,0,8,10,19,26,20,17
56,血液内科,7200,210,2.867,0.002,31,69,1,11,15,22,24,14,13
57,エンドキサン,11500,330,2.864,20.538,30,70,1,20,15,22,20,13,9
58,リンパ 腫れる 原因,6700,200,2.85,0,33,67,4,12,25,33,18,6,2
59,亜急性壊死性リンパ節炎,5300,160,2.842,0.242,23,77,4,18,22,24,20,7,5
60,car-t細胞療法,5400,150,2.837,22.935,52,48,1,8,11,18,20,22,20
61,造血幹細胞移植,13700,390,2.834,14.819,33,67,3,15,14,19,20,17,12
62,壊死性リンパ節炎,4200,120,2.833,0.817,33,67,2,13,20,24,23,13,5
63,生検 結果までの時間,4600,130,2.831,6.454,30,70,1,4,10,22,26,19,18
64,血液のがんの種類,25400,690,2.828,0,32,68,0,2,5,15,25,24,29
65,血液のがん,6500,170,2.815,0,37,63,2,4,10,17,22,17,28
66,骨髄穿刺,10900,290,2.804,6.742,28,72,3,22,11,17,18,13,16
67,首の腫れ,4600,130,2.8,-0.313,22,78,2,8,14,24,28,15,9
68,抗がん剤治療中の食事,19900,520,2.795,27.114,19,81,0,1,4,16,29,24,26
69,抗がん剤治療 副作用,10500,270,2.795,24.035,33,67,1,5,8,16,22,22,26
70,pet-ct検査とは,8100,210,2.785,6.96,41,59,0,4,6,14,23,23,30
71,抗がん剤 脱毛,20500,540,2.783,18.679,24,76,1,4,7,19,29,21,19
72,急性リンパ節炎,5300,150,2.778,0.001,25,75,4,20,24,24,17,8,3
73,顎下腺腫瘍,6300,170,2.773,-1.728,30,70,4,12,18,24,22,13,7
74,リツキサン,8400,220,2.762,27.716,33,67,0,18,17,21,19,14,11
75,リンパ節炎 原因,6100,160,2.755,0.002,23,77,3,15,21,25,21,10,5
76,抗がん剤治療 髪の毛,4000,100,2.745,21.934,28,72,1,5,9,20,28,20,17
77,慢性リンパ性白血病,8500,220,2.735,4.493,35,65,1,9,10,21,24,18,17
78,放射線治療 効果が出るまで,4900,120,2.735,38.799,36,64,1,2,5,18,26,24,24
79,ペット検査 癌の確率,11700,290,2.733,3.388,26,74,1,1,4,14,27,26,27
80,抗がん剤 白血球減少,8900,220,2.724,33.453,24,76,1,4,9,21,29,18,18
81,リンパ球,15600,380,2.723,0.003,35,65,6,12,9,17,21,16,19
82,抗がん剤 脱毛 回復,4100,100,2.705,22.631,20,80,1,3,5,18,31,27,15
83,首リンパ腺の腫れ,8300,210,2.698,-0.501,23,77,2,8,12,25,29,16,8
84,顎下腺 しこり,4100,100,2.682,0.002,27,73,6,15,22,26,18,8,5
85,骨髄抑制とは,7500,180,2.68,23.439,23,77,1,23,9,16,21,15,15
86,petct検査とは,7100,170,2.668,7.562,39,61,1,6,9,18,26,20,20
87,dlbcl 医療用語,5000,120,2.663,0.041,27,73,0,20,18,23,20,12,7
88,リンパ管炎,7900,190,2.662,0.001,29,71,3,11,18,27,22,12,7
89,首のしこり,15200,370,2.66,-0.004,25,75,3,11,17,27,25,10,7
90,リンパ 痛い,6400,160,2.659,0.001,25,75,3,13,25,30,21,5,3
91,菌状息肉症,12900,310,2.655,-0.001,26,74,0,7,12,24,29,17,11
92,首の腫れ 片側だけ,3900,90,2.653,-0.12,21,79,2,7,14,28,26,15,8
93,脾臓 がん 症状,6000,140,2.646,-0.612,33,67,1,3,8,20,28,22,18
94,リンパ球 高いとどうなる,8700,200,2.642,0.002,22,78,1,5,9,15,28,23,19
95,首のしこり 何科,9300,220,2.639,-0.193,23,77,2,13,22,27,21,10,5
96,骨髄腫,18200,410,2.633,0,37,63,1,5,7,15,23,20,29
97,リンパの腫れ 治し方,5500,130,2.633,0.001,22,78,5,14,22,27,18,8,6
98,抗がん剤治療 費用,10100,230,2.63,11,38,62,0,3,9,20,29,21,18
99,放射線治療 回数,4500,100,2.626,19.281,36,64,1,3,5,18,27,25,21
100,原発性マクログロブリン血症,4200,90,2.624,3.735,38,62,0,12,14,17,21,20,16
101,脾臓癌 初期症状,4200,90,2.606,-0.017,31,69,1,1,6,17,26,23,26
102,抗がん剤治療,92900,2100,2.605,6.937,39,61,1,3,7,17,24,22,26
103,抗がん剤 費用,24300,540,2.6,14.1,35,65,0,2,7,16,28,25,22
104,腫瘍熱 特徴,5100,120,2.597,9.269,24,76,0,10,16,24,23,17,10
