順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,呼吸器疾患とは,2100,120,6.836,0,24,76,4,10,12,21,23,15,15
2,消化器疾患,1000,30,6.145,-0.001,30,70,6,30,19,21,12,7,5
3,循環器疾患,2300,60,5.985,0,32,68,3,26,11,17,17,12,14
4,呼吸器症状とは,1300,30,5.836,0,19,81,3,17,27,27,16,8,2
5,肺疾患とは,3100,20,4.676,-0.001,42,58,2,6,8,15,24,21,24
6,カルボーネン法,4600,20,4.391,-9.908,59,41,3,46,21,15,8,5,2
7,呼吸器学会,4000,20,4.347,-21.848,65,35,0,6,19,30,22,14,9
8,呼吸器,14000,70,4.342,0,31,69,3,15,16,20,19,13,14
9,ピアジェの発達段階,5700,20,4.139,-25.295,18,82,6,56,7,12,10,6,3
10,ムーアの分類,6200,20,4.092,-88.613,12,88,2,51,13,15,12,5,2
11,廃用症候群 リハビリ,5500,20,4.047,-9.733,31,69,1,13,12,20,25,18,11
12,病態とは,7800,30,3.968,-45.701,27,73,7,42,10,14,14,9,4
13,せん妄 原因,6800,20,3.918,-39.115,22,78,1,21,9,15,24,16,14
14,口すぼめ呼吸,7900,20,3.902,5.395,30,70,2,38,16,18,14,6,6
15,呼吸不全,10500,30,3.867,-5.244,35,65,2,17,14,19,22,15,11
16,脳血管疾患,17400,50,3.829,-0.004,34,66,5,17,14,20,21,13,10
17,ブルンストロームステージ,15300,40,3.827,2.108,46,54,0,42,27,18,8,3,2
18,バイタルサイン 基準値,8100,20,3.809,-7.113,17,83,6,52,9,11,9,6,7
19,バイタルサイン,12200,30,3.733,0.015,37,63,8,30,12,16,16,8,10
20,頭蓋内圧亢進症状,11700,30,3.732,0.014,22,78,2,43,17,18,12,5,3
21,呼吸機能検査,8700,20,3.718,-0.03,29,71,2,19,15,21,17,13,13
22,閉塞性換気障害,10800,30,3.713,15.791,33,67,2,36,12,14,15,12,9
23,低酸素血症,11800,30,3.695,-59.104,31,69,3,30,16,19,17,9,6
24,ロンベルグ徴候,8600,20,3.679,-8.52,44,56,2,51,17,15,8,4,3
25,fim 評価表,13600,30,3.612,8.623,38,62,1,33,17,20,15,9,5
26,バレー徴候,17000,40,3.592,20.72,38,62,1,42,21,18,12,4,2
27,看護観とは,10100,20,3.553,4.99,11,89,4,39,16,20,16,4,1
28,バーセルインデックス,18300,40,3.537,17.375,41,59,1,34,21,22,13,6,3
29,fim,10400,20,3.53,-2.01,45,55,1,39,17,18,14,7,4
30,copd 治療,10500,20,3.527,-52.005,48,52,2,9,11,18,21,18,21
31,nppv 人工呼吸器,13800,30,3.514,34.515,26,74,1,21,15,23,23,11,6
32,bun 基準値,15400,30,3.493,-34.512,15,85,2,40,11,12,12,9,14
33,見当識障害とは,14000,30,3.493,39.066,26,74,2,16,7,16,26,19,14
34,フィジカルアセスメント,10900,20,3.459,28.919,18,82,6,31,13,23,18,6,3
35,車椅子 名称,11000,20,3.451,-28.975,22,78,3,13,11,20,26,17,10
36,慢性閉塞性肺疾患,35300,70,3.441,0,31,69,5,16,13,19,21,14,12
37,hds-r,13400,30,3.436,-36.62,37,63,1,28,15,18,18,12,8
38,mmt 評価,27900,50,3.42,81.793,30,70,1,34,21,22,14,5,3
39,エリクソン 発達段階,21000,40,3.403,-11.179,21,79,6,38,11,17,15,9,4
40,ホーマンズ徴候,14400,30,3.399,16.664,22,78,1,49,19,17,10,3,1
41,視床出血,14100,30,3.379,49.449,38,62,1,24,17,19,18,13,8
42,iadl,12700,20,3.361,-22.255,31,69,2,23,15,22,22,10,6
43,在宅酸素療法,21000,40,3.359,-18.383,32,68,1,9,9,18,26,22,15
44,co2ナルコーシス,30000,50,3.35,3.051,30,70,1,32,18,21,16,8,4
45,ards 医療,12300,20,3.341,79.139,30,70,0,29,23,20,15,7,6
46,copd 症状,29300,50,3.335,0.021,37,63,2,11,11,17,20,19,20
47,アテローム血栓性脳梗塞,23800,40,3.321,-21.84,30,70,1,20,10,16,22,17,14
48,脳血管障害,12000,20,3.318,-6.569,29,71,3,14,12,17,22,17,15
49,copd,79900,140,3.316,0,38,62,3,17,14,20,20,14,12
50,気管支,17700,30,3.295,0,36,64,5,17,18,22,16,11,11
51,日本理学療法士協会,11000,20,3.282,-115.983,63,37,1,19,32,26,13,6,3
52,膀胱留置カテーテル,17600,30,3.268,-29.986,17,83,1,32,16,18,15,9,9
53,アドバンスケアプランニング,13300,20,3.25,0.073,26,74,2,23,12,22,23,12,6
54,ワレンベルグ症候群,12500,20,3.238,3.934,42,58,1,29,19,19,15,10,7
55,大腿骨転子部骨折,15800,20,3.201,10.692,34,66,1,20,13,16,19,19,12
56,nrs 痛み,13900,20,3.191,14.662,34,66,1,31,19,22,17,7,3
57,半側空間無視,13000,20,3.187,7.139,42,58,2,29,20,19,16,9,5
58,人工骨頭置換術,18300,30,3.185,10.703,28,72,1,21,16,20,19,13,10
59,エリスロポエチン,21000,30,3.163,1.848,32,68,4,32,12,16,17,10,9
60,ドパミン,15300,20,3.163,73.089,33,67,2,22,13,18,18,13,14
61,alb 基準値,16300,20,3.158,14.222,33,67,2,20,5,8,14,19,32
62,湿性咳嗽,17100,30,3.15,2.291,23,77,2,22,21,23,19,9,4
63,crt 医療,15300,20,3.135,169.838,38,62,0,29,19,20,16,8,8
64,胸腔ドレーン,30100,40,3.123,1.509,23,77,2,37,19,19,13,6,4
65,soapの書き方,14400,20,3.117,9.599,22,78,2,38,13,19,16,8,4
66,認知症高齢者の日常生活自立度,16400,20,3.105,0.667,30,70,1,19,17,23,21,13,6
67,12誘導心電図 貼り方,19600,30,3.104,20.99,29,71,1,37,25,22,11,3,1
68,心不全 症状,17500,20,3.089,-13.444,27,73,2,27,18,19,16,9,9
69,バソプレシン,19700,30,3.075,30.371,34,66,16,36,12,15,11,6,4
70,気管支拡張症,42600,50,3.062,7.171,27,73,1,8,12,19,19,19,22
71,spo2とは,21500,30,3.061,-24.08,34,66,4,18,12,16,20,17,13
72,icf,16600,20,3.06,66.097,37,63,3,32,13,19,19,9,5
73,錐体外路症状,16600,20,3.048,18.347,31,69,1,27,16,19,18,11,8
