順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,感染性胃腸炎 食事,6400,3000,4.749,0.018,27,73,2,14,20,23,20,14,7
2,感染性胃腸炎 薬,6400,2500,4.525,0.001,30,70,2,10,22,26,20,13,7
3,感染性胃腸炎 出席停止,14200,5100,4.457,0.002,23,77,4,12,24,29,19,8,4
4,感染性胃腸炎 潜伏期間,9000,3200,4.454,0.001,19,81,1,12,35,30,11,8,3
5,感染性胃腸炎 うつる期間,10500,3400,4.379,0.006,19,81,1,13,20,19,20,19,8
6,感染性胃腸炎 うつる,19500,5300,4.215,0.001,29,71,3,20,21,19,19,12,6
7,感染性胃腸炎 原因,5200,1400,4.212,0.001,34,66,3,21,16,15,17,17,11
8,感染性胃腸炎 何日で治る,34300,8900,4.157,0.001,28,72,2,15,21,21,18,14,9
9,感染性胃腸炎 症状,12200,3000,4.128,0.001,30,70,4,16,16,14,20,19,11
10,感染性腸炎,10100,1200,3.367,0,33,67,2,22,20,21,18,10,7
11,細菌性胃腸炎 うつる,5200,390,2.905,0.019,25,75,2,19,25,23,19,8,4
12,大分こども病院,6600,480,2.83,-59.448,26,74,2,8,33,35,12,6,4
13,細菌性胃腸炎,47300,3200,2.813,0.003,26,74,2,13,22,24,20,12,7
14,休日当番医 熊本,5200,350,2.754,-41.857,19,81,0,5,29,35,19,9,3
15,ロタウイルス べん 色,5600,350,2.709,0.381,14,86,1,13,45,25,7,6,3
16,熊本 休日当番医,4200,260,2.641,-54.626,26,74,1,5,30,38,18,6,2
17,胃腸炎 出席停止,6600,380,2.64,0,20,80,15,13,26,34,10,1,1
18,熊本市 休日当番医,6500,390,2.625,-23.193,26,74,0,3,24,34,24,10,5
19,ウイルス性胃腸炎 出席停止,7300,380,2.559,0,21,79,8,17,25,25,15,7,3
20,胃腸炎 種類,7300,380,2.559,0.002,30,70,4,30,33,19,9,4,1
21,嘔吐下痢 潜伏期間,13500,730,2.558,-0.45,18,82,1,9,29,26,18,12,5
22,地域医療センター 熊本,5400,290,2.543,-7.705,28,72,1,7,24,28,18,13,9
23,ロタウイルス 大人症状,25100,1300,2.517,0.307,27,73,0,8,31,25,15,14,7
24,感染性結膜炎,5100,250,2.494,0,22,78,2,13,33,28,12,8,4
25,胃腸炎 検査の仕方,7700,370,2.493,-0.001,27,73,7,33,31,19,7,2,1
26,トミカ博 熊本,7700,390,2.488,-34.928,42,58,1,8,46,27,8,7,3
27,嘔吐 下痢 発熱,4500,230,2.475,-0.475,26,74,1,13,27,29,20,8,2
28,あそびパーク 宮崎,7400,370,2.46,-134.014,32,68,1,6,38,37,8,6,4
29,嘔吐下痢 大人症状,5900,280,2.458,-0.628,24,76,1,17,25,22,19,10,6
30,下痢 発熱 嘔吐なし 38度,8800,430,2.451,-0.13,31,69,1,14,23,28,22,9,3
31,胃腸炎 熱 いつまで,5800,280,2.441,0.463,18,82,2,14,36,33,11,3,1
32,発熱 下痢,7100,340,2.44,-0.2,28,72,2,20,26,24,18,7,3
33,胃腸炎 下痢が続く,9000,430,2.436,2.012,28,72,3,19,37,27,9,4,1
34,韓国苑 下郡,4300,210,2.424,-99.949,37,63,3,9,26,30,19,9,4
35,胃腸炎 嘔吐 いつまで,4600,220,2.414,-0.25,10,90,2,10,55,28,2,1,2
36,ウイルス性胃腸炎 症状,5600,250,2.413,0.002,32,68,3,25,26,15,15,11,5
37,大分市 休日当番医,4700,230,2.409,-60.34,26,74,1,3,20,34,27,9,6
