順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,扁桃腺炎 何日で治る,7900,930,5.471,0.001,34,66,3,16,24,24,16,10,7
2,扁桃腺炎 うつる,16700,1400,5.108,0,28,72,3,17,22,24,20,9,5
3,扁桃腺 膿,5200,110,3.74,0.003,29,71,2,23,35,23,11,4,2
4,急性扁桃腺炎,14800,270,3.616,0,34,66,6,26,26,22,13,5,2
5,慢性扁桃腺炎,8000,140,3.584,0.158,30,70,3,24,24,20,16,8,5
6,扁桃腺 手術,5800,100,3.526,1.169,34,66,2,24,35,21,11,5,2
7,扁桃炎 白い膿,5400,90,3.495,0.454,25,75,4,33,29,20,9,3,2
8,扁桃腺 白い,5300,80,3.473,0.006,21,79,3,30,36,21,6,2,2
9,扁桃周囲炎,7600,110,3.364,0.6,30,70,3,21,26,24,15,7,4
10,扁桃腺 熱,6000,80,3.311,-0.367,30,70,5,23,30,23,13,4,2
11,急性扁桃炎,16600,210,3.288,0.19,34,66,8,27,27,19,12,5,2
12,扁桃炎 熱,6600,80,3.269,0.028,30,70,5,36,32,17,6,2,2
13,扁桃腺 白いできもの,36700,450,3.213,-0.001,26,74,3,17,24,24,18,9,5
14,コロナ 扁桃腺の腫れ,7500,90,3.184,-0.001,31,69,2,21,29,26,15,5,2
15,扁桃腺 手術方法,12100,140,3.169,0.58,38,62,3,20,29,23,13,7,5
16,扁桃炎 原因,17700,200,3.15,0.46,31,69,6,34,24,16,12,5,3
17,扁桃腺 熱 何日,25200,290,3.145,-0.031,28,72,3,16,22,25,20,9,5
18,扁桃炎 抗生物質,14300,170,3.142,0.157,31,69,1,17,34,28,13,5,2
19,扁桃炎 何日で治る,46900,480,3.056,0.17,34,66,5,31,25,19,13,5,2
20,扁桃周囲膿瘍,22400,230,3.029,0.855,35,65,3,20,24,22,18,9,4
21,扁桃腺,112000,1100,2.986,0,38,62,7,20,24,22,15,7,5
22,扁桃腺 腫れ,73100,700,2.983,-0.01,30,70,5,27,29,21,10,5,3
23,扁桃腺 移るのか,5200,50,2.975,0.003,31,69,6,37,25,16,11,3,2
24,喉 性病,5700,50,2.951,-0.184,56,44,4,37,32,18,7,1,1
25,扁桃炎 薬,16200,150,2.918,0.48,32,68,2,28,29,22,13,4,2
26,扁桃炎 熱なし,7900,70,2.915,0.002,22,78,6,32,32,19,7,2,2
27,扁桃炎,263000,2400,2.908,0.001,34,66,5,24,25,21,15,6,4
28,扁桃腺 腫れ 原因,10400,90,2.904,-0.569,35,65,5,21,22,25,17,6,4
29,喉 膿,4900,40,2.901,-0.445,27,73,2,16,37,28,11,4,2
30,扁桃炎 うつる,64000,550,2.889,0.044,30,70,5,32,25,18,13,5,2
31,ハレナース 効き目,6600,60,2.843,0.416,30,70,2,21,27,21,17,8,4
32,口蓋扁桃,6500,50,2.799,0.001,32,68,5,23,23,22,14,8,5
33,扁桃炎 治し方,14700,120,2.795,0.499,33,67,6,31,24,18,14,5,2
34,扁桃腺 腫れ 片方だけ,22400,180,2.793,-0.001,27,73,3,17,23,26,17,8,6
35,咽頭クラミジア,6900,50,2.767,-0.004,49,51,7,41,25,14,8,3,2
36,扁桃炎 症状,34000,240,2.718,0.229,28,72,7,35,22,15,13,6,2
37,ハレナース,15500,110,2.698,0.225,32,68,1,18,27,23,18,8,5
38,扁桃腺 腫れ 薬,8000,60,2.666,-0.007,39,61,1,15,23,25,22,9,5
39,扁桃腺摘出手術 デメリット,4900,30,2.666,2.054,43,57,3,19,23,21,21,9,4
40,扁桃腺摘出手術,78500,560,2.658,0.134,35,65,2,16,23,23,20,11,5
41,扁桃腺 どこ,15600,110,2.638,-0.66,26,74,6,29,31,19,8,4,3
42,扁桃腺肥大,13700,100,2.634,0,20,80,2,9,26,34,17,7,5
43,喉が痛すぎる,5700,40,2.627,-0.096,28,72,15,34,25,17,6,2,1
44,喉痛い 熱あり,6200,40,2.625,-0.672,18,82,7,19,19,28,19,6,2
45,扁桃腺 腫れ 治し方,190000,1300,2.609,-0.032,38,62,3,14,21,27,20,9,6
46,甲状腺炎,5700,40,2.606,-0.058,25,75,1,8,17,26,25,14,9
47,のどちんこ 赤い,4800,30,2.599,2.591,25,75,5,18,28,25,16,6,2
48,マイコプラズマ肺炎 抗生剤,4200,30,2.572,-9.673,33,67,0,4,18,36,21,13,8
49,咽頭クラミジア 症状,10800,70,2.555,-0.093,53,47,1,37,26,17,11,5,3
50,喉 白い,5100,30,2.54,0.05,22,78,2,19,35,27,12,3,2
51,子供 脱水症状 見分け方,4800,30,2.537,30.056,12,88,0,7,56,29,3,3,2
52,カンジダ 抗生物質,4800,30,2.536,14.168,16,84,1,20,31,27,13,4,4
53,副鼻腔炎 レントゲン,4400,30,2.533,2.435,26,74,1,13,37,30,13,4,2
54,扁桃炎 市販薬,14000,80,2.526,0.795,33,67,2,32,31,19,11,3,2
55,喉 片側だけ痛い,5800,40,2.523,-0.203,17,83,6,26,32,22,9,3,2
56,溶連菌 抗生剤,4900,30,2.52,0.482,24,76,0,7,35,37,13,5,3
57,性病 検査,4900,30,2.511,-0.98,58,42,5,43,28,15,6,2,1
58,アスベリン散 効果,5000,30,2.509,-6.965,19,81,1,7,39,37,8,5,3
59,手足口病 顔,4200,30,2.502,-52.687,15,85,1,9,58,26,3,2,1
60,咽頭結膜熱 大人症状,5200,30,2.484,0.028,25,75,1,7,15,23,25,19,10
