順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,消化器疾患とは,1200,50,7.708,0,33,67,1,10,12,21,26,17,13
2,循環器疾患,2300,40,6.851,-0.001,32,68,3,26,11,17,17,12,14
3,内分泌疾患,2900,40,6.512,0,25,75,2,11,13,20,21,16,17
4,呼吸器疾患,3400,30,6.145,0.001,38,62,4,20,12,17,17,14,16
5,バレー徴候,17000,20,4.103,45.683,38,62,1,42,21,18,12,4,2
6,エリクソン 発達段階,21000,20,4.097,-36.35,21,79,6,38,11,17,15,9,4
7,心不全 症状,17500,20,4.06,-16.435,27,73,2,27,18,19,16,9,9
8,腓骨神経麻痺,21900,20,3.914,19.249,31,69,2,23,15,20,19,11,10
9,ブリストルスケール,24300,20,3.905,-8.944,23,77,2,29,19,21,17,8,4
10,無気肺とは,22500,20,3.812,60.409,25,75,1,26,16,19,17,12,9
11,看護ルー,27400,20,3.704,11.304,20,80,7,28,16,20,18,7,4
12,エンパワメントとは,45200,30,3.611,37.885,32,68,3,15,11,21,26,15,9
13,胸腔ドレーン,30100,20,3.534,83.581,23,77,2,37,19,19,13,6,4
14,間欠性跛行,36400,20,3.533,-36.318,42,58,1,16,10,12,17,18,26
15,jcs,48400,30,3.436,12.68,41,59,2,32,23,19,14,6,4
16,ファロー四徴症,35400,20,3.436,-44.13,27,73,2,28,21,20,16,9,4
17,jcs 意識レベル,50000,30,3.307,82.092,35,65,1,29,23,22,16,6,3
18,腰椎圧迫骨折,41500,20,3.299,-16.796,33,67,1,8,7,12,21,22,29
19,ダンピング症候群,41300,20,3.298,32.054,23,77,1,21,14,20,21,14,9
20,ノーマライゼーションとは,45200,20,3.234,0.264,32,68,10,20,9,19,22,13,7
21,フロセミド,62700,30,3.193,12.987,30,70,1,19,13,19,22,15,11
22,日常生活自立度,43900,20,3.167,70.571,35,65,1,20,20,25,20,9,5
23,長谷川式簡易知能評価スケール,46500,20,3.155,-25.371,26,74,1,16,13,22,26,12,10
24,ミダゾラム,43200,20,3.121,10.817,31,69,1,21,16,22,20,13,7
25,ソルデム3a輸液,46100,20,3.097,-73.412,32,68,1,16,13,16,21,18,15
26,ラクナ梗塞,49500,20,3.05,38.859,32,68,1,11,9,16,23,21,19
27,廃用症候群とは,74300,30,3.037,-3.96,27,73,2,13,10,16,25,21,13
28,低カリウム血症,58200,20,3.019,38.55,29,71,1,17,15,21,22,15,9
29,大腿骨頚部骨折,66400,20,2.995,32.219,29,71,1,9,8,13,23,23,23
30,がん,57900,20,2.992,-15.1,42,58,5,7,9,18,21,18,22
31,白血球 正常値,57000,20,2.985,19.13,26,74,2,16,14,19,20,15,14
32,レイノー現象,51100,20,2.974,13.538,25,75,2,16,14,22,23,13,10
33,低ナトリウム血症,52600,20,2.938,7.818,33,67,1,18,17,21,21,13,9
34,心電図,71700,30,2.931,5.058,33,67,3,19,15,19,18,12,14
35,うっ血性心不全,101000,30,2.824,25.129,33,67,1,10,10,18,28,19,14
36,クッシング症候群,71600,20,2.819,78.303,26,74,2,21,14,20,23,13,7
37,スピロノラクトン,66300,20,2.8,-18.051,26,74,0,17,16,22,23,12,10
38,ナーシングスキル ログイン,73600,20,2.755,14.376,16,84,1,25,20,24,20,8,2
39,bmi 正常値,81700,20,2.754,45.585,48,52,4,15,11,14,17,19,20
40,カウプ指数,77100,20,2.753,29.482,12,88,1,16,46,25,5,4,3
41,copd,79900,20,2.719,1.934,38,62,3,17,14,20,20,14,12
42,胃がん,71300,20,2.703,5.073,36,64,2,7,10,16,22,19,24
43,アスピリン,77000,20,2.686,66.148,34,66,2,18,15,19,18,13,15
44,肝硬変,66700,20,2.674,-191.122,43,57,1,13,16,22,22,14,12
45,crp 正常値,84200,20,2.668,10.303,31,69,1,13,10,15,18,19,24
46,アルブミン 低いと,85300,20,2.666,-26.371,20,80,0,5,6,15,25,23,26
47,spo2,71800,20,2.646,-16.807,34,66,2,15,14,19,21,17,12
48,貧血,72600,20,2.613,-29.94,27,73,5,15,18,24,18,9,11
49,脾臓,74800,20,2.611,-41.475,39,61,3,10,13,20,21,16,17
50,標準体重,76300,20,2.594,-24.415,38,62,7,16,13,20,19,13,12
51,タンバリンズ,76800,20,2.59,-8.605,12,88,4,29,23,20,16,6,2
52,ネブライザー,81400,20,2.577,69.53,30,70,2,14,23,24,18,11,8
53,起立性低血圧,80900,20,2.539,15.165,26,74,7,17,14,22,19,11,10
54,消化器内科,170000,40,2.524,0,32,68,1,8,15,24,25,15,12
55,機能性ディスペプシア,140000,30,2.501,0.01,27,73,2,11,16,21,22,16,12
56,看護師国家試験,89400,20,2.4,126.496,31,69,3,21,9,20,27,12,8
57,高次脳機能障害,128000,30,2.396,0.145,29,71,1,10,12,21,25,18,13
58,胆嚢炎,139000,30,2.394,0,35,65,1,6,11,19,24,20,19
59,高脂血症,113000,20,2.359,5.474,32,68,1,5,8,14,23,25,24
60,六君子湯,100000,20,2.349,14.992,28,72,1,6,11,19,22,19,22
61,生理痛,92900,20,2.336,78.837,14,86,9,17,20,29,16,5,4
62,バイアスピリン,103000,20,2.321,-24.198,36,64,0,13,12,17,20,17,21
63,クエチアピン,96200,20,2.307,-30.015,29,71,1,12,15,23,25,15,9
64,腸腰筋,108000,20,2.22,118.329,41,59,3,9,14,23,22,15,14
65,鼠径ヘルニア,222000,40,2.207,21.857,40,60,2,7,13,19,21,18,20
66,ネフローゼ症候群,133000,20,2.199,20.565,32,68,1,13,14,21,22,15,14
67,褥瘡,137000,20,2.187,-27.488,31,69,2,11,11,18,25,20,13
68,胃カメラ,123000,20,2.175,-22.211,38,62,2,6,13,22,23,18,16
69,エソメプラゾールカプセル20mg,121000,20,2.167,20.835,32,68,1,6,9,17,23,21,23
70,英語翻訳,156000,20,2.165,-13.255,39,61,41,24,10,11,8,3,3
71,肺炎,187000,30,2.156,-24.16,39,61,5,10,16,21,19,15,14
72,関節リウマチ,121000,20,2.154,-16.507,30,70,3,11,11,16,23,19,17
73,タケキャブ錠10mg,175000,30,2.149,7.39,36,64,0,2,8,16,23,23,28
74,ランソプラゾール,187000,30,2.12,0.485,32,68,1,10,10,17,23,20,19
75,まねきねこ 料金,155000,20,2.112,122.122,27,73,30,33,15,13,6,2,1
76,地域包括支援 センター,125000,20,2.101,18.781,31,69,1,7,7,17,29,21,18
77,自律神経失調症,139000,20,2.095,10.456,33,67,5,17,19,20,17,11,11
78,腎盂腎炎,232000,40,2.078,-47.729,26,74,1,10,15,23,25,15,11
79,心不全,296000,40,2.074,5.268,34,66,1,7,11,18,24,19,20
80,アセスメントとは,120000,20,2.074,-44.373,38,62,3,11,10,22,28,17,9
81,crp,134000,20,2.067,-3.017,36,64,1,7,10,17,21,20,24
82,モサプリドクエン酸塩錠5mg,148000,20,2.06,9.927,29,71,1,7,10,18,22,20,22
83,メチコバール,132000,20,2.058,-85.453,32,68,1,8,13,20,21,16,21
84,脂質異常症,178000,30,2.057,-0.153,30,70,1,9,12,20,27,18,13
85,顎ニキビ 原因,135000,20,2.054,59.562,13,87,9,35,28,17,8,2,1
86,ベーチェット病,156000,20,2.036,-24.143,27,73,1,13,17,21,22,15,11
87,変形性膝関節症,218000,30,2.023,2.344,28,72,1,6,6,14,25,25,23
88,低血糖症状,267000,40,2.019,16.898,28,72,2,13,15,20,22,15,13
89,アムロジピン,295000,40,2.013,12.988,40,60,0,8,7,14,24,23,24
90,死にたい,129000,20,2.011,-37.903,34,66,10,18,23,25,17,5,2
91,フェキソフェナジン,183000,30,1.996,36.051,32,68,4,20,16,20,18,12,10
92,高血圧 症状,190000,30,1.99,12.164,36,64,2,7,9,21,27,17,17
93,モンテルカスト,142000,20,1.986,85.462,30,70,1,10,23,28,19,11,8
94,手根管症候群,158000,20,1.972,-52.954,27,73,1,6,11,19,26,20,17
95,胆石,153000,20,1.972,0.676,37,63,1,5,12,20,25,19,18
96,酸化マグネシウム,239000,30,1.97,16.667,29,71,2,7,12,17,20,18,24
97,潰瘍性大腸炎,283000,40,1.931,0.507,35,65,2,11,16,22,24,15,10
98,高血圧,145000,20,1.927,0.92,44,56,2,7,9,19,26,19,18
99,pdcaサイクル,137000,20,1.921,4.466,56,44,3,16,16,24,23,12,6
100,誤嚥性肺炎,265000,30,1.907,10.773,35,65,1,6,8,14,26,23,22
101,骨粗鬆症,299000,40,1.892,-11.318,23,77,1,5,6,12,22,25,29
102,ネトフリ 月額,193000,20,1.878,66.627,26,74,11,26,14,21,20,6,2
103,特別養護老人ホーム,177000,20,1.862,-91.619,37,63,1,4,6,14,28,27,20
104,急性胃腸炎,168000,20,1.848,57.897,35,65,3,14,21,24,19,11,8
105,狭心症,358000,40,1.837,-22.561,38,62,2,8,11,18,24,18,19
106,ファモチジン,208000,20,1.828,59.234,29,71,1,10,14,22,24,16,13
107,大腸ポリープ,197000,20,1.823,0,39,61,0,3,6,17,28,25,21
108,コロナ 喉の痛み,216000,30,1.822,-68.543,28,72,2,9,16,26,26,12,9
109,過敏性腸症候群,403000,50,1.821,-11.11,25,75,7,15,19,24,19,10,6
110,血圧 正常値,365000,40,1.821,-11.3,39,61,6,26,12,16,17,11,12
111,bmi 計算 自動,715000,80,1.808,1.279,30,70,6,18,17,18,18,13,10
112,恋みくじ,507000,50,1.805,3.307,22,78,65,21,3,5,3,1,2
113,咽頭炎,211000,20,1.795,-2.868,30,70,4,13,20,24,20,11,8
114,アリエク,170000,20,1.792,-19.219,35,65,11,18,22,21,17,7,4
115,せん妄とは,258000,30,1.783,-52,30,70,1,7,8,17,27,22,18
116,単発バイト,205000,20,1.776,83.879,28,72,18,24,13,19,18,6,2
117,ジクロフェナクna25mg,170000,20,1.771,-20.195,38,62,1,5,11,20,25,20,18
118,パーキンソン病,839000,90,1.754,-12.982,38,62,2,8,10,15,21,19,25
