順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,肺炎 仕事,2000,390,3.992,0.1,21,79,0,13,44,28,9,4,2
2,肺炎 頭痛,2000,310,3.788,0.738,30,70,4,14,29,31,13,5,4
3,肺炎 仕事はどうする,3000,470,3.775,0.01,27,73,1,17,31,27,15,7,2
4,肺炎 タバコ,2800,440,3.773,0.036,55,45,3,24,30,24,12,4,3
5,肺炎 マイコプラズマ,2900,430,3.743,0,41,59,7,9,15,27,20,14,8
6,肺炎 期間,2300,320,3.685,0.003,48,52,5,17,25,27,17,7,2
7,肺炎 流行り,3400,480,3.676,0,44,56,6,14,20,24,20,13,3
8,肺炎種類,3800,490,3.641,0,34,66,3,7,6,15,25,26,18
9,肺炎 後遺症,4100,540,3.619,6.29,36,64,5,9,21,27,18,13,7
10,肺炎 流行 2024,2000,260,3.616,0,47,53,2,4,12,23,26,20,13
11,肺炎 治らない,2200,290,3.614,4.815,35,65,3,9,27,30,21,8,2
12,肺炎 咳 いつまで,2900,400,3.604,3.404,22,78,2,8,27,34,18,8,3
13,肺炎 子供,5200,660,3.557,0,29,71,3,6,41,35,7,5,3
14,肺炎治療,2500,300,3.537,0.022,37,63,1,6,11,22,25,20,15
15,肺炎 完治までの期間,4100,510,3.535,1.794,37,63,2,8,25,32,20,10,3
16,肺炎 治るまでの期間,7000,840,3.528,0.405,34,66,8,20,28,27,11,4,2
17,肺炎 死亡率,2800,330,3.515,0.004,50,50,11,18,22,24,13,7,5
18,肺炎とマイコプラズマ肺炎の違い,2700,320,3.515,0.004,19,81,3,9,17,31,20,12,8
19,肺炎 繰り返す,2200,260,3.498,13.429,18,82,0,4,33,33,16,10,4
20,肺炎 自宅療養 過ごし方,2700,320,3.487,0.102,18,82,0,3,23,37,21,11,5
21,肺炎 咳,3100,350,3.452,0.448,24,76,2,14,29,30,15,6,4
22,肺炎 ct,2200,240,3.452,0.048,34,66,2,20,30,25,13,5,5
23,肺炎 治療期間,4900,540,3.445,0.487,43,57,2,9,18,25,23,13,10
24,肺炎 入院,7700,850,3.436,0.003,31,69,4,15,32,28,13,5,3
25,肺炎 何日で治る,2100,230,3.426,0.005,24,76,9,16,27,25,14,7,2
26,肺炎 胸の痛み,3000,330,3.4,1.159,26,74,3,9,24,34,19,7,4
27,肺炎 マイコプラズマ 違い,2600,280,3.396,0.001,25,75,3,9,27,34,17,5,5
28,肺炎マイコプラズマ,2900,300,3.387,0,38,62,5,12,12,17,18,20,16
29,肺炎 咳が止まらない,7600,810,3.386,0.85,29,71,3,12,25,30,18,7,5
30,肺炎 重症化すると,2100,220,3.377,0.051,31,69,4,12,25,27,18,9,5
31,肺炎になったら,3800,390,3.372,0.024,24,76,3,10,17,24,18,16,12
32,肺炎 痰,2500,260,3.367,0.764,34,66,3,16,27,27,15,7,5
33,肺炎 熱が下がらない,3700,380,3.334,0.586,23,77,2,7,23,38,19,8,3
34,肺炎うつる?,3900,380,3.333,0.004,28,72,10,12,10,20,23,19,6
35,肺炎 抗生物質 効くまで,3200,320,3.328,0.956,26,74,2,4,24,35,21,9,5
36,肺炎 種類,26300,2500,3.326,0.001,39,61,2,7,8,16,20,23,24
37,肺炎 レントゲン,6100,600,3.326,0.01,30,70,3,21,35,25,8,4,4
38,肺炎 点滴治療,2400,240,3.298,0.138,29,71,1,8,24,33,21,9,4
39,肺炎 入院基準,3300,310,3.289,0.053,24,76,6,11,34,31,11,5,2
40,肺炎 入院期間,50200,4600,3.282,0.001,34,66,3,7,15,23,22,16,14
41,肺炎の種類,7700,650,3.274,0.001,34,66,0,2,3,7,18,28,42
42,マイコプラズマ肺炎と肺炎の違い,2700,240,3.257,0.043,19,81,8,8,16,29,20,11,8
43,肺炎 食事,3400,320,3.256,0.136,26,74,1,8,21,32,22,10,6
44,肺炎 薬 抗生物質,1900,180,3.245,0.15,31,69,1,5,19,34,24,11,6
45,肺炎 熱,12500,1100,3.211,0.001,30,70,3,13,27,29,16,6,6
46,肺炎入院期間,3800,320,3.193,0.035,32,68,4,6,9,21,27,19,14
47,肺炎 治療,74700,6300,3.186,0.002,36,64,2,6,14,23,22,17,16
48,肺炎 自然治癒,39200,3300,3.172,0.017,30,70,2,8,22,30,19,9,10
49,肺炎 血液検査 数値,2500,210,3.17,0.037,22,78,1,8,21,29,23,11,7
50,肺炎 鼻水,2200,190,3.169,1.435,29,71,4,18,33,26,12,5,2
51,肺炎 うつる うつらない,3100,260,3.163,0.012,32,68,2,9,22,27,17,14,9
52,肺炎 入院しない場合,5000,430,3.158,0.038,24,76,3,12,34,30,13,6,2
53,肺炎 熱が上がり下がり,4600,400,3.155,0.26,21,79,1,7,31,35,16,6,4
54,肺炎 薬,9900,840,3.152,0.005,37,63,2,10,24,31,19,9,5
55,肺炎に効く食べ物,2600,210,3.144,0.118,31,69,2,7,13,24,25,15,14
56,急性肺炎,2300,180,3.138,0.227,36,64,5,15,15,18,18,14,15
57,肺炎 レントゲン画像,6100,510,3.133,0.019,26,74,3,10,25,31,18,9,4
58,肺炎 高齢者,4600,370,3.121,0.001,26,74,1,10,13,24,30,15,7
59,肺炎 背中の痛み,2800,230,3.114,1.447,24,76,2,9,27,32,19,8,3
60,肺炎 うつる,142000,11100,3.11,0,33,67,3,9,17,23,21,14,13
61,肺炎 微熱が続く,2700,210,3.097,1.301,23,77,2,6,24,30,20,12,6
62,肺炎 治し方,3800,300,3.094,0.027,39,61,6,18,31,29,11,3,2
63,肺炎の原因,2600,190,3.091,0.035,38,62,1,5,5,12,20,25,32
64,肺炎 原因,42400,3200,3.081,0.002,34,66,4,11,15,20,20,15,15
65,肺炎 放置すると,2200,170,3.065,0.018,27,73,5,17,30,26,14,5,3
66,肺炎 痰が絡む,2200,170,3.062,0.406,23,77,4,10,23,29,20,10,4
67,肺炎 抗生剤,8700,660,3.047,0.009,31,69,0,8,23,32,21,11,5
68,肺炎の治療,2400,160,3.014,0.004,38,62,0,2,6,15,21,26,30
69,肺炎 酸素濃度,3300,240,3.012,0.02,27,73,1,4,21,33,20,13,8
70,流行りの肺炎,3300,230,3.009,0,48,52,1,4,5,12,22,33,23
71,肺炎 症状 うつるか,3500,240,3,-0.273,34,66,2,7,10,19,21,21,20
72,肺炎 市販薬,2700,200,2.975,0.008,52,48,0,12,27,32,20,6,3
73,肺炎症状,7200,490,2.968,0.001,36,64,9,17,14,20,19,12,9
74,肺炎 痰の色,3400,240,2.963,0.393,32,68,2,13,28,29,16,7,5
75,肺炎はうつるのか,6300,390,2.938,0.004,34,66,1,3,5,12,21,29,29
76,肺炎 検査方法,4400,290,2.931,0.002,36,64,5,19,26,23,15,7,5
77,肺炎 気管支炎 違い,2000,140,2.931,0.001,29,71,1,12,29,33,17,6,2
78,肺炎 英語,7600,490,2.928,0,38,62,4,10,13,24,22,14,13
79,肺炎 症状チェック,2500,150,2.911,0.002,32,68,8,9,15,18,17,12,21
80,肺炎とは,14400,910,2.907,0,36,64,17,25,20,17,10,5,6
81,肺炎 何科を受診,5300,350,2.907,0.002,34,66,2,14,26,28,19,8,3
82,軽い肺炎 何日で治る,2800,180,2.905,0.055,25,75,3,5,14,25,22,19,12
83,肺炎 ステロイド治療,3100,200,2.897,0.65,32,68,2,8,14,27,25,15,9
84,風邪から肺炎,3600,230,2.893,0.004,21,79,4,13,19,21,19,15,9
85,肺炎 呼吸音,2600,160,2.87,0.001,29,71,3,37,27,20,9,2,2
86,膿性痰,2500,150,2.859,0.001,37,63,6,24,23,22,12,7,6
87,肺炎 咳なし,4500,280,2.836,0.012,19,81,3,10,31,33,16,5,2
88,肺炎 症状 治療,2900,160,2.813,-0.027,41,59,1,3,7,13,20,23,33
89,コロナ肺炎,3300,190,2.799,0.004,39,61,3,10,13,17,27,18,12
90,肺炎 症状 マイコ,2400,130,2.799,0.001,35,65,4,6,8,22,20,19,21
91,ウイルス性肺炎,5600,320,2.798,0.051,36,64,2,12,20,21,20,14,11
92,軽い肺炎 治るまで,2300,130,2.794,0.002,25,75,1,6,24,27,17,16,9
93,喘息 肺炎,2200,130,2.789,0.01,25,75,2,15,31,32,14,4,2
94,マイコプラズマ肺炎 肺炎の違い,2300,140,2.779,0.093,21,79,3,11,29,39,13,4,1
