順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,腹痛 右下腹部,5800,420,3.968,0,29,71,1,8,21,29,22,11,8
2,腹痛 下痢,14800,930,3.852,0,22,78,4,18,28,25,15,6,4
3,腹痛 場所,3700,230,3.809,0,20,80,4,13,32,30,15,3,3
4,腹痛 左下腹部,22900,1300,3.716,0,28,72,1,9,17,28,22,13,10
5,腹痛 ストレス,4500,230,3.67,0,29,71,13,27,25,20,10,4,1
6,腹痛 対処,15700,770,3.656,0,38,62,22,24,16,15,11,6,6
7,腹痛 子供,3400,190,3.644,0,15,85,1,1,37,52,6,1,2
8,腹痛 ガス溜まり 痛い,3600,180,3.622,0,22,78,5,14,24,27,17,8,5
9,腹痛 ツボ,12900,620,3.574,0,31,69,7,11,18,28,20,10,6
10,腹痛 痛み止め,3600,160,3.503,0.002,30,70,2,15,26,33,15,5,4
11,腹痛 市販薬,4800,210,3.489,0,35,65,1,21,27,25,18,6,2
12,腹痛 熱,8000,350,3.488,0,33,67,4,20,25,26,17,6,2
13,腹痛 嘔吐,3700,160,3.483,0,23,77,3,20,27,30,12,5,3
14,腹痛 薬,37900,1600,3.476,0,36,64,4,16,18,24,19,10,9
15,腹痛 腰痛 同時,4300,190,3.473,0.003,22,78,2,14,28,30,18,6,2
16,腹痛 病院 何科,4600,190,3.472,0,50,50,4,38,30,18,7,2,1
17,腹痛 波がある痛み,56900,2400,3.436,0,21,79,5,14,20,27,19,9,6
18,腹痛 何科を受診,6800,280,3.434,0,38,62,3,27,29,26,11,2,2
19,腹痛 英語,11100,440,3.432,0,32,68,14,17,14,23,16,10,6
20,腹痛が続く,4200,170,3.397,0.002,33,67,7,18,22,23,17,8,5
21,腹痛 下痢ではない,3400,130,3.367,0.001,27,73,4,18,34,27,12,3,2
22,腹痛 発熱,6600,260,3.361,0,33,67,2,20,26,26,17,7,2
23,腹痛 吐き気,28900,1100,3.331,0,25,75,7,20,22,24,15,7,5
24,腹痛 原因,105000,3800,3.315,-0.003,34,66,6,12,15,23,21,12,11
25,腹痛 血便,4500,160,3.292,0,33,67,2,15,29,27,17,7,3
26,腹痛 冷や汗,5700,200,3.273,0,20,80,5,25,28,23,12,5,2
27,腹痛 ロキソニン,5700,200,3.265,0,35,65,3,19,28,26,15,6,3
28,腹痛 カロナール,5400,180,3.219,0,24,76,5,14,24,35,14,5,3
29,腹痛 下痢 吐き気,3600,120,3.205,0,19,81,6,19,24,25,16,7,3
