順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,蕁麻疹 全身,3700,650,3.638,0.014,42,58,7,24,26,24,12,4,3
2,蕁麻疹 症状,3300,590,3.637,0.001,36,64,5,21,23,22,14,9,6
3,蕁麻疹 うつる?,6500,1100,3.615,0.002,37,63,8,23,30,23,10,4,2
4,蕁麻疹 病院,2600,460,3.615,0.006,29,71,3,21,30,26,13,4,3
5,蕁麻疹 何科,2100,360,3.583,0.021,24,76,1,12,28,30,19,5,5
6,蕁麻疹 ストレス 写真,5000,790,3.506,0.002,20,80,9,24,17,22,18,5,5
7,蕁麻疹 全身に広がる,3200,520,3.497,0.035,9,91,0,6,28,37,19,6,4
8,蕁麻疹 かゆい,5500,870,3.495,0.001,20,80,5,22,29,28,11,3,2
9,蕁麻疹 点滴,3000,470,3.49,0.061,27,73,2,17,25,32,16,6,2
10,蕁麻疹 種類,3200,500,3.484,0.001,22,78,5,20,25,28,15,5,2
11,蕁麻疹 治療,2300,370,3.477,0.002,35,65,1,10,22,32,22,9,4
12,蕁麻疹 食べ物,3100,490,3.476,0.003,28,72,2,14,24,31,20,7,2
13,蕁麻疹 顔,5000,770,3.47,0.004,17,83,4,22,31,26,11,4,2
14,蕁麻疹薬,3100,470,3.456,0.006,25,75,4,10,12,27,29,12,6
15,蕁麻疹 お風呂,2100,320,3.449,0.01,25,75,4,20,32,28,9,4,3
16,蕁麻疹 熱,2400,360,3.444,0.003,21,79,5,20,33,26,10,4,2
17,蕁麻疹と湿疹の違い,3400,500,3.435,0.001,21,79,2,9,15,24,25,15,10
18,蕁麻疹 消えない,3200,480,3.432,0.332,14,86,2,12,31,34,14,4,3
19,蕁麻疹 夜中に出る,2500,380,3.429,0.599,28,72,0,13,29,32,19,5,2
20,蕁麻疹 治し方,5900,860,3.427,0.002,35,65,9,23,23,25,12,5,3
21,蕁麻疹 急に,2300,330,3.424,0.001,30,70,6,30,32,21,7,2,2
