順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,頭痛こめかみが痛い,1900,450,3.508,0,23,77,4,7,7,24,32,16,10
2,頭痛ロキソニン,1400,300,3.419,0,33,67,4,9,8,21,30,17,11
3,頭痛目の奥の痛み,1600,350,3.395,0,25,75,2,10,11,28,28,14,7
4,頭痛何科を受診,2300,470,3.325,0,31,69,4,13,12,25,27,13,6
5,頭痛種類,1400,250,3.261,0,29,71,8,16,12,21,22,14,7
6,頭痛 今日,4200,800,3.26,0,12,88,4,14,26,36,16,3,1
7,頭痛漢方薬,1500,270,3.259,0,19,81,1,3,5,20,37,22,12
8,頭痛 外来,1200,220,3.239,0,32,68,0,6,18,37,29,6,4
9,頭痛 天気,4700,860,3.216,0,17,83,2,11,27,36,18,4,2
10,頭痛 予報,3000,550,3.213,0,18,82,1,10,30,37,17,4,1
11,頭痛 気圧,16300,2900,3.181,0,18,82,1,9,27,34,21,6,2
12,頭痛左側が痛い,2400,410,3.179,0,25,75,4,9,13,22,30,13,9
13,頭痛 台風,1500,250,3.127,0,13,87,2,5,19,39,27,6,2
14,頭痛は何科を受診,2500,380,3.105,0,35,65,2,8,10,21,26,19,14
15,頭痛カロナール,2800,440,3.088,0,19,81,3,6,9,28,33,14,7
16,頭痛英語,4000,570,3.082,0,28,72,17,6,2,12,21,24,18
17,頭痛 後頭部 右側,1300,200,3.064,0.001,28,72,1,7,12,29,26,19,6
18,頭痛 薬,13600,2000,3.044,0,35,65,5,19,22,26,18,6,4
19,頭痛 緊張型頭痛,1500,230,3.027,0.002,27,73,2,14,24,33,19,6,2
20,頭痛 朝起きた時,2400,350,3.012,0,23,77,1,11,17,32,25,10,4
21,頭痛 低気圧,3400,490,2.995,0,23,77,3,15,27,30,16,7,2
22,頭痛が続く 前頭部,1300,190,2.981,0.001,25,75,2,8,14,25,31,12,8
23,頭痛 寒さからくる,1300,180,2.975,0,25,75,2,16,22,29,21,7,3
24,頭痛 アプリ,1900,270,2.969,0,15,85,1,4,20,40,25,6,4
25,頭痛 気圧 関係,1700,240,2.964,0,24,76,1,6,15,26,29,18,5
26,づつう直す方法,2900,380,2.959,-0.001,34,66,5,3,6,17,25,22,22
27,頭痛 側面が痛い,2400,330,2.954,0,32,68,0,9,22,34,23,9,3
28,頭痛 肩こり,5800,800,2.953,0,25,75,2,13,26,31,19,6,3
29,頭痛 目の上,1700,230,2.932,0,29,71,3,17,26,29,18,4,3
30,頭痛 登頂部,3900,530,2.93,0,23,77,1,8,22,33,25,8,3
31,頭痛アプリ,1900,250,2.927,0,15,85,2,3,11,32,33,14,5
32,頭痛 バファリン,1500,200,2.923,0,41,59,3,18,24,28,19,5,3
33,頭痛 更年期,3200,450,2.921,0,10,90,1,1,2,43,49,1,3
34,頭痛 右上 頭頂部,1500,200,2.919,0,24,76,1,7,18,28,27,13,6
35,頭痛 薬 ランキング,2200,300,2.918,0,32,68,2,13,20,30,22,8,5
36,頭痛めまい 原因,2300,300,2.917,0,21,79,2,10,11,24,31,13,9
37,頭痛 こめかみ,28900,3800,2.915,0,25,75,2,10,22,32,21,7,6
38,頭痛が続く 後頭部,1900,240,2.915,0.001,34,66,2,6,11,24,27,13,17
39,頭痛専門医,3500,440,2.905,0,31,69,0,3,11,21,27,20,18
40,頭痛 花粉症,1800,230,2.905,0.001,27,73,3,15,26,32,16,6,2
41,頭痛を治す方法,1700,210,2.904,0,39,61,8,8,9,17,25,18,15
42,頭痛ーる,28000,3500,2.901,0,19,81,4,18,23,22,18,9,6
43,頭痛 風邪,4600,600,2.9,0,33,67,4,15,31,31,14,3,2
44,頭痛 風邪 熱はない,1400,180,2.897,0,23,77,2,9,27,33,22,6,1
45,頭痛 寝不足,1900,240,2.896,0.001,40,60,10,19,30,23,13,4,1
46,頭痛 チクチクした痛み,1500,200,2.896,0,26,74,1,7,21,29,27,11,4
47,頭痛 整体,1600,200,2.893,0.003,31,69,2,12,25,34,20,5,2
48,頭痛 病院,5800,710,2.884,0.001,34,66,4,30,28,21,12,3,2
49,頭痛 後頭部 ズキズキ,1200,160,2.883,0.001,27,73,4,7,17,30,28,11,3
50,頭痛 後頭部,41100,5200,2.881,0,29,71,2,8,17,28,25,12,8
51,頭痛 コロナ,6400,820,2.879,0,28,72,3,13,23,34,19,5,3
52,頭痛 夕方になると,1300,170,2.879,0,22,78,2,15,28,31,15,5,4
53,頭痛 気圧 治し方,1700,220,2.871,0,29,71,2,8,22,34,26,6,2
54,頭痛 頭頂部,2700,340,2.862,0.001,22,78,1,10,23,33,22,8,3
55,頭痛 熱中症,8100,1000,2.855,0,23,77,2,14,25,31,20,5,3
56,頭痛 右側頭部 ズキン 原因,2500,300,2.851,0,21,79,3,7,14,26,31,14,5
57,頭痛が続く こめかみ,1600,200,2.846,0,25,75,1,8,17,27,28,12,7
58,頭痛 前頭部,8500,1100,2.845,0,21,79,2,12,25,30,22,7,2
