順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,風邪 流行り,1800,200,3.596,0,49,51,1,14,27,30,18,6,4
2,風邪 今の流行り,1800,180,3.495,0,33,67,4,10,18,30,26,9,3
3,風邪 流行,6400,610,3.405,0,56,44,1,9,22,29,25,9,5
4,風邪熱,1900,160,3.332,0.001,36,64,10,13,11,18,19,16,13
5,風邪 流行り 今,8500,680,3.244,0,49,51,3,12,21,29,24,8,3
6,風邪 流行ってる,2400,190,3.243,0,38,62,3,14,24,28,20,9,2
7,風邪 流行状況,1500,120,3.227,0,49,51,3,7,20,29,24,12,5
8,風邪 流行 今,4400,330,3.157,0,47,53,2,9,19,30,27,9,4
9,風邪 咳,5800,410,3.139,0,28,72,4,10,21,29,20,9,7
10,風邪 種類,2400,160,3.095,0,50,50,9,24,25,21,13,4,4
11,風邪英語,2100,130,3.092,0,39,61,17,7,4,12,17,20,23
12,風邪痰が出る治りかけ,1900,120,3.08,0,32,68,6,6,6,17,27,21,17
13,風邪咳が止まらない 熱なし,1800,110,3.072,0,23,77,0,2,4,13,23,29,29
14,風邪咳が止まらない,3200,200,3.04,0,27,73,5,8,7,17,25,20,18
15,風邪熱が上がったり下がったり,1600,100,3.035,0.001,29,71,3,6,6,18,31,20,16
16,風邪 喉,2100,140,3.027,0.007,34,66,3,17,28,29,15,5,3
17,風邪 熱,7700,480,3.013,0,34,66,7,17,22,26,18,7,3
18,風邪流行 現在,1600,100,2.997,0,54,46,2,4,5,17,30,26,16
19,風邪頭痛,2200,130,2.968,0.001,33,67,7,9,10,26,26,16,6
20,風邪熱何日続く,3300,190,2.963,0,28,72,8,12,8,22,23,16,11
21,風邪 だるい,1400,80,2.937,0.045,29,71,5,15,26,30,17,6,1
22,風邪味覚がない,2000,120,2.934,0,31,69,3,8,10,20,31,21,7
23,風邪 期間,2000,120,2.931,0,54,46,6,23,21,23,16,7,4
24,風邪流行ってる?,4700,270,2.927,0,35,65,4,9,8,22,32,16,9
25,風邪お風呂大丈夫,1700,100,2.917,0,42,58,6,7,6,18,26,23,14
26,風邪ウイルスの種類,1600,90,2.885,0,42,58,3,4,9,18,24,21,21
27,風邪 治りかけ,2300,120,2.869,0.728,38,62,5,23,34,20,12,4,2
28,風邪関節痛,1600,90,2.862,0,40,60,9,12,10,24,23,15,7
29,風邪 コロナ 違い,13200,700,2.856,0,28,72,3,10,13,22,28,16,8
30,風邪 微熱,2100,110,2.855,0.002,19,81,5,20,24,25,16,7,3
31,風邪ウイルス,1800,100,2.849,0.002,53,47,2,7,9,20,25,20,17
32,風邪ひいた,5000,270,2.845,0.005,34,66,9,17,20,26,18,6,4
33,今年の風邪,3700,200,2.834,0.001,46,54,1,3,9,25,29,20,13
34,風邪 咳 痰が絡む,2900,150,2.816,0,24,76,3,9,19,24,22,14,9
35,風邪 肺炎,1800,90,2.81,0,34,66,5,15,27,24,15,8,6
36,風邪 痰,2400,120,2.806,0,40,60,3,12,26,27,19,7,6
37,風邪 病院,5900,290,2.788,0,51,49,3,29,29,22,12,3,2
38,風邪 イラスト,1400,70,2.787,0,29,71,4,15,22,25,20,8,6
39,風邪 喉が痛い,2200,110,2.783,0,36,64,5,10,18,25,23,11,8
40,風邪 治りかけ サイン,68500,3300,2.778,0,34,66,4,14,20,21,20,12,9
41,風邪のどの痛み治し方,3100,150,2.763,0,35,65,6,8,7,17,24,21,17
42,風邪 インフルエンザ コロナ 違い,1900,90,2.721,0.001,32,68,5,10,12,20,26,17,10
43,風邪 のどの痛み 治し方,34800,1600,2.714,0,38,62,3,8,14,24,25,16,10
44,風邪 鼻水,6900,320,2.714,0,32,68,4,16,26,24,17,8,5
45,風邪治るまでの日数,2000,90,2.713,0.001,45,55,12,22,15,18,18,9,6
46,風邪に似た症状の病気,2300,100,2.706,0.001,50,50,3,7,9,14,24,22,21
47,風邪 咳が止まらない,23100,1100,2.704,0,31,69,3,10,15,24,24,15,9
48,風邪の種類,2200,100,2.704,0.001,42,58,4,11,13,20,18,14,20
49,風邪 経過症状,1900,90,2.699,0.006,21,79,2,16,29,29,14,7,3
50,風邪 仕事 休む 基準,2200,100,2.687,0.005,30,70,2,39,28,19,8,2,2
51,風邪 何日休む,1800,80,2.685,0.007,37,63,10,26,27,22,10,3,2
52,かぜ,5800,250,2.682,0,45,55,4,6,10,17,20,19,24
53,風邪 症状,22300,950,2.679,0,39,61,18,28,16,16,12,6,4
54,風邪 熱 何度,2900,120,2.672,0.001,34,66,15,25,17,21,15,5,2
55,風邪 倦怠感,3600,160,2.667,0.007,38,62,6,19,30,25,13,4,3
56,風邪 長引く,7400,320,2.666,0.002,41,59,4,18,28,24,16,7,3
57,風邪 ひきやすくなった,2400,100,2.665,0.025,38,62,4,23,30,24,12,5,2
58,最近の風邪,1300,60,2.657,0.001,51,49,2,7,12,26,26,19,8
59,風邪 入浴,3000,130,2.653,0,53,47,1,9,19,21,21,17,12
60,風邪 治らない,11000,480,2.652,1.274,35,65,4,17,27,28,16,5,3
61,風邪 インフルエンザ 違い,7600,330,2.647,0,38,62,6,12,20,25,21,10,6
62,風邪 喉の痛み,4400,190,2.644,0,34,66,3,15,22,25,21,10,4
63,風邪引いた,1700,70,2.644,0.003,34,66,3,21,31,26,13,3,3
64,流行 風邪,1900,80,2.64,0,41,59,0,7,29,33,17,9,5
65,風邪 痰 黄色,3600,150,2.637,0,38,62,3,13,26,26,17,8,7
66,風邪抗生物質,2100,90,2.63,0,29,71,2,3,7,20,33,23,12
67,風邪 眠い,1600,70,2.63,0.072,22,78,2,16,30,30,15,4,3
68,風邪の時,3100,130,2.629,0,35,65,3,12,18,26,20,11,10
69,風邪 鼻づまり,2100,90,2.623,0.076,28,72,7,16,28,25,14,6,4
70,風邪 発熱,2800,120,2.622,0,34,66,3,12,22,27,22,9,5
71,風邪で熱がある時,2000,80,2.621,0,33,67,4,6,4,12,21,24,29
72,風邪何日で治る,4500,180,2.62,0.001,36,64,19,18,12,18,18,10,5
73,風邪症状 順番,1700,70,2.616,0.032,23,77,9,13,17,25,20,10,6
74,風邪とインフルエンザの違い,11800,470,2.605,0,33,67,4,8,7,16,25,20,20
75,風邪とは,3900,160,2.602,0,46,54,13,21,20,18,16,8,4
76,風邪 胸の痛み,2200,90,2.598,0,32,68,2,15,24,27,21,8,3
77,風邪 悪寒,2300,100,2.597,0,39,61,3,16,29,29,14,5,4
78,風邪とコロナの見分け方,4100,160,2.594,0,25,75,7,12,8,16,25,17,15
79,風邪 治るまで何日,1900,80,2.592,0.424,41,59,8,21,28,20,13,7,3
80,風邪 寒気,3700,150,2.589,0,38,62,5,20,32,26,11,4,2
81,風邪治らない,5300,220,2.587,0.889,38,62,6,12,16,27,25,11,3
82,風邪 熱 上がり下がり,4000,170,2.586,0.037,25,75,2,9,22,30,24,10,3
83,風邪 英語,8700,350,2.585,0,41,59,10,16,18,24,18,8,6
84,風邪 運動,2400,100,2.585,0,61,39,5,19,31,26,12,3,4
85,風邪 嘔吐,3400,140,2.582,0.001,26,74,4,17,29,29,11,5,5
86,風邪 熱が出ない,7000,280,2.579,0,34,66,9,17,21,25,18,6,4
87,風邪声が出ない治し方,1700,70,2.578,0,19,81,7,8,9,18,25,21,12
88,風邪 なかなか治らない 原因,3000,120,2.569,0.052,33,67,2,9,23,31,22,8,5
89,風邪はうつるのか,2800,110,2.567,0,43,57,4,11,5,12,24,23,21
90,風邪 便秘,1700,70,2.567,0.002,38,62,3,12,31,28,18,5,3
91,風邪とは何か,2600,100,2.559,0,48,52,5,9,13,21,24,16,12
92,今年の風邪 長引く,1800,70,2.557,2.001,45,55,0,3,11,24,26,22,14
93,風邪5類,7100,280,2.545,0,32,68,3,4,9,22,30,24,8
94,風邪潜伏期間,6200,230,2.545,0,26,74,3,7,7,16,28,26,13
95,風邪 治るまでの期間,2000,80,2.544,0,41,59,5,26,29,21,13,4,2
96,風邪 風呂,19100,750,2.541,0,71,29,3,14,24,25,18,9,7
97,風邪は何日で治る,2100,80,2.538,0,34,66,7,8,5,17,24,24,15
98,風邪 ウイルス,5000,200,2.533,0,46,54,1,12,19,28,24,10,6
99,風邪 潜伏期間,38200,1400,2.526,0,27,73,3,13,21,23,20,13,7
100,風邪 肺炎になる,1500,60,2.526,0.269,30,70,4,18,22,24,20,7,5
101,風邪 5類 いつから,4400,170,2.524,0,34,66,2,3,15,32,29,13,6
102,風邪 喉の痛み 治らない,2100,80,2.518,0.004,31,69,3,13,23,28,20,11,2
103,風邪ひきやすい人の特徴,1600,60,2.517,-0.662,22,78,6,18,21,25,16,7,7
104,風邪 微熱が続く,6900,260,2.514,0,23,77,2,10,18,28,25,12,5
105,風邪長引く原因,4100,150,2.514,0.943,32,68,4,15,15,22,23,15,6
106,風邪 原因,4000,150,2.514,0,50,50,11,20,18,19,16,10,6
107,風邪 頭痛,24400,930,2.505,0,33,67,4,14,27,30,16,5,4
108,風邪 気管支炎,2200,80,2.504,0.179,31,69,2,11,29,29,17,8,4
109,風邪 咳 いつまで,4300,160,2.503,0.681,23,77,6,14,23,28,16,8,5
110,風邪 初期症状,3600,130,2.5,0,36,64,16,26,24,20,10,3,1
111,風邪目やにが出る,1700,60,2.496,0,25,75,2,6,12,25,24,22,9
112,風邪症状,20200,750,2.494,0,33,67,10,13,12,23,22,12,8
113,今の風邪,1600,60,2.491,0,34,66,1,2,9,24,33,21,10
114,風邪 尿が近い,1700,60,2.489,0,40,60,5,15,28,28,14,6,4
115,風邪 下痢で治る,2400,90,2.482,0,40,60,2,11,25,25,21,10,6
116,風邪 痰が出る,6800,250,2.478,0,38,62,5,16,25,24,18,7,5
117,風邪気味,3800,140,2.474,0.001,36,64,7,13,24,26,14,7,9
118,風の種類 一覧,2500,80,2.474,0,38,62,2,4,7,17,18,20,32
119,風邪 5類引き上げ,2800,100,2.473,0,29,71,1,3,7,18,36,25,10
120,風邪 高熱,3500,130,2.472,0.001,31,69,5,15,22,28,21,7,2
121,風邪は何科を受診,2500,90,2.47,0,65,35,2,18,16,19,20,12,13
122,風邪 喉の痛み 何日続く,7300,260,2.464,0.001,33,67,6,15,23,25,18,9,4
123,風邪 治りかけ だるい,2200,80,2.464,0.728,33,67,4,16,28,27,17,4,4
124,風邪 息苦しい,3800,140,2.463,0,26,74,6,20,29,26,13,4,2
125,風邪とコロナの見分け方 2024,6500,220,2.461,0,25,75,2,7,7,17,26,23,18
126,風邪 どのくらいで治る,2000,70,2.459,0.001,25,75,17,26,27,16,10,3,1
127,風邪で味覚がなくなる,3400,120,2.458,0,29,71,3,7,8,16,26,24,16
128,風邪 痰 出した方がいい,1700,60,2.458,0.01,41,59,5,22,26,24,13,7,3
129,風邪 予防,1800,60,2.456,0.001,46,54,6,14,30,30,11,6,3
130,風邪 寝汗がすごい,2100,80,2.455,0.035,48,52,3,18,33,25,14,5,2
131,今年の風邪の症状2025,4600,160,2.454,0.359,42,58,0,1,4,16,31,26,22
132,風邪 治りかけ 咳,1500,50,2.449,0.001,31,69,5,19,38,21,10,5,2
133,風邪 熱を下げる方法,1700,60,2.448,0,41,59,1,6,14,27,30,15,7
134,風邪 寒け,4000,140,2.441,0,40,60,3,17,28,30,15,5,2
135,風邪 食欲ない,2100,70,2.441,0.872,21,79,8,18,30,25,12,5,2
136,風邪 倦怠感 取れない,1900,70,2.44,0.238,30,70,5,14,22,28,21,9,1
137,kaze,3600,120,2.439,0,56,44,2,4,9,16,28,21,20
138,風邪 熱が下がらない,11600,410,2.438,0.001,32,68,3,10,20,30,23,10,4
139,風邪 発熱 期間,3100,110,2.437,0.002,28,72,4,11,25,28,19,9,4
140,風邪 熱 何日,8100,290,2.436,0.001,22,78,4,17,26,28,16,6,3
141,寒暖差 風邪,2000,70,2.436,-0.001,34,66,8,25,26,23,11,5,2
142,風邪 セックス,1400,50,2.433,0,64,36,1,20,40,26,8,3,2
143,風邪 解熱剤,1700,60,2.427,0.128,47,53,3,13,24,27,18,10,5
144,風邪 下痢,5800,200,2.42,0,34,66,4,16,31,23,15,7,4
145,風邪 胸が痛い,2100,70,2.419,0.003,33,67,6,15,21,25,20,8,5
146,風邪 病名,1600,50,2.417,0,45,55,3,25,28,21,15,6,2
147,風邪 甘酒,1800,60,2.404,0,30,70,1,7,24,35,22,8,3
148,風邪 味覚がおかしい,2900,100,2.403,0,33,67,2,15,26,25,19,9,4
149,風邪 うつるのか,4800,160,2.401,0,44,56,9,25,16,17,19,10,4
150,風邪 一晩で治す方法,2000,70,2.401,0,35,65,12,23,24,25,11,3,2
151,風邪 声がれ 早く治す方法,3100,100,2.396,0,24,76,4,14,25,26,17,9,5
152,風邪 ウイルス 細菌 違い,2200,70,2.396,0,28,72,2,12,24,27,20,10,5
153,風邪 胃腸の不調,2200,80,2.394,0.001,30,70,1,8,14,28,28,14,7
154,風邪 吐き気,9000,300,2.39,0.002,27,73,7,20,26,24,14,6,3
155,熱出た,1500,50,2.389,-0.001,27,73,12,19,25,25,14,4,1
156,風邪の経過 パターン,1500,50,2.388,0.992,15,85,1,6,26,29,21,11,6
157,風邪 声枯れ,3000,100,2.387,0.433,25,75,6,22,27,25,13,4,3
158,風邪 高熱 39度,3000,100,2.386,0,26,74,4,9,21,32,22,6,6
159,風邪 細菌性 ウイルス性 違い,2200,70,2.386,0,28,72,1,12,26,33,17,8,3
160,風邪 薬,5300,170,2.384,0,40,60,4,27,23,21,14,6,5
161,風邪 咳が出る理由,1700,60,2.381,0.159,34,66,2,15,22,25,19,11,6
162,風邪 鼻詰まり,1400,50,2.38,0.019,29,71,3,17,35,25,12,6,2
163,風邪 眠れない,4300,140,2.379,0.055,30,70,4,15,30,30,14,5,2
164,風邪 だるい 熱はない,2600,90,2.378,0.01,24,76,3,13,22,31,19,9,3
165,風邪 水分補給,4100,140,2.377,0,49,51,2,13,27,31,17,6,4
166,風邪 黄色い痰,3100,100,2.377,0,38,62,3,12,23,26,20,12,4
167,風邪が治るまでの経過,2000,70,2.376,0.525,31,69,3,8,16,22,27,18,6
168,風邪治りかけ 症状,12900,430,2.374,0.576,38,62,6,18,19,23,21,8,5
169,風邪 胃痛,4000,130,2.371,0,26,74,1,7,24,30,20,12,6
170,子供 風邪,2500,90,2.371,0.047,30,70,0,6,43,38,6,4,3
171,風邪 黄色い鼻水,3900,130,2.369,0,33,67,3,14,23,26,19,10,5
