順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,内科 現在地周辺,53300,6300,3.931,0,32,68,2,9,16,27,26,12,8
2,整形外科,407000,6000,1.859,-3.355,34,66,2,5,12,25,25,16,15
3,皮膚科,225000,3900,2.037,-5.572,32,68,3,9,14,22,19,14,19
4,呼吸器内科,232000,3700,1.933,0,32,68,1,5,14,25,24,17,14
5,皮膚科 近く 現在地,223000,3600,1.968,-13.922,32,68,2,5,9,21,24,19,20
6,耳鼻咽喉科,208000,3400,1.982,-0.002,40,60,2,10,17,21,19,14,17
7,消化器内科,170000,2900,1.99,0.001,32,68,1,8,15,24,25,15,12
8,耳鼻科,125000,2800,2.287,-0.001,30,70,3,11,23,28,17,8,10
9,耳鼻科 近く 現在地,142000,2500,2.071,0,32,68,2,5,10,23,25,18,17
10,心療内科,193000,2400,1.669,-0.007,36,64,2,9,12,22,27,15,13
11,歯医者,150000,2200,1.865,-4.95,42,58,3,10,15,23,22,14,13
12,眼科,114000,2100,2.116,-7.231,33,67,3,7,15,23,18,14,20
13,泌尿器科,182000,2000,1.584,-0.225,45,55,2,9,12,20,22,16,19
14,眼科 近く 現在地,119000,2000,2.014,-20.061,33,67,2,4,10,23,24,19,18
15,内科とは,17500,2000,3.942,0,52,48,9,38,18,13,10,6,6
16,病院,136000,1900,1.821,-0.001,46,54,3,9,11,17,20,19,21
17,循環器内科とは,140000,1700,1.672,0,33,67,1,4,8,17,26,22,22
18,発熱外来,109000,1600,1.856,0.003,40,60,1,8,12,22,30,18,9
19,整形外科 近く,95600,1600,1.996,-1.638,35,65,2,5,9,19,24,20,21
20,小児科,49300,1500,2.551,-0.004,26,74,3,9,31,32,10,8,7
21,耳鼻咽喉科 近く 現在地,76800,1300,2.014,0,39,61,1,5,9,15,21,23,26
22,脳神経外科,93000,1100,1.62,0.01,34,66,2,5,13,22,24,16,18
23,薬局,92900,1100,1.661,0.126,43,57,3,8,13,19,22,18,17
24,婦人科,53700,1100,2.166,-0.019,15,85,3,14,15,25,21,10,12
25,循環器内科,69600,1000,1.876,0.001,31,69,1,7,12,21,24,17,18
26,脳神経内科,78100,900,1.628,0,31,69,1,5,8,21,26,19,20
27,休日診療,77000,880,1.584,0.226,29,71,1,3,13,28,28,17,10
28,産婦人科,45900,840,2.098,-1.854,24,76,7,26,24,17,12,7,7
29,ケーキ屋,65500,800,1.672,5.201,38,62,3,7,12,19,23,22,14
30,整骨院,58100,750,1.729,-15.003,40,60,3,10,17,24,21,12,13
31,呼吸器内科 近く,35100,680,2.173,1.301,25,75,1,6,12,20,22,21,18
32,外科,23400,660,2.521,0,39,61,3,8,13,20,19,18,19
33,近くの内科,13400,660,3.068,0,39,61,5,19,18,20,22,11,5
34,精神科,46800,640,1.806,-0.024,40,60,9,17,14,17,18,15,10
35,夜間救急,45200,630,1.769,0.016,25,75,1,9,25,35,18,7,5
36,救急外来,40700,570,1.8,0.344,36,64,2,11,16,25,24,13,9
37,整形外科 日曜日,27700,530,2.096,-16.634,27,73,3,6,17,36,24,9,5
38,内科学会,13700,500,2.737,-5.064,67,33,0,4,18,31,23,15,9
39,当番医,35000,490,1.769,0,32,68,1,5,20,31,22,13,8
40,正社員 求人,40900,480,1.616,-2.007,24,76,1,20,24,29,19,5,2
41,メンタルクリニック,40800,470,1.617,-0.026,29,71,2,12,13,23,27,14,9
42,ケーキ屋 現在地周辺,34500,470,1.766,14.714,32,68,2,5,12,26,27,18,10
43,咳 何科,37900,450,1.633,0,25,75,2,17,32,29,13,4,3
44,花屋,39700,440,1.593,13.273,35,65,3,7,12,22,24,17,15
45,泌尿器科 現在地周辺,38300,430,1.639,23.845,44,56,1,4,6,15,24,24,26
46,内科 英語,4200,430,3.818,0,38,62,2,9,13,21,22,16,17
47,外科とは,18400,420,2.291,0,32,68,6,21,22,22,17,4,8
48,内科 日曜診療,3600,410,3.903,0,31,69,2,15,22,28,23,7,3
49,接骨院,35500,400,1.584,-30.184,41,59,4,10,16,25,20,13,12
50,体操教室,30000,370,1.64,-2.913,17,83,1,3,30,42,8,6,10
51,歯科,25600,370,1.852,-1.03,40,60,1,7,14,22,23,16,17
52,パン屋 近く,26800,360,1.758,-3.547,30,70,2,4,11,25,30,19,9
53,皮膚科 日曜日診療,23100,360,1.895,-8.891,23,77,2,8,16,33,26,9,6
54,呼吸器科,19900,350,2.052,0.002,34,66,1,8,17,23,21,15,15
55,小児科 近く,9200,350,2.781,-0.003,19,81,1,7,32,38,8,7,7
56,レディースクリニック,26900,320,1.64,-0.013,12,88,3,19,19,22,21,9,7
57,耳鼻科 日曜日,17400,320,2.071,4.264,26,74,2,10,19,33,22,9,5
58,自転車屋,22900,290,1.686,3.719,46,54,4,6,15,31,24,12,8
59,消化器内科 近く,13200,290,2.28,0.006,28,72,2,10,13,23,26,12,14
60,循環気内科,21600,280,1.746,-0.98,28,72,1,6,11,20,24,18,20
61,婦人科 女医,21200,280,1.764,-0.2,9,91,1,7,6,22,35,14,15
62,夜間診療,17000,280,1.92,-0.013,35,65,1,6,14,27,29,15,8
63,救急病院,19400,270,1.775,0.963,45,55,2,7,13,24,26,17,11
64,内科検診,7200,270,2.777,0,39,61,23,17,17,19,12,6,6
65,神経内科,16900,260,1.906,0.005,34,66,1,7,13,23,25,16,15
66,脳外科,16100,260,1.967,-0.001,37,63,3,9,12,19,23,15,19
67,皮膚科 名医,23700,250,1.605,-7.499,29,71,1,2,4,11,26,25,31
68,内科 何歳から,4100,250,3.205,0,13,87,3,2,26,55,12,1,1
69,日曜日 病院,15700,240,1.912,0.063,36,64,6,24,20,21,17,7,5
70,トリミングサロン,20100,230,1.612,-18.322,19,81,1,4,8,23,34,19,11
71,消化器内科とは,18400,230,1.699,0.002,28,72,1,7,9,18,28,21,16
72,内科学会 2025,7100,230,2.603,88.664,65,35,0,2,9,30,29,20,10
73,泌尿器科 現在地,17400,220,1.756,-66.848,46,54,1,4,7,16,24,22,26
74,近くの内科を探す,7500,220,2.537,0,42,58,1,3,3,21,34,24,14
75,胃腸科,6400,210,2.661,-0.003,33,67,2,8,13,24,25,15,13
76,腎臓内科,17700,200,1.592,0.001,31,69,1,5,9,19,28,20,18
77,風邪 何科を受診,12900,200,1.921,0,51,49,4,37,31,16,9,2,1
78,休日診療所,15500,190,1.64,-0.002,31,69,1,3,12,25,26,21,12
79,夜間救急センター,14800,190,1.684,0.008,26,74,1,6,16,25,31,14,7
80,日本内科学会,13100,190,1.837,0.559,67,33,0,4,14,23,24,20,15
81,佐々木内科クリニック,13000,190,1.831,0.061,31,69,1,7,15,25,26,16,10
82,眼科 日曜日,11700,190,1.921,-1.315,30,70,3,8,18,29,25,11,6
