順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,口内炎 早く治す,226000,26600,2.579,0,32,68,6,17,19,21,19,10,8
2,口内炎 薬,139000,20300,2.79,0,35,65,2,14,18,23,20,13,10
3,口内炎 原因,200000,20200,2.426,0,30,70,4,13,15,20,22,15,11
4,口内炎 何科,68000,12100,2.987,0.001,28,72,2,8,16,23,23,15,13
5,口内炎 治らない,64100,9400,2.799,0.002,29,71,4,15,19,22,21,11,8
6,口内炎 ビタミン,54700,7800,2.772,0,32,68,2,15,19,22,21,13,8
7,舌が痛い,148000,7500,1.742,0.001,29,71,3,7,9,20,27,19,15
8,口内炎の治し方,68300,6800,2.407,0,35,65,3,6,12,22,24,17,16
9,舌癌,112000,6400,1.866,-0.001,36,64,3,8,13,19,22,17,18
10,口内炎 食べ物,37900,5900,2.833,0,23,77,2,13,21,25,21,11,7
11,舌 口内炎,87400,5600,1.958,0.012,26,74,3,15,23,27,18,6,8
12,歯肉炎,92300,4700,1.728,0.003,32,68,4,12,16,22,20,14,12
13,口内炎 舌の横,24100,4500,3.017,0,27,73,2,7,15,25,27,15,9
14,口内炎 治し方,30700,4200,2.749,0.001,35,65,8,23,21,19,14,8,7
15,口腔外科,84300,4100,1.725,0.011,39,61,2,8,11,18,21,18,22
16,舌癌の初期症状,82900,4000,1.705,0.015,28,72,2,5,8,16,28,23,18
17,ビタミンb2,73500,3900,1.78,0.004,30,70,3,13,17,20,20,14,13
18,口の中が痛い,59100,3400,1.855,0.001,26,74,6,13,14,21,23,14,9
19,口の中 できもの,45700,3300,2.079,0.001,27,73,4,9,14,25,25,14,9
20,歯茎 白いできもの,63000,3100,1.697,0.068,27,73,3,10,18,25,23,13,8
21,ぜつがんの症状,52400,3100,1.894,0.725,28,72,1,4,8,18,25,21,23
22,舌の裏 口内炎,41500,2800,2.01,0.039,27,73,4,16,23,25,19,8,5
23,口腔がん,36600,2700,2.089,0.036,34,66,2,9,13,19,24,18,15
24,口内炎はなぜできる,28500,2700,2.356,0.491,29,71,2,4,9,18,26,21,20
25,舌に口内炎,32100,2200,2.037,0.321,26,74,5,15,18,25,22,10,5
26,口内炎 白い,13800,2200,2.919,0.001,28,72,11,36,26,14,7,3,3
27,粘液嚢胞,39200,2100,1.779,1.988,27,73,4,17,22,24,17,9,7
28,アフタ性口内炎,23800,2100,2.294,0.009,29,71,6,25,24,20,13,7,5
29,口内炎 市販薬,13500,2100,2.839,0.001,31,69,1,15,25,28,16,8,7
30,舌にできもの,41200,2000,1.664,0.988,29,71,3,6,8,18,32,22,11
31,歯茎 口内炎,34100,2000,1.891,0.297,23,77,5,28,32,20,9,3,3
32,口内炎 舌の裏,10100,2000,3.089,0.001,33,67,2,15,25,26,21,7,4
33,白板症,36500,1900,1.756,0.788,31,69,2,9,14,22,23,17,13
34,口の中 水ぶくれ,35300,1900,1.775,0.224,25,75,4,16,23,26,17,8,6
35,口内炎 歯茎,9700,1900,3.097,0,29,71,4,23,29,26,12,4,2
36,デキサメタゾン軟膏 口腔用,32900,1800,1.875,2.043,28,72,1,5,12,19,19,19,25
37,オルテクサー口腔用軟膏,32800,1800,1.841,0.579,30,70,1,6,13,20,20,17,23
38,手足口病 口内炎,31000,1800,1.804,0,21,79,1,7,47,34,5,4,2
39,口内炎パッチ,16200,1800,2.515,0.001,23,77,5,24,25,21,14,7,4
40,こうないえんのなおしかた,15600,1800,2.554,-0.155,35,65,3,5,11,22,24,18,17
41,口内炎 舌の先,9200,1700,3.002,0,25,75,3,12,21,26,24,10,4
42,ビタミンb2 食べ物,32500,1600,1.717,0.004,23,77,4,15,13,18,22,15,13
43,口腔ガン 初期症状,23100,1600,2.088,0.043,28,72,2,9,11,18,26,20,14
44,口内炎がよくできる,11800,1500,2.654,19.02,24,76,1,5,9,22,27,20,16
45,口内炎が治らない,11300,1500,2.705,0.345,27,73,2,6,11,22,25,20,14
46,舌痛症,30300,1400,1.659,6.62,25,75,3,8,12,20,26,18,13
47,トラフル錠,20100,1400,2.05,0.474,34,66,2,14,20,22,21,12,9
48,口内炎の薬,12800,1400,2.533,0.005,31,69,1,4,7,17,24,23,24
49,口内炎に効く食べ物,11600,1400,2.587,0.002,26,74,3,15,16,22,21,14,9
50,口内炎がよくできる原因,10400,1400,2.668,0,22,78,1,8,11,22,30,18,10
51,舌の先が痛い,27900,1300,1.645,0.121,27,73,2,5,8,17,27,24,17
52,口腔カンジダ症,26200,1300,1.713,0.968,27,73,2,14,18,22,21,13,10
53,ベロが痛い,24500,1300,1.77,0.247,31,69,10,15,16,24,18,9,8
54,口腔癌 画像,15600,1300,2.178,0.206,29,71,1,5,10,25,28,18,13
55,口内炎 飲み薬,9700,1300,2.708,0.001,35,65,2,15,26,27,18,9,3
56,口内炎 薬 ランキング,8800,1300,2.816,0.001,42,58,2,17,21,21,21,11,7
57,口内炎 チョコラbb,8100,1300,2.853,0.001,37,63,2,26,31,20,14,5,2
58,アフタゾロン口腔用軟膏,23600,1200,1.743,0.188,31,69,1,5,12,19,20,19,24
59,舌癌 画像,22000,1200,1.832,0.87,30,70,1,4,9,19,29,22,16
60,舌炎,14700,1200,2.169,0.259,29,71,4,14,22,23,18,11,8
61,口内炎 塗り薬,9700,1200,2.624,0.001,36,64,4,21,29,22,13,6,5
62,口内炎 パッチ,9600,1200,2.646,0,30,70,3,24,29,24,13,5,2
63,口内炎 何日で治る,7100,1200,2.914,0.003,28,72,11,27,26,20,10,4,2
64,口腔がん 初期,13500,1100,2.202,0.389,30,70,2,13,21,20,19,15,10
65,チョコラbb 口内炎,13100,1100,2.251,0.332,27,73,3,19,20,17,17,13,11
66,口内炎 よくできる 原因,6900,1100,2.891,0,26,74,2,18,27,32,15,4,2
67,口内炎 舌,5800,1100,3,0,30,70,3,15,26,24,19,7,6
68,舌の裏 できもの,19900,1000,1.728,0.028,28,72,4,14,18,21,22,14,7
69,口内炎 痛すぎる時,7300,1000,2.795,0.009,23,77,12,34,27,18,6,2,1
70,口内炎治し方,5100,1000,3.117,0,40,60,16,23,13,21,16,7,4
71,ベーチェット病 初期症状,18100,990,1.813,1.132,19,81,0,5,11,21,28,20,15
72,トラフル軟膏,12800,990,2.163,0.561,35,65,2,10,20,19,19,15,15
73,口内炎 痛み止め,7100,970,2.716,0.001,31,69,4,21,30,26,13,4,2
74,口内炎 唇の裏,5800,950,2.92,0.001,26,74,8,24,26,21,13,5,3
75,口内炎治らない,5500,940,2.955,1.056,29,71,10,23,16,20,19,8,4
76,舌癌 症状,16200,920,1.859,-0.002,31,69,3,9,12,19,24,17,16
77,口内炎薬,5000,910,3.033,0,34,66,7,17,11,18,22,15,10
78,口内炎 早く治す方法 ためしてガッテン,3900,910,3.229,0.001,26,74,1,6,16,30,28,12,7
79,口内炎 たくさん 急に,6200,900,2.761,0,21,79,3,21,29,29,14,3,1
80,歯茎に口内炎,12600,880,2.065,0.334,23,77,10,30,23,19,12,4,2
81,喉に口内炎,17300,870,1.717,1.429,25,75,6,23,25,25,15,4,2
82,カタル性口内炎,8000,870,2.485,0.023,27,73,5,21,24,21,15,8,6
83,口内炎 病院,5200,870,2.912,0.001,31,69,2,27,31,25,10,3,2
84,口内炎 薬 市販,6000,860,2.796,0.001,26,74,3,20,20,16,18,11,12
85,舌の横が痛い,15600,850,1.803,0.002,24,76,4,13,15,22,25,13,8
86,口内炎は何科を受診,4200,850,3.186,0,33,67,1,2,4,9,21,28,35
87,口内炎の治し方 裏ワザ,4000,850,3.175,0.001,35,65,2,10,11,21,24,17,15
88,口内炎 病院 何科,4600,830,2.989,0.001,30,70,5,22,24,24,17,6,2
89,口内炎何科を受診,2800,830,3.489,0.001,23,77,3,6,7,19,30,21,14
90,口内炎 ストレス,5700,820,2.775,0.001,34,66,7,25,26,21,13,5,3
91,口内炎 ガン 見分け方,5100,820,2.863,0.001,31,69,5,14,24,27,19,8,3
92,口内炎 子供,4200,810,3.004,0,15,85,0,4,41,45,6,2,2
93,口内炎 軟膏,6400,790,2.617,0,41,59,3,19,30,25,13,6,4
