順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,口内炎,474000,120,2.12,-0.794,34,66,4,11,17,24,21,12,11
2,シェーグレン症候群,273000,120,2.726,-0.573,20,80,1,7,9,17,26,23,17
3,歯周病,345000,110,2.369,-17.674,35,65,2,8,13,22,25,17,13
4,白板症,36500,100,4.522,-0.01,31,69,2,9,14,22,23,17,13
5,扁平苔癬,22900,100,4.965,0,29,71,1,10,11,19,23,19,17
6,糖尿病,711000,90,1.432,2.513,43,57,2,5,8,17,26,21,21
7,甲状腺機能低下症,543000,90,1.72,23.813,23,77,1,6,10,16,21,20,26
8,口腔カンジダ症,26200,90,4.747,-0.167,27,73,2,14,18,22,21,13,10
9,逆流性食道炎,618000,80,1.417,16.133,32,68,3,10,15,21,22,16,13
10,口唇ヘルペス,285000,80,2.162,-0.668,25,75,2,8,17,25,24,14,10
11,舌が白い,195000,80,2.579,-0.045,28,72,3,7,11,19,25,19,16
12,口腔外科,84300,80,3.483,-0.009,39,61,2,8,11,18,21,18,22
13,自律神経失調症 症状,566000,70,1.375,32.012,30,70,3,11,16,22,21,14,13
14,舌癌,112000,70,2.989,-4.707,36,64,3,8,13,19,22,17,18
15,膠原病,539000,60,1.32,11.98,32,68,1,6,11,19,24,20,19
16,レバミピド,523000,60,1.333,68.808,37,63,1,9,13,20,24,17,16
17,モンテルカスト錠10mg,449000,60,1.528,41.7,29,71,1,6,15,24,23,17,14
18,蜂窩織炎,434000,60,1.563,-38.94,28,72,1,7,13,21,24,19,15
19,肋間神経痛,409000,60,1.583,-24.194,28,72,2,8,13,21,24,18,14
20,クラリスロマイシン錠200mg,383000,60,1.621,0.366,30,70,1,6,15,26,22,16,14
21,ベーチェット病,155000,60,2.568,2.647,27,73,1,13,17,21,22,15,11
22,舌がピリピリする,148000,60,2.577,-27.513,26,74,2,6,10,20,27,19,16
23,デキサメタゾン軟膏,94200,60,2.985,-13.885,26,74,1,7,16,24,20,15,17
24,リンデロンvg軟膏,476000,50,1.356,30.227,30,70,1,5,12,20,22,19,21
25,大腸がん 症状,465000,50,1.302,-1.876,38,62,2,6,12,21,24,17,18
26,膵臓癌 初期症状,404000,50,1.431,4.083,35,65,1,3,7,16,25,23,25
27,間質性肺炎,387000,50,1.527,21.233,31,69,1,5,7,14,22,22,29
28,ヘルペス,363000,50,1.588,0.163,35,65,5,11,13,20,21,15,15
29,ビタミンd,345000,50,1.514,-14.213,30,70,1,6,12,19,24,20,18
30,白内障の症状,342000,50,1.596,32.827,38,62,1,3,4,13,23,27,29
31,骨粗鬆症,300000,50,1.698,5.781,24,76,2,5,5,12,22,25,29
32,アムロジピン,296000,50,1.814,33.217,40,60,0,8,7,14,24,23,24
33,カンジダ,272000,50,1.842,-14.002,27,73,4,22,22,22,16,8,6
34,せん妄とは,259000,50,1.802,23.394,30,70,1,7,8,17,27,22,18
35,アモキシシリンカプセル250mg,193000,50,2.102,-5.906,31,69,1,7,14,23,23,17,15
36,舌が痛い,148000,50,2.467,20.763,29,71,3,7,9,20,27,19,15
37,歯科衛生士,88900,50,2.906,-20.71,37,63,5,11,14,24,23,12,11
38,舌癌の初期症状,82900,50,3.038,-2.505,28,72,2,5,8,16,28,23,18
39,粘液嚢胞,39200,50,3.803,0.11,27,73,4,17,22,24,17,9,7
40,口腔がん,36600,50,3.736,-0.026,34,66,2,9,13,19,24,18,15
41,デキサメタゾン軟膏 口腔用,32900,50,3.997,-3.118,28,72,1,5,12,19,19,19,25
42,口腔扁平苔癬,6900,50,5.46,0.023,26,74,2,11,12,19,25,17,14
43,狭心症,356000,40,1.348,-57.063,38,62,2,8,11,18,24,18,19
44,甲状腺の病気,344000,40,1.434,-10.098,26,74,1,3,7,18,29,22,20
45,橋本病,341000,40,1.417,-43.322,25,75,1,7,13,22,25,18,14
46,亜鉛 食べ物,330000,40,1.448,-117.04,27,73,1,7,14,22,24,17,15
47,チョコレート,326000,40,1.312,69.125,29,71,2,4,7,18,25,23,21
48,大腸内視鏡検査,325000,40,1.325,-28.489,34,66,0,2,6,20,28,24,20
49,抗生物質,320000,40,1.351,43.76,34,66,2,6,16,26,22,14,14
50,白内障手術,313000,40,1.562,-75.468,36,64,0,1,4,10,21,27,37
51,眼瞼下垂,303000,40,1.487,-7.189,21,79,3,8,11,19,25,19,15
52,セレコキシブ錠100,301000,40,1.594,21.892,31,69,1,3,6,14,24,24,28
53,帯状疱疹 ワクチン,295000,40,1.561,44.755,31,69,0,1,4,9,25,30,31
54,レボフロキサシン,289000,40,1.572,24.521,31,69,1,10,16,23,21,15,14
55,ビラノア錠,289000,40,1.515,20.065,31,69,1,8,14,23,25,16,13
56,脈拍数 正常値,286000,40,1.501,64.703,33,67,2,8,9,16,23,21,21
57,デエビゴ,284000,40,1.608,30.727,34,66,1,9,12,20,24,18,16
58,帯状疱疹症状,278000,40,1.49,19.882,31,69,1,2,5,13,27,26,26
59,インフルエンザ 薬,264000,40,1.458,1.91,31,69,1,4,10,26,31,18,10
60,誤嚥性肺炎,262000,40,1.585,-9.381,35,65,1,6,8,14,26,23,22
61,扁桃炎,260000,40,1.534,-14.122,34,66,6,23,25,21,15,6,4
62,手足口病 症状,260000,40,1.522,-120.754,22,78,1,7,34,30,10,11,7
63,迷走神経反射,252000,40,1.713,70.134,22,78,4,15,17,23,22,12,7
64,血液検査,249000,40,1.638,-0.81,35,65,1,2,4,18,26,23,26
65,心房細動,243000,40,1.686,-32.516,39,61,1,7,8,14,21,22,27
66,酸化マグネシウム,239000,40,1.643,84.056,29,71,2,7,12,17,20,18,24
67,悪性リンパ腫,239000,40,1.628,17.055,33,67,2,7,11,21,25,19,15
68,ビタミンb12,238000,40,1.642,-2.952,32,68,1,5,9,16,24,21,24
69,顎関節症,233000,40,1.712,-6.005,32,68,6,12,15,21,21,13,12
70,肺癌 初期症状は,228000,40,1.712,-6.064,35,65,1,4,9,18,24,22,22
71,歯茎の腫れ 治し方,225000,40,1.801,-8.695,35,65,2,6,12,22,27,18,13
72,変形性膝関節症,219000,40,1.756,-43.591,28,72,1,6,6,14,25,25,23
73,膠原病 初期症状,215000,40,1.867,5.997,20,80,0,2,6,16,27,24,25
74,フロモックス,206000,40,1.962,90.127,33,67,1,7,14,22,23,17,16
75,アズノール軟膏,195000,40,1.871,24.086,27,73,0,6,13,19,21,20,21
76,ジョブメドレー,179000,40,2.079,32.652,25,75,1,11,17,26,26,13,6
77,ロスバスタチン錠2.5mg,164000,40,2.194,-22.558,33,67,0,4,6,12,25,26,27
78,サワシリン錠250,131000,40,2.325,-29.471,32,68,1,6,13,22,23,18,17
79,ジスロマック,115000,40,2.294,1.899,34,66,1,11,18,28,21,12,9
80,歯肉炎,92300,40,2.671,-0.202,32,68,4,12,16,22,20,14,12
81,根管治療,53000,40,3.082,0.911,32,68,2,9,17,26,23,14,9
82,舌痛症,30300,40,3.894,-1.723,25,75,3,8,12,20,26,18,13
83,天疱瘡,27700,40,3.878,0.931,26,74,1,10,14,21,23,17,14
84,口腔ガン 初期症状,23100,40,4.137,-0.003,28,72,2,9,11,18,26,20,14
85,ヘバーデン結節,299000,30,1.388,-18.131,20,80,0,2,5,14,29,27,23
86,胃がん 初期症状,292000,30,1.374,-33.809,33,67,1,6,13,20,24,18,18
87,腎臓病の症状,286000,30,1.306,-20.061,40,60,0,2,5,13,23,24,33
88,背中の痛み,284000,30,1.366,-81.642,33,67,1,5,11,23,28,18,14
89,蓄膿症,274000,30,1.397,36.435,38,62,4,13,24,25,16,10,8
90,心筋梗塞,268000,30,1.472,66.369,42,58,2,7,10,18,24,19,20
91,大動脈解離,268000,30,1.34,19.97,40,60,1,7,11,19,25,20,17
92,心不全,265000,30,1.437,48.957,34,66,2,7,10,18,24,19,20
93,ヘルパンギーナ,263000,30,1.414,-0.538,26,74,1,9,33,26,12,12,7
