順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,唾液腺 腫れ,20400,1100,4.775,0,21,79,3,13,16,23,22,13,10
2,唾石症,38200,770,3.759,0,24,76,2,11,17,24,23,14,9
3,耳下腺炎,75400,580,2.79,-0.017,24,76,1,7,18,29,21,13,11
4,唾液腺マッサージ,9700,540,4.813,0,23,77,2,10,11,19,23,17,18
5,アミラーゼの数値が高い,79400,500,2.631,-0.124,30,70,0,3,6,15,25,24,27
6,耳下腺,22000,480,3.844,0,30,70,4,14,19,24,19,11,9
7,唾液腺ガン 初期症状,7300,460,4.932,0,24,76,1,2,6,15,28,25,23
8,唾液を増やす方法,28400,410,3.455,0,25,75,2,5,10,18,25,19,21
9,顎下腺,9100,340,4.392,0.001,31,69,7,18,20,21,17,10,7
10,粘液嚢胞,39100,320,2.872,-0.009,27,73,5,17,22,24,17,9,6
11,耳下腺腫瘍,38100,300,2.816,-0.004,29,71,2,7,13,23,25,17,13
12,唾液が止まらない原因,23800,290,3.289,0,37,63,9,14,14,16,18,14,15
13,顎下腺 腫れ,14100,280,3.749,0,26,74,3,12,15,25,24,13,8
14,唾液腺ボトックス,5500,260,4.645,0,9,91,4,38,29,15,8,3,3
15,唾液が少ない,12100,240,3.775,-0.001,29,71,2,4,6,13,23,24,28
16,唾液腺 痛い,2600,240,5.278,0,15,85,3,19,23,28,18,6,3
17,アミラーゼ,37300,230,2.621,-0.004,39,61,6,9,9,17,22,17,20
18,血清アミラーゼ,31200,230,2.78,-0.018,35,65,1,3,7,19,28,22,20
19,唾液腺 腫れ 治し方,2300,220,5.333,0.005,20,80,2,15,14,20,24,14,11
20,唾液腺 場所,1800,220,5.618,0,23,77,4,15,15,17,19,17,13
21,白板症,35400,210,2.543,-5.903,31,69,2,9,14,22,23,17,13
22,ドライマウス 治し方,25700,200,2.805,-0.064,25,75,2,7,11,20,28,17,15
23,ガマ腫,16700,200,3.213,-0.005,29,71,3,14,20,25,21,11,6
24,唾液腺腫瘍,3700,200,4.728,0,27,73,2,9,16,24,23,15,11
25,三叉神経,33600,190,2.5,-2.971,33,67,4,16,13,19,20,14,14
26,舌下腺,3800,190,4.695,0.001,32,68,5,18,17,19,19,11,11
27,唾液,6500,180,4.081,0,46,54,5,9,13,17,20,16,20
28,唾液腺 石,2000,180,5.216,0,29,71,1,7,17,24,26,15,10
29,ドライマウス 症状,16400,170,3.125,-0.205,21,79,2,4,7,16,27,24,20
30,顎下腺癌,7300,170,3.907,0,33,67,2,11,16,23,23,15,10
31,唾液腺炎 症状,2400,170,5.029,0.001,23,77,0,6,11,20,26,22,15
32,口腔カンジダ症,25700,150,2.533,-0.016,27,73,2,14,18,22,21,13,10
33,耳下腺 痛い,15300,150,3.063,0,13,87,2,9,16,26,24,14,9
34,顎下腺炎,9700,150,3.482,0,29,71,2,10,20,25,22,13,8
