順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,耳下腺炎,75700,240,4.228,-0.002,24,76,1,6,19,29,21,13,11
2,唾石症,38100,180,4.614,0.001,24,76,2,11,17,24,23,14,9
3,唾液腺,25700,150,4.877,-0.001,26,74,7,15,16,19,17,12,14
4,逆流性食道炎,618000,140,1.629,0.689,32,68,3,10,15,21,22,16,13
5,副鼻腔炎,741000,130,1.341,30.926,32,68,3,10,21,26,19,12,9
6,シェーグレン症候群,273000,130,2.376,-0.021,20,80,1,7,9,17,26,23,17
7,唾液腺 腫れ,19400,120,4.876,-0.006,21,79,3,13,17,23,22,12,10
8,自律神経失調症 症状,566000,110,1.424,-1.378,30,70,3,11,16,22,21,14,13
9,甲状腺機能低下症,543000,100,1.434,65.993,23,77,1,6,10,16,21,20,26
10,過敏性腸症候群,403000,100,1.685,12.501,25,75,7,15,19,24,19,10,6
11,顎関節症,233000,100,2.249,0.382,32,68,6,12,15,21,21,13,12
12,唾液腺炎 症状,2200,100,6.938,-0.001,23,77,0,6,11,21,26,22,14
13,膠原病,539000,90,1.341,4.987,32,68,1,6,11,19,24,20,19
14,口内炎,474000,90,1.452,10.134,34,66,4,11,17,24,21,12,11
15,カルボシステイン,448000,90,1.481,-6.445,31,69,3,15,33,20,13,8,8
16,扁桃炎,260000,90,1.961,-1.537,34,66,6,23,25,21,15,6,4
17,蜂窩織炎,434000,80,1.354,3.13,28,72,1,7,13,21,24,19,15
18,橋本病,341000,80,1.583,-0.625,25,75,1,7,13,22,25,18,14
19,顎下腺炎,9800,80,5.102,0,28,72,1,10,20,26,22,13,8
20,マイコプラズマ,408000,70,1.307,-18.723,34,66,5,8,20,30,17,10,10
21,クラリスロマイシン錠200mg,383000,70,1.368,29.537,30,70,1,6,15,26,22,16,14
22,歯周病,345000,70,1.498,4.495,35,65,2,8,13,22,25,17,13
23,パニック障害,324000,70,1.518,14.446,32,68,4,13,17,25,22,11,8
24,自律神経を整える方法,319000,70,1.578,-7.987,27,73,2,8,15,24,24,15,12
25,おたふく風邪,123000,70,2.537,-0.452,31,69,3,9,25,29,17,10,7
26,アミラーゼの数値が高い,80100,70,2.951,-1.136,30,70,0,3,6,15,25,24,27
27,気管支炎 症状,339000,60,1.35,48.007,30,70,2,10,20,25,18,13,12
28,マンジャロ,337000,60,1.36,48.141,31,69,2,15,21,26,21,10,5
29,亜鉛 食べ物,330000,60,1.301,-1.426,27,73,1,7,14,22,24,17,15
30,エクオール,300000,60,1.473,-37.251,13,87,0,2,4,22,37,20,15
31,脈拍数 正常値,286000,60,1.501,10.912,33,67,2,8,9,16,23,21,21
