順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,シェーグレン症候群,273000,1500,2.036,0.005,20,80,1,7,9,17,26,23,17
2,耳下腺炎,75700,1100,3.022,-0.005,24,76,1,6,19,29,21,13,11
3,唾液腺 腫れ,19400,880,4.144,-0.007,21,79,3,13,17,23,22,12,10
4,唾液腺,25700,780,3.76,0,26,74,7,15,16,19,17,12,14
5,アミラーゼの数値が高い,80100,750,2.602,-0.135,30,70,0,3,6,15,25,24,27
6,顎下腺 腫れ,13700,580,4.06,-0.016,26,74,3,12,16,26,24,12,7
7,リンパ腺の腫れ,111000,520,1.853,-1.022,32,68,3,10,15,25,24,12,11
8,唾石,8200,500,4.425,0,23,77,2,6,15,27,25,16,9
9,耳下腺腫瘍,38400,480,2.86,-0.001,29,71,2,7,13,23,25,17,13
10,三叉神経痛,96200,450,1.874,-0.653,29,71,1,6,12,21,25,19,16
11,ガマ腫,16800,450,3.604,0,29,71,3,14,20,24,21,11,7
12,顎下腺炎,9800,450,4.144,-0.003,28,72,1,10,20,26,22,13,8
13,粘液嚢胞,39200,420,2.702,0.001,27,73,4,17,22,24,17,9,7
14,クインケ浮腫,78800,410,1.962,-23.45,21,79,2,10,18,26,23,13,8
15,サルコイドーシス,83000,370,1.84,-1.772,31,69,1,9,12,20,24,19,15
16,顎下腺,9300,360,3.983,0.001,31,69,6,17,20,23,17,10,7
17,白板症,36500,340,2.574,-0.861,31,69,2,9,14,22,23,17,13
18,唾液腺ガン 初期症状,6900,330,4.222,-0.007,25,75,1,2,6,16,27,26,22
19,iga血管炎,66700,310,1.849,-11.956,23,77,1,10,20,27,20,13,9
20,耳下腺,22000,310,2.965,-0.009,30,70,3,14,19,24,19,11,10
21,ヒステリー球,61400,300,1.899,-11.729,21,79,4,11,17,25,24,13,6
22,リンパ節炎,53400,300,2.047,-0.993,26,74,3,12,21,26,21,10,7
23,顎の下 しこり,31400,300,2.58,-1.508,32,68,6,12,17,24,22,11,8
24,耳下腺炎 症状大人,11500,290,3.585,-0.007,23,77,0,4,9,18,27,24,18
25,伝染性単核球症,46500,280,2.132,-7.595,34,66,4,21,17,21,21,10,6
26,強皮症,52700,270,1.974,23.659,25,75,1,8,11,19,25,20,16
27,耳の下 痛い 片方,44800,270,2.114,-0.024,18,82,3,8,15,27,26,13,8
28,血清アミラーゼ,31100,270,2.501,-0.802,35,65,0,4,7,18,28,23,20
29,顎下腺癌,7600,270,3.899,-0.01,33,67,2,12,16,24,22,15,9
30,レイノー現象,50900,250,1.907,-6.041,25,75,2,16,14,22,23,13,10
31,扁平苔癬,22900,250,2.745,-1.081,29,71,1,10,11,19,23,19,17
32,反復性耳下腺炎,17700,250,2.914,-0.002,18,82,2,6,30,37,13,7,5
33,丹毒,51900,240,1.853,-61.742,28,72,1,7,16,25,24,16,11
34,耳下腺 痛い,15500,240,3.055,-0.002,13,87,2,8,16,26,24,15,9
35,舌の付け根が痛い,29600,230,2.355,-0.172,31,69,3,11,18,23,24,13,8
36,舌小帯,27400,230,2.459,-0.003,22,78,3,15,30,25,13,9,5
37,舌の裏 できもの,19900,230,2.783,-0.017,28,72,4,14,18,21,22,14,7
38,唾液腺マッサージ,9700,230,3.504,0.037,23,77,2,10,10,20,23,17,18
39,上顎洞炎,31900,210,2.2,-0.596,29,71,2,10,17,22,23,16,10
40,口腔カンジダ症,26200,210,2.423,-21.004,27,73,2,14,18,22,21,13,10
41,シロスタゾール,43900,200,1.853,-8.762,33,67,0,16,14,20,22,15,13
42,アミラーゼ,37800,200,2.024,-0.037,38,62,5,10,9,17,22,17,20
43,エフィエント,36800,200,2.016,-10.263,40,60,0,15,15,21,21,14,14
44,横浜市立大学附属病院,32200,200,2.173,3.965,38,62,1,7,9,16,23,21,23
45,舌痛症,30300,200,2.224,-2.604,25,75,3,8,12,20,26,18,13
46,耳の下が腫れる,19900,200,2.632,-0.198,28,72,2,7,15,28,26,14,8
47,顎下腺腫瘍,6300,200,3.748,-0.003,31,69,4,12,18,24,22,13,7
