順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,舌癌,112000,2100,3.303,-0.012,36,64,3,8,13,19,22,17,18
2,舌が白い,195000,1500,2.432,-0.006,28,72,3,7,11,19,25,19,16
3,扁平苔癬,22900,1500,4.6,0.001,29,71,1,10,11,19,23,19,17
4,シェーグレン症候群,273000,1400,2.005,0.054,20,80,1,7,9,17,26,23,17
5,舌癌の初期症状,82900,1400,3.236,-0.012,28,72,2,5,8,16,28,23,18
6,舌がピリピリする,148000,960,2.256,-1.538,26,74,2,6,10,20,27,19,16
7,口腔カンジダ症,26200,950,3.96,0.001,27,73,2,14,18,22,21,13,10
8,ベーチェット病,155000,900,2.132,-0.003,27,73,1,13,17,21,22,15,11
9,舌が痛い,148000,820,2.1,-0.908,29,71,3,7,9,20,27,19,15
10,口腔外科,84300,790,2.639,0.001,39,61,2,8,11,18,21,18,22
11,ぜつがんの症状,52400,790,3.105,-0.053,28,72,1,4,8,18,25,21,23
12,口腔がん,36600,740,3.382,-0.003,34,66,2,9,13,19,24,18,15
13,舌痛症,30300,740,3.58,0,25,75,3,8,12,20,26,18,13
14,粘液嚢胞,39200,710,3.266,0.008,27,73,4,17,22,24,17,9,7
15,舌癌 画像,22000,620,3.716,-0.01,30,70,1,4,9,19,29,22,16
16,舌 口内炎,87400,570,2.232,-0.377,26,74,3,15,23,27,18,6,8
17,舌 白いできもの,18300,570,3.779,-0.004,27,73,4,15,25,28,19,6,3
18,口腔扁平苔癬,6900,570,4.802,0.011,26,74,2,11,12,19,25,17,14
19,口内炎 治らない,64100,550,2.521,-0.724,29,71,4,15,19,22,21,11,8
20,ビタミンa 食べ物,82100,540,2.272,0.11,24,76,3,12,16,21,23,14,11
21,咽頭癌 症状,106000,520,1.956,0.684,33,67,1,6,13,22,26,18,14
22,歯肉炎,92300,510,2.083,-0.031,32,68,4,12,16,22,20,14,12
23,デキサメタゾン軟膏,94200,490,2.032,2.143,26,74,1,7,16,24,20,15,17
24,歯茎 白いできもの,63000,490,2.418,-0.011,27,73,3,10,18,25,23,13,8
25,舌にできもの,41200,490,2.845,-0.007,29,71,3,6,8,18,32,22,11
26,歯科衛生士,88900,480,2.046,-44.945,37,63,5,11,14,24,23,12,11
27,口腔ガン 初期症状,23100,480,3.437,-0.185,28,72,2,9,11,18,26,20,14
28,三叉神経痛,96200,460,1.955,-5.515,29,71,1,6,12,21,25,19,16
29,アフタ性口内炎,23800,450,3.322,0,29,71,6,25,24,20,13,7,5
30,アズノールうがい液,59300,420,2.357,5.068,31,69,1,9,17,21,20,15,17
31,舌癌 症状,16200,400,3.61,-0.003,31,69,3,9,12,19,24,17,16
32,口内炎 何科,68000,390,2.13,-0.039,28,72,2,8,16,23,23,15,13
33,口の中 できもの,45700,370,2.459,-0.018,27,73,4,9,14,25,25,14,9
34,口腔癌 画像,15600,360,3.51,-0.006,29,71,1,5,10,25,28,18,13
35,唾石症,38100,340,2.574,0.861,24,76,2,11,17,24,23,14,9
36,口腔カンジダ,11300,340,3.778,0.001,29,71,3,21,22,22,17,9,6
37,扁平上皮癌,32600,330,2.724,3.911,31,69,1,9,10,19,24,20,17
38,舌苔,35800,320,2.574,0.001,40,60,5,15,17,19,19,13,12
39,デキサメタゾン軟膏 口腔用,32900,300,2.621,1.073,28,72,1,5,12,19,19,19,25
40,舌炎,14700,300,3.391,0.003,29,71,4,14,22,23,18,11,8
41,フィステル,20400,290,3.022,-0.039,25,75,2,14,21,27,20,10,6
42,乳頭腫,11400,290,3.605,0.088,29,71,2,10,15,24,23,16,10
43,舌癌 生存率,9100,290,3.848,0.019,40,60,4,9,12,19,25,17,14
44,根管治療,53000,280,2.006,-1.116,32,68,2,9,17,26,23,14,9
45,オルテクサー口腔用軟膏,32800,280,2.53,0.281,30,70,1,6,13,20,20,17,23
46,舌 白い,28300,280,2.666,-0.005,30,70,6,18,26,26,15,6,3
47,天疱瘡,27700,280,2.702,-0.002,26,74,1,10,14,21,23,17,14
48,地図状舌,12800,280,3.462,0.027,22,78,3,15,26,26,15,9,6
49,強皮症,52700,260,1.994,5.069,25,75,1,8,11,19,25,20,16
50,舌の裏 口内炎,41500,260,2.19,0.001,27,73,4,16,23,25,19,8,5
51,ガマ腫,16800,260,3.121,0.01,29,71,3,14,20,24,21,11,7
52,舌小帯,27400,250,2.577,0.001,22,78,3,15,30,25,13,9,5
53,ドライマウス 治し方,26100,250,2.652,-0.662,25,75,2,7,11,20,27,18,15
54,口腔がん 初期,13500,250,3.301,-0.005,30,70,2,13,21,20,19,15,10
55,上顎洞炎,31900,240,2.413,-0.259,29,71,2,10,17,22,23,16,10
56,骨隆起,25300,240,2.592,3.526,24,76,1,11,22,25,22,12,7
57,口の中 白いできもの,8500,240,3.708,-0.002,26,74,5,18,27,27,13,6,4
58,歯科衛生士 国家試験 2025,15600,230,3.053,85.797,27,73,2,25,10,19,28,10,6
59,歯茎 白い,13900,230,3.184,-0.003,29,71,6,21,26,24,14,6,3
60,ドライソケット,37400,220,2.167,-0.784,28,72,3,26,28,20,14,6,3
61,唾液腺,25700,220,2.537,2.134,26,74,7,15,16,19,17,12,14
62,舌,21500,220,2.719,0.043,34,66,4,9,14,20,19,14,20
63,歯根嚢胞,20900,220,2.727,-1.53,31,69,1,8,13,22,28,18,10
64,舌の裏 できもの,19900,220,2.764,-0.009,28,72,4,14,18,21,22,14,7
65,耳下腺腫瘍,38400,210,2.088,24.768,29,71,2,7,13,23,25,17,13
66,類天疱瘡,34100,210,2.185,10.983,26,74,0,8,14,22,25,19,12
67,ciメディカル,30000,210,2.326,-45.857,42,58,0,4,11,24,28,21,12
68,ドライマウス 症状,16400,210,2.934,0.001,21,79,2,4,7,16,27,24,20
