順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,口内炎,474000,2100,1.779,-1.988,34,66,4,11,17,24,21,12,11
2,口の中 水ぶくれ,35300,1600,4.114,-0.002,25,75,4,16,23,26,17,8,6
3,粘液嚢胞 放置すると,5600,1400,5.854,0.001,29,71,6,14,18,24,20,11,7
4,口唇ヘルペス,285000,1300,1.83,-0.006,25,75,2,8,17,25,24,14,10
5,口の中 できもの,45700,1200,3.552,-0.005,27,73,4,9,14,25,25,14,9
6,粘液嚢腫,6800,980,5.303,0,31,69,1,4,8,14,25,25,23
7,唇 できもの,54400,890,3.079,-0.003,29,71,4,12,17,24,22,13,8
8,白板症,36500,710,3.266,-0.008,31,69,2,9,14,22,23,17,13
9,唇 水ぶくれ,28500,700,3.497,-0.003,24,76,4,17,24,25,17,7,6
10,ガマ腫,16800,670,3.972,0.001,29,71,3,14,20,24,21,11,7
11,口内炎 治らない,64100,640,2.608,-3.01,29,71,4,15,19,22,21,11,8
12,口腔外科,84300,630,2.337,-0.004,39,61,2,8,11,18,21,18,22
13,舌癌,112000,580,1.963,-0.512,36,64,3,8,13,19,22,17,18
14,唇 ヘルペス,103000,560,1.987,-0.015,29,71,4,13,17,23,21,12,10
15,口内炎 何科,68000,550,2.386,-4.878,28,72,2,8,16,23,23,15,13
16,舌の裏 できもの,19900,510,3.537,-0.017,28,72,4,14,18,21,22,14,7
17,口腔がん,36600,500,2.915,-0.027,34,66,2,9,13,19,24,18,15
18,扁平苔癬,22900,490,3.375,-0.011,29,71,1,10,11,19,23,19,17
19,唇 腫れ,90600,460,1.926,-0.006,28,72,4,8,12,25,24,15,12
20,唾石症,38100,420,2.702,-0.001,24,76,2,11,17,24,23,14,9
21,口の中 血豆,63400,400,2.102,-0.012,34,66,2,14,24,28,19,7,6
22,デキサメタゾン軟膏,94200,390,1.741,-0.547,26,74,1,7,16,24,20,15,17
23,舌癌の初期症状,82900,390,1.875,-0.006,28,72,2,5,8,16,28,23,18
24,歯科衛生士,88900,380,1.743,-6.915,37,63,5,11,14,24,23,12,11
25,口唇炎,45200,330,2.287,-0.002,19,81,3,16,20,24,19,10,8
26,口腔カンジダ症,26200,330,2.818,0.002,27,73,2,14,18,22,21,13,10
27,唾液腺,25700,330,2.877,0.001,26,74,7,15,16,19,17,12,14
28,アフタ性口内炎,23800,330,2.957,-0.006,29,71,6,25,24,20,13,7,5
29,口腔ガン 初期症状,23100,330,2.97,-1.121,28,72,2,9,11,18,26,20,14
30,乳頭腫,11400,330,3.667,0.001,29,71,2,10,15,24,23,16,10
31,唾液腺 腫れ,19400,310,3.072,0,21,79,3,13,17,23,22,12,10
32,口の中に水ぶくれ,8300,310,3.919,-0.002,28,72,6,16,14,22,23,12,7
33,血管腫,60200,300,1.895,2.344,28,72,1,7,16,23,24,16,13
34,舌痛症,30300,300,2.598,0.01,25,75,3,8,12,20,26,18,13
35,舌小帯,27400,280,2.615,-0.011,22,78,3,15,30,25,13,9,5
36,フィステル,20400,280,2.903,-0.003,25,75,2,14,21,27,20,10,6
37,歯茎 白いできもの,63000,270,1.755,-0.005,27,73,3,10,18,25,23,13,8
38,舌の裏 口内炎,41500,270,2.172,-0.005,27,73,4,16,23,25,19,8,5
39,ヒステリー球,61400,260,1.749,-1.153,21,79,4,11,17,25,24,13,6
40,エルデカルシトール,57700,250,1.832,-16.753,24,76,0,9,9,15,21,20,26
41,ciメディカル,30000,250,2.415,-43.101,42,58,0,4,11,24,28,21,12
42,口腔癌 画像,15600,250,3.066,-0.423,29,71,1,5,10,25,28,18,13
43,嚢胞,29900,220,2.268,3.889,34,66,2,8,15,24,26,9,16
44,上唇小帯,29400,220,2.303,-10.785,15,85,2,13,41,26,9,6,3
45,歯根嚢胞,20900,220,2.63,-0.904,31,69,1,8,13,22,28,18,10
46,粘液便,19800,210,2.671,0,21,79,1,11,20,22,21,15,10
47,粘液水腫,6000,210,3.889,0,30,70,2,21,12,18,21,15,11
48,ドライソケット,37400,200,1.999,-6.129,28,72,3,26,28,20,14,6,3
49,上顎洞炎,31900,200,2.149,-0.062,29,71,2,10,17,22,23,16,10
50,天疱瘡,27700,200,2.293,7.034,26,74,1,10,14,21,23,17,14
51,舌にできもの,41200,190,1.843,-0.013,29,71,3,6,8,18,32,22,11
52,歯茎 口内炎,34100,190,2.048,-0.001,23,77,5,28,32,20,9,3,3
53,骨隆起,25300,190,2.276,-2.653,24,76,1,11,22,25,22,12,7
54,口の中 白いできもの,8500,190,3.38,-0.007,26,74,5,18,27,27,13,6,4
55,嚢胞とは,39400,180,1.868,0.614,35,65,1,5,8,16,22,28,20
56,デキサメタゾン軟膏 口腔用,32900,180,2.038,1.647,28,72,1,5,12,19,19,19,25
57,オルテクサー口腔用軟膏,32800,180,2.044,0.665,30,70,1,6,13,20,20,17,23
58,上顎 できもの,14400,180,2.834,-0.012,17,83,2,8,17,23,25,17,8
59,線維腫,8700,180,3.312,0.001,28,72,1,10,17,24,24,14,10
60,カタル性口内炎,8000,180,3.431,-0.006,27,73,5,21,24,21,15,8,6
61,口腔扁平苔癬,6900,180,3.55,1.422,26,74,2,11,12,19,25,17,14
62,耳下腺腫瘍,38400,170,1.793,13.155,29,71,2,7,13,23,25,17,13
63,アレンドロン酸錠35mg,36400,170,1.885,23.583,27,73,0,7,8,14,21,22,28
64,舌苔,35800,170,1.847,-0.897,40,60,5,15,17,19,19,13,12
65,歯科,25000,170,2.225,-29.981,39,61,2,7,13,22,23,16,17
66,プレオルソ,23300,170,2.218,-2.237,16,84,1,5,37,43,8,3,3
67,舌癌 画像,22000,170,2.332,-0.025,30,70,1,4,9,19,29,22,16
68,根尖性歯周炎,14700,170,2.704,-0.7,29,71,2,13,20,25,21,12,7
69,日本歯科医師会,14600,170,2.722,-17.865,59,41,1,6,10,19,24,23,17
70,口腔がん 初期,13500,170,2.841,-0.041,30,70,2,13,21,20,19,15,10
71,口腔内 できもの,6100,170,3.585,-0.009,28,72,1,6,12,24,28,19,10
72,細菌性腟炎,38400,160,1.765,22.221,7,93,4,31,28,20,11,3,3
73,デキサメタゾン,38200,160,1.742,0.2,33,67,1,14,16,22,19,13,15
74,フォアダイス,24300,160,2.17,-0.008,60,40,11,26,25,19,12,5,2
75,歯科医師国保,16200,160,2.56,-31.894,26,74,0,13,19,26,23,12,7
76,歯科衛生士 国家試験 2025,15600,160,2.6,103.313,27,73,2,25,10,19,28,10,6
77,グッピー 歯科衛生士,8000,160,3.232,-32.787,27,73,1,15,21,30,23,7,3
78,光視症,35100,150,1.765,-22.681,30,70,3,9,12,16,24,23,13
79,類天疱瘡,34100,150,1.805,-0.002,26,74,0,8,14,22,25,19,12
80,ベースアップ評価料,33100,150,1.806,-41.994,46,54,0,5,14,27,28,17,9
81,溶連菌 発疹,31500,150,1.823,-31.35,12,88,0,5,46,38,6,3,2
82,尋常性疣贅,31200,150,1.819,-0.009,29,71,3,11,21,28,20,10,7
83,舌の付け根が痛い,29600,150,1.912,0.002,31,69,3,11,18,23,24,13,8
84,乳歯 生える順番,29100,150,1.885,-21.185,14,86,0,7,32,28,11,15,7
85,ci,24000,150,2.133,-59.859,51,49,2,7,10,20,23,19,19
86,舌炎,14700,150,2.611,-0.718,29,71,4,14,22,23,18,11,8
87,地図状舌,12800,150,2.757,-0.744,22,78,3,15,26,26,15,9,6
88,口腔機能低下症,6700,150,3.402,-35.431,37,63,1,12,14,24,24,16,9
89,オパールエッセンス,31700,140,1.764,-12.077,25,75,1,16,25,26,19,8,5
90,口腔外科 歯科 違い,22700,140,2.178,0.013,38,62,2,7,10,17,24,20,20
91,歯髄炎,21200,140,2.17,-13.541,28,72,3,12,20,26,21,11,7
92,歯根膜炎,19400,140,2.25,-9.562,26,74,2,10,18,26,22,14,8
93,エナメル質形成不全,14600,140,2.545,-38.646,13,87,4,15,35,30,9,4,3
94,口内炎 白い,13800,140,2.643,-1.095,28,72,11,36,26,14,7,3,3
95,歯科医師国家試験 2025 日程,11500,140,2.82,74.991,47,53,1,12,8,13,26,26,14
96,口腔カンジダ,11300,140,2.822,0.445,29,71,3,21,22,22,17,9,6
97,唾液腺ガン 初期症状,6900,140,3.328,-0.004,25,75,1,2,6,16,27,26,22
98,セフェム系抗生物質,31200,130,1.741,-17.799,27,73,1,9,17,26,22,15,10
99,多形滲出性紅斑,28800,130,1.805,13.52,22,78,2,9,27,30,17,9,6
100,舌 白い,28300,130,1.781,0.725,30,70,6,18,26,26,15,6,3
101,ノンクラスプデンチャー,20400,130,2.133,-10.271,29,71,0,3,8,18,30,25,16
102,悪性黒色腫,20100,130,2.153,-6.668,34,66,2,12,16,22,22,15,11
103,智歯周囲炎,12500,130,2.601,-2.129,31,69,4,28,26,20,13,6,3
104,歯科衛生士 求人,6600,130,3.237,19.495,14,86,1,29,30,24,12,3,1
105,舌の裏 白いできもの,6300,130,3.358,-0.004,26,74,4,17,19,24,21,9,6
106,喉 白いできもの,27500,120,1.75,-10.35,22,78,2,15,31,30,14,5,3
107,耳管狭窄症,27300,120,1.79,28.964,27,73,3,11,18,23,19,13,13
108,アフタゾロン口腔用軟膏,23600,120,1.954,-2.255,31,69,1,5,12,19,20,19,24
109,単純ヘルペス,22400,120,1.955,0,28,72,1,9,13,19,23,20,15
110,耳下腺,22000,120,1.997,0.166,30,70,3,14,19,24,19,11,10
111,手足口病 口の中,21700,120,1.94,-36.25,15,85,1,9,54,28,4,2,2
112,爪周囲炎,21000,120,2.041,-11.962,24,76,5,15,25,25,16,8,6
113,歯科医師国家試験 合格率,11200,120,2.72,111.092,61,39,1,8,8,15,24,27,17
114,口の中,9300,120,2.834,-0.002,27,73,5,14,18,25,19,12,7
115,歯根端切除,8900,120,2.872,-29.947,29,71,1,8,13,25,26,18,9
116,根尖病巣,8200,120,3.003,-26.65,29,71,2,16,19,26,21,11,5
117,口の中にできもの,5900,120,3.334,-0.003,29,71,4,13,12,20,23,17,11
118,シクロスポリン,26600,110,1.752,8.885,33,67,0,18,15,21,23,14,9
119,点状出血とは,25200,110,1.747,-15.714,13,87,4,16,20,28,20,7,5
120,急性胃炎,24800,110,1.741,-13.313,27,73,4,20,24,24,17,6,5
121,喉 口内炎,24700,110,1.776,0.679,26,74,3,23,35,25,10,2,2
