順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,白板症,36500,330,5.241,-0.003,31,69,2,9,14,22,23,17,13
2,舌癌,112000,230,3.796,-0.02,36,64,3,8,13,19,22,17,18
3,舌癌の初期症状,82900,220,4.037,-0.013,28,72,2,5,8,16,28,23,18
4,口内炎,474000,200,2.179,-0.721,34,66,4,11,17,24,21,12,11
5,副鼻腔炎,741000,140,1.368,9.736,32,68,3,10,21,26,19,12,9
6,逆流性食道炎,618000,140,1.563,-11.656,32,68,3,10,15,21,22,16,13
7,扁平苔癬,22900,140,4.9,0.001,29,71,1,10,11,19,23,19,17
8,舌がピリピリする,148000,130,2.911,-4.374,26,74,2,6,10,20,27,19,16
9,自律神経失調症 症状,566000,120,1.54,6.975,30,70,3,11,16,22,21,14,13
10,シェーグレン症候群,273000,120,2.288,0.037,20,80,1,7,9,17,26,23,17
11,膠原病,539000,110,1.476,0.046,32,68,1,6,11,19,24,20,19
12,粘液嚢胞,39200,110,4.079,-6.086,27,73,4,17,22,24,17,9,7
13,口腔がん,36600,110,4.149,-0.171,34,66,2,9,13,19,24,18,15
14,口腔カンジダ症,26200,110,4.484,0,27,73,2,14,18,22,21,13,10
15,大腸がん 症状,465000,100,1.507,-13.269,38,62,2,6,12,21,24,17,18
16,過敏性腸症候群,403000,100,1.653,-45.233,25,75,7,15,19,24,19,10,6
17,歯周病,345000,100,1.829,-3.289,35,65,2,8,13,22,25,17,13
18,口唇ヘルペス,285000,100,1.992,-1.761,25,75,2,8,17,25,24,14,10
19,舌痛症,30300,100,4.24,0.176,25,75,3,8,12,20,26,18,13
20,舌癌 画像,22000,100,4.539,-0.026,30,70,1,4,9,19,29,22,16
21,ベーチェット病,155000,90,2.524,0.004,27,73,1,13,17,21,22,15,11
22,舌が痛い,148000,90,2.508,-0.023,29,71,3,7,9,20,27,19,15
23,ぜつがんの症状,52400,90,3.585,-0.005,28,72,1,4,8,18,25,21,23
24,舌炎,14700,90,4.81,0.003,29,71,4,14,22,23,18,11,8
25,カタル性口内炎,8000,90,5.491,-0.009,27,73,5,21,24,21,15,8,6
26,膀胱炎,436000,80,1.31,-60.239,23,77,2,8,11,20,24,17,18
27,脳梗塞 前兆,421000,80,1.381,-5.58,35,65,1,5,10,19,25,18,22
28,肋間神経痛,409000,80,1.368,-27.873,28,72,2,8,13,21,24,18,14
29,膵臓癌 初期症状,404000,80,1.431,-5.292,35,65,1,3,7,16,25,23,25
30,舌が白い,195000,80,2.206,-5.02,28,72,3,7,11,19,25,19,16
31,アフタ性口内炎,23800,80,4.253,-0.02,29,71,6,25,24,20,13,7,5
32,口腔扁平苔癬,6900,80,5.532,0.003,26,74,2,11,12,19,25,17,14
33,紅板症 口腔,1000,80,7.377,-0.001,25,75,1,11,16,21,19,19,13
34,狭心症,356000,70,1.417,-22.828,38,62,2,8,11,18,24,18,19
35,大腸内視鏡検査,325000,70,1.522,-36.721,34,66,0,2,6,20,28,24,20
36,胃がん 初期症状,292000,70,1.651,3.924,33,67,1,6,13,20,24,18,18
37,潰瘍性大腸炎,280000,70,1.635,0.001,35,65,2,11,16,22,24,15,10
38,甲状腺機能亢進症,257000,70,1.711,22.33,23,77,2,8,11,23,27,17,12
39,子宮内膜症,251000,70,1.749,-20.983,15,85,4,19,24,25,15,8,5
40,悪性リンパ腫,239000,70,1.877,-41.854,33,67,2,7,11,21,25,19,15
41,顎関節症,233000,70,1.83,-8.221,32,68,6,12,15,21,21,13,12
42,口内炎 早く治す,226000,70,1.943,-0.041,32,68,6,17,19,21,19,10,8
43,口内炎 原因,200000,70,2.065,-0.033,30,70,4,13,15,20,22,15,11
44,口腔外科,84300,70,2.937,-1.06,39,61,2,8,11,18,21,18,22
45,間質性肺炎,387000,60,1.304,20.14,31,69,1,5,7,14,22,22,29
46,甲状腺の病気,344000,60,1.37,-82.148,26,74,1,3,7,18,29,22,20
47,橋本病,341000,60,1.352,-36.254,25,75,1,7,13,22,25,18,14
48,骨粗鬆症,300000,60,1.433,17.843,24,76,2,5,5,12,22,25,29
49,ビラノア錠,289000,60,1.434,12.36,31,69,1,8,14,23,25,16,13
50,脈拍数 正常値,286000,60,1.583,-12.053,33,67,2,8,9,16,23,21,21
51,貧血 症状,266000,60,1.476,-1.972,23,77,5,14,16,25,18,9,13
52,ヘルパンギーナ,263000,60,1.519,-2.359,26,74,1,9,33,26,12,12,7
53,誤嚥性肺炎,262000,60,1.537,7.639,35,65,1,6,8,14,26,23,22
54,迷走神経反射,252000,60,1.554,-27.92,22,78,4,15,17,23,22,12,7
55,hba1c,225000,60,1.658,49.991,41,59,0,8,11,19,26,19,17
56,歯茎の腫れ 治し方,225000,60,1.641,-7.849,35,65,2,6,12,22,27,18,13
57,耳鼻咽喉科,207000,60,1.789,-3.073,40,60,2,9,17,21,20,14,17
58,甲状腺,190000,60,1.925,7.558,33,67,2,7,12,19,24,18,18
59,白血病 初期症状,173000,60,2.065,-15.061,27,73,5,14,17,22,20,11,11
60,食道癌 初期症状,160000,60,2.091,-18.407,38,62,1,4,8,17,27,24,19
61,線維筋痛症,155000,60,2.053,-15.619,26,74,2,8,13,19,26,18,14
62,口腔ガン 初期症状,23100,60,3.977,-0.191,28,72,2,9,11,18,26,20,14
63,舌癌 症状,16200,60,4.431,-0.002,31,69,3,9,12,19,24,17,16
64,地図状舌,12800,60,4.6,0.002,22,78,3,15,26,26,15,9,6
65,オロパタジン,283000,50,1.315,-21.59,33,67,2,7,16,30,23,11,11
66,ビタミンd 食べ物,278000,50,1.432,-0.796,22,78,1,6,11,19,25,20,18
67,突発性難聴,277000,50,1.34,7.048,29,71,4,10,14,20,22,16,14
68,アンテベート軟膏,274000,50,1.302,9.732,31,69,1,5,10,19,23,19,23
69,カンジダ,272000,50,1.443,-8.788,27,73,4,22,22,22,16,8,6
70,扁桃炎,260000,50,1.415,-4.302,34,66,6,23,25,21,15,6,4
71,クレアチニンとは,253000,50,1.461,-38.962,42,58,1,5,6,13,21,23,31
72,蕁麻疹,247000,50,1.371,30.732,31,69,4,13,21,25,18,10,9
73,心房細動,243000,50,1.53,-5.342,39,61,1,7,8,14,21,22,27
74,クローン病,241000,50,1.424,-56.913,31,69,3,12,15,21,22,15,12
75,ビタミンb12,238000,50,1.614,-10.206,32,68,1,5,9,16,24,21,24
76,肺癌 初期症状は,228000,50,1.593,-67.794,35,65,1,4,9,18,24,22,22
77,溶連菌 大人症状,225000,50,1.435,-14.625,25,75,1,9,23,27,21,12,7
78,左脇腹の痛み,223000,50,1.606,16.214,36,64,1,5,11,22,28,19,14
79,左下腹部の痛み,223000,50,1.496,19.301,28,72,2,9,15,26,24,14,10
80,変形性膝関節症,219000,50,1.531,-11.24,28,72,1,6,6,14,25,25,23
81,心筋梗塞 前兆,218000,50,1.654,64.952,37,63,2,5,9,18,26,20,20
82,梅毒,212000,50,1.53,-95.732,48,52,4,17,23,25,18,8,5
83,自律神経 乱れ 症状,201000,50,1.671,60.088,25,75,2,10,15,23,23,15,12
