順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,腫瘍マーカー,102000,1800,2.78,0,47,53,0,5,8,18,26,23,20
2,ct検査,190000,1400,1.914,-0.022,41,59,2,7,10,18,21,18,24
3,腫瘍マーカー検査とは,128000,1300,2.254,0,25,75,0,2,8,22,30,21,17
4,抗がん剤治療,91300,1100,2.395,13.248,39,61,1,3,7,17,24,22,26
5,脳腫瘍,98800,1000,2.278,-0.001,37,63,3,6,9,20,25,19,18
6,腎臓,134000,950,1.897,0.017,45,55,3,8,11,19,22,17,20
7,放射線治療,86100,910,2.295,5.869,36,64,1,4,7,19,26,19,24
8,膵臓,115000,880,1.971,-0.001,45,55,2,6,10,17,23,19,23
9,腫瘤とは,18500,870,3.77,0,30,70,1,6,10,22,28,20,13
10,pet 検査,119000,860,1.923,-3.535,37,63,0,3,7,20,28,21,21
11,膝,126000,850,1.894,1.069,43,57,2,3,5,11,21,24,34
12,抗がん剤 副作用,92800,840,2.166,13.595,29,71,1,6,7,17,24,21,24
13,潰瘍,44400,840,2.866,0,39,61,4,12,15,19,21,15,14
14,腫瘤,18000,770,3.657,0,33,67,1,7,13,23,28,17,11
15,リンパ腫,90000,760,2.082,-0.89,39,61,1,5,9,17,23,21,24
16,造影剤,77000,740,2.174,0.001,37,63,1,5,11,22,27,18,16
17,脂肪腫,78800,670,2.064,-0.001,33,67,2,8,15,23,25,16,11
18,ポリープとは,60800,620,2.265,0,45,55,7,18,17,20,17,10,11
19,皮膚,32500,620,2.897,-0.001,35,65,2,4,6,17,26,22,23
20,癌,34600,570,2.737,0,46,54,5,8,11,17,23,18,18
21,腫瘍とは,7400,550,4.239,0,45,55,10,16,15,20,19,10,10
22,抗がん剤治療 期間 平均,48100,540,2.388,11.943,29,71,0,2,5,16,26,24,27
23,mri検査とは,78100,520,1.862,-2.131,55,45,2,4,4,11,20,25,34
24,治療,42000,520,2.481,0.001,42,58,2,2,4,13,24,23,32
25,腫瘍マーカー 数値 目安,45500,500,2.385,0,33,67,0,2,4,14,25,26,29
26,疼痛,66000,480,1.931,0.039,41,59,3,10,11,18,22,17,19
27,がん,56300,470,2.074,0.001,42,58,5,7,9,18,21,18,22
28,動脈瘤,63500,440,1.908,5.973,36,64,1,4,8,16,23,20,28
29,卵巣腫瘍,35000,440,2.449,-0.001,17,83,1,9,15,24,25,14,12
30,手術後,50400,430,2.1,22.892,43,57,0,2,4,14,26,30,24
31,放射線治療 副作用,46000,430,2.189,19.878,25,75,1,5,7,17,27,22,21
32,リンパ節とは,36600,430,2.397,7.373,43,57,3,6,9,17,22,22,21
33,浮腫,49100,420,2.055,0.001,56,44,3,11,14,19,22,15,16
34,抗がん剤,38800,420,2.332,24.054,36,64,1,6,8,18,23,20,24
35,悪性腫瘍,14400,420,3.307,0.007,40,60,5,12,13,17,22,17,14
36,良性腫瘍,14000,420,3.329,0.001,35,65,7,13,13,21,21,14,11
37,上皮内新生物とは,39700,410,2.266,0.197,39,61,0,3,9,17,27,24,20
38,腎臓がん,58200,400,1.883,-0.018,39,61,1,4,7,16,23,23,26
39,嚢胞とは,42100,400,2.198,0.001,34,66,1,5,8,16,23,27,20
40,点滴,55300,390,1.914,1.492,41,59,3,9,12,15,19,19,23
41,浮腫とは,43300,390,2.127,0,52,48,2,8,6,12,26,24,22
42,生検とは,36500,390,2.319,0.536,36,64,1,7,9,19,24,20,20
43,甲状腺 腫瘍,35300,390,2.354,-0.002,22,78,1,3,7,17,28,25,19
44,嚢胞,29500,390,2.487,0.002,34,66,2,8,15,24,26,9,16
45,腹腔鏡手術,43800,380,2.107,0.129,34,66,1,7,11,18,22,20,21
46,治癒,43700,380,2.1,0.003,38,62,2,4,6,15,26,23,24
47,国立がん研究センター中央病院,46900,360,2.004,-0.202,38,62,0,4,7,16,24,23,26
48,脊髄,41600,360,2.112,-0.001,41,59,5,10,8,15,21,17,24
49,腹腔鏡,41300,360,2.122,1.138,35,65,1,6,12,21,22,18,20
