順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,口内炎,474000,490,1.877,-0.094,34,66,4,11,17,24,21,12,11
2,舌癌の初期症状,82900,490,3.654,-0.001,28,72,2,5,8,16,28,23,18
3,舌癌,112000,480,3.316,0.001,36,64,3,8,13,19,22,17,18
4,舌が痛い,148000,260,2.437,-0.006,29,71,3,7,9,20,27,19,15
5,舌がピリピリする,148000,260,2.413,-0.003,26,74,2,6,10,20,27,19,16
6,舌が白い,195000,230,2.036,-0.006,28,72,3,7,11,19,25,19,16
7,白板症,36500,200,3.551,0,31,69,2,9,14,22,23,17,13
8,舌 口内炎,87400,190,2.621,0,26,74,3,15,23,27,18,6,8
9,口腔がん,36600,190,3.49,0.001,34,66,2,9,13,19,24,18,15
10,舌癌 画像,22000,180,3.979,0.001,30,70,1,4,9,19,29,22,16
11,悪性リンパ腫,239000,170,1.489,3.378,33,67,2,7,11,21,25,19,15
12,口内炎 早く治す,226000,170,1.599,-0.001,32,68,6,17,19,21,19,10,8
13,ぜつがんの症状,52400,170,3.042,-0.003,28,72,1,4,8,18,25,21,23
14,舌癌 症状,16200,170,4.244,0.002,31,69,3,9,12,19,24,17,16
15,堀ちえみ,165000,150,1.765,0.001,33,67,2,6,9,14,31,23,15
16,乳がん,159000,150,1.793,-23.061,25,75,2,5,8,19,26,21,19
17,大腸がん,189000,140,1.595,-9.207,37,63,1,5,9,18,24,21,22
18,白血病 初期症状,173000,140,1.644,-0.308,27,73,5,14,17,22,20,11,11
19,舌癌 生存率,9100,140,4.581,0.002,40,60,4,9,12,19,25,17,14
20,舌痛症,30300,130,3.295,0.002,25,75,3,8,12,20,26,18,13
21,咽頭癌 症状,106000,120,1.977,7.867,33,67,1,6,13,22,26,18,14
22,不整脈,154000,110,1.506,17.741,41,59,3,9,11,17,19,17,24
23,口腔外科,84300,110,2.147,0,39,61,2,8,11,18,21,18,22
24,口内炎 何科,68000,110,2.285,0,28,72,2,8,16,23,23,15,13
25,口内炎 治らない,64100,110,2.385,-0.139,29,71,4,15,19,22,21,11,8
26,舌炎,14700,110,3.829,0.001,29,71,4,14,22,23,18,11,8
27,ベーチェット病,155000,100,1.427,0.789,27,73,1,13,17,21,22,15,11
28,クラリスロマイシン,142000,100,1.434,42.493,31,69,1,10,23,29,17,11,9
29,大腸がん 症状 女性 初期,140000,100,1.528,-4.467,6,94,1,7,13,21,25,17,16
30,口内炎 薬,139000,100,1.568,-2.494,35,65,2,14,18,23,20,13,10
31,結膜炎,120000,100,1.666,7.543,29,71,6,16,31,24,12,6,5
32,皮膚がん 見分け方 画像,117000,100,1.717,9.163,32,68,2,3,8,18,24,21,24
33,舌にできもの,41200,100,2.699,-0.003,29,71,3,6,8,18,32,22,11
34,舌癌 初期症状 チェック,6100,100,4.679,0.001,28,72,5,15,18,23,20,10,9
35,メラノーマ,133000,90,1.495,-30.149,30,70,4,10,17,23,23,14,9
36,自律神経失調症,131000,90,1.452,-17.601,33,67,5,17,19,19,18,11,11
37,死にたい,128000,90,1.434,0.622,34,66,10,18,23,25,17,5,2
38,堀ちえみブログ,127000,90,1.493,-0.064,22,78,0,2,3,8,32,32,23
39,めまい,117000,90,1.556,-3.02,27,73,2,6,13,23,25,16,15
