順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,親知らず 抜歯,134000,910,4.016,-2.394,42,58,2,17,20,23,22,10,6
2,親知らず 抜歯後,114000,840,4.111,-0.007,35,65,4,27,25,21,14,6,3
3,親知らず 抜歯後 痛み,68800,480,4.06,0.006,34,66,3,24,25,22,17,6,3
4,親知らず,89400,460,3.784,-0.002,45,55,10,24,19,18,14,8,7
5,ドライソケット,37400,280,4.148,5.211,28,72,3,26,28,20,14,6,3
6,親知らず抜歯後 食事,8700,280,5.606,0.092,21,79,3,38,26,14,13,5,1
7,親知らず 歯茎 腫れ,44900,220,3.703,-3.118,27,73,5,26,23,22,16,5,3
8,親知らず抜歯 痛みいつまで,6300,220,5.681,0.004,24,76,3,31,24,19,16,5,2
9,歯周病,345000,210,1.619,-8.477,35,65,2,8,13,22,25,17,13
10,親知らず抜歯 費用,8600,210,5.336,-0.003,31,69,2,43,22,14,13,4,2
11,親知らず抜歯後,3600,210,6.172,1.095,27,73,4,34,22,17,16,5,2
12,親知らず 抜歯後 食事,25400,200,4.176,0.125,31,69,3,31,26,18,14,5,3
13,サーティワン,320000,190,1.619,-35.368,22,78,9,20,26,23,14,5,3
14,スタバメニュー,218000,170,1.905,4.55,23,77,16,29,17,17,14,5,2
15,親知らず 抜かなくていい,56100,160,3.155,-3.996,40,60,9,24,17,18,18,9,5
16,親知らず 痛い,39100,160,3.579,-0.786,37,63,10,32,20,17,13,5,3
17,顎関節症,233000,150,1.647,-7.98,32,68,6,12,15,21,21,13,12
18,抜歯後の食事,36800,150,3.512,-0.004,32,68,2,12,16,20,25,16,9
19,親知らず抜歯 腫れ,2800,140,6.079,0.001,19,81,6,35,22,17,13,5,2
20,不正出血,196000,130,1.692,-14.779,14,86,4,21,22,29,16,5,3
21,親知らず 抜歯 費用,25700,130,3.739,-1.722,37,63,2,39,26,17,11,3,2
22,親知らず 横向き,21300,130,3.912,-1.87,32,68,4,24,22,22,17,7,4
23,アモキシシリンカプセル250mg,193000,120,1.637,-0.148,31,69,1,7,14,23,23,17,15
24,esfj,184000,120,1.753,-42.648,26,74,18,48,18,9,5,1,1
25,トラネキサム酸,176000,120,1.697,-23.613,26,74,2,14,20,26,20,11,7
26,マウスピース矯正,105000,120,2.278,-19.196,22,78,6,20,21,27,16,5,5
27,虫歯,71500,120,2.662,-2.65,39,61,7,18,27,22,11,7,8
28,ドライソケット 見た目,11100,120,4.478,3.897,24,76,3,30,30,19,11,5,2
29,生理がこない,163000,110,1.705,-13.907,17,83,11,26,24,26,9,2,2
30,歯医者,147000,110,1.859,-9.078,41,59,3,10,15,23,22,14,13
31,生理前 症状,146000,110,1.784,-38.104,13,87,8,19,26,31,11,3,2
32,親知らず 虫歯,15200,110,4.055,-0.569,39,61,2,26,32,21,11,5,3
33,親知らず抜歯後 痛み,2700,110,5.798,1.265,23,77,5,36,25,17,12,4,1
34,医療脱毛,157000,100,1.694,-10.783,24,76,6,29,21,22,15,4,3
35,顔タイプ診断,153000,100,1.747,1.033,6,94,17,36,22,13,8,2,2
36,francfranc,119000,100,2.002,-4.399,15,85,20,30,18,13,10,5,4
37,スタバ新作,117000,100,2.018,-5.704,32,68,25,39,15,10,8,2,1
38,抜歯後 痛み いつまで,36900,100,3.132,4.123,32,68,2,12,16,23,24,14,9
39,抜歯,24700,100,3.533,0,42,58,4,12,18,22,20,13,11
40,子宮頸がん検診,141000,90,1.678,-49.097,7,93,1,20,22,23,20,9,5
41,ダイエット,138000,90,1.702,-43.639,27,73,6,13,22,27,19,8,5
42,自律神経失調症,131000,90,1.783,-36.827,33,67,5,17,19,19,18,11,11
43,すき家メニュー,131000,90,1.717,-40.533,49,51,10,23,17,19,18,9,4
44,喉が痛い,104000,90,1.956,-17.739,30,70,6,13,16,25,21,11,8
45,歯列矯正,88900,90,2.154,-54.015,26,74,5,21,22,25,17,6,4
46,歯が痛いときの対処法,85100,90,2.149,-0.934,38,62,4,12,16,25,24,11,8
47,血餅,15900,90,3.829,4.553,33,67,8,23,26,21,13,6,3
48,親知らず 抜歯後 腫れ,13400,90,4.074,1.508,26,74,6,28,21,21,17,5,2
