順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,睡眠時無呼吸症候群,184000,180,3.584,-0.05,45,55,2,8,14,23,26,17,10
2,パーキンソン病,844000,100,1.598,-0.023,38,62,2,8,10,15,21,19,25
3,バセドウ病,455000,90,1.984,-2.086,31,69,3,13,16,23,24,13,8
4,bmi 計算 自動,715000,80,1.469,0.039,30,70,6,18,17,18,18,13,10
5,甲状腺機能低下症,543000,80,1.755,0.185,23,77,1,6,10,16,21,20,26
6,心不全,265000,80,2.399,-13.66,34,66,2,7,10,18,24,19,20
7,糖尿病,711000,70,1.32,-4.111,43,57,2,5,8,17,26,21,21
8,百日咳,633000,70,1.396,101.209,35,65,4,9,20,28,19,12,8
9,逆流性食道炎,618000,70,1.444,0.256,32,68,3,10,15,21,22,16,13
10,統合失調症,603000,70,1.512,10.228,33,67,3,11,14,22,24,15,11
11,橋本病,341000,70,2.014,-2.262,25,75,1,7,13,22,25,18,14
12,マンジャロ,337000,70,2.034,-32.473,31,69,2,15,21,26,21,10,5
13,デエビゴ,284000,70,2.233,20.929,34,66,1,9,12,20,24,18,16
14,心房細動,243000,70,2.458,12.508,39,61,1,7,8,14,21,22,27
15,ナルコレプシー,207000,70,2.588,-0.004,29,71,5,16,17,22,22,12,6
16,無呼吸症候群,143000,70,2.87,-2.584,44,56,1,6,12,22,27,18,14
17,bmi,584000,60,1.474,-15.887,31,69,10,21,18,17,15,10,9
18,自律神経失調症 症状,566000,60,1.479,-0.497,30,70,3,11,16,22,21,14,13
19,膠原病,539000,60,1.452,-29.755,32,68,1,6,11,19,24,20,19
20,ギランバレー症候群,519000,60,1.567,-17.356,35,65,2,8,11,17,21,19,22
21,アンブロキソール,486000,60,1.525,13.01,29,71,1,7,18,28,22,13,11
22,蜂窩織炎,434000,60,1.63,-15.136,28,72,1,7,13,21,24,19,15
23,アムロジピン,296000,60,2.147,11.861,40,60,0,8,7,14,24,23,24
24,シェーグレン症候群,273000,60,2.099,-0.013,20,80,1,7,9,17,26,23,17
25,せん妄とは,259000,60,2.124,-0.017,30,70,1,7,8,17,27,22,18
26,モンテルカスト錠10mg,449000,50,1.496,44.135,29,71,1,6,15,24,23,17,14
27,間質性肺炎,387000,50,1.737,-8.95,31,69,1,5,7,14,22,22,29
28,厚生労働省,383000,50,1.69,7.97,47,53,2,6,9,19,26,22,16
29,クラリスロマイシン錠200mg,383000,50,1.538,4.168,30,70,1,6,15,26,22,16,14
30,狭心症,356000,50,1.694,-2.35,38,62,2,8,11,18,24,18,19
31,骨粗鬆症,300000,50,1.918,-2.473,24,76,2,5,5,12,22,25,29
32,くも膜下出血,251000,50,1.935,10.655,38,62,3,11,14,21,23,15,13
33,リベルサス,218000,50,2.072,10.445,30,70,1,12,19,25,24,12,7
34,脂質異常症,177000,50,2.286,-0.003,30,70,1,9,12,20,27,18,13
35,シーパップ,132000,50,2.73,-0.019,48,52,1,5,11,23,30,19,11
36,cpap,86800,50,3.021,0,49,51,1,9,14,22,26,17,11
37,クッシング症候群,70700,50,3.208,27.802,25,75,2,21,14,20,23,13,7
38,睡眠時無呼吸症候群 治療,28700,50,4.129,-0.178,49,51,1,6,10,19,27,22,15
39,中枢性睡眠時無呼吸症候群,1800,50,6.909,0.001,48,52,1,11,16,24,18,16,14
40,緑内障,417000,40,1.366,-12.086,37,63,1,5,9,20,24,20,21
41,デキストロメトルファン15mg,414000,40,1.412,59.057,28,72,1,6,15,27,23,15,13
42,敗血症,395000,40,1.433,-6.628,38,62,1,7,11,18,22,19,22
43,血圧 正常値,358000,40,1.424,-21.174,39,61,6,26,13,16,17,11,11
44,ビタミンd,345000,40,1.413,-85.24,30,70,1,6,12,19,24,20,18
45,スタバ タンブラー,340000,40,1.396,57.184,15,85,6,21,22,24,17,7,3
46,亜鉛 食べ物,330000,40,1.485,35.06,27,73,1,7,14,22,24,17,15
47,起立性調節障害,325000,40,1.642,21.653,23,77,9,9,12,34,22,7,7
48,パニック障害,324000,40,1.605,1.02,32,68,4,13,17,25,22,11,8
49,自律神経を整える方法,319000,40,1.548,-60.489,27,73,2,8,15,24,24,15,12
50,川崎病とは,297000,40,1.496,-2.239,26,74,1,8,27,25,15,15,9
51,潰瘍性大腸炎,280000,40,1.571,-36.837,35,65,2,11,16,22,24,15,10
52,いらすとや,266000,40,1.757,14.039,38,62,8,16,19,22,18,10,7
53,貧血 症状,266000,40,1.656,-7.31,23,77,5,14,16,25,18,9,13
54,甲状腺機能亢進症,257000,40,1.821,-19.085,23,77,2,8,11,23,27,17,12
55,クローン病,241000,40,1.943,-2.006,31,69,3,12,15,21,22,15,12
56,ビタミンb12,238000,40,1.88,-24.565,32,68,1,5,9,16,24,21,24
57,メトホルミン,235000,40,1.787,-7.684,33,67,0,6,11,23,30,18,12
58,プレドニン,191000,40,1.99,-8.073,28,72,1,8,12,21,24,18,16
59,タリージェ,189000,40,2.022,7,35,65,0,5,9,19,25,20,22
60,ランソプラゾール,187000,40,2.14,-36.456,32,68,1,10,10,17,23,20,19
61,アルツハイマー型認知症,156000,40,2.196,-15.199,33,67,2,7,7,15,26,20,23
62,egfr,150000,40,2.312,-30.749,37,63,0,6,8,16,25,23,22
63,ゾコーバ,137000,40,2.342,-63.076,37,63,1,5,10,22,27,20,15
64,ネフローゼ症候群,133000,40,2.446,9.937,32,68,2,13,13,21,22,15,14
65,むずむず脚症候群,112000,40,2.538,-6.275,27,73,2,10,16,21,21,16,14
66,フォシーガ,105000,40,2.704,17.396,34,66,0,9,14,23,25,16,13
67,多発性骨髄腫,90100,40,2.79,6.416,33,67,1,8,9,16,23,22,21
68,エンレスト,88700,40,2.859,-1.671,37,63,0,12,15,23,24,14,12
69,フェブキソスタット,88600,40,2.709,46.905,46,54,1,11,13,21,24,17,13
70,サルコペニアとは,86600,40,2.812,-3.473,32,68,2,9,7,14,22,21,25
71,copdとは,83000,40,2.987,0.04,35,65,3,11,9,15,21,20,21
72,copd,78700,40,3.07,-32.319,38,62,3,17,14,20,20,14,12
73,脊柱管狭窄症,356000,30,1.334,26.861,39,61,1,3,5,11,20,24,36
74,脳梗塞,354000,30,1.314,-9.773,40,60,2,7,7,14,24,22,24
75,パワーポイント,327000,30,1.325,3.857,52,48,4,8,10,25,28,15,10
76,白内障手術,313000,30,1.338,-39.464,36,64,0,1,4,10,21,27,37
77,突発性発疹,307000,30,1.349,-35.117,17,83,0,9,44,19,9,14,5
78,セレコキシブ錠100,301000,30,1.321,14.726,31,69,1,3,6,14,24,24,28
