順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,顎関節症,233000,1800,2.519,0,32,68,6,12,15,21,21,13,12
2,顎変形症 術後 地獄,4700,1400,6.133,0.001,24,76,8,21,18,22,20,8,3
3,顎変形症 保険適用,2900,960,6.275,0.001,21,79,7,32,21,20,15,4,1
4,顎変形症手術後,2600,730,6.097,7.895,25,75,8,22,18,22,23,6,1
5,顎変形症 手術後,2000,710,6.342,0.009,24,76,11,23,17,17,24,7,1
6,歯列矯正,88900,690,2.507,-0.008,26,74,5,21,22,25,17,6,4
7,顎変形症 手術,1700,550,6.249,0.002,20,80,9,28,23,20,14,5,1
8,オトガイ形成,8200,520,4.635,0.701,16,84,5,37,27,16,10,3,2
9,インビザライン,84700,470,2.153,0.014,25,75,3,14,21,30,20,8,4
10,顎変形症 手術なし,1100,400,6.346,0.027,20,80,8,22,20,27,17,4,2
11,日本矯正歯科学会,14600,390,3.75,0.006,18,82,6,32,23,21,11,4,3
12,歯科矯正,46800,360,2.459,-0.038,24,76,3,11,20,33,22,6,5
13,顎関節症 直し方,53300,340,2.341,-0.003,31,69,7,13,11,16,22,17,14
14,受け口,20500,290,3.09,-0.002,27,73,6,16,32,24,11,6,5
15,矯正歯科,28600,280,2.721,0.078,26,74,4,10,14,31,25,9,7
16,下顎前突,5400,270,4.356,0.003,31,69,8,21,26,22,13,7,3
17,アデノイド顔貌,33800,250,2.438,0.185,25,75,4,18,29,27,14,5,3
18,歯列矯正 保険適用,11900,250,3.53,-0.003,24,76,6,26,26,24,12,3,3
19,反対咬合,21100,240,2.849,-0.003,19,81,3,10,34,31,11,6,5
20,顎関節症 何科,40500,230,2.226,-0.002,27,73,5,13,14,21,24,13,10
21,口ゴボとは,34700,230,2.38,7.914,24,76,11,26,22,20,14,5,2
22,歯科矯正 保険適用,13500,230,3.256,-0.002,24,76,2,12,24,35,19,5,3
23,矯正 保険適用,10000,230,3.619,-0.001,24,76,6,26,23,29,11,2,3
24,矯正,33900,220,2.357,0.002,31,69,8,17,16,23,16,9,11
25,アンカースクリュー,10100,210,3.522,10.036,15,85,7,43,24,14,8,3,1
26,顎,27800,200,2.437,0,46,54,4,7,10,18,23,18,20
27,受け口 矯正,7700,200,3.69,-1.777,25,75,4,13,25,29,17,7,5
28,顎関節症 手術方法,4400,200,4.286,-0.003,29,71,6,14,18,21,22,12,7
29,大阪歯科大学附属病院,16400,190,2.901,-0.593,30,70,1,8,11,20,24,18,18
30,両顎手術,2700,190,4.775,0.193,16,84,10,41,26,12,7,3,1
31,骨切り手術,11100,180,3.251,1.799,28,72,3,14,15,20,21,17,10
32,アンカースクリュー 矯正,6200,180,3.838,6.335,12,88,6,34,23,18,14,3,2
33,ビューティースキンクリニック,32700,170,2.188,-3.034,5,95,10,55,17,8,7,2,1
34,口腔外科学会,3400,170,4.354,-31.324,59,41,0,10,20,30,19,11,10
35,東京歯科大学,30300,160,2.147,-0.016,40,60,5,8,8,19,26,17,17
36,デンタルローン,18900,160,2.541,1.808,32,68,2,14,24,31,20,6,3
37,インビザライン 費用,26900,150,2.136,-0.245,20,80,3,16,22,30,19,6,4
38,過蓋咬合,14500,150,2.76,0.158,18,82,6,21,33,26,9,3,2
39,矯正歯科 選ぶポイント,12500,150,2.926,-3.284,16,84,3,16,14,30,26,6,5
40,口ゴボ,16700,140,2.588,-0.042,23,77,13,29,25,18,10,3,2
41,輪郭3点,7400,140,3.44,-0.677,12,88,7,38,26,13,9,4,3
42,鶴木クリニック,1200,140,5.188,8.887,28,72,2,23,21,19,21,7,7
43,矯正 値段,26100,130,2.151,-4.005,31,69,17,37,15,17,9,3,2
44,横顔,21100,130,2.304,6.196,29,71,23,25,19,16,10,4,3
45,歯並び,20600,130,2.32,7.039,28,72,7,17,24,26,14,7,5
46,リテーナー,18400,130,2.451,1.119,23,77,10,23,23,24,12,4,4
47,小鼻縮小,18100,130,2.466,0.15,14,86,9,27,23,20,13,5,3
48,東京歯科大学水道橋病院,11200,130,2.957,-3.267,32,68,1,7,10,17,24,21,20
49,噛み合わせ 正しい位置,9700,130,3.019,2.447,23,77,5,18,21,22,20,9,5
50,ルフォー ssro,2000,130,4.694,5.897,21,79,6,37,25,16,9,5,2
51,眉下切開,22100,120,2.136,27.437,13,87,4,16,16,24,24,11,5
52,バッカルコリドー,22100,120,2.12,10.04,19,81,4,18,22,24,20,9,3
53,ジョールファット,19900,120,2.225,-28.065,11,89,2,25,28,22,15,5,3
54,ワイヤー矯正,10100,120,2.951,1.241,20,80,12,29,23,23,10,2,1
55,上顎前突,6600,120,3.36,0.002,17,83,8,21,27,24,10,5,5
56,受け口 治し方,5500,120,3.511,0.005,27,73,4,13,27,25,18,8,5
57,しゃくれ 治し方,5200,120,3.61,-8.75,33,67,18,23,23,23,8,3,2
58,ssro,1300,120,5.02,1.87,29,71,6,34,29,15,11,3,2
59,下顎後退,1300,120,4.962,1.704,19,81,10,34,28,17,8,2,1
60,外科矯正,1100,120,5.168,0.001,25,75,7,29,23,22,13,4,2
61,大阪歯科大学,19700,110,2.235,-0.082,39,61,10,8,8,20,26,14,14
62,額関節症治す 病院,18800,110,2.195,-0.38,23,77,2,9,11,24,26,16,12
63,伊藤かりん,18700,110,2.206,0.206,68,32,3,14,22,22,22,10,7
64,歯科矯正 値段,16700,110,2.319,-8.25,32,68,6,20,18,23,21,8,4
65,九州歯科大学,16600,110,2.315,-2.93,44,56,10,10,8,19,26,15,12
66,eライン,14300,110,2.554,10.365,36,64,13,28,24,18,8,5,4
67,顎関節症 治療,10300,110,2.869,0.005,28,72,4,18,20,21,19,9,9
68,不正咬合,6700,110,3.26,0.006,25,75,4,16,25,28,15,8,4
69,受け口 手術方法,1300,110,4.869,-0.11,28,72,8,14,15,30,24,7,2
70,湘南 脱毛,20800,100,2.093,37.814,9,91,4,49,28,11,5,2,1
71,流動食,20600,100,2.085,17.951,33,67,3,14,14,19,21,15,14
72,顎関節症 直し方 セルフ,19200,100,2.087,-0.001,30,70,5,8,12,20,24,17,14
73,人中短縮,15500,100,2.36,-1.183,17,83,5,20,26,25,15,6,3
74,おとがいとは,15000,100,2.44,0,33,67,6,11,9,14,19,17,24
75,歯列矯正 医療費控除 やり方,10600,100,2.701,0.48,24,76,2,19,23,29,19,5,3
76,噛み合わせ 治し方,10100,100,2.761,-0.002,28,72,3,10,14,24,26,15,8
77,顎関節症 治療方法,7100,100,3.07,-0.045,24,76,5,15,18,22,21,11,8
78,口ゴボ 矯正,6100,100,3.264,6.244,16,84,11,39,24,16,7,2,1
79,日本矯正歯科学会認定医一覧,5900,100,3.226,24.967,13,87,3,24,24,27,15,4,3
80,交叉咬合,4900,100,3.437,1.101,20,80,3,20,29,27,12,6,3
81,口腔外科学会 2024,1600,100,4.577,4.097,50,50,0,8,21,29,22,14,6
82,日本矯正歯科学会 2024,1600,100,4.495,-36.033,42,58,1,7,16,25,28,17,6
83,顎関節症 手術,1400,100,4.731,0.13,29,71,5,23,25,23,12,8,4
84,ルフォー1型骨切り術,1100,100,4.958,50.822,25,75,6,26,27,19,12,5,5
85,歯並び 悪すぎ,16100,90,2.16,-0.005,31,69,7,12,24,32,16,5,4
86,鼻整形,14800,90,2.319,9.605,18,82,17,32,17,15,13,4,2
87,口ゴボ 治し方,12300,90,2.456,-0.643,23,77,18,35,23,14,7,2,1
88,中顔面 長さ 平均,12200,90,2.491,9.594,8,92,32,33,16,11,6,1,1
89,ドライソケット 見た目,11100,90,2.573,32.078,24,76,3,30,30,19,11,5,2
90,ブラックトライアングル,7900,90,2.856,33.214,18,82,2,24,30,23,14,4,3
91,矯正 ワイヤー,7900,90,2.824,25.645,16,84,8,18,18,32,18,3,3
92,貴族手術,6900,90,3.089,1.484,11,89,7,32,26,16,12,5,2
93,噛み合わせ 矯正,5100,90,3.357,-1.011,22,78,4,15,17,26,24,9,5
94,顎が長い,4100,90,3.544,0.008,24,76,20,25,19,19,11,3,3
95,ルフォー,3400,90,3.782,10.088,18,82,6,27,25,18,14,6,4
96,下顎後退症,1400,90,4.643,1.26,22,78,12,21,18,20,19,6,4
97,顎関節症 原因,14800,80,2.215,-0.002,27,73,9,18,16,18,20,10,9
98,歯並び 矯正,14700,80,2.132,-0.008,37,63,6,15,21,26,18,8,6
99,根尖性歯周炎,14700,80,2.086,18.648,29,71,2,13,20,25,21,12,7
100,エナメル質形成不全,14600,80,2.164,22.018,13,87,4,15,35,30,9,4,3
101,ダイレクトボンディング,13600,80,2.238,1.548,25,75,3,15,22,27,21,8,4
102,骨形成不全症,13500,80,2.175,18.586,21,79,2,13,21,28,19,11,6
103,歯列矯正 金額,13400,80,2.331,-0.014,34,66,11,38,18,14,11,5,3
104,eラインとは,13400,80,2.227,25.624,38,62,12,24,18,16,16,9,5
105,メーラーファット,13300,80,2.213,25.464,13,87,4,28,28,21,13,4,2
106,智歯周囲炎,12500,80,2.279,28.866,31,69,4,28,26,20,13,6,3
107,出っ歯 矯正,11300,80,2.353,-2.335,26,74,10,21,21,27,14,4,3
108,ともさかりえ 歪み,11000,80,2.448,0.004,25,75,1,6,13,25,27,17,11
109,セラミック矯正,10400,80,2.452,22.743,22,78,5,18,23,27,17,7,3
110,エナメル上皮腫,10100,80,2.463,-9.67,22,78,1,17,29,24,16,8,5
111,日本歯科大学附属病院,9200,80,2.598,24.699,32,68,1,6,10,19,24,22,18
112,マウスピース矯正 できない人,7300,80,2.842,-12.077,19,81,7,23,20,23,18,6,3
113,昭和大学歯科病院,7000,80,2.909,-7.248,34,66,1,8,10,20,23,20,18
114,歯列矯正 顔の変化 写真,5200,80,3.144,8.473,23,77,5,29,23,21,15,5,2
115,中顔面陥没,4200,80,3.389,4.101,14,86,17,43,23,10,5,1,1
116,日本口腔外科学会,2100,80,4.043,13.976,60,40,0,6,14,25,25,20,10
117,受け口 矯正 費用,2000,80,4.107,-0.02,30,70,6,13,22,30,20,6,3
118,顎関節症 保険適用,1300,80,4.676,-0.001,29,71,9,27,23,22,14,3,2
119,顔 脂肪吸引,13200,70,2.181,3.552,17,83,4,32,28,20,11,3,2
120,タフトブラシ,13100,70,2.183,5.132,24,76,1,14,17,21,20,14,13
121,顎下 脂肪吸引,12400,70,2.189,5.341,11,89,4,38,27,19,8,2,2
122,歯科医師国家試験 2025 日程,11500,70,2.213,67.633,47,53,1,12,8,13,26,26,14
123,歯科医師国家試験 合格率,11200,70,2.268,61.393,61,39,1,8,8,15,24,27,17
124,切開リフト,10900,70,2.257,-2.314,12,88,2,10,23,30,23,8,4
125,ガミースマイル 治し方,10800,70,2.277,25.415,15,85,8,28,24,20,13,5,2
126,横顔がブサイク,10600,70,2.348,-4.829,24,76,19,28,23,17,9,3,1
127,鼻 整形,10300,70,2.393,34.112,21,79,9,24,27,22,12,4,2
128,部分矯正,10100,70,2.447,0.921,18,82,8,31,24,21,11,3,2
129,目尻切開,10100,70,2.437,-35.582,14,86,8,29,22,17,14,6,4
130,顔の歪み 治し方,9800,70,2.417,-0.01,19,81,6,20,20,25,20,6,3
131,貴族フィラー,9700,70,2.475,11.027,7,93,3,32,28,21,11,3,2
132,ゴールデンハー症候群,9600,70,2.512,75.298,21,79,1,5,13,22,24,20,15
133,鼻尖形成,8700,70,2.525,14.679,14,86,10,39,25,14,8,3,1
134,インビザライン 失敗例,8000,70,2.629,54.149,18,82,2,13,23,30,21,7,4
135,インビザラインとは,7700,70,2.626,-0.705,21,79,7,23,19,17,19,10,5
136,噛み合わせが悪くなると,7200,70,2.778,-0.111,25,75,3,8,13,21,28,16,11
137,鼻中隔延長,7100,70,2.813,0.011,15,85,8,33,26,15,10,5,3
138,しゃくれ,6700,70,2.787,0.273,42,58,10,14,27,26,14,6,3
139,裏側矯正,6600,70,2.808,-21.083,18,82,9,39,22,15,9,3,3
140,額関節症治療,5300,70,3.071,-1.2,23,77,1,8,13,21,25,19,13
141,切端咬合,4900,70,3.136,25.556,19,81,4,16,29,27,14,7,3
142,ミライズ矯正歯科,4900,70,3.135,5.906,20,80,1,12,18,29,24,11,5
143,流動食 レシピ,4900,70,3.097,8.428,20,80,1,6,10,15,27,21,20
144,顔の歪み,4200,70,3.336,-0.005,20,80,7,21,24,24,16,5,3
145,かいこう 歯並び,3600,70,3.388,20.848,9,91,5,17,27,30,14,5,2
146,コントアクリニック東京,3400,70,3.539,30.22,21,79,1,17,23,24,20,11,4
