順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,顎関節症 直し方,53300,11500,3.938,0.001,31,69,7,13,11,16,22,17,14
2,顎関節症 何科,40500,10400,4.09,0.001,27,73,5,13,14,21,24,13,10
3,額関節症治す,63700,10000,3.619,0,27,73,4,13,13,20,23,15,12
4,顎が痛い 片方だけ,44500,5300,3.289,-0.005,35,65,4,11,13,26,22,14,10
5,顎関節症 直し方 セルフ,19200,5200,4.134,0.002,30,70,5,8,12,20,24,17,14
6,顎関節症 原因,14800,4000,4.16,0.001,27,73,9,18,16,18,20,10,9
7,口腔外科,84300,3600,2.309,0.002,39,61,2,8,11,18,21,18,22
8,額関節症治す 病院,18800,3500,3.771,0.003,23,77,2,9,11,24,26,16,12
9,顎関節症 耳が痛い,10200,3500,4.357,0.002,21,79,3,12,15,22,24,15,9
10,顎関節症 治療,10300,2800,4.134,0.007,28,72,4,18,20,21,19,9,9
11,三叉神経痛,96200,2600,1.849,0.005,29,71,1,6,12,21,25,19,16
12,マウスピース,92400,2300,1.746,5.998,39,61,3,7,10,19,27,20,14
13,額関節症セルフケア,11400,2300,3.832,0.005,22,78,2,7,12,24,27,17,11
14,耳下腺炎,75700,2000,1.786,0.001,24,76,1,6,19,29,21,13,11
15,顎関節症 治療方法,7100,1900,4.123,0.005,24,76,5,15,18,22,21,11,8
16,顎関節症 マウスピース,6000,1900,4.288,0.131,25,75,4,16,17,23,22,11,7
17,顎変形症,33600,1800,2.519,0,24,76,5,21,21,22,18,8,5
18,耳の下 痛い 片方,44800,1600,2.069,-0.002,18,82,3,8,15,27,26,13,8
19,顎がカクカク鳴る,13000,1600,3.336,-0.006,29,71,6,9,9,18,25,18,15
20,顎関節症 症状,5800,1600,4.156,0,27,73,10,22,19,19,17,8,5
21,顎の付け根が痛い 片側,16100,1500,3.058,-0.003,39,61,2,9,12,22,26,17,12
22,食いしばり 改善 方法,40800,1400,2.026,2.857,14,86,2,10,20,29,26,9,4
23,顎関節症 手術方法,4400,1400,4.3,0.002,29,71,6,14,18,21,22,12,7
24,耳の奥が痛い,51600,1300,1.745,-0.009,23,77,4,12,17,27,23,11,6
25,顎が痛い,15000,1300,3.009,-0.003,29,71,5,12,15,23,22,13,10
26,額関節症治す セルフ,6600,1200,3.778,0.762,26,74,3,8,13,23,23,15,15
27,顎関節症とは,4000,1200,4.312,0,33,67,18,24,13,13,16,7,9
28,顎関節,7900,1100,3.485,0,34,66,3,14,15,21,20,14,13
29,額関節症治療,5300,1100,3.917,0.362,23,77,1,8,13,21,25,19,13
30,顎関節症 頭痛,3800,1100,4.191,0.001,22,78,6,19,23,25,16,6,5
31,耳下腺腫瘍,38400,930,1.709,0.003,29,71,2,7,13,23,25,17,13
32,顔面神経痛,39800,920,1.666,-0.001,30,70,1,5,10,20,27,20,17
33,顎,27800,920,2.037,0,46,54,4,7,10,18,23,18,20
34,顎関節症 病院,2600,920,4.401,0.001,31,69,6,21,18,22,20,6,7
