順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,顔面神経痛,39800,5000,4.24,0,30,70,1,5,10,20,27,20,17
2,顔面神経麻痺 前兆,16100,4000,4.948,0.001,25,75,1,3,9,20,27,22,18
3,顔面神経麻痺 治療,6500,2600,5.426,0.01,38,62,1,5,11,18,26,21,18
4,顔面神経麻痺 原因,6900,2500,5.275,0.001,30,70,1,8,14,23,26,16,12
5,ベル麻痺,27800,2200,3.773,0.01,34,66,1,12,14,21,24,17,11
6,ラムゼイハント症候群,110000,2100,2.416,0.551,21,79,1,4,5,13,26,26,25
7,三叉神経痛,96200,2100,2.517,0.003,29,71,1,6,12,21,25,19,16
8,顔面神経麻痺 何科,5000,2100,5.452,0.001,28,72,1,4,12,24,28,20,11
9,アデホスコーワ顆粒10,134000,1900,2.118,10.006,27,73,1,4,9,17,23,21,25
10,顔面麻痺 治るのか,8000,1600,4.709,0.711,31,69,1,4,10,19,27,20,19
11,メチコバール錠500 効果,129000,1500,1.928,7.823,32,68,0,2,5,13,26,25,29
12,葉加瀬太郎 顔面麻痺,91500,1500,2.242,9.256,19,81,1,1,4,17,28,26,23
13,顔面麻痺,14400,1500,4.051,0,32,68,2,9,18,25,22,13,11
14,顔面 ピクピク 原因,13600,1500,4.104,0.001,23,77,0,2,8,21,32,22,15
15,ハント症候群,17600,1400,3.808,0.777,31,69,0,8,13,21,25,18,15
16,顔面麻痺 原因,13700,1400,3.99,-0.002,29,71,1,5,9,25,30,17,13
17,重症筋無力症,74600,1000,2.014,-0.017,32,68,2,17,15,21,21,14,10
18,顔面神経痛 原因,7800,980,4.256,0,27,73,1,3,7,19,30,22,18
19,顔面偏差値診断,80600,960,1.919,0,44,56,61,16,5,10,5,1,2
20,三叉神経,33800,800,2.592,0.002,33,67,4,16,13,19,20,14,14
21,低カリウム血症,58100,780,2.012,-6.492,29,71,1,17,15,21,22,15,9
22,顔面痙攣,6600,700,4.078,0.002,29,71,2,9,15,23,23,16,12
23,低ナトリウム血症,53000,680,1.96,-11.183,33,67,1,18,17,21,20,13,10
24,jcs 意識レベル,50300,680,2.013,-12.526,34,66,1,29,23,22,16,6,3
25,顔面神経,6100,650,4.094,0,38,62,3,27,16,18,17,11,8
26,伝染性単核球症,46500,620,1.995,3.044,34,66,4,21,17,21,21,10,6
27,末梢神経障害,44800,620,2.055,0.205,35,65,1,9,10,18,24,19,19
28,進行性核上性麻痺,48100,610,1.971,4.633,32,68,1,9,12,20,23,17,18
29,耳下腺腫瘍,38400,580,2.122,-1.341,29,71,2,7,13,23,25,17,13
30,日常生活自立度,43900,550,1.915,-20.036,35,65,1,20,20,25,20,9,5
31,深部静脈血栓症,41100,540,1.994,-0.065,27,73,2,23,13,18,20,14,10
32,ウェルニッケ脳症,41000,540,1.981,0.329,35,65,1,21,18,21,19,13,7
33,アゾセミド,40300,520,1.968,11.884,30,70,0,15,15,22,23,14,11
34,顔面麻痺 前兆,5300,520,3.98,-0.097,21,79,2,6,16,31,27,11,7
35,アメナリーフ錠200mg,37300,510,2.066,0.696,35,65,0,4,9,17,23,22,25
36,デルマトーム,27100,480,2.3,-2.751,51,49,1,26,23,20,14,9,7
37,アデホス,33400,470,2.072,5.312,32,68,1,8,12,19,23,18,19
38,顔面痙攣 原因,5200,470,3.917,0.005,23,77,2,5,11,23,29,19,11
39,エフィエント,36800,450,1.916,8.746,40,60,0,15,15,21,21,14,14
40,ミオクローヌス,33300,450,2.024,16.949,29,71,2,20,20,22,19,11,6
41,単純ヘルペス,22400,450,2.42,1.45,28,72,1,9,13,19,23,20,15
42,テグレトール,26300,440,2.218,-0.006,32,68,1,11,15,22,23,16,12
43,カルバマゼピン,29600,430,2.07,1.064,34,66,1,14,15,21,23,15,11
44,眼瞼痙攣,16200,430,2.693,0.004,30,70,2,7,14,21,23,18,15
45,co2ナルコーシス,29700,420,2.071,5.316,30,70,1,32,18,21,16,8,4
46,mmt 評価,27800,410,2.111,0.36,30,70,1,34,21,21,14,5,4
47,聴神経腫瘍,16500,410,2.621,-0.011,32,68,2,9,13,20,24,19,13
48,片側顔面痙攣,6400,410,3.568,0.022,24,76,2,6,11,22,28,19,12
49,ホルネル症候群,13500,400,2.821,14.551,36,64,1,33,18,16,17,10,5
50,橈骨神経麻痺,28300,390,2.035,-7.949,38,62,1,11,15,21,23,16,13
51,ワソラン,31500,380,1.915,-10.709,34,66,0,17,14,18,19,15,17
52,トルソー症候群,25300,380,2.104,-0.305,31,69,1,19,19,22,21,12,6
53,アデホスコーワ,28400,370,2.008,5.092,27,73,1,7,11,19,23,19,20
54,ステロイドパルス療法,24700,370,2.137,3.605,27,73,0,21,14,20,21,14,10
55,ネーザルハイフロー,29000,360,1.924,10.669,24,76,0,31,22,22,16,6,3
56,セフトリアキソン,28000,360,1.961,0.044,39,61,0,23,18,22,19,11,7
57,ロナセンテープ,28000,360,1.937,-6.108,27,73,0,12,16,26,25,15,6
