順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,エンレスト,88800,2400,2.845,-4.209,37,63,0,12,15,23,24,14,12
2,サルコペニアとは,88800,2300,2.868,0,32,68,2,8,7,14,22,21,26
3,サルコイドーシス 診断基準,9300,2300,5.103,0.003,34,66,0,5,10,15,23,24,23
4,クッシング症候群,70700,1900,2.874,-4.236,25,75,2,21,14,20,23,13,7
5,重症筋無力症,73800,1800,2.746,-3.959,32,68,2,17,15,21,21,14,10
6,アミロイドーシス,33700,1800,3.531,0.001,37,63,1,9,11,18,23,19,19
7,クロピドグレル,66900,1600,2.727,1.327,33,67,0,16,14,20,22,15,13
8,ぶどう膜炎とは,33200,1600,3.441,-0.007,24,76,0,1,2,24,30,24,19
9,リクシアナ,60400,1400,2.719,4.125,39,61,0,13,12,19,21,17,18
10,低カリウム血症,57900,1400,2.731,-2.42,29,71,1,17,15,21,22,15,9
11,カルベジロール,57700,1400,2.755,-0.243,36,64,0,15,13,20,22,16,14
12,wpw症候群,55100,1400,2.775,5.013,34,66,2,17,17,23,20,13,8
13,強皮症,52800,1400,2.898,0.001,25,75,1,8,11,19,25,20,16
14,jcs 意識レベル,50300,1400,2.868,-17.888,35,65,1,29,23,22,16,6,3
15,メトトレキサート,59000,1300,2.684,0.002,29,71,1,14,12,19,23,17,14
16,dダイマーとは,55000,1300,2.731,0.209,26,74,1,16,12,19,22,16,14
17,エリキュース,51700,1300,2.807,0.783,37,63,0,14,14,21,22,15,14
18,非結核性抗酸菌症,54400,1200,2.675,-3.111,27,73,0,6,9,15,22,23,25
19,低ナトリウム血症,52700,1200,2.725,-14.588,33,67,1,19,17,21,20,13,9
20,進行性核上性麻痺,47900,1200,2.811,6.135,33,67,1,9,12,20,22,17,19
21,シロスタゾール,43900,1200,2.853,3.106,33,67,1,16,14,20,22,15,12
22,アジソン病,32800,1200,3.181,-0.001,28,72,2,21,12,18,22,14,11
23,アブレーションとは,51400,1100,2.703,2.489,30,70,1,11,10,17,21,18,22
24,レイノー現象,50900,1100,2.62,2.322,25,75,2,16,14,22,23,13,10
25,後縦靭帯骨化症,46000,1100,2.764,-0.076,38,62,1,9,11,19,25,20,15
26,イグザレルト,42100,1100,2.817,-4.891,39,61,0,13,14,21,21,16,15
27,ウェルニッケ脳症,40800,1100,2.897,-3.039,35,65,1,21,17,21,20,13,7
28,エフィエント,37000,1100,2.921,6.786,40,60,0,15,15,21,21,14,14
29,bsc 医療,34300,1100,3.029,2.015,26,74,0,20,16,23,23,12,6
30,pci 医療用語,27100,1100,3.245,5.877,30,70,1,25,16,21,19,11,7
