順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,気管支炎 症状,337000,3500,2.59,-0.006,30,70,2,10,20,25,18,13,12
2,間質性肺炎,385000,2900,2.334,-0.011,31,69,1,5,7,14,22,22,29
3,気管支喘息,136000,2000,2.967,-0.001,29,71,3,12,19,23,17,14,12
4,非結核性抗酸菌症,54400,1800,3.814,-0.002,27,73,0,6,9,15,22,23,25
5,気管支拡張剤,16600,1300,4.598,0,33,67,1,5,12,23,25,22,12
6,気管支炎 治るまで何日,116000,1100,2.538,-0.961,29,71,3,8,20,26,20,13,10
7,肺マック症,37300,980,3.563,0,26,74,1,5,9,17,23,21,24
8,copd,78300,950,2.767,-0.029,38,62,3,17,14,20,20,14,12
9,copdとは,82700,820,2.587,-0.006,35,65,3,11,9,15,21,20,21
10,エンレスト,88800,800,2.44,2.512,37,63,0,12,15,23,24,14,12
11,サルコイドーシス,82900,730,2.452,0.121,31,69,1,9,12,20,24,19,15
12,痰に血が混じる,82200,730,2.445,-0.838,34,66,4,11,14,21,22,15,13
13,慢性閉塞性肺疾患,35500,660,3.192,-0.002,32,68,5,16,12,19,21,15,12
14,気管支拡張剤 テープ,14600,660,4.048,0,16,84,2,8,27,29,18,11,5
15,重症筋無力症,73800,650,2.44,-0.032,32,68,2,17,15,21,21,14,10
16,クッシング症候群,70700,620,2.429,-3.04,25,75,2,21,14,20,23,13,7
17,肺がん 症状,73200,610,2.414,-4.016,35,65,3,9,12,16,20,17,23
18,慢性気管支炎とは,16300,610,3.901,-0.001,30,70,3,11,14,19,19,17,17
19,低ナトリウム血症,52700,590,2.67,-1.462,33,67,1,19,17,21,20,13,9
20,緑膿菌,60600,580,2.511,3.503,32,68,1,13,17,23,22,14,10
21,低カリウム血症,57900,570,2.546,-12.494,29,71,1,17,15,21,22,15,9
22,喘息 吸入薬,70700,560,2.314,0,28,72,2,8,17,26,21,15,11
23,フルティフォーム,49600,560,2.657,0.261,28,72,1,8,19,30,21,12,9
24,co2ナルコーシス,29700,560,3.2,-0.113,30,70,1,32,18,21,16,8,4
25,メプチンエアー,51700,550,2.597,-0.061,31,69,1,8,18,28,21,14,10
26,喘息 痰が絡む,39200,550,2.892,-1.107,20,80,2,8,20,26,18,14,12
27,血痰が出る原因,27800,540,3.233,-0.272,36,64,2,8,11,17,25,20,17
28,エリスロシン,22300,540,3.46,6.037,30,70,0,9,17,24,20,14,16
29,肺ntm症とは,65700,530,2.373,8.42,29,71,1,6,11,19,23,21,19
30,強皮症,52800,530,2.583,4.103,25,75,1,8,11,19,25,20,16
31,クロピドグレル,66900,520,2.324,6.027,33,67,0,16,14,20,22,15,13
32,copd 症状,29100,510,3.143,-1.827,37,63,2,11,11,17,21,19,19
33,シムビコート,49900,500,2.551,0.008,31,69,1,9,18,27,21,14,10
34,テオフィリン,47100,500,2.617,0.003,30,70,1,14,16,24,21,14,10
35,リクシアナ,60400,480,2.353,5.089,39,61,0,13,12,19,21,17,18
36,jcs 意識レベル,50300,480,2.507,-11.533,35,65,1,29,23,22,16,6,3
37,進行性核上性麻痺,47900,480,2.575,-2.727,33,67,1,9,12,20,22,17,19
38,レルベア,45300,480,2.605,-0.471,32,68,1,10,19,27,21,12,10
39,エリキュース,51700,470,2.467,-6.28,37,63,0,14,14,21,22,15,14
40,レイノー現象,50900,470,2.479,3.035,25,75,2,16,14,22,23,13,10
41,気管支喘息 症状,27000,470,3.141,-0.001,19,81,4,15,19,19,16,14,13
42,高カリウム血症,43500,460,2.637,-10.912,35,65,1,19,15,19,19,14,13
43,wpw症候群,55100,450,2.36,1.948,34,66,2,17,17,23,20,13,8
44,dダイマーとは,55000,450,2.37,-5.066,26,74,1,16,12,19,22,16,14
45,ウェルニッケ脳症,40800,450,2.659,-6.558,35,65,1,21,17,21,20,13,7
46,テリルジー200,37200,450,2.736,0.041,30,70,1,6,16,25,23,17,12
47,非結核性抗酸菌症 余命年数,11000,450,4.082,0.002,25,75,1,1,4,10,20,27,37
48,肺線維症,22600,440,3.274,-0.001,32,68,2,10,9,16,21,20,22
49,喘鳴,46900,430,2.456,-0.004,29,71,3,15,23,23,18,11,7
50,胸水,44000,430,2.551,-4.802,34,66,1,14,14,19,22,17,13
51,痰の色でわかる病気,29800,430,2.94,-0.003,35,65,1,7,14,22,21,18,17
52,肺水腫,46500,420,2.455,-0.001,36,64,2,15,14,19,22,15,13
53,シロスタゾール,43900,410,2.51,-0.749,33,67,1,16,14,20,22,15,12
54,肺塞栓症,38500,410,2.654,0.001,33,67,1,13,12,17,20,17,20
55,高カルシウム血症,35600,410,2.723,-8.262,29,71,1,12,13,18,22,18,16
56,深部静脈血栓症,41100,400,2.554,-5.101,27,73,2,23,13,18,20,14,10
57,副鼻腔気管支症候群,12300,400,3.742,0.026,23,77,1,8,17,23,21,18,12
58,腹部大動脈瘤,50400,390,2.327,2.833,38,62,1,11,11,16,21,20,20
59,間質性肺炎 症状,42900,390,2.58,3.749,26,74,0,4,3,9,20,27,37
60,チェーンストークス呼吸,35700,390,2.646,4.599,28,72,2,24,19,22,20,9,4
61,レベチラセタム,46700,380,2.348,18.843,32,68,1,15,16,24,23,13,8
62,マクロライド系抗生物質,37500,380,2.546,0.424,27,73,1,7,16,29,22,15,10
63,dic 医療,33800,380,2.675,-1.363,28,72,1,26,19,20,18,10,6
64,胸腔ドレーン,29700,380,2.818,4.245,23,77,3,38,19,18,13,5,4
65,肝性脳症,43400,370,2.393,-3.401,31,69,1,18,16,21,22,13,9
66,アゾセミド,40400,370,2.477,2.784,30,70,1,15,14,22,23,14,11
67,後鼻漏副鼻腔炎 痰,36600,370,2.597,3.907,23,77,1,4,12,22,22,20,19
68,肺の病気 一覧,31400,370,2.823,-0.003,33,67,1,1,2,8,20,27,41
69,日常生活自立度,43600,360,2.338,-20.776,35,65,1,20,20,25,20,9,5
70,多系統萎縮症,40700,360,2.445,-0.514,32,68,1,12,13,21,22,18,13
71,慢性副鼻腔炎,36800,360,2.523,2.889,33,67,3,13,21,23,17,12,11
72,無気肺とは,22600,360,3.028,2.065,25,75,1,26,16,19,17,12,9
73,肺結核 症状,20300,360,3.137,-0.002,27,73,2,9,16,24,20,14,15
74,シングリックス,45500,350,2.313,6.079,32,68,1,3,8,17,31,24,16
75,大動脈弁狭窄症,40400,350,2.443,-1.565,34,66,1,12,10,15,22,20,20
76,エフィエント,37000,350,2.507,0.619,40,60,0,15,15,21,21,14,14
77,閉塞性動脈硬化症,36300,350,2.547,6.221,33,67,2,12,10,16,22,19,19
78,気管支炎 市販薬,35400,350,2.519,-0.001,37,63,1,6,20,31,22,12,8
79,ファロー四徴症,34000,350,2.587,-0.072,28,72,2,29,21,20,15,9,4
80,たこつぼ型心筋症,30500,350,2.704,-15.008,32,68,1,16,16,20,20,15,12
81,セフトリアキソン,28000,350,2.766,0.182,39,61,0,23,18,22,19,11,7
82,冠攣縮性狭心症,40100,340,2.408,0.013,34,66,1,10,11,17,24,20,17
83,sglt2阻害薬,39600,340,2.405,1.609,46,54,0,12,12,19,22,19,16
84,アミロイドーシス,33700,340,2.59,-4.24,37,63,1,9,11,18,23,19,19
85,アジソン病,32800,340,2.623,-7.612,28,72,2,21,12,18,22,14,11
86,テリルジー,25100,340,2.848,-2.079,34,66,1,12,22,26,19,11,9
87,血痰,22200,340,3.006,-0.185,40,60,4,16,22,21,17,10,10
88,気管支,17600,340,3.227,0.002,35,65,5,17,18,22,16,11,11
89,喀血,14300,340,3.414,-0.006,37,63,6,23,19,20,17,8,7
90,アンブロキソール45mg,37500,330,2.485,0.134,32,68,1,4,10,17,18,23,27
91,bsc 医療,34300,330,2.518,2.387,26,74,0,20,16,23,23,12,6
92,ニューモシスチス肺炎,28300,330,2.731,4.047,25,75,1,14,11,18,24,18,14
93,清肺湯,27500,330,2.759,-0.024,31,69,0,4,14,24,22,19,17
94,褐色細胞腫,27500,330,2.753,0.023,32,68,1,19,12,20,22,16,10
95,血痰が出る,21700,330,3.005,-0.317,34,66,1,5,10,17,23,21,23
96,メインテート,39600,320,2.363,10.211,34,66,0,11,12,20,23,17,17
97,拡張型心筋症,38600,320,2.386,0.216,30,70,2,14,17,19,20,16,12
98,皮膚筋炎,35300,320,2.468,15.019,26,74,1,8,10,19,26,20,16
99,抗コリン薬,34200,320,2.526,-0.012,32,68,1,18,12,18,20,15,16
100,ミオクローヌス,33100,320,2.54,0.814,29,71,2,20,20,22,19,11,6
101,トルバプタン,29500,320,2.634,16.571,32,68,1,20,16,22,20,14,7
102,ビソノテープ,28800,320,2.651,3.524,29,71,0,19,16,21,21,14,9
103,デルマトーム,26900,320,2.737,-19.902,51,49,1,27,23,20,14,8,7
104,代謝性アシドーシス,20600,320,3.002,-0.027,27,73,2,34,18,19,15,8,4
105,メプチン,38500,310,2.329,0.013,24,76,1,11,26,32,15,9,6
106,コンパートメント症候群,36300,310,2.423,-5.726,34,66,2,28,18,20,17,10,5
107,肺気腫 症状,38300,300,2.357,0.388,38,62,1,4,6,14,23,22,30
108,間欠性跛行,35800,300,2.446,-1.212,42,58,1,16,9,13,17,18,26
109,cpa 医療,35300,300,2.391,9.559,28,72,1,26,18,21,18,11,5
110,気胸 症状,32700,300,2.481,2.407,31,69,6,17,15,22,20,11,9
111,ネーザルハイフロー,28900,300,2.601,-8.721,24,76,0,30,22,23,16,6,3
112,胸膜炎とは,24000,300,2.801,8.256,30,70,1,4,6,15,28,26,20
113,気管支炎 治し方,23200,300,2.798,-0.027,31,69,2,7,20,26,18,14,13
114,肺血栓塞栓症,22200,300,2.896,-0.007,39,61,2,19,14,17,20,15,13
115,マロリーワイス症候群,33700,290,2.404,-1.647,31,69,1,20,20,23,20,11,5
116,原発性アルドステロン症,28700,290,2.56,0.067,33,67,1,15,12,19,25,17,11
117,アルドステロン,27800,290,2.627,-2.386,31,69,3,25,10,17,20,14,11
118,アシドーシスとは,26500,290,2.659,0.271,31,69,3,20,12,18,21,15,11
119,アスピリン喘息,20400,290,2.903,-1.654,29,71,1,14,19,24,20,13,9
120,バレー徴候,17000,290,3.105,-1.64,37,63,1,41,21,18,12,4,3
121,肺結核,15200,290,3.222,-0.011,46,54,5,14,17,20,18,13,13
122,ホルネル症候群,13500,290,3.347,-1.17,36,64,1,33,18,16,17,10,5
123,タクロリムス,35400,280,2.318,3.809,32,68,1,15,15,21,21,15,12
124,細菌性肺炎,34000,280,2.393,-0.068,26,74,2,9,14,20,22,19,14
125,類天疱瘡,34000,280,2.371,-3.312,26,74,0,8,14,22,25,19,12
126,ケトアシドーシスとは,31100,280,2.449,-18.676,30,70,1,17,13,20,22,16,11
127,デノタスチュアブル配合錠,29700,280,2.552,5.584,27,73,0,10,11,18,22,18,21
128,レルベア200エリプタ,28600,280,2.542,0.963,33,67,1,5,12,21,23,22,16
129,ダーブロック,24500,280,2.657,5.974,36,64,1,13,18,25,23,13,7
130,悪性症候群,23600,280,2.735,-6.347,35,65,1,23,20,23,18,10,5
131,アスペルギルス,22300,280,2.82,-0.011,32,68,2,12,13,20,22,17,14
132,胸膜炎,21100,280,2.852,9.974,33,67,2,13,21,27,17,10,10
133,複十字病院,16900,280,3.097,-0.886,37,63,1,4,9,18,25,21,22
134,バクタ配合錠,31900,270,2.426,3.581,29,71,1,11,11,18,23,19,17
135,ワソラン,31600,270,2.442,-4.097,34,66,0,17,14,18,19,15,17
