順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,気管支炎 症状,337000,10800,2.97,-0.009,30,70,2,10,20,25,18,13,12
2,気管支炎 治るまで何日,116000,6600,3.546,0,29,71,3,8,20,26,20,13,10
3,肺炎 症状,551000,6000,1.909,-0.572,33,67,3,9,15,21,19,16,17
4,マイコプラズマ,408000,5000,1.997,-0.968,34,66,5,8,20,30,17,10,10
5,気管支炎 うつる,59700,4600,3.849,0,26,74,3,12,25,26,18,10,6
6,咳喘息,237000,4300,2.401,0.003,27,73,3,10,20,25,18,15,9
7,咳が止まらない,316000,3700,1.974,-1.136,34,66,5,12,18,26,20,11,8
8,肺炎,185000,3700,2.509,0,39,61,5,10,16,21,19,15,14
9,気管支喘息,136000,3700,2.821,0,29,71,3,12,19,23,17,14,12
10,突発性発疹,305000,3100,1.809,-21.243,17,83,0,9,44,19,9,14,5
11,胃腸炎,265000,2900,1.884,44.73,30,70,4,16,27,26,14,7,6
12,ヘルパンギーナ,260000,2600,1.805,-71.143,26,74,1,9,33,26,12,12,7
13,喘息,160000,2600,2.306,0.001,44,56,4,9,16,19,20,17,15
14,呼吸器内科,230000,2300,1.824,-0.048,32,68,1,5,14,25,24,17,14
15,咽頭炎,203000,2300,1.94,-0.101,30,70,4,13,20,24,20,11,8
16,喘息 症状,163000,2200,2.133,-0.001,23,77,6,14,19,24,14,10,13
17,中耳炎,149000,1900,2.056,2.052,37,63,8,14,26,24,13,8,7
18,モンテルカスト,138000,1700,1.979,2.351,30,70,1,10,23,28,19,11,8
19,結膜炎,120000,1600,2.096,12.327,29,71,6,16,31,24,12,6,5
20,気管支炎 市販薬,35400,1600,3.281,0.001,37,63,1,6,20,31,22,12,8
21,クラリスロマイシン,144000,1500,1.816,2.91,31,69,1,10,23,29,17,11,9
22,痰が絡む咳,119000,1500,2.018,-0.784,22,78,3,11,19,25,18,13,11
23,咳喘息 症状,81800,1400,2.284,-0.076,7,93,2,11,23,29,20,7,8
24,気管支炎 薬,21500,1400,3.637,0.002,29,71,1,7,25,34,18,9,6
25,喘息 大人になってから,112000,1300,1.947,0.001,25,75,2,11,15,19,23,18,12
26,気管支炎 治し方,23200,1300,3.568,0.002,31,69,2,7,20,26,18,14,13
27,気管支炎 熱,15400,1300,3.937,0.001,22,78,3,11,31,30,15,6,4
28,rsウイルス 子供,113000,1200,1.857,-5.62,19,81,1,9,40,20,9,14,7
29,咳止め,108000,1200,1.905,-1.235,34,66,1,9,17,27,23,13,10
30,クループ症候群,102000,1200,1.944,-0.576,19,81,1,11,39,25,10,9,5
31,咳,80800,1200,2.16,-0.814,30,70,3,6,17,28,21,12,13
32,rsウイルス,72100,1200,2.315,-5.103,28,72,1,13,37,17,11,12,9
33,気管支炎 喘息 違い,14500,1200,3.867,0.001,19,81,2,10,25,29,17,10,7
34,扁桃腺,111000,1100,1.831,-1.037,38,62,8,19,24,22,15,7,5
35,咳喘息 治し方 自力,110000,1100,1.795,-0.002,23,77,1,6,16,27,23,17,10
36,デキストロメトルファン,96300,1100,1.913,-0.004,29,71,1,9,19,27,20,13,11
37,川崎病,85000,1100,2.054,3.14,28,72,1,10,34,26,13,10,6
38,咳 痰 長引く,84200,1000,1.992,-0.003,31,69,2,6,20,30,22,12,8
39,後鼻漏,72600,1000,2.132,5.102,27,73,3,12,23,24,18,11,9
40,黄色い痰,79200,960,2.004,-1.517,31,69,3,12,20,25,19,12,9
41,とびひ,88300,930,1.849,-31.219,23,77,2,8,32,30,12,9,7
42,気管支炎 子供,9400,910,4.031,0,12,88,0,6,50,35,3,3,3
43,マイコプラズマ 症状,79100,880,1.896,-2.971,25,75,7,11,26,34,13,5,4
44,ヴェポラップ,76500,850,1.895,0.04,27,73,2,12,39,30,8,5,4
45,肺炎 治療,73000,840,1.954,0.001,35,65,2,6,14,23,22,17,16
46,フスコデ,72900,840,1.947,0.803,33,67,1,8,17,26,23,15,10
47,copd,78300,790,1.832,0.003,38,62,3,17,14,20,20,14,12
48,ホクナリンテープ,64600,790,1.991,0.011,22,78,1,9,26,31,16,10,7
49,マイコプラズマ肺炎 症状,78600,780,1.796,-1.158,24,76,11,11,22,31,14,6,5
50,気管支喘息 症状,27000,780,2.894,0.001,19,81,4,15,19,19,16,14,13
51,貧血,73400,730,1.808,4.958,27,73,6,14,18,24,18,9,11
52,気管支炎 何科,11300,730,3.666,0.005,30,70,1,9,22,28,19,12,9
53,咳 止まらない,46000,710,2.242,-0.53,33,67,5,18,30,28,11,5,3
54,痰,45600,710,2.261,0.001,48,52,4,10,18,20,18,14,16
55,吸入器,64400,690,1.887,1.524,24,76,2,8,21,25,19,15,10
56,痰 黄色,49700,690,2.144,-1.186,33,67,4,17,27,25,14,7,6
57,ツロブテロールテープ,48300,690,2.17,0.163,23,77,2,14,35,26,10,7,6
58,気管支炎とは,10800,670,3.654,0,26,74,10,26,27,18,10,5,4
59,#8000,55800,650,1.932,-2.282,16,84,0,12,53,24,4,4,3
60,喉痛い,58500,640,1.909,-7.708,26,74,12,21,23,24,13,5,2
61,副鼻腔炎 熱,55600,640,1.93,5.448,22,78,3,13,29,31,13,7,4
62,気管支拡張症,42500,640,2.264,0.014,27,73,1,8,12,19,20,19,21
63,手足口病 大人,45200,630,2.13,-57.003,25,75,1,12,48,25,7,5,2
64,気管支,17600,630,3.102,0,35,65,5,17,18,22,16,11,11
65,コロナ症状,60100,620,1.87,-22.659,36,64,7,15,14,18,22,15,9
66,喘鳴,46900,620,2.092,0.002,29,71,3,15,23,23,18,11,7
67,咳喘息 原因,50400,590,1.978,0,23,77,2,8,16,23,23,18,10
68,気管支炎 抗生物質,9400,590,3.61,0.003,24,76,1,4,25,36,19,9,6
69,横になると咳こみ,49800,580,1.949,-0.178,27,73,2,11,23,26,19,12,7
70,髄膜炎,49000,570,1.95,-1.955,34,66,3,15,24,24,18,9,7
71,痰が絡む,44700,570,2.056,-0.354,31,69,3,9,15,22,21,16,14
72,肺炎 自然治癒,40300,570,2.133,-0.001,30,70,2,8,21,30,19,10,10
73,夜 咳がひどくなる,42400,550,2.041,-0.084,28,72,2,16,34,30,12,4,2
74,フルティフォーム,49600,530,1.869,1.968,28,72,1,8,19,30,21,12,9
75,喘息 痰が絡む,39200,530,2.111,-0.007,20,80,2,8,20,26,18,14,12
76,咳 何科,37400,530,2.137,-0.428,25,75,2,17,32,29,14,4,2
77,手足口病 発疹,46500,520,1.877,-70.601,11,89,0,6,53,31,4,4,2
78,気胸,53400,510,1.791,0.117,38,62,7,19,16,21,17,9,11
79,動悸,51200,510,1.796,-2.816,37,63,6,15,19,23,19,10,8
80,アストミン,45000,510,1.93,-2.372,33,67,2,10,18,28,21,11,10
81,夏風邪,44600,500,1.929,-54.526,37,63,4,17,24,23,16,9,7
82,気管支炎 原因,6700,500,3.826,0.003,31,69,5,19,26,24,14,7,5
83,シムビコート,49900,490,1.794,0.77,31,69,1,9,18,27,21,14,10
84,ラスビック,42100,490,1.939,2.41,33,67,1,10,22,28,20,12,7
85,妊娠初期,49700,480,1.799,21.346,13,87,2,28,46,13,5,4,2
86,レルベア,45300,480,1.853,4.026,32,68,1,10,19,27,21,12,10
87,痰がらみの咳が続く,29600,480,2.276,-0.821,12,88,1,8,31,30,14,10,6
88,咳が止まらない 何科,34800,470,2.108,-0.691,28,72,2,15,24,26,18,9,6
89,急性咽頭炎,32100,470,2.19,-0.637,28,72,5,20,24,24,16,7,4
90,急性気管支炎とは,16000,460,2.862,0.001,32,68,6,16,20,22,18,11,7
91,マイコプラズマ肺炎 熱なし,38900,450,1.907,-4.152,12,88,3,6,27,41,12,6,5
92,鼻詰まり,35200,440,2.007,2.068,34,66,4,13,26,27,17,8,5
93,メプチン,38500,430,1.906,0.496,24,76,1,11,26,32,15,9,6
94,慢性閉塞性肺疾患,35500,430,2.01,0,32,68,5,16,12,19,21,15,12
95,声帯炎,34700,420,2.019,0.022,22,78,2,11,17,24,20,15,11
96,微熱,34400,420,2.02,-3.008,28,72,6,16,24,23,16,8,7
97,咳 胸の痛み,27800,420,2.191,0.052,32,68,2,9,24,31,21,9,4
98,慢性気管支炎とは,16300,420,2.769,0.663,30,70,3,11,14,19,19,17,17
99,レスプレン,40600,410,1.826,-1.531,33,67,2,10,18,27,21,12,10
100,咳が続く,31200,410,2.077,0.003,22,78,2,6,13,25,27,18,9
101,咽頭炎 症状,35200,400,1.959,-0.41,26,74,3,13,13,18,25,18,10
102,喉頭炎,24200,400,2.305,0,31,69,3,12,20,24,19,13,9
103,咳止まらない,13100,400,2.945,-0.413,28,72,11,25,25,21,12,4,2
104,喉 イガイガ,38700,390,1.812,-5.052,29,71,5,19,28,26,14,5,3
105,メニエール,35600,390,1.898,-33.439,35,65,2,10,20,26,21,11,10
106,水イボ,30000,390,2.026,-17.277,19,81,1,8,41,31,10,6,3
107,はやり目,24300,390,2.244,8.676,23,77,1,10,38,31,11,6,3
108,気管支喘息 治し方,18200,390,2.583,0.581,32,68,3,11,19,21,17,16,13
109,吐き気,37400,380,1.835,-0.22,25,75,6,16,21,22,17,9,9
110,手足口病 熱なし,34600,380,1.854,-67.921,9,91,1,7,57,30,2,2,1
111,インフルエンザa,32800,380,1.926,11.601,31,69,2,6,21,31,21,11,8
112,微熱が続く,32600,380,1.987,-3.845,25,75,6,17,19,22,17,10,9
113,水ぼうそう,31300,380,1.977,31.163,20,80,1,4,32,37,13,8,5
114,喘息とは,23500,380,2.314,0,37,63,9,18,22,19,12,9,11
115,肺炎 熱なし,20600,380,2.398,-0.191,17,83,2,9,25,32,18,8,6
116,テリルジー200,37200,370,1.817,3.27,30,70,1,6,16,25,23,17,12
117,胃腸風邪,32500,370,1.935,11.494,31,69,5,15,29,26,13,7,5
118,中耳炎 熱,25400,370,2.165,4.153,16,84,2,10,45,29,7,5,2
119,副鼻腔炎 咳,21900,370,2.304,0.62,20,80,2,11,29,29,14,10,5
120,薬疹,33700,360,1.866,0.111,23,77,2,12,25,27,18,9,7
121,イヤイヤ期,31800,360,1.9,-0.659,32,68,2,12,43,26,7,7,3
122,上気道炎,14100,360,2.766,0,30,70,2,15,22,22,17,13,9
123,コロナ 咳,34900,350,1.798,-3.313,26,74,1,9,21,31,24,10,4
124,咳喘息 うつるのか,28100,350,2.01,0,20,80,2,10,22,27,19,14,6
125,抗生剤,26800,350,2.066,0.001,32,68,2,12,19,23,19,14,11
126,小児喘息,19600,350,2.377,-1.154,26,74,1,9,38,28,9,8,7
127,熱性痙攣,17700,350,2.481,-7.159,23,77,2,17,47,19,7,5,3
128,生理前,33500,340,1.824,-0.067,15,85,6,22,32,29,8,2,1
129,目やに,32900,340,1.84,-3.451,35,65,3,12,24,23,16,12,10
130,溶連菌 発疹,31400,340,1.841,13.456,12,88,0,5,47,39,5,3,1
131,痰の色でわかる病気,29800,340,1.969,-0.333,35,65,1,7,14,22,21,18,17
132,rs,29600,340,1.957,-3.337,45,55,1,8,24,19,19,17,12
133,子供 熱が下がらない,29100,340,1.914,-3.101,25,75,0,4,42,41,6,4,3
134,麻杏甘石湯,27600,340,2.027,0.881,25,75,1,6,17,28,23,15,10
