順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,肺気腫,183000,2000,2.436,-0.001,42,58,1,6,8,16,22,20,27
2,気胸とは,55100,2000,3.629,-0.003,33,67,6,15,9,16,24,16,14
3,気胸 症状,32700,1800,4.032,0,31,69,6,17,15,22,20,11,9
4,桔梗,120000,1300,2.395,0,40,60,3,8,10,15,20,20,24
5,肺気胸,90500,1200,2.617,0,41,59,4,10,13,22,23,15,13
6,胸腔ドレーン,29700,1100,3.597,0.032,23,77,3,38,19,18,13,5,4
7,ききょう,21100,970,3.824,0,38,62,3,7,12,24,26,16,12
8,copd,78300,890,2.457,-0.003,38,62,3,17,14,20,20,14,12
9,ナーシングスキル ログイン,73900,770,2.343,-29.191,16,84,1,25,20,24,20,8,2
10,気胸 ドレナージ,6100,760,4.82,0.002,30,70,2,19,15,23,23,11,7
11,クッシング症候群,70700,680,2.282,0.99,25,75,2,21,14,20,23,13,7
12,胸水,44000,680,2.754,0.001,34,66,1,14,14,19,22,17,13
13,フロセミド,62300,670,2.392,-0.928,29,71,1,19,13,19,22,15,11
14,cvポート,68600,660,2.276,-7.137,25,75,1,13,12,21,25,17,11
15,低ナトリウム血症,52700,650,2.519,-8.84,33,67,1,19,17,21,20,13,9
16,肺水腫,46500,650,2.655,0.001,36,64,2,15,14,19,22,15,13
17,co2ナルコーシス,29700,650,3.108,5.48,30,70,1,32,18,21,16,8,4
18,自然気胸,26300,650,3.241,0.001,46,54,9,18,13,17,18,12,13
19,心タンポナーデ,61800,630,2.328,-0.011,38,62,3,19,15,19,21,15,8
20,jcs 意識レベル,50300,610,2.499,-5.113,35,65,1,29,23,22,16,6,3
21,気胸 原因,6500,610,4.556,0.004,34,66,7,22,14,21,21,8,7
22,低カリウム血症,57900,590,2.331,4.364,29,71,1,17,15,21,22,15,9
23,jcs,48100,590,2.527,-13.613,40,60,2,32,23,19,14,6,4
24,ネーザルハイフロー,28900,590,3.017,-0.82,24,76,0,30,22,23,16,6,3
25,緊張性気胸,18600,570,3.43,0.001,39,61,4,27,19,19,17,9,5
26,無気肺とは,22600,530,3.172,-0.001,25,75,1,26,16,19,17,12,9
27,胸膜炎,21100,530,3.235,0.002,33,67,2,13,21,27,17,10,10
28,チェーンストークス呼吸,35700,500,2.641,3.974,28,72,2,24,19,22,20,9,4
29,肺塞栓症,38500,480,2.551,0.001,33,67,1,13,12,17,20,17,20
30,vt 心電図,29000,480,2.818,-8.608,22,78,1,31,19,19,18,9,3
31,肺に穴が開く病気,20000,480,3.222,-0.001,35,65,7,11,11,19,23,15,14
32,高カリウム血症,43500,470,2.401,-6.179,35,65,1,19,15,19,19,14,13
33,肝性脳症,43400,470,2.4,0.15,31,69,1,18,16,21,22,13,9
34,ミダゾラム,42900,470,2.398,-2.135,31,69,1,21,16,22,20,13,7
35,dic 医療,33800,470,2.641,-6.537,28,72,1,26,19,20,18,10,6
36,ercp,28800,470,2.821,1.247,28,72,1,27,18,21,17,9,7
37,深部静脈血栓症,41100,450,2.421,-1.188,27,73,2,23,13,18,20,14,10
38,ウェルニッケ脳症,40800,450,2.414,0.711,35,65,1,21,17,21,20,13,7
39,mmt 評価,27700,450,2.803,2.547,30,70,1,34,21,22,14,4,4
40,心電図検定,38300,430,2.452,-1.989,30,70,3,33,20,18,13,5,8
41,ノルアドレナリン,33400,430,2.57,4.078,35,65,4,24,17,21,18,9,7
42,胸腔ドレナージ,8000,430,4.022,0.187,33,67,6,28,15,19,17,9,6
43,血ガス,20000,420,3.033,6.21,22,78,1,27,22,25,17,6,2
44,nppv,19100,420,3.097,4.533,28,72,1,30,19,21,17,8,4
