順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,肺癌 初期症状は,228000,880,2.978,-0.022,35,65,1,4,9,18,24,22,22
2,肺がん,72600,460,3.494,0,38,62,2,6,8,15,21,20,28
3,大腸内視鏡検査,325000,360,1.725,-5.704,34,66,0,2,6,20,28,24,20
4,肺がん 症状,73200,310,3.074,-0.19,35,65,3,9,12,16,20,17,23
5,人間ドック,281000,300,1.654,-0.865,43,57,1,4,14,26,28,17,10
6,胃がん検診,14500,300,4.642,0,29,71,1,3,8,26,28,17,17
7,肺がん 検査,17800,280,4.391,-0.078,39,61,1,3,7,16,22,24,27
8,呼吸器内科,230000,250,1.671,0.001,32,68,1,5,14,25,24,17,14
9,大腸がん,190000,250,1.882,0,37,63,1,5,9,18,24,21,22
10,ct検査,191000,240,1.857,0.237,41,59,2,7,10,18,21,18,24
11,血液検査,248000,220,1.501,7.245,35,65,1,2,4,18,26,23,26
12,肺癌 ステージ4 平均余命,81200,210,2.595,-0.669,37,63,1,4,8,17,25,21,24
13,乳がん検診,83000,200,2.484,-0.031,13,87,1,6,16,28,24,15,10
14,大腸ポリープ,196000,190,1.575,-5.273,39,61,1,3,6,16,28,25,21
15,子宮頸がん検診,141000,190,1.882,1.855,7,93,1,20,22,23,20,9,5
16,バリウム検査,135000,190,1.888,-0.004,37,63,1,5,21,31,25,12,5
17,食道癌 初期症状,161000,180,1.737,21.501,38,62,1,4,8,17,27,24,19
18,ピロリ菌検査,151000,180,1.776,-0.001,32,68,1,4,12,22,26,20,15
19,肺気腫,183000,170,1.533,3.094,42,58,1,6,8,16,22,20,27
20,肺がん ステージ,30400,170,3.371,-0.001,38,62,1,4,8,16,23,22,26
21,肺がん 治療,29300,170,3.398,-0.125,37,63,1,3,5,12,21,24,34
22,大腸がん検診,11000,170,4.29,0,33,67,1,4,11,33,25,15,11
23,肺がん検診で引っかかる,2600,170,5.842,0,25,75,0,1,3,17,26,27,26
24,乳がん,159000,160,1.656,-0.667,25,75,2,5,8,19,26,21,19
25,特定健診とは,77400,160,2.305,-0.011,34,66,1,8,12,24,24,18,13
26,がん検診,40100,160,2.942,-0.016,48,52,1,8,16,25,23,15,12
27,肺がん検査方法,5600,160,4.932,0,30,70,1,3,5,27,29,20,15
28,肺がん検診 方法,3200,160,5.513,0,26,74,0,2,5,32,26,21,14
29,大腸がん 症状 女性 初期,140000,150,1.666,-3.012,6,94,1,7,13,21,25,17,16
30,腫瘍マーカー検査とは,131000,150,1.731,-0.026,27,73,0,2,8,22,30,21,17
31,大腸がん検診 方法,10900,150,4.207,0,27,73,1,3,10,39,26,14,7
32,子宮体癌,117000,140,1.767,22.341,16,84,1,4,9,24,32,17,13
33,マンモグラフィー,107000,140,1.858,-2.015,21,79,1,8,13,30,26,14,8
34,肺腺癌,64400,140,2.409,3.568,32,68,0,3,6,16,23,23,29
35,大腸がん 検査,36100,140,2.937,0.001,37,63,1,5,12,23,23,19,17
36,egfr,150000,130,1.506,5.475,37,63,0,6,8,16,25,23,22
37,pet 検査,120000,130,1.728,-0.993,37,63,0,4,7,20,28,20,21
38,卵巣がん 初期症状 8つ,115000,130,1.721,-0.109,8,92,1,5,11,26,30,16,11
39,胸の痛み,134000,120,1.481,40.05,33,67,2,3,8,19,26,21,21
40,肺炎球菌ワクチン,128000,120,1.646,-3.651,33,67,0,2,4,7,11,42,34
41,胃カメラ,120000,120,1.612,-5.327,38,62,1,6,14,22,23,18,16
42,内視鏡検査,87400,120,1.896,0.095,40,60,2,7,13,22,24,17,15
43,胸部x線,30900,120,2.934,0,31,69,5,17,16,24,25,4,9
44,肝炎ウイルス検査,29500,120,3.014,0,28,72,0,3,7,30,27,20,13
45,喉の違和感,125000,110,1.466,1.461,30,70,2,5,8,19,27,21,18
46,乳がん 初期症状,121000,110,1.473,-7.354,12,88,3,11,17,26,23,12,8
47,皮膚がん 見分け方 画像,118000,110,1.579,27.091,32,68,2,3,8,18,24,21,24
48,甲状腺がん 症状,103000,110,1.724,-0.027,24,76,1,4,7,18,29,23,18
49,子宮がん検診,68000,110,2.043,-0.781,10,90,1,13,18,29,23,10,6
50,咽頭癌 症状,109000,100,1.475,12.576,33,67,1,6,13,21,26,19,14
51,肝臓癌 初期症状,88100,100,1.694,-5.345,35,65,1,4,9,18,26,21,21
52,がん保険ランキング,86000,100,1.705,24.517,36,64,0,2,8,22,33,23,12
53,cea 腫瘍マーカー,79000,100,1.907,-0.003,36,64,0,5,7,15,24,23,26
54,肺炎球菌,78600,100,1.831,4.653,32,68,1,5,12,18,15,26,23
55,腹部エコーでわかること,49200,100,2.298,-2.845,24,76,1,3,9,25,29,19,14
56,肺がん 生存率,20500,100,3.157,-0.19,40,60,2,6,10,19,22,19,22
57,肺がん 初期症状は,19200,100,3.301,-7.602,34,66,1,5,9,18,23,21,23
58,肺がん 転移,17400,100,3.387,0.399,27,73,1,5,7,17,24,21,25
59,大腸憩室炎,104000,90,1.468,1.07,35,65,1,4,7,16,26,24,22
60,腫瘍マーカー,103000,90,1.526,0.752,45,55,1,5,8,18,26,23,19
61,動脈硬化,103000,90,1.467,8.768,34,66,1,5,8,16,25,21,24
62,結核,103000,90,1.466,-0.382,42,58,5,12,15,21,21,15,11
63,胃カメラ 前日食事,101000,90,1.473,6.202,32,68,0,4,10,23,29,19,15
64,尿蛋白,98900,90,1.539,23.527,39,61,1,10,14,18,20,16,21
65,骨密度を上げるには,93000,90,1.641,-27.42,18,82,1,1,4,11,25,28,30
66,総コレステロール,90800,90,1.578,25.299,28,72,1,5,10,21,30,19,14
67,放射線治療,86300,90,1.618,2.982,35,65,1,4,7,19,26,19,24
68,食道がん,86000,90,1.61,9.08,42,58,2,6,9,19,25,20,19
69,スキルス性胃がん,84900,90,1.631,28.006,33,67,2,8,15,23,22,16,14
70,眼底検査とは,60500,90,1.931,11.867,30,70,1,3,9,23,28,21,15
71,緑内障 症状,93400,80,1.47,20.916,32,68,1,5,7,18,26,24,19
72,抗がん剤治療,92400,80,1.539,8.883,39,61,1,3,7,17,24,22,26
73,クレアチニン 基準値,89400,80,1.511,21.922,45,55,1,8,6,12,20,22,31
74,脳ドック,82400,80,1.593,-1.103,37,63,1,2,7,23,31,22,14
75,がん保険,82300,80,1.55,0.012,45,55,0,4,12,23,28,21,12
76,咽頭癌,81600,80,1.616,2.319,40,60,1,5,10,19,25,21,19
77,食道がん 症状,66300,80,1.798,-2.258,33,67,1,5,9,19,27,19,20
