順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,肺炎 症状,551000,22200,2.466,-0.016,33,67,3,9,15,21,19,16,17
2,肺炎 うつる,141000,11000,3.116,0,34,66,3,9,17,23,21,14,13
3,気管支炎 症状,337000,6800,1.749,-0.001,30,70,2,10,20,25,18,13,12
4,肺炎 治療,73000,6200,3.192,0.002,35,65,2,6,14,23,22,17,16
5,肺炎 入院期間,49300,4500,3.282,0.001,34,66,3,7,15,23,22,16,14
6,喘息,160000,3900,1.946,-0.001,44,56,4,9,16,19,20,17,15
7,気管支炎,85900,3700,2.509,0,29,71,5,16,27,24,14,8,6
8,肺炎 自然治癒,40300,3500,3.184,0.013,30,70,2,8,21,30,19,10,10
9,気管支喘息,136000,3200,1.9,0.001,29,71,3,12,19,23,17,14,12
10,肺炎 原因,41300,3100,3.089,0.003,35,65,5,11,15,20,20,15,14
11,crp,137000,2700,1.775,1.384,36,64,1,7,10,16,21,21,24
12,肺炎 種類,25900,2400,3.338,0.001,39,61,2,6,9,15,20,23,25
13,結核,103000,2300,1.831,0.001,42,58,5,12,15,21,21,15,11
14,肺がん,72600,2200,2.194,0.001,38,62,2,6,8,15,21,20,28
15,肺炎球菌,78600,2100,2.086,0.002,32,68,1,5,12,18,15,26,23
16,咳,80800,1800,1.849,-0.003,30,70,3,6,17,28,21,12,13
17,肺がん 症状,73200,1700,1.962,-0.003,35,65,3,9,12,16,20,17,23
18,肺ntm症とは,65700,1500,1.895,0,29,71,1,6,11,19,23,21,19
19,細菌性肺炎,34000,1400,2.474,0.206,26,74,2,9,14,20,22,19,14
20,酸素飽和度,62400,1200,1.738,2.135,29,71,1,4,6,16,27,26,20
21,熱が下がらない,57000,1200,1.816,-1.243,35,65,3,8,15,27,26,13,8
22,高熱が続く病気,54100,1200,1.812,-1.743,27,73,2,6,16,29,26,13,8
23,肺炎 熱なし,20600,1200,2.756,0.007,17,83,2,9,25,32,18,8,6
24,気胸,53400,1100,1.771,0.002,38,62,7,19,16,21,17,9,11
25,痰,45600,1100,1.941,0.006,48,52,4,10,18,20,18,14,16
26,肺炎 熱,12400,1100,3.225,0.001,30,70,3,12,27,29,16,7,6
27,髄膜炎,49000,1000,1.785,-0.036,34,66,3,15,24,24,18,9,7
28,マイコプラズマ肺炎 うつる,47000,950,1.739,0.001,29,71,3,11,22,32,16,9,7
29,酸素濃度,40100,920,1.888,0.811,38,62,1,5,14,21,23,18,18
30,肺炎とは,14300,890,2.902,0,36,64,17,25,19,18,10,5,6
31,肺炎 薬,9900,850,3.177,0.005,36,64,2,10,24,31,19,9,5
32,肺炎 入院,7700,850,3.44,0.004,31,69,4,16,32,28,12,5,3
33,肺,26200,830,2.238,0,34,66,5,13,13,20,20,15,14
34,肺炎 咳が止まらない,7500,820,3.421,0.858,29,71,3,12,25,31,17,7,5
35,肺炎 治るまでの期間,6700,810,3.537,0.33,35,65,9,19,28,27,10,5,2
36,間質性肺炎 症状,42900,780,1.752,0.748,26,74,0,4,3,9,20,27,37
37,肺が痛い,33400,750,1.854,0.009,37,63,8,15,16,24,23,9,5
38,慢性閉塞性肺疾患,35500,740,1.809,-0.001,32,68,5,16,12,19,21,15,12
39,マイコプラズマ肺炎 検査,33800,720,1.778,-0.881,24,76,3,6,24,37,16,8,6
40,間質性肺炎 寿命,37400,700,1.768,0.916,32,68,1,2,4,11,22,25,35
41,肺の病気 一覧,31400,690,1.942,0.001,33,67,1,1,2,8,20,27,41
42,胸膜炎,21100,650,2.184,0.632,33,67,2,13,21,27,17,10,10
43,肺炎 抗生剤,8600,650,3.056,0.018,30,70,0,7,23,33,21,11,5
44,咳 胸の痛み,27800,640,1.855,0.004,32,68,2,9,24,31,21,9,4
45,肺炎 子供,5100,640,3.555,0,29,71,3,7,39,36,7,5,3
46,肺に影がある病気,29300,630,1.84,-0.004,26,74,1,4,8,20,27,21,19
47,肺結核,15200,630,2.484,0,46,54,5,14,17,20,18,13,13
48,肺炎の種類,7600,620,3.252,0.001,34,66,0,2,3,7,17,29,42
49,痰の色でわかる病気,29800,610,1.781,0.098,35,65,1,7,14,22,21,18,17
50,抗生剤,26800,610,1.866,1.923,32,68,2,12,19,23,19,14,11
51,息苦しい,29400,600,1.756,-0.011,32,68,4,11,17,23,22,12,11
52,血痰,22200,590,2.041,0.56,40,60,4,16,22,21,17,10,10
53,コロナ 肺炎,13600,590,2.512,0,39,61,4,12,19,25,23,11,6
