順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,マイコプラズマ肺炎,1679000,350,1.364,-10.905,35,65,4,7,18,29,19,12,11
2,間質性肺炎,385000,240,2.522,0.006,31,69,1,5,7,14,22,22,29
3,肺癌 初期症状は,228000,240,3.012,-1.57,35,65,1,4,9,18,24,22,22
4,マイコプラズマ肺炎 大人症状,1071000,210,1.315,-0.015,29,71,1,6,14,24,24,18,13
5,肺炎 症状,551000,200,1.965,-0.304,33,67,3,9,15,21,19,16,17
6,非結核性抗酸菌症,54400,160,4.118,0.001,27,73,0,6,9,15,22,23,25
7,甲状腺機能低下症,545000,130,1.594,13.079,23,77,1,6,10,16,21,20,26
8,気管支炎 症状,337000,130,1.969,-0.023,30,70,2,10,20,25,18,13,12
9,逆流性食道炎,617000,120,1.338,19.213,32,68,3,9,15,21,23,16,13
10,肺気腫,183000,120,2.598,-0.01,42,58,1,6,8,16,22,20,27
11,結核 症状,138000,120,2.831,-0.04,30,70,3,11,18,25,21,13,9
12,脊髄梗塞,585000,110,1.3,-119.511,26,74,1,4,10,18,30,22,15
13,自律神経失調症 症状,566000,110,1.328,-23.453,30,70,3,11,16,22,21,14,13
14,アセトアミノフェン,528000,110,1.412,2.839,33,67,2,9,15,24,22,15,13
15,敗血症,396000,110,1.732,0.369,38,62,1,7,11,18,22,19,22
16,シェーグレン症候群,275000,110,2.029,11.706,20,80,1,7,9,17,26,23,17
17,サルコイドーシス,82900,110,3.279,1.832,31,69,1,9,12,20,24,19,15
18,アンブロキソール,491000,100,1.315,12.704,29,71,1,7,18,28,22,13,11
19,バセドウ病,455000,100,1.379,5.309,31,69,3,13,16,23,24,13,8
20,肺がん 症状,73200,100,3.274,-0.01,35,65,3,9,12,16,20,17,23
21,モンテルカスト錠10mg,450000,90,1.386,-3.523,29,71,1,6,15,24,23,17,14
22,蜂窩織炎,432000,90,1.435,17.467,28,72,1,7,12,21,24,19,16
23,デキストロメトルファン15mg,415000,90,1.475,-10.222,28,72,1,6,15,27,23,15,13
24,呼吸器内科,230000,90,1.984,-1.183,32,68,1,5,14,25,24,17,14
25,肺がん,72600,90,3.159,-0.225,38,62,2,6,8,15,21,20,28
26,肺マック症,37300,90,3.863,2.132,26,74,1,5,9,17,23,21,24
27,肺に影がある病気,29300,90,4.075,-0.054,26,74,1,4,8,20,27,21,19
28,緑内障,416000,80,1.346,-24.082,37,63,1,5,9,20,24,20,21
29,膵臓癌 初期症状,396000,80,1.331,7.941,35,65,1,3,7,16,25,23,25
30,クラリスロマイシン錠200mg,383000,80,1.435,-9.653,30,70,1,6,15,26,22,16,14
31,子宮頸がん,378000,80,1.406,-20.989,24,76,3,10,14,23,24,16,10
32,痰が絡む 治らない,377000,80,1.395,-13.664,33,67,2,6,12,21,22,19,18
33,血糖値 基準値,375000,80,1.467,25.836,43,57,1,6,6,13,24,24,26
34,橋本病,340000,80,1.552,-16.038,25,75,1,7,13,22,25,18,14
35,レボフロキサシン,291000,80,1.628,-13.684,31,69,1,10,16,23,21,15,14
36,デエビゴ,285000,80,1.693,2.076,34,66,1,9,12,20,24,18,16
37,心不全,264000,80,1.761,-0.083,34,66,2,7,10,18,24,19,20
38,ct検査,191000,80,2.098,-0.138,41,59,2,7,10,18,21,18,24
39,肺腺癌,64400,80,3.188,1.853,32,68,0,3,6,16,23,23,29
40,気管支拡張症,42500,80,3.576,0.01,27,73,1,8,12,19,20,19,21
41,肺結核 症状,20300,80,4.327,-0.02,27,73,2,9,16,24,20,14,15
42,びまん性汎細気管支炎,5200,80,5.668,0.001,38,62,1,14,15,21,19,17,13
43,ミヤbm錠,370000,70,1.316,-12.101,32,68,1,8,13,21,21,17,19
44,甲状腺の病気,342000,70,1.339,-8.409,26,74,1,3,7,18,29,22,20
45,アムロジピン,296000,70,1.479,5.695,40,60,0,8,7,14,24,23,24
46,胃がん 初期症状,291000,70,1.563,1.699,33,67,1,6,13,20,24,18,18
47,脈拍数 正常値,286000,70,1.633,3.144,33,67,2,8,9,16,23,21,21
48,大動脈解離,268000,70,1.642,-23.962,40,60,1,7,11,19,25,20,17
49,甲状腺機能亢進症,258000,70,1.67,33.908,23,77,2,8,11,23,27,17,12
50,心房細動,246000,70,1.75,21.139,39,61,1,7,8,14,21,22,27
51,悪性リンパ腫,243000,70,1.654,19.056,32,68,2,7,11,21,25,19,15
52,咳喘息,237000,70,1.716,1.408,27,73,3,10,20,25,18,15,9
53,ファモチジン,208000,70,1.916,-24.885,29,71,1,11,14,22,23,16,13
54,ルパフィン錠10mg,197000,70,1.858,13.415,30,70,1,6,12,23,25,17,16
55,ランソプラゾール,188000,70,1.982,-1.951,32,68,1,10,10,17,23,20,19
56,肺炎,185000,70,2.044,-0.017,39,61,5,10,16,21,19,15,14
57,crp,137000,70,2.26,-0.752,36,64,1,7,10,16,21,21,24
58,結核,103000,70,2.595,0.004,42,58,5,12,15,21,21,15,11
59,多発性骨髄腫,89500,70,2.713,0.268,33,67,1,9,9,16,22,22,21
60,肺の病気 一覧,31400,70,3.819,-0.011,33,67,1,1,2,8,20,27,41
61,アスペルギルス,22300,70,4.154,-0.001,32,68,2,12,13,20,22,17,14
62,肺結核,15200,70,4.48,-0.001,46,54,5,14,17,20,18,13,13
63,肺アスペルギルス症,6200,70,5.359,0.002,35,65,1,21,16,19,19,14,10
64,ビタミンd,344000,60,1.302,16.556,30,70,1,6,12,19,24,20,18
65,rsウイルス感染症,335000,60,1.321,-19.259,30,70,1,7,21,17,17,22,15
66,骨粗鬆症,301000,60,1.4,20.552,24,76,2,5,5,12,22,25,29
67,口唇ヘルペス,284000,60,1.406,48.638,25,75,2,8,17,25,24,14,10
68,白血球の数値が高い,272000,60,1.363,-32.15,30,70,1,9,15,22,24,16,13
69,心筋梗塞,268000,60,1.481,7.567,42,58,2,7,10,18,24,19,20
70,誤嚥性肺炎,260000,60,1.44,1.551,35,65,1,6,8,14,26,23,22
71,子宮内膜症,250000,60,1.572,-12.885,15,85,4,19,24,25,15,8,5
72,血液検査,248000,60,1.527,-1.018,35,65,1,2,4,18,26,23,26
73,クローン病,240000,60,1.511,13.832,31,69,3,12,15,21,22,15,12
74,リウマチ,235000,60,1.533,38.205,36,64,1,7,12,20,24,19,17
75,レボセチリジン塩酸塩5mg,216000,60,1.595,-37.174,27,73,1,6,20,29,20,13,11
76,ステロイド 副作用,198000,60,1.778,13.306,33,67,2,10,13,18,21,17,19
77,プレドニン,191000,60,1.812,-0.196,28,72,1,8,12,21,24,18,16
78,egfr,150000,60,2.113,15.875,37,63,0,6,8,16,25,23,22
79,メチコバール,133000,60,2.101,-3.073,32,68,1,8,13,20,21,16,21
80,関節リウマチ,121000,60,2.199,-6.426,30,70,2,11,11,16,24,19,17
81,全身性エリテマトーデス,120000,60,2.196,0.741,20,80,2,15,16,22,23,14,8
82,横紋筋融解症,108000,60,2.364,26.91,32,68,1,10,11,16,21,21,20
83,copdとは,82700,60,2.68,-0.11,35,65,3,11,9,15,21,20,21
84,間質性肺炎 症状,42900,60,3.405,1.826,26,74,0,4,3,9,20,27,37
85,胸部x線,30900,60,3.66,-0.292,31,69,5,17,16,24,25,4,9
86,メジコン錠15mg,259000,50,1.359,-0.058,32,68,1,3,11,25,23,19,18
87,迷走神経反射,252000,50,1.38,-15.95,22,78,4,15,17,23,22,12,7
88,結婚祝い プレゼント,250000,50,1.362,6.309,21,79,0,26,23,18,19,10,4
89,ピロリ菌,236000,50,1.301,-22.665,39,61,2,8,15,23,23,16,13
