順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,間質性肺炎 寿命,37400,15700,4.2,0.007,32,68,1,2,4,11,22,25,35
2,間質性肺炎 症状,42900,11500,3.771,0.003,26,74,0,4,3,9,20,27,37
3,肺気腫,183000,10600,2.165,-0.006,42,58,1,6,8,16,22,20,27
4,間質性肺炎とは,34200,8900,3.727,0,32,68,1,4,4,9,19,24,39
5,間質性肺炎 原因,25900,7800,3.865,0.004,30,70,0,4,5,11,21,25,34
6,パルスオキシメーター,129000,6600,2.048,3.099,36,64,2,7,10,16,22,20,23
7,間質性肺炎 治療,14100,6600,4.291,0.063,35,65,0,5,6,14,23,22,30
8,copdとは,82700,5200,2.249,0.001,35,65,3,11,9,15,21,20,21
9,copd,78300,4900,2.215,0.001,38,62,3,17,14,20,20,14,12
10,間質性肺炎 難病指定,9500,4900,4.368,0.033,29,71,1,2,6,16,25,24,26
11,リウマチ性多発筋痛症,81000,4400,2.129,-0.29,28,72,0,4,6,13,25,24,28
12,kl-6,21100,4400,3.467,2.969,36,64,0,7,10,15,20,21,27
13,間質性肺炎 急性増悪,8900,4200,4.262,1.245,29,71,1,6,8,19,26,17,23
14,強皮症,52800,4100,2.45,0.001,25,75,1,8,11,19,25,20,16
15,間質性肺炎 芸能人,7900,4100,4.386,0.059,32,68,0,2,5,14,25,25,29
16,八代亜紀 膠原病,68900,4000,2.219,-0.001,30,70,1,3,6,11,18,24,37
17,肺がん,72600,3900,2.105,-0.108,38,62,2,6,8,15,21,20,28
18,メトトレキサート,59000,3900,2.272,-1.931,29,71,1,14,12,19,23,17,14
19,特発性間質性肺炎,25000,3900,3.158,5.796,24,76,1,4,6,15,28,25,21
20,肺腺癌,64400,3800,2.201,-0.001,32,68,0,3,6,16,23,23,29
21,人工呼吸器,65700,3700,2.107,0.723,28,72,1,14,14,22,24,14,11
22,酸素飽和度,62400,3700,2.175,4.932,29,71,1,4,6,16,27,26,20
23,間質性膀胱炎,26300,3700,3.072,0,21,79,1,6,9,17,23,22,22
24,cvポート,68600,3600,2.043,-2.668,25,75,1,13,12,21,25,17,11
25,非結核性抗酸菌症,54400,3600,2.306,0.001,27,73,0,6,9,15,22,23,25
26,低カリウム血症,57900,3500,2.166,-1.392,29,71,1,17,15,21,22,15,9
27,皮膚筋炎,35300,3400,2.659,0.004,26,74,1,8,10,19,26,20,16
28,肺炎 種類,25900,3400,2.981,-0.001,39,61,2,6,9,15,20,23,25
29,肺線維症,22600,3400,3.137,0.004,32,68,2,10,9,16,21,20,22
30,dダイマーとは,55000,3100,2.132,-0.015,26,74,1,16,12,19,22,16,14
31,低ナトリウム血症,52700,3100,2.146,-6.462,33,67,1,19,17,21,20,13,9
32,肺の病気 一覧,31400,3100,2.767,-0.001,33,67,1,1,2,8,20,27,41
33,気管支拡張症,42500,2900,2.334,0.011,27,73,1,8,12,19,20,19,21
34,間質性肺炎 ステロイド,5500,2900,4.374,0.921,36,64,0,8,8,13,22,24,25
35,エリキュース,51700,2800,2.072,-0.043,37,63,0,14,14,21,22,15,14
36,胸水,44000,2800,2.245,0,34,66,1,14,14,19,22,17,13
37,器質化肺炎,15700,2800,3.308,0.018,37,63,1,9,12,17,20,19,22
38,進行性核上性麻痺,47900,2600,2.081,-2.045,33,67,1,9,12,20,22,17,19
39,肺気腫とは,43500,2500,2.179,-0.005,38,62,1,9,6,11,22,22,29
40,アゾセミド,40400,2500,2.174,-0.058,30,70,1,15,14,22,23,14,11
41,慢性閉塞性肺疾患,35500,2500,2.326,0.002,32,68,5,16,12,19,21,15,12
42,co2ナルコーシス,29700,2500,2.493,0.995,30,70,1,32,18,21,16,8,4
43,深部静脈血栓症,41100,2400,2.137,-1.934,27,73,2,23,13,18,20,14,10
44,肺塞栓症,38500,2400,2.232,1.018,33,67,1,13,12,17,20,17,20
45,酸素吸入器,36700,2400,2.29,5.086,42,58,1,3,6,14,26,25,25
46,在宅酸素療法,20700,2400,2.852,7.04,32,68,1,10,9,18,25,22,15
47,膠原病 寿命,44400,2300,2.067,0.006,29,71,1,4,8,15,24,23,25
48,高カリウム血症,43500,2300,2.073,-0.386,35,65,1,19,15,19,19,14,13
49,キイトルーダ,38400,2300,2.183,-12.191,39,61,0,9,12,20,23,19,17
50,肺マック症,37300,2300,2.254,0.021,26,74,1,5,9,17,23,21,24
51,酸素濃度 正常値 高齢者,36800,2300,2.313,17.636,28,72,0,1,3,8,21,33,34
52,ネーザルハイフロー,28900,2300,2.423,1.331,24,76,0,30,22,23,16,6,3
53,ウェルニッケ脳症,40800,2200,2.04,0.648,35,65,1,21,17,21,20,13,7
54,多系統萎縮症,40700,2200,2.051,-0.945,32,68,1,12,13,21,22,18,13
55,チェーンストークス呼吸,35700,2200,2.165,2.691,28,72,2,24,19,22,20,9,4
56,バクタ配合錠,31900,2200,2.336,7.002,29,71,1,11,11,18,23,19,17
57,多発性筋炎,29300,2200,2.404,-0.001,25,75,2,11,11,18,24,19,15
