順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,非結核性抗酸菌症 余命年数,11000,4300,6.095,0.001,25,75,1,1,4,10,20,27,37
2,肺マック症,37300,2400,4.238,0.627,26,74,1,5,9,17,23,21,24
3,気管支拡張症,42500,1800,3.814,0.002,27,73,1,8,12,19,20,19,21
4,エンレスト,88800,1300,2.707,1.083,37,63,0,12,15,23,24,14,12
5,横紋筋融解症,108000,1200,2.448,1.093,32,68,1,10,11,16,21,21,20
6,サルコイドーシス,82900,1200,2.675,3.111,31,69,1,9,12,20,24,19,15
7,結核,103000,1100,2.402,-0.066,42,58,5,12,15,21,21,15,11
8,ビソプロロールフマル酸塩,78000,950,2.546,0.837,32,68,0,11,11,19,23,18,18
9,クロピドグレル,66900,940,2.675,-4.36,33,67,0,16,14,20,22,15,13
10,copdとは,82700,910,2.468,1.481,35,65,3,11,9,15,21,20,21
11,肺ntm症とは,65700,880,2.646,0.002,29,71,1,6,11,19,23,21,19
12,copd,78300,870,2.442,0.002,38,62,3,17,14,20,20,14,12
13,ジャディアンス,74600,870,2.478,0.49,39,61,0,10,13,22,25,16,14
14,リウマチ性多発筋痛症,81000,840,2.416,2.988,28,72,0,4,6,13,25,24,28
15,重症筋無力症,73800,810,2.418,2.025,32,68,2,17,15,21,21,14,10
16,低カリウム血症,57900,780,2.622,-5.905,29,71,1,17,15,21,22,15,9
17,リクシアナ,60400,760,2.576,-8.773,39,61,0,13,12,19,21,17,18
18,ドネペジル,60400,760,2.558,1.236,28,72,1,10,11,20,28,18,12
19,オルメサルタン,67200,740,2.445,-0.55,37,63,0,10,10,18,25,19,18
20,エリキュース,51700,740,2.688,-7.361,37,63,0,14,14,21,22,15,14
21,カルベジロール,57700,730,2.566,4.448,36,64,0,15,13,20,22,16,14
22,スピロノラクトン,66800,710,2.39,7.485,26,74,0,18,15,22,23,12,10
23,メトトレキサート,59000,710,2.529,-2.444,29,71,1,14,12,19,23,17,14
24,低ナトリウム血症,52700,690,2.594,-8.941,33,67,1,19,17,21,20,13,9
25,肺の病気 一覧,31400,690,3.212,-0.003,33,67,1,1,2,8,20,27,41
26,進行性核上性麻痺,47900,680,2.706,-8.599,33,67,1,9,12,20,22,17,19
27,エルデカルシトール,58000,670,2.543,27.237,24,76,0,9,9,15,21,20,26
28,フロセミド,62300,660,2.4,16.063,29,71,1,19,13,19,22,15,11
29,アミティーザカプセル,60800,660,2.439,-2.708,27,73,0,9,10,19,23,18,21
30,jcs 意識レベル,50300,650,2.582,-12.255,35,65,1,29,23,22,16,6,3
31,骨髄異形成症候群,55500,630,2.483,6.371,32,68,1,7,10,18,22,21,21
32,dダイマーとは,55000,630,2.473,-1.042,26,74,1,16,12,19,22,16,14
33,シロスタゾール,43900,630,2.702,22.593,33,67,1,16,14,20,22,15,12
34,長谷川式簡易知能評価スケール,43800,620,2.669,-41.67,26,74,1,16,13,22,26,12,10
35,強皮症,52800,610,2.499,10.314,25,75,1,8,11,19,25,20,16
