順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,咳が止まらない 熱なし,917000,33100,2.096,-0.349,34,66,2,6,12,25,24,18,13
2,咳が止まらない,375000,13700,2.11,-1.017,33,67,4,12,18,26,20,11,9
3,気管支炎 症状,345000,13000,2.145,-0.008,30,70,2,10,20,25,18,13,12
4,痰が絡む 治らない,373000,10600,1.885,-0.007,33,67,2,6,12,21,22,19,18
5,咳喘息,227000,9000,2.204,0.132,28,72,2,10,21,25,18,15,9
6,呼吸器内科 近く,35100,7800,3.958,0,25,75,1,6,12,20,22,21,18
7,循環器内科とは,140000,7100,2.465,0,33,67,1,4,8,17,26,22,22
8,肺癌 初期症状は,226000,6900,1.956,-0.005,35,65,1,4,9,18,24,22,22
9,耳鼻咽喉科,208000,6900,2.028,-0.004,40,60,2,10,17,21,19,14,17
10,気管支喘息,138000,6600,2.39,0.04,29,71,3,12,19,23,17,14,12
11,消化器内科,170000,6000,2.079,0,32,68,1,8,15,24,25,15,12
12,喘息 症状,157000,5900,2.149,0.012,22,78,6,15,20,25,13,9,12
13,喘息 大人になってから,114000,5400,2.384,0.458,26,74,1,12,15,19,23,18,12
14,咳喘息 治し方 自力,113000,5200,2.345,-0.002,24,76,1,6,16,27,23,17,10
15,喘息,167000,4900,1.912,0.098,44,56,4,9,16,19,20,17,15
16,咳喘息 症状,98900,4300,2.262,-0.081,6,94,2,11,23,29,20,7,8
17,気管支炎 治るまで何日,111000,4200,2.144,0.034,29,71,2,8,20,27,19,13,11
18,喘息 治し方,95500,4000,2.273,0.394,41,59,3,8,16,22,19,16,16
19,咳が止まらない 対処法,130000,3900,1.91,-0.218,26,74,4,9,15,25,23,14,10
20,痰が絡む咳,119000,3900,2.009,-0.251,22,78,3,10,20,25,18,13,11
21,内科,120000,3700,1.933,0,36,64,2,12,19,26,21,11,9
22,咳が止まらない 何科,36400,3400,3.044,-0.001,28,72,2,15,24,26,18,9,6
23,循環器内科,69600,3200,2.351,0,31,69,1,7,12,21,24,17,18
24,咳 痰 長引く,73500,3100,2.231,-0.002,31,69,2,6,21,30,22,12,7
25,喘息 吸入薬,71700,3000,2.243,2.462,28,72,1,8,18,26,21,15,11
26,咳 何科,37900,2900,2.828,-0.001,25,75,2,17,32,29,13,4,3
27,呼吸器科,19900,2900,3.498,0.001,34,66,1,8,17,23,21,15,15
28,呼吸が苦しい,43200,2600,2.629,-0.001,34,66,3,8,12,22,25,15,15
29,肺がん 症状,82700,2400,1.915,-0.003,35,65,3,9,11,16,20,18,23
30,耳鼻咽喉科 近く 現在地,76800,2400,2.004,-0.002,39,61,1,5,9,15,21,23,26
31,喘息 何科,26000,2400,3.025,-0.001,27,73,1,13,22,27,18,10,9
32,肺炎 治療,75100,2300,1.964,0.614,36,64,2,6,14,23,22,17,16
33,息苦しい 原因,70300,2200,1.941,-0.29,29,71,3,8,15,24,24,14,12
34,呼吸器内科とは,6600,2200,4.337,0,29,71,1,8,13,20,23,18,17
35,咳喘息 原因,51900,2100,2.246,0.965,22,78,2,8,16,23,23,18,10
36,喘息 痰が絡む,40000,2100,2.495,0.952,20,80,2,8,20,26,18,14,12
37,吸入器,65200,1900,1.873,1.68,24,76,2,8,21,26,19,14,10
38,気管支炎 うつる,62400,1900,1.895,0.277,25,75,3,12,26,26,17,10,6
39,内科 現在地周辺,53300,1900,2.088,0,32,68,2,9,16,27,26,12,8
40,呼吸器内科 大阪,7300,1900,4.095,0,27,73,1,7,12,22,27,19,12
41,テリルジー200,36400,1700,2.348,7.774,30,70,1,6,16,25,23,17,12
42,呼吸器内科 東京,6900,1700,4.038,0,25,75,0,8,13,20,25,19,15
43,メプチンエアー,51600,1600,1.952,1.491,31,69,1,8,18,28,21,14,10
44,フルティフォーム,50000,1600,1.945,2.684,28,72,1,7,19,30,21,13,9
45,気管支拡張症,42900,1600,2.152,0.832,27,73,1,8,12,19,20,19,21
46,長引く咳の原因,36700,1600,2.268,-0.004,22,78,1,4,12,27,26,19,11
47,咳 止まらない,47300,1500,1.935,-0.593,33,67,5,17,31,27,12,5,3
48,レルベア,45900,1400,1.891,4.59,32,68,1,9,19,26,22,12,11
49,横になると咳こみ,42700,1400,2.017,-0.003,27,73,2,12,23,26,19,11,7
50,ブデホル吸入粉末剤60,41000,1400,2.077,3.936,28,72,1,8,18,27,20,15,11
51,呼吸器科 呼吸器内科 違い,8600,1400,3.623,0,28,72,0,7,13,21,24,19,16
52,乾いた咳が続く,43400,1300,1.907,-1.511,27,73,3,11,18,26,23,13,6
53,肺炎 自然治癒,38900,1300,2.02,0.9,31,69,2,8,22,31,19,9,9
54,気管支炎 市販薬,35800,1300,2.049,-0.099,37,63,1,7,20,31,22,11,8
55,呼吸器内科 札幌,4000,1300,4.295,0,28,72,1,7,16,30,25,12,9
56,咳 痰が絡む,32800,1200,2.121,-2.093,26,74,2,8,21,28,20,12,9
57,喘息 市販薬,31100,1200,2.19,-0.005,37,63,1,10,20,28,23,11,7
58,咳喘息 うつるのか,27600,1200,2.317,1.041,20,80,2,10,22,27,19,14,6
59,気管支喘息 症状,27600,1200,2.305,0.389,19,81,3,15,20,19,16,14,13
60,慢性閉塞性肺疾患,35600,1100,1.942,0.022,31,69,5,16,12,19,21,15,12
61,copd 症状,29700,1100,2.138,0.05,37,63,2,11,11,17,20,19,20
62,咳 胸の痛み,28900,1100,2.112,-0.003,32,68,2,9,24,31,21,9,4
63,気管支炎 治し方,27900,1100,2.188,-0.342,33,67,2,6,20,26,18,15,13
64,気管支炎 何科,11800,1100,3.048,-0.001,30,70,1,8,23,28,20,12,8
65,咳が止まらない 熱なし 何科,9600,1100,3.277,-0.001,29,71,1,7,13,26,26,16,11
66,呼吸器内科 横浜,3600,1100,4.289,0,28,72,0,6,13,21,25,18,17
67,呼吸器内科 名古屋,3600,1100,4.219,0,27,73,0,8,14,26,24,17,11
68,寝ると咳が出る,33200,1000,1.916,-0.312,28,72,1,7,16,26,23,16,11
69,痰がらみの咳が続く,29800,1000,2.006,-0.102,12,88,1,8,31,30,14,10,6
70,咳のし過ぎで胸の痛み,26500,1000,2.14,0.008,22,78,2,10,21,28,24,11,4
71,アレルギー 咳,24000,1000,2.264,-0.002,17,83,2,6,19,32,21,12,8
72,咳喘息 薬,22500,1000,2.31,0.816,21,79,1,8,22,32,20,11,6
73,循環気内科,21600,970,2.346,-0.007,28,72,1,6,11,20,24,18,20
74,咳喘息 何科,10500,950,3.008,-0.001,19,81,2,11,24,29,19,9,6
75,咳痰が続く,20200,940,2.369,-0.003,32,68,1,4,11,21,25,21,17
76,息苦しい,28800,930,1.979,-0.005,31,69,4,11,17,23,22,12,11
77,レルベア200エリプタ,24700,930,2.164,7.988,33,67,1,5,12,21,23,21,17
78,咳が続く,26200,920,2.067,-0.002,23,77,2,8,15,26,25,16,8
79,呼吸気内科,7000,920,3.395,-0.008,27,73,1,8,17,26,23,13,12
80,痰の色でわかる病気,29600,900,1.944,1.597,34,66,1,7,15,22,21,17,17
81,後鼻漏副鼻腔炎 痰,30700,890,1.905,15.388,23,77,1,3,13,22,22,20,19
82,呼吸器内科 福岡,2600,890,4.35,0,28,72,1,7,15,26,23,16,12
83,呼吸器,14100,880,2.664,0,31,69,3,16,15,20,20,13,13
84,気管支喘息 治し方,18200,870,2.393,0.725,31,69,3,11,19,21,17,15,14
85,肺の病気 一覧,31600,860,1.922,0.001,34,66,1,1,2,8,20,27,41
86,咳 肋骨痛い,21500,860,2.181,0.134,23,77,1,9,27,30,22,8,3
87,息苦しい 胸の圧迫感,28100,850,1.917,-0.069,26,74,4,12,18,25,23,10,8
88,息がしづらい,25000,840,2.03,-0.044,21,79,7,14,16,24,22,9,8
89,逆流性食道炎 咳,25800,830,1.988,1.874,27,73,1,7,16,25,23,17,11
90,むせるような咳が続く,24300,830,2.035,-0.256,25,75,2,11,18,28,21,11,9
91,咳と痰が止まらない 熱なし,22200,830,2.167,-0.248,37,63,1,7,12,19,19,21,21
92,咳喘息 痰が絡む,16100,830,2.447,1.49,15,85,2,11,27,30,14,10,6
93,咳喘息 市販薬,19400,800,2.198,-0.002,25,75,1,8,25,32,20,9,5
94,テリルジー100,18800,800,2.278,5.833,32,68,1,6,13,23,23,18,16
95,肺がん 治療,29300,790,1.876,1.075,37,63,1,3,5,13,21,24,33
96,肺結核 症状,20500,770,2.145,0.35,27,73,2,8,17,23,20,14,16
97,熱なし 咳が出る,24800,750,1.895,-0.713,21,79,2,5,19,32,22,13,7
98,気管支炎 薬,20900,740,2.05,-0.003,29,71,1,7,25,34,18,9,6
99,肺炎 熱なし,21200,730,2.03,-0.001,17,83,2,9,25,32,18,8,6
100,テリルジー,24800,720,1.882,4.848,34,66,1,12,22,26,19,11,9
101,副鼻腔炎 咳が止まらない,23800,720,1.896,0.565,25,75,2,9,30,33,15,7,4
102,夜中 咳き込む 原因,22700,720,1.953,-1.409,22,78,1,6,27,32,16,10,8
103,痰の絡む咳が続く,20100,710,2.089,-0.003,14,86,2,8,19,27,17,17,10
104,吸入ステロイド,14300,710,2.418,1.696,33,67,2,8,15,27,21,17,10
105,レルベア100 30吸入,20200,700,2.091,6.819,33,67,1,5,10,20,22,22,20
106,喘息 薬,18600,700,2.133,0.467,29,71,3,13,22,29,17,8,8
107,消化器内科とは,18400,700,2.163,0,28,72,1,7,9,18,28,21,16
108,慢性気管支炎とは,16200,700,2.3,3.215,30,70,3,10,14,20,19,17,17
109,アドエア250ディスカス,22600,690,1.928,1.208,29,71,1,5,12,26,25,18,13
110,喘息発作,19000,690,2.125,2.361,23,77,2,8,16,24,21,17,12
111,肺がん 初期症状は,20400,680,2.052,-0.972,34,66,1,4,9,18,24,22,22
112,咳しすぎて肋骨が痛い,15900,670,2.254,0.333,18,82,6,18,27,26,16,5,2
113,咳で寝れない 対処法,20600,660,1.967,-0.666,23,77,4,15,26,31,15,6,3
114,吸入薬 一覧,19200,660,2.058,3.681,19,81,1,7,19,26,21,16,10
115,アトピー咳嗽,15200,660,2.274,0.563,22,78,3,12,23,28,18,10,6
116,息切れ 原因,22800,650,1.893,-0.002,38,62,2,5,8,17,24,22,22
117,喋ると咳が出る,18600,650,2.058,-0.004,32,68,3,15,22,24,19,10,7
118,咳喘息 吸入薬,12900,650,2.424,1.419,21,79,1,9,25,30,18,10,7
119,気管支炎 喘息 違い,14800,640,2.269,1.454,19,81,2,10,26,29,17,9,7
120,咳をすると胸の痛み,20400,630,1.948,-0.005,33,67,3,6,12,22,27,18,12
121,肺がん 検査,17800,630,2.116,0.019,38,62,1,3,7,16,22,23,28
122,ブデホル,19800,620,1.953,2.898,34,66,1,10,22,27,20,11,9
123,白い痰が出る,18000,620,2.051,-0.007,38,62,2,9,19,23,21,15,11
124,長引く咳 痰が絡む,12400,620,2.42,0.068,19,81,0,3,14,27,22,21,13
125,耳鼻咽喉科 咳,9400,620,2.714,-0.002,23,77,1,14,32,25,12,8,8
126,エナジア吸入用カプセル,14100,600,2.267,4.245,28,72,1,7,16,24,22,17,13
127,呼気no検査,9500,600,2.667,1.608,28,72,1,9,17,24,20,16,13
128,気管支拡張剤,16600,590,2.085,0.607,33,67,1,5,13,22,25,22,12
129,副鼻腔気管支症候群,12900,590,2.358,1.648,23,77,1,7,17,24,20,18,13
130,横になると咳き込む,18800,580,1.937,-3.787,26,74,2,12,22,24,20,13,7
131,咳が続く 熱はない,16600,580,2.073,-0.008,22,78,1,7,15,27,23,17,10
132,フルティフォーム125エアゾール,16200,580,2.115,3.658,28,72,1,6,15,23,22,18,15
133,咳止め 効かない,14800,580,2.166,-0.145,30,70,2,12,21,28,19,11,7
134,咳 病院 何科,7300,580,2.882,-0.001,37,63,3,24,32,26,11,3,1
135,血痰が出る,19800,570,1.916,-0.003,34,66,1,5,10,17,22,21,24
136,アレルギー 咳 特徴,15600,570,2.08,0.075,18,82,1,8,24,35,19,9,4
137,吸入器 喘息,13400,560,2.24,4.118,19,81,2,10,25,28,16,11,8
138,咳 耳鼻科,13000,530,2.195,-0.001,16,84,1,9,39,35,11,3,2
139,呼吸器外科,4500,530,3.324,0.001,40,60,2,9,10,18,24,17,20
140,耳鼻科 日曜日,17400,520,1.883,-0.054,26,74,2,10,19,33,22,9,5
141,痰が絡む咳 治らない,12400,520,2.263,-0.001,17,83,2,11,24,26,17,12,8
142,横になると息苦しい,16100,500,1.94,-0.339,25,75,3,11,17,24,24,12,9
143,肺機能検査,14400,500,2.057,0.72,31,69,1,9,12,24,23,17,14
144,咳止まらない 何科,6300,500,2.884,-0.001,25,75,2,27,32,22,12,4,1
145,循環器科とは,14200,490,2.086,0,36,64,1,5,8,15,25,23,23
146,急性気管支炎とは,15900,480,1.933,0.153,31,69,5,16,20,23,18,11,7
147,後鼻漏電 咳が出る,14900,480,2.001,0.176,24,76,1,6,15,24,22,19,13
148,耳鼻咽喉科 名医,13200,480,2.216,-0.054,36,64,0,1,3,9,21,29,37
149,レルベア100 14吸入,12600,480,2.161,3.129,25,75,1,5,14,25,23,18,14
150,喉イガイガ 咳,15800,460,1.89,-0.307,20,80,5,15,22,24,18,11,5
151,気管支炎 熱,15600,460,1.887,0.317,22,78,2,12,31,30,15,6,4
152,肺炎 何科を受診,5300,460,2.951,-0.001,35,65,2,13,28,28,19,7,3
153,呼吸器科 近く,3600,460,3.432,0.001,31,69,2,7,12,19,20,21,19
154,消化器内科 近く,13200,450,2.068,1.697,28,72,2,10,13,23,26,12,14
155,空咳が止まらない 熱なし,12400,450,2.104,-2.055,29,71,1,10,18,23,23,14,11
156,咳のしすぎ 肋骨,11300,450,2.165,0.037,16,84,1,12,32,28,19,5,3
157,喘息 吸入薬 強さ ランキング,10900,450,2.242,5.219,22,78,1,7,18,26,23,16,9
158,copd 治療,10700,450,2.279,0.107,48,52,1,9,11,18,21,20,20
159,循環器官とは,14600,440,1.97,0,32,68,2,5,10,16,21,21,25
160,咳 肺が痛い,14200,440,1.936,-0.002,33,67,4,17,31,30,14,3,1
161,息を吸うと咳き込む 原因,13500,440,1.998,-0.003,24,76,6,20,23,24,15,7,5
162,痰が切れない 原因,15300,430,1.881,-0.006,20,80,0,4,10,20,26,22,18
163,ビレーズトリエアロスフィア,14600,430,1.91,5.852,34,66,1,9,16,23,20,16,15
164,気道過敏症,10700,430,2.206,0.077,24,76,3,10,21,24,19,12,11
165,咳 あばらが痛い,10100,430,2.229,0.028,26,74,3,15,39,31,9,2,1
166,咳が止まらない 熱なし 痰あり,8100,430,2.5,-0.006,30,70,2,8,11,21,22,20,16
167,耳鼻科 名医,14400,420,1.961,-0.01,26,74,0,1,4,13,24,28,30
168,喉がイガイガする 咳,14300,420,1.912,-0.015,24,76,4,11,14,22,22,15,12
169,メジコン 効かない場合,13600,420,1.939,-0.015,20,80,1,7,19,29,22,12,10
170,ストレス 咳 特徴,13400,420,1.937,-0.008,24,76,3,14,24,30,20,6,3
171,喘息 熱,13100,420,1.955,2.639,16,84,2,15,32,31,12,5,3
172,息苦しい 対処方法,11500,420,2.131,-0.075,30,70,4,9,14,22,21,15,15
173,呼吸機能検査,8700,420,2.416,0.019,29,71,2,19,15,21,17,13,13
174,ブデホル吸入粉末剤60 使い方,13800,410,1.922,5.576,33,67,1,7,18,23,20,17,14
175,アレルギー科,10600,410,2.161,0.779,23,77,2,9,18,28,24,12,7
176,耳鼻科 咳,8800,410,2.337,-0.001,17,83,2,12,36,30,9,5,6
177,喘息 吸入器,11900,400,2.02,1.748,28,72,4,14,31,29,12,6,4
178,肺気腫 治療法,11700,400,2.099,2.979,44,56,1,2,4,13,23,23,34
179,咳き込み嘔吐,11600,400,2.031,-0.005,10,90,4,15,41,27,7,3,3
180,咳止まらない,13000,390,1.923,-0.189,28,72,10,25,25,22,12,4,2
181,咳 長引く,12400,390,1.939,-0.206,29,71,3,11,32,31,15,5,3
182,咳が止まらない 子供,12000,390,1.954,-3.097,15,85,1,3,40,45,6,3,2
183,息苦しい 何科,4900,390,2.887,-0.001,29,71,1,9,17,25,22,14,12
184,アドエア100ディスカス,13000,380,1.878,0.411,25,75,2,4,16,39,19,10,10
185,痰が絡む咳 治し方,12900,380,1.924,0.984,16,84,5,8,12,20,22,21,12
186,コロナ咳が治らない,12400,380,1.935,-8.457,26,74,1,5,6,19,34,24,11
187,心因性咳嗽,11400,380,2.018,0.465,24,76,5,13,23,29,17,8,5
188,喘息の薬,9900,380,2.168,3.144,25,75,2,6,12,23,24,20,13
189,息苦しい 咳が出る,7700,380,2.421,-0.001,24,76,4,11,17,27,22,11,8
190,マイコプラズマ肺炎 何科,6400,380,2.584,0,31,69,2,12,28,34,17,4,3
191,ホクナリンテープ2mg,12800,370,1.874,-0.99,25,75,1,2,12,32,23,17,13
192,フスコデ配合シロップ,12200,370,1.924,1.036,26,74,1,8,17,23,22,17,12
193,胸部ct,11800,370,1.944,0.563,38,62,1,7,11,24,26,18,13
194,痰が絡む咳 長引く,9500,370,2.143,-0.393,18,82,3,12,26,30,16,8,5
195,夜咳が止まらない病気,7100,370,2.422,-0.004,35,65,2,10,17,28,23,13,7
196,咳すると胸の痛み,11600,360,1.936,-0.002,32,68,6,14,21,27,19,8,5
197,吸入薬,10400,360,2.05,2.4,26,74,2,13,22,23,18,14,8
198,感染後咳嗽,9900,360,2.093,0.876,30,70,3,14,25,27,17,9,5
199,サルタノールインヘラー100,12300,350,1.879,7.773,30,70,1,6,15,24,22,17,15
200,咳のしすぎで喉が痛い,10800,350,1.992,-0.029,17,83,5,17,29,28,13,5,3
201,咳が長引く理由,9900,350,2.056,-0.003,24,76,2,8,18,29,22,12,9
202,咳で肋骨が痛い,8100,350,2.27,0.09,23,77,2,6,15,22,28,18,9
203,息を吐く時にヒューヒュー,7800,350,2.336,-0.003,28,72,1,5,13,22,24,20,15
204,近くの呼吸器内科,3300,350,3.227,0,30,70,3,9,10,18,22,19,19
205,咳が出る 何科,5300,340,2.693,-0.002,32,68,3,22,22,19,17,10,7
206,微熱 咳 続く,10500,330,1.931,-0.016,27,73,2,7,17,30,23,13,8
207,息切れとはどんな症状,9400,330,2.141,-0.02,37,63,2,3,6,13,22,23,31
208,レルベア200エルプタ,9300,330,2.123,0.159,32,68,0,6,12,21,24,20,17
209,ブデホル吸入粉末剤30吸入,7400,330,2.31,0.951,24,76,1,6,17,25,23,15,13
210,呼吸器学会,4000,330,2.894,0,65,35,0,6,19,31,21,14,9
211,麦門冬湯 副作用,11300,320,1.934,0.059,24,76,1,4,10,17,22,22,24
212,喘息 うつるのか,9700,320,2.015,0.93,34,66,5,18,29,25,14,6,3
213,気管支炎 抗生物質,9400,320,1.992,0.605,23,77,1,4,26,36,19,8,6
214,痰 咳 止まらない,9200,320,2.042,-2.052,36,64,5,11,25,30,16,7,6
215,小児科 近く,9200,320,2.03,0.14,19,81,1,7,32,38,8,7,7
216,咳しすぎて胸の痛み,8200,320,2.177,0.005,27,73,8,17,26,27,15,5,2
217,気管支喘息 薬,7300,320,2.288,1.393,26,74,1,14,19,26,18,13,9
218,咳が続く 何科,3700,320,2.958,-0.001,19,81,2,14,23,25,19,11,6
219,咳 夜中 止まらない,9000,310,2.044,-0.002,24,76,1,14,35,32,12,4,2
