順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,坐骨神経痛,686000,3000,2.131,-11.981,34,66,1,5,11,18,24,20,21
2,椎間板ヘルニア,229000,2900,3.189,-0.493,38,62,2,8,12,19,23,18,18
3,ヘルニア 症状,190000,2700,3.289,-1.373,35,65,3,11,13,19,21,15,18
4,ヘルニア 治るのか,49700,1700,4.161,-0.109,38,62,4,9,15,24,24,13,11
5,脊柱管狭窄症,357000,1600,2.226,-0.001,39,61,1,3,5,11,20,24,36
6,ブロック注射,115000,1600,3.251,-1.845,40,60,1,5,11,19,25,19,20
7,鼠径ヘルニア,222000,1400,2.503,0.001,41,59,2,7,13,19,21,18,20
8,ヘルニアとは,101000,1400,3.342,-0.001,37,63,12,12,5,13,18,18,22
9,ヘルニア,72100,1300,3.494,-0.001,40,60,7,13,19,21,17,10,13
10,腰椎椎間板ヘルニア,67600,1200,3.54,0.274,37,63,3,10,11,19,24,17,16
11,タリージェ,188000,1100,2.455,-2.096,35,65,0,5,9,19,25,20,22
12,椎間板ヘルニア手術,13700,1100,4.987,0.109,44,56,1,2,5,15,28,28,21
13,ヘルニア 手術費用,13200,1100,4.996,-0.012,52,48,1,8,20,26,22,9,14
14,ヘルニア 足のしびれ,20700,1000,4.525,-0.006,38,62,2,6,13,26,28,14,11
15,ヘルニア手術後,3600,990,6.223,0.006,39,61,2,4,11,24,28,16,15
16,ヘルニア 治療法,24000,810,4.131,-0.004,41,59,2,8,15,25,25,13,12
17,坐骨神経痛の症状 ストレッチ,152000,640,2.111,-12.941,35,65,0,2,6,15,23,25,29
18,ヘルニア手術費用,2600,630,6.096,0.001,54,46,3,9,16,26,26,12,8
19,すべり症,123000,620,2.303,-0.015,25,75,1,4,6,14,23,23,29
20,プレガバリン,133000,600,2.14,2.78,36,64,0,8,10,20,25,18,19
21,脊柱管狭窄症手術,44400,580,3.317,1.041,40,60,0,1,2,6,17,26,48
22,タリージェod5mg 効果,72100,570,2.772,1.74,39,61,0,2,3,10,21,27,37
23,椎間板ヘルニア 治し方,34000,570,3.46,-0.545,40,60,1,6,10,18,26,21,18
24,ヘルニア ストレッチ,16400,560,4.127,0.003,41,59,2,6,14,27,27,14,10
25,トアラセット配合錠,85800,540,2.491,2.291,36,64,0,6,8,15,24,22,25
26,脊柱管狭窄症 症状,104000,530,2.358,-3.96,34,66,0,2,2,7,17,27,45
27,坐骨神経痛 ストレッチ 即効,85200,530,2.49,-14.205,33,67,1,2,7,16,26,23,25
28,狭窄症,78300,490,2.486,0.39,39,61,1,4,8,15,24,22,26
29,腰部脊柱管狭窄症,62600,460,2.669,0.135,37,63,1,10,8,13,22,21,25
30,椎間板ヘルニア 症状,47800,460,2.922,-0.236,33,67,2,7,9,15,22,22,23
31,ヘルニア 手術するレベル,6600,460,4.866,0.01,36,64,2,8,20,27,23,11,9
32,脊椎管狭窄症,97100,440,2.228,0.003,38,62,0,2,3,9,18,26,42
33,リリカ 効果,66800,440,2.556,-0.781,32,68,1,3,6,15,25,24,26
34,ヘルニア手術 成功率,1500,440,6.298,0.002,45,55,3,4,11,22,28,19,13
35,ペインクリニック,92600,430,2.182,0.003,34,66,0,3,7,17,26,22,25
36,ヘルニア手術 後遺症,1300,430,6.405,0.003,40,60,3,2,8,22,29,21,15
37,坐骨神経痛に効く薬,59400,420,2.638,-8.496,41,59,0,1,3,10,23,29,34
38,ヘルニア手術 入院期間,1200,410,6.394,0,40,60,1,5,15,32,24,14,9
39,ブロック注射 効果期間,18000,390,3.71,-1.448,36,64,1,4,11,21,28,18,17
40,リマプロストアルファデクス錠5μg,89900,380,2.143,3.004,35,65,0,5,7,13,19,21,35
41,坐骨神経痛 治療法,42200,350,2.777,-6.983,37,63,1,4,9,16,25,21,24
