順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,乳腺炎,99600,1000,3.421,0,16,84,1,15,36,18,13,11,6
2,乳がん,156000,960,2.907,-0.013,25,75,2,5,8,19,26,21,19
3,乳腺症,40600,690,3.874,0,11,89,1,7,18,35,23,10,6
4,乳がん 初期症状,122000,630,2.71,-0.516,12,88,3,11,17,26,23,12,8
5,乳腺外科,19700,560,4.413,0,18,82,2,8,16,25,24,14,11
6,乳腺線維腺腫,30400,520,3.901,0,10,90,1,7,17,29,24,14,8
7,マンモグラフィー,107000,500,2.584,-0.001,21,79,1,8,13,30,26,14,8
8,乳腺嚢胞,29100,470,3.815,0,9,91,0,4,19,34,25,11,7
9,乳がん検診,83100,430,2.701,-0.841,13,87,1,6,16,28,24,15,10
10,乳がんの症状,73400,400,2.773,-0.989,10,90,3,8,13,22,23,16,15
11,乳腺腫瘤,12800,350,4.345,0,13,87,1,4,14,31,29,14,7
12,乳がん ステージ,64400,300,2.594,5.288,24,76,1,4,9,24,30,19,13
13,乳腺外来,12600,250,4.055,0,10,90,0,4,13,29,28,15,11
14,乳がん 痛み,35100,220,2.903,-0.158,9,91,1,6,17,32,26,11,7
15,線維腺腫,30500,210,2.975,0.001,11,89,1,7,18,30,23,12,9
16,葉状腫瘍,13700,200,3.734,0.001,15,85,1,5,14,31,27,13,9
17,乳腺エコー,8700,200,4.175,0,10,90,1,8,24,28,22,11,6
18,乳がん 手術後,32800,190,2.853,4.093,19,81,1,2,5,21,31,22,18
19,乳腺炎 症状,23600,190,3.158,0,8,92,1,18,43,13,10,10,5
20,乳房,22200,190,3.231,-0.006,51,49,9,13,15,15,16,13,19
21,乳児湿疹,68100,180,2.037,3.976,15,85,0,17,50,14,7,9,3
22,脇の下 しこり,51000,170,2.265,-0.25,22,78,3,9,18,28,25,11,6
23,乳がん しこり 特徴,19500,170,3.202,-0.007,8,92,2,15,28,33,14,4,4
24,乳腺 しこり,3100,170,5.025,0,12,88,2,14,31,31,14,5,3
25,にゅうがんの症状,25500,160,2.905,-7.883,12,88,2,7,13,23,24,16,15
26,乳がん手術後,18000,150,3.224,16.613,17,83,0,2,3,15,29,26,25
27,スペンス乳腺,10200,150,3.715,0,72,28,5,17,22,23,18,10,5
28,乳腺 石灰化,3800,150,4.722,0,12,88,0,2,14,35,32,13,4
29,会陰切開,52800,140,2.07,-24.552,18,82,2,23,42,13,9,6,5
30,乳首が痛い,46400,140,2.154,-0.002,14,86,5,14,18,32,20,6,5
31,乳がん 生存率,34000,140,2.51,3.766,34,66,3,8,11,23,26,16,13
32,乳がんステージ,23100,140,2.867,3.029,26,74,1,2,6,18,27,24,22
33,超音波検査,47600,130,2.13,-11.402,29,71,2,9,10,17,19,17,26
34,タモキシフェン,36000,130,2.307,16.523,21,79,1,8,9,27,34,13,8
35,副乳,33700,130,2.427,-0.001,23,77,4,20,34,22,13,5,2
36,乳がんの症状 痛み,17300,130,3.064,-0.222,12,88,1,4,9,22,28,18,18
37,乳がん手術,11900,130,3.48,4.48,20,80,1,2,3,15,29,25,25
38,胸のしこり,10500,130,3.53,-1.064,19,81,5,10,14,27,25,11,8
39,新生児 しゃっくり,44000,120,2.062,-1.371,22,78,0,23,54,10,4,6,3
40,トリプルネガティブ乳がん,26200,120,2.612,4.843,17,83,0,4,8,22,29,23,14
41,乳腺炎 治し方,20400,120,2.871,0.001,12,88,0,15,46,15,9,11,4
42,センチネルリンパ節生検,15400,120,3.132,15.684,16,84,0,12,8,23,28,17,12
43,針生検,11500,120,3.424,4.589,18,82,1,6,11,31,27,14,10
44,乳管内乳頭腫,7600,120,3.815,0.008,12,88,1,5,15,33,27,13,6
45,乳房腫瘤,6600,120,3.988,0,12,88,1,3,14,28,27,16,11
46,乳腺石灰化とは,3300,120,4.649,0,12,88,1,1,5,27,33,22,11
47,マンモグラフィー 再検査,10900,110,3.39,-1.223,13,87,0,1,4,35,33,18,9
48,乳腺 痛い,2900,110,4.682,0,8,92,3,13,34,26,16,6,2
49,心エコー,40400,100,2.022,-10.823,32,68,1,11,13,20,22,17,16
50,医療用ウィッグ,30200,100,2.29,26.073,18,82,1,2,7,19,29,23,19
51,母乳,23000,100,2.531,0,47,53,8,19,34,17,11,6,5
52,母乳育児 軌道にのるまで,21700,100,2.566,-3.479,4,96,0,15,59,13,4,7,2
53,乳がん ホルモン治療,16500,100,2.923,31.453,16,84,0,2,5,21,35,23,14
54,乳がん しこり,14500,100,3.003,-1.268,12,88,4,15,27,29,16,6,3
55,乳がん ブログ,13300,100,3.114,-0.87,10,90,0,1,5,26,35,22,11
56,乳がん検診 要精密検査,12000,100,3.111,-0.236,12,88,1,1,8,39,32,13,6
57,乳腺腫瘍,4000,100,4.28,0,17,83,2,7,14,27,27,14,9
58,乳腺とは,1700,100,5.167,0,28,72,11,32,20,16,11,5,5
59,石灰化とは,25900,90,2.297,-0.004,28,72,1,5,6,15,27,24,22
60,パクリタキセル,25100,90,2.369,27.605,29,71,0,11,9,18,26,20,16
61,乳がん検査,13300,90,3.006,-0.81,19,81,1,8,14,20,24,17,16
62,モンドール病,10900,90,3.142,2.675,24,76,2,5,13,26,28,17,9
63,腋窩リンパ節,10400,90,3.24,2.756,18,82,1,10,15,26,26,14,8
64,スペンス線 開発,6600,90,3.695,0.001,71,29,5,15,21,24,20,10,5
65,乳腺症 症状,4800,90,3.95,0.002,10,90,1,5,15,29,23,16,11
66,乳腺科,3900,90,4.232,0,19,81,2,13,21,26,18,10,10
67,乳腺散在とは,3200,90,4.404,0,8,92,1,1,3,30,34,19,12
68,陣痛 前兆,30100,80,2.05,-26.972,25,75,1,20,49,12,8,8,2
69,化学療法とは,28300,80,2.063,41.083,26,74,1,10,8,19,25,20,17
70,悪露 いつまで,27400,80,2.178,-4.355,3,97,0,22,63,10,2,2,1
71,褐色細胞腫,27400,80,2.093,0.022,32,68,1,19,12,20,22,16,10
72,ピュアレーン,26300,80,2.144,-7.182,8,92,0,21,57,13,4,4,1
73,魔の3週目,26200,80,2.178,-6.491,15,85,0,21,62,10,2,4,1
74,脇の下 リンパ 痛い,26000,80,2.226,-0.005,15,85,1,6,15,27,30,14,7
75,分子標的薬,25700,80,2.235,1.68,32,68,1,6,7,17,25,23,21
76,陣痛 始まり,22600,80,2.304,-28.742,11,89,0,23,57,10,4,4,2
77,乳がん 原因,16300,80,2.662,2.099,20,80,5,14,17,25,24,9,6
78,乳房 痛み,13900,80,2.768,0.003,7,93,1,6,17,30,23,14,9
79,乳がん検診 エコー,12700,80,2.841,-0.19,7,93,0,5,23,31,23,11,7
80,乳がん治療,9400,80,3.221,5.336,24,76,0,2,4,16,29,26,23
81,乳癌,8300,80,3.368,0.003,24,76,1,6,10,22,26,18,17
82,胸 しこり,8100,80,3.41,-0.014,14,86,8,23,28,26,11,3,1
83,炎症性乳がん,8100,80,3.295,0.964,11,89,1,5,15,27,27,15,10
84,乳がんの種類は5つある,8000,80,3.399,2.463,16,84,0,0,1,9,25,36,29
85,マンモトーム生検,7200,80,3.453,0.017,11,89,1,4,9,30,33,15,8
86,乳がんプラザ,4900,80,3.828,3.133,12,88,0,1,5,23,39,20,12
87,おくるみ 巻き方,27000,70,2.079,-2.584,15,85,0,18,57,13,4,5,3
88,mri 造影剤,25800,70,2.041,9.3,25,75,1,6,10,21,24,17,21
89,授乳中 アルコール,25700,70,2.066,26.398,16,84,0,21,53,15,4,4,3
90,リュープリン,25300,70,2.042,17.682,27,73,1,7,13,30,25,11,13
91,生理前 胸の痛み,25000,70,2.128,0.034,5,95,3,18,33,37,6,1,2
92,赤ちゃん しゃっくり,23800,70,2.082,11.214,41,59,0,16,52,16,6,8,2
93,正期産 いつ,22100,70,2.171,-24.795,10,90,1,25,46,14,6,6,2
94,ハンドリガード,21800,70,2.193,19.3,12,88,1,15,50,13,7,10,4
95,おしるし,21300,70,2.25,-22.197,12,88,1,24,55,11,4,3,2
96,黄昏泣き,20900,70,2.3,21.98,18,82,1,16,55,13,5,6,4
97,子宮口,20700,70,2.253,-10.578,36,64,5,20,38,17,10,7,3
98,乳輪,20400,70,2.319,0.002,60,40,12,15,19,21,18,9,6
99,パジェット病,19300,70,2.401,1.731,19,81,1,11,15,25,24,14,10
100,マンモグラフィー 痛い,18800,70,2.408,0.002,6,94,1,9,18,44,17,6,5
101,石灰化 乳がん 確率,9200,70,3.109,-0.782,9,91,0,2,8,33,37,13,7
102,乳がん 症状,8900,70,3.133,-0.194,14,86,4,17,22,24,16,8,9
103,乳管,1700,70,4.793,0.001,21,79,2,15,24,24,18,11,6
104,赤ちゃんの城,24600,60,2.007,6.62,12,88,0,10,40,14,10,20,6
105,抗がん剤 費用,24300,60,2.057,39.732,35,65,0,2,7,16,28,25,22
106,生後2ヶ月 ミルク量,24300,60,2.041,21.236,10,90,0,22,57,13,3,4,1
107,モロー反射 いつまで,22800,60,2.066,4.938,13,87,1,20,55,12,4,6,2
108,リンパ,22600,60,2.043,-2.013,38,62,4,9,16,24,22,12,13
109,会陰マッサージ,21800,60,2.097,-56.652,16,84,1,21,48,14,7,5,4
110,母乳育児 いつまで,21600,60,2.123,-5.849,24,76,2,19,42,17,7,9,4
111,織物 水っぽい,21600,60,2.011,-6.842,4,96,7,24,23,23,16,4,3
112,授乳,20700,60,2.068,-1.963,44,56,6,14,33,20,14,8,5
113,抗がん剤 脱毛,20400,60,2.201,21.714,24,76,1,4,7,20,28,21,19
114,骨シンチ 検査とは,20300,60,2.186,11.568,35,65,0,4,5,14,21,24,32
115,産後 骨盤矯正,20000,60,2.098,-21.07,8,92,0,18,59,15,3,3,2
116,ミルク 作ってから何時間,19500,60,2.229,2.585,9,91,0,20,67,9,1,2,1
117,マンモグラフィー 被爆,18400,60,2.167,2.661,13,87,0,3,10,27,32,20,8
118,lvバッグ,18300,60,2.225,-111.05,26,74,1,11,36,26,13,9,4
119,卵巣,17000,60,2.369,-0.068,24,76,3,14,19,22,19,11,12
120,ベージニオ,14600,60,2.519,55.085,27,73,0,5,12,23,28,20,12
121,おっぱいマッサージ,14100,60,2.55,-2.523,19,81,3,18,40,19,11,6,3
122,乳頭,10700,60,2.84,0.001,50,50,5,18,22,17,16,11,11
123,乳癌 治療 流れ,10500,60,2.771,6.476,20,80,1,4,11,28,27,15,14
124,乳がん ステージ1,9100,60,2.987,29.281,18,82,1,4,10,30,32,14,9
125,マンモグラフィ,8700,60,2.961,0.001,23,77,2,16,24,30,16,7,5
126,乳がん 抗がん剤治療,8600,60,3.025,36.271,18,82,1,4,9,29,33,16,8
127,胸のしこり 良性と悪性の違い,6700,60,3.281,-2.337,15,85,1,7,13,29,27,14,9
128,スペンス乳腺とは,6100,60,3.291,0.001,75,25,4,14,20,26,20,10,6
129,超音波検査学会,5900,60,3.319,-67.792,27,73,0,12,24,29,19,10,6
130,乳腺炎 しこり 取れない,5600,60,3.4,0,6,94,0,14,56,16,6,5,3
131,乳癌 手術までの 期間,4400,60,3.68,2.794,14,86,1,2,7,27,31,18,14
132,乳腺クリニック,3000,60,4.032,0,16,84,0,6,13,29,26,17,9
133,乳腺 石灰化 原因,1700,60,4.598,0,11,89,0,2,11,38,31,13,5
134,乳腺 発達させる,1300,60,4.913,0,11,89,13,32,32,14,7,1,1
135,乳腺マッサージ,1200,60,4.941,0.001,34,66,3,16,31,21,14,11,4
136,会陰,20200,50,2.033,-28.298,50,50,9,18,22,17,15,10,9
137,前駆陣痛 いつから,19800,50,2.017,-33.613,8,92,0,25,56,9,3,6,1
138,婦人科系の病気,19500,50,2.044,-30.49,14,86,1,6,13,16,21,23,20
139,医療用帽子,18900,50,2.049,46.027,19,81,1,3,7,15,27,23,24
140,腫瘤とは,18700,50,2.137,-1.092,30,70,1,7,10,21,27,20,14
141,クーパー靭帯,18200,50,2.159,0.001,46,54,8,19,22,23,16,8,4
142,腫瘤,17300,50,2.146,-0.067,34,66,2,8,13,23,27,16,11
143,しこりとは,17000,50,2.183,-0.033,51,49,26,21,12,12,12,8,9
144,妊婦健診,16900,50,2.116,-123.043,7,93,0,23,54,12,5,4,2
145,スワドル いつまで,16800,50,2.131,45.781,10,90,0,18,55,11,5,9,2
146,胎動 激しい,16600,50,2.145,-76.12,12,88,0,18,60,13,3,4,2
147,ドセタキセル,16300,50,2.154,47.877,33,67,0,12,11,20,23,18,16
148,ファーストトイ,16200,50,2.118,-56.638,14,86,0,30,52,8,4,5,1
149,石灰化上皮腫,16100,50,2.148,-14.031,25,75,3,11,22,28,18,11,7
150,後陣痛,15900,50,2.243,-25.881,6,94,1,21,56,13,3,4,2
151,赤ちゃん 予防接種,14800,50,2.224,5.443,19,81,0,15,53,16,6,8,2
152,赤ちゃん 便秘 何日,14800,50,2.17,32.278,21,79,0,14,63,16,2,4,1
153,赤ちゃん 便秘,14600,50,2.266,24.998,25,75,0,14,59,15,4,6,2
154,放射線治療 費用 1回,14500,50,2.251,37.04,31,69,1,1,4,15,27,28,24
155,肺機能検査,14400,50,2.29,-11.002,31,69,1,8,12,24,24,17,14
156,帝王切開 術後,14400,50,2.288,-4.625,13,87,0,9,39,19,10,17,6
157,ホルモン療法,14100,50,2.415,10.466,22,78,1,4,7,22,32,19,15
158,乳がん検診 頻度,13000,50,2.399,-1.356,8,92,0,4,18,34,25,12,7
159,排卵,12900,50,2.351,2.199,22,78,6,20,39,21,7,3,4
160,リンパ節,12700,50,2.438,-6.25,40,60,5,13,18,22,20,11,11
161,タミータイム,12100,50,2.416,53.68,13,87,0,20,55,12,5,5,3
162,浸潤性乳管癌,12000,50,2.591,2.78,16,84,1,3,6,17,29,24,20
163,リンパ節郭清,12000,50,2.589,10.496,25,75,0,16,11,20,22,17,14
164,モントゴメリー腺,11800,50,2.574,0.006,22,78,5,26,32,21,10,4,2
165,バスト,11600,50,2.524,-3.551,45,55,18,18,13,15,15,10,11
166,乳頭腫,11400,50,2.479,0.004,29,71,2,10,15,24,24,15,10
