順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,外傷とは,8800,180,5.647,0,33,67,4,14,16,23,22,13,8
2,蜂窩織炎,436000,140,1.528,-26.843,28,72,1,7,12,21,24,19,16
3,心不全,296000,110,1.676,30.1,34,66,1,7,11,18,24,19,20
4,アムロジピン,296000,100,1.614,-5.341,40,60,0,8,7,14,24,23,24
5,デエビゴ,283000,100,1.653,4.581,34,66,1,9,12,20,24,18,16
6,褥瘡,137000,100,2.35,-4.552,31,69,2,11,11,18,25,20,13
7,ptsd,285000,80,1.421,19.256,43,57,6,14,19,22,19,11,9
8,心筋梗塞,271000,80,1.402,1.431,42,58,2,7,10,18,24,19,20
9,spo2,71800,80,2.78,-45.282,34,66,2,15,14,19,21,17,12
10,心房細動,244000,70,1.409,60.922,39,61,1,7,8,14,21,22,27
11,横紋筋融解症,117000,70,2.186,-3.202,32,68,1,10,11,16,21,21,20
12,変形性膝関節症,219000,60,1.41,6.337,28,72,1,6,6,14,25,25,23
13,ヘモグロビンa1c,207000,60,1.405,40.804,35,65,1,6,9,19,26,21,18
14,アモキシシリンカプセル250mg,195000,60,1.419,26.118,31,69,1,7,14,23,23,17,15
15,介護福祉士,166000,60,1.662,61.239,34,66,2,6,11,24,30,16,11
16,脳出血,157000,60,1.71,10.499,33,67,2,8,11,21,25,18,15
17,egfr,150000,60,1.794,-42.551,37,63,0,6,8,16,25,23,22
18,プレガバリン,133000,60,1.943,-16.354,36,64,0,8,10,20,25,18,19
19,リスペリドン,99300,60,2.199,-6.678,28,72,1,13,15,23,24,16,8
20,臀部,98000,60,2.122,-17.062,41,59,5,11,16,22,22,14,10
21,クエチアピン,96500,60,2.099,-24.215,29,71,1,12,15,23,25,15,9
22,エンレスト,88800,60,2.279,42.065,37,63,0,12,15,23,24,14,12
23,打撲,37200,60,3.172,-0.001,33,67,5,10,14,22,19,15,15
24,擦過傷,32800,60,3.298,-0.003,33,67,2,11,15,23,25,15,9
25,股関節,171000,50,1.534,12.878,33,67,2,4,7,15,19,22,31
26,血圧,166000,50,1.496,-5.952,42,58,2,8,12,20,22,16,20
27,喘息,164000,50,1.423,-25.717,44,56,4,9,16,19,20,17,15
28,痛風,163000,50,1.52,-10.354,52,48,3,10,14,19,22,16,16
29,バッグ,162000,50,1.549,-16.703,24,76,3,6,9,18,22,21,21
30,手根管症候群,158000,50,1.445,31.432,27,73,1,6,11,19,26,20,17
31,als,152000,50,1.564,-9.319,37,63,3,11,15,22,22,15,12
32,中耳炎,151000,50,1.522,-15.035,37,63,8,14,26,24,13,8,7
